Orthogroup	DNOV.longest_only	SLEB.longest_only
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000005	LOC115770819|XP_030572101.1|DNOV	LOC115630365|XP_030382758.1|SLEB
OG0000005	LOC115770817|XP_030572099.1|DNOV	LOC115630358|XP_030382752.1|SLEB
OG0000006	LOC115761951|XP_030559850.1|DNOV	LOC115630279|XP_030382674.1|SLEB
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC115770815|XP_030572096.1|DNOV	LOC115630264|XP_030382657.1|SLEB
OG0000006	LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	LOC115630278|XP_030382673.1|SLEB
OG0000006	LOC115770816|XP_030572098.1|DNOV	LOC115630135|XP_030382603.1|SLEB
OG0000006	LOC115761841|XP_030559682.1|DNOV	LOC115630363|XP_030382756.1|SLEB
OG0000007	LOC115771065|XP_030572477.1|DNOV	LOC115629771|XP_030382185.1|SLEB
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC115762000|XP_030559928.1|DNOV	LOC115630332|XP_030382730.1|SLEB
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC115625114|XP_030375880.1|SLEB
OG0000011	LOC115762679|XP_030560853.1|DNOV, LOC115759523|XP_030556331.1|DNOV	LOC115627265|XP_030378753.1|SLEB
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC115626216|XP_030377371.1|SLEB
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC115760654|XP_030557981.1|DNOV, LOC115761250|XP_030558818.1|DNOV, LOC115761483|XP_030559109.1|DNOV, LOC115761251|XP_030558819.1|DNOV, LOC115765058|XP_030564291.1|DNOV	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC115633162|XP_030386433.1|SLEB
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC115634442|XP_030388011.1|SLEB
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC115633141|XP_030386412.1|SLEB
OG0000024	LOC115759954|XP_030556957.1|DNOV	LOC115632051|XP_030384884.1|SLEB
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC115630302|XP_030382700.1|SLEB, LOC115630296|XP_030382693.1|SLEB, LOC115630134|XP_030382602.1|SLEB, LOC115630274|XP_030382669.1|SLEB, LOC115630276|XP_030382671.1|SLEB, LOC115633523|XP_030386842.1|SLEB, LOC115633507|XP_030386828.1|SLEB, LOC115633524|XP_030386843.1|SLEB, LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB, LOC115630352|XP_030382745.1|SLEB
OG0000025	LOC115762028|XP_030559953.1|DNOV	LOC115630125|XP_030382596.1|SLEB
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC115630319|XP_030382716.1|SLEB, LOC115630311|XP_030382709.1|SLEB, LOC115630293|XP_030382689.1|SLEB, LOC115630303|XP_030382701.1|SLEB
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC115626629|XP_030377893.1|SLEB
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	LOC115634465|XP_030388053.1|SLEB
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC115771908|XP_030573658.1|DNOV	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC115621341|XP_030370821.1|SLEB
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC115627397|XP_030378912.1|SLEB
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000037	LOC115764695|XP_030563749.1|DNOV	LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV	LOC115624205|XP_030374672.1|SLEB
OG0000040	LOC115764711|XP_030563771.1|DNOV	LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC115764805|XP_030563912.1|DNOV	LOC115624206|XP_030374673.1|SLEB
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC115621426|XP_030370938.1|SLEB
OG0000041	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC115770689|XP_030571941.1|DNOV	LOC115624181|XP_030374637.1|SLEB
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC115768148|XP_030568502.1|DNOV, LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC115761458|XP_030559085.1|DNOV	LOC115625514|XP_030376439.1|SLEB
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC115632844|XP_030385961.1|SLEB
