Orthogroup	DNOV.longest_only	DALB.longest_only
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC115763735|XP_030562294.1|DNOV	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB
OG0000009	LOC115763896|XP_030562534.1|DNOV	LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC115760864|XP_030558278.1|DNOV	LOC117568811|XP_034105563.1|DALB
OG0000009	LOC115758060|XP_030554434.1|DNOV	LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB
OG0000009	LOC115762417|XP_030560473.1|DNOV	LOC117566724|XP_034102158.1|DALB
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC117572671|XP_034111579.1|DALB
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC115761848|XP_030559690.1|DNOV	LOC117564305|XP_034098892.1|DALB
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC117564299|XP_034098888.1|DALB
OG0000011	LOC115762679|XP_030560853.1|DNOV	LOC117571839|XP_034110118.1|DALB
OG0000011	LOC115759523|XP_030556331.1|DNOV	LOC117575640|XP_034115810.1|DALB
OG0000011	LOC115770116|XP_030571097.1|DNOV	LOC117569027|XP_034105908.1|DALB
OG0000011	LOC115769479|XP_030570160.1|DNOV	LOC117570589|XP_034108223.1|DALB, LOC117572252|XP_034110830.1|DALB
OG0000011	LOC115768719|XP_030569278.1|DNOV	LOC117570898|XP_034108692.1|DALB
OG0000011	LOC115766963|XP_030566913.1|DNOV	LOC117568323|XP_034104794.1|DALB
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC115758175|XP_030554576.1|DNOV	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB
OG0000012	LOC115758176|XP_030554577.1|DNOV	LOC117571638|XP_034109755.1|DALB
OG0000012	LOC115760687|XP_030558014.1|DNOV	LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB
OG0000012	LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC117574088|XP_034113615.1|DALB
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC115759285|XP_030556047.1|DNOV	LOC117565916|XP_034101175.1|DALB
OG0000015	LOC115758736|XP_030555346.1|DNOV	LOC117564597|XP_034099342.1|DALB, LOC117564598|XP_034099344.1|DALB, LOC117564596|XP_034099340.1|DALB, LOC117564343|XP_034098944.1|DALB, LOC117564332|XP_034098928.1|DALB
OG0000015	LOC115770421|XP_030571547.1|DNOV	LOC117567386|XP_034103227.1|DALB
OG0000015	LOC115759089|XP_030555783.1|DNOV, LOC115759088|XP_030555782.1|DNOV, LOC115758931|XP_030555591.1|DNOV, LOC115758961|XP_030555623.1|DNOV	LOC117564019|XP_034098510.1|DALB, LOC117564020|XP_034098511.1|DALB
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC115759321|XP_030556091.1|DNOV	LOC117574957|XP_034114906.1|DALB
OG0000017	LOC115769464|XP_030570137.1|DNOV	LOC117569360|XP_034106383.1|DALB
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC115761250|XP_030558818.1|DNOV, LOC115761483|XP_030559109.1|DNOV, LOC115761251|XP_030558819.1|DNOV	LOC117575876|XP_034116205.1|DALB
OG0000017	LOC115765058|XP_030564291.1|DNOV	LOC117573599|XP_034112784.1|DALB, LOC117573598|XP_034112783.1|DALB
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC115767924|XP_030568152.1|DNOV	LOC117576471|XP_034117133.1|DALB
OG0000020	LOC115767925|XP_030568154.1|DNOV	LOC117576472|XP_034117134.1|DALB
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC117570665|XP_034108343.1|DALB
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC117570908|XP_034108704.1|DALB
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC115762571|XP_030560717.1|DNOV	LOC117567521|XP_034103458.1|DALB
OG0000022	LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC115758184|XP_030554584.1|DNOV	LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC115762028|XP_030559953.1|DNOV	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV	LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC117566595|XP_034102028.1|DALB
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC115771703|XP_030573383.1|DNOV	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC115764177|XP_030562923.1|DNOV	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB
OG0000032	LOC115771908|XP_030573658.1|DNOV	LOC117575800|XP_034116069.1|DALB
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC115759327|XP_030556099.1|DNOV	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB
OG0000034	LOC115759323|XP_030556094.1|DNOV	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB
OG0000034	LOC115758512|XP_030555064.1|DNOV	LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC117576608|XP_034117400.1|DALB
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC117575741|XP_034115985.1|DALB
OG0000037	LOC115764695|XP_030563749.1|DNOV	LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB
OG0000037	LOC115758180|XP_030554581.1|DNOV	LOC117569403|XP_034106430.1|DALB
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC115763887|XP_030562524.1|DNOV	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC117573618|XP_034112808.1|DALB
OG0000040	LOC115764805|XP_030563912.1|DNOV	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC115766169|XP_030565871.1|DNOV	LOC117575844|XP_034116145.1|DALB
OG0000041	LOC115770695|XP_030571950.1|DNOV	LOC117574557|XP_034114320.1|DALB
OG0000041	LOC115766040|XP_030565671.1|DNOV	LOC117573341|XP_034112342.1|DALB
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB
OG0000041	LOC115770708|XP_030571966.1|DNOV	LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC115770689|XP_030571941.1|DNOV	LOC117576553|XP_034117282.1|DALB
OG0000044	LOC115770724|XP_030571983.1|DNOV	LOC117576551|XP_034117281.1|DALB
OG0000044	LOC115770670|XP_030571898.1|DNOV	LOC117576550|XP_034117280.1|DALB
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
