Orthogroup	DNOV.longest_only	DMEL.longest_only
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	CG6283|NP_651524.1|DMEL
OG0000019	LOC115771639|XP_030573299.1|DNOV	CG6296|NP_651520.1|DMEL
OG0000019	LOC115771840|XP_030573582.1|DNOV	CG6295|NP_651521.1|DMEL
OG0000019	LOC115771914|XP_030573663.1|DNOV	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC115764021|XP_030562712.1|DNOV	rdog|NP_651678.1|DMEL
OG0000020	LOC115762420|XP_030560475.1|DNOV	CG10505|NP_611571.2|DMEL
OG0000020	LOC115758764|XP_030555385.1|DNOV	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	CG4562|NP_001262747.1|DMEL
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	Mrp4|NP_650086.2|DMEL
OG0000020	LOC115758337|XP_030554771.1|DNOV	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC115762362|XP_030560400.1|DNOV	PpD6|NP_524947.1|DMEL
OG0000021	LOC115768250|XP_030568679.1|DNOV	Pp1-Y1|NP_001104152.3|DMEL
OG0000021	LOC115763104|XP_030561408.1|DNOV	PpN58A|NP_477384.1|DMEL
OG0000021	LOC115764505|XP_030563459.1|DNOV	PpD5|NP_524707.1|DMEL
OG0000021	LOC115772083|XP_030573900.1|DNOV	PpY-55A|NP_476689.1|DMEL
OG0000021	LOC115762372|XP_030560413.1|DNOV	Pp1-Y2|NP_001015497.4|DMEL
OG0000021	LOC115768613|XP_030569130.1|DNOV	flw|NP_727418.1|DMEL
OG0000021	LOC115770843|XP_030572140.1|DNOV	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC115771758|XP_030573467.1|DNOV	Pp1-87B|NP_524937.1|DMEL
OG0000021	LOC115766401|XP_030566179.1|DNOV	Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC115757997|XP_030554350.1|DNOV	CG7798|NP_611098.1|DMEL
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL
OG0000022	LOC115762575|XP_030560720.1|DNOV	LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	alpha-Est6|NP_524262.1|DMEL
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	alpha-Est5|NP_001246965.1|DMEL
OG0000023	LOC115761267|XP_030558841.1|DNOV	alpha-Est3|NP_524267.2|DMEL
OG0000023	LOC115761263|XP_030558837.1|DNOV	alpha-Est2|NP_524268.3|DMEL
OG0000023	LOC115761778|XP_030559575.1|DNOV	gas|NP_611678.1|DMEL
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	alpha-Est1|NP_524269.3|DMEL
OG0000023	LOC115761262|XP_030558836.1|DNOV	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC115761326|XP_030558919.1|DNOV	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC115761659|XP_030559359.1|DNOV	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC115761434|XP_030559060.1|DNOV	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL
OG0000024	LOC115763072|XP_030561360.1|DNOV	CG17571|NP_610109.1|DMEL
OG0000024	LOC115758183|XP_030554583.1|DNOV	thetaTry|NP_523693.1|DMEL
OG0000024	LOC115764549|XP_030563528.1|DNOV	Ser8|NP_610874.1|DMEL
OG0000025	LOC115758436|XP_030554952.1|DNOV	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC115770696|XP_030571951.1|DNOV	His3_CG33857|NP_001027373.1|DMEL, His3_CG33827|NP_001027323.1|DMEL, His3_CG33830|NP_001027328.1|DMEL, His3_CG33848|NP_001027358.1|DMEL, His3_CG33824|NP_001027318.1|DMEL, His3_CG33815|NP_001027303.1|DMEL, His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL, His3_CG33842|NP_001027348.1|DMEL, His3_CG33836|NP_001027338.1|DMEL, His3_CG33845|NP_001027353.1|DMEL
OG0000025	LOC115761982|XP_030559889.1|DNOV	His3_CG33854|NP_001027368.1|DMEL, His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC115771353|XP_030572886.1|DNOV	antdh|NP_572695.2|DMEL
OG0000026	LOC115758902|XP_030555559.1|DNOV	CG9150|NP_608991.2|DMEL
OG0000026	LOC115764140|XP_030562874.1|DNOV	CG3301|NP_650964.1|DMEL
OG0000027	LOC115765969|XP_030565582.1|DNOV	Acp1|NP_477115.1|DMEL
OG0000027	LOC115765940|XP_030565545.1|DNOV	CG7214|NP_609141.1|DMEL
OG0000028	LOC115769342|XP_030569963.1|DNOV	CG14095|NP_649112.1|DMEL
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	CheA84a|NP_001027150.1|DMEL
OG0000029	LOC115767739|XP_030567914.1|DNOV	CheA75a|NP_649035.2|DMEL
OG0000030	LOC115760078|XP_030557121.1|DNOV	Or33c|NP_523555.1|DMEL
OG0000030	LOC115759228|XP_030555983.1|DNOV	Or23a|NP_523458.3|DMEL
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	Or59a|NP_523821.1|DMEL
OG0000030	LOC115767988|XP_030568248.1|DNOV	Or2a|NP_525046.1|DMEL
OG0000030	LOC115766352|XP_030566111.1|DNOV	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC115760051|XP_030557082.1|DNOV	CG5390|NP_609374.1|DMEL
OG0000032	LOC115771909|XP_030573659.1|DNOV	GstD1|NP_524326.1|DMEL
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000033	LOC115762530|XP_030560671.1|DNOV	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL, CheB38b|NP_995735.1|DMEL, CheB42c|NP_995764.2|DMEL, CheB42b|NP_995763.1|DMEL
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	CheB42a|NP_995765.1|DMEL
OG0000034	LOC115758611|XP_030555202.1|DNOV	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL
OG0000034	LOC115759087|XP_030555781.1|DNOV	Ugt37E1|NP_652628.2|DMEL
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	Ugt37D1|NP_652627.2|DMEL
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC115761531|XP_030559163.1|DNOV	Sp7|NP_649734.2|DMEL
OG0000036	LOC115759641|XP_030556490.1|DNOV	ea|NP_524362.2|DMEL
OG0000036	LOC115764000|XP_030562680.1|DNOV	MP1|NP_001303421.1|DMEL
OG0000036	LOC115772100|XP_030573922.1|DNOV	SPE|NP_651168.1|DMEL
OG0000037	LOC115761663|XP_030559406.1|DNOV	Cyp12b2|NP_611370.2|DMEL
OG0000037	LOC115761932|XP_030559822.1|DNOV	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC115769340|XP_030569961.1|DNOV	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC115769427|XP_030570094.1|DNOV	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC115764701|XP_030563759.1|DNOV	CG42564|NP_649651.2|DMEL
OG0000039	LOC115766337|XP_030566090.1|DNOV	Ag5r|NP_524770.1|DMEL
OG0000039	LOC115767237|XP_030567298.1|DNOV	Ag5r2|NP_524689.2|DMEL
OG0000039	LOC115766288|XP_030566016.1|DNOV	CG32679|NP_727412.2|DMEL
OG0000040	LOC115764750|XP_030563834.1|DNOV	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL
OG0000040	LOC115764751|XP_030563835.1|DNOV	CG4820|NP_001097748.1|DMEL
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL
OG0000040	LOC115764684|XP_030563733.1|DNOV	Odj|NP_650661.1|DMEL
OG0000040	LOC115771625|XP_030573267.1|DNOV	CG1792|NP_651878.1|DMEL
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	CG14502|NP_611311.1|DMEL, CG18539|NP_611315.3|DMEL, CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL
OG0000043	LOC115770548|XP_030571710.1|DNOV	Ugt302C1|NP_652626.1|DMEL
OG0000043	LOC115770570|XP_030571745.1|DNOV	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC115770712|XP_030571969.1|DNOV	CG31087|NP_733100.1|DMEL
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL
OG0000044	LOC115766148|XP_030565844.1|DNOV	CG6908|NP_650105.1|DMEL
OG0000045	LOC115771022|XP_030572403.1|DNOV	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC115771240|XP_030572702.1|DNOV	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC115771239|XP_030572701.1|DNOV	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC115771237|XP_030572698.1|DNOV	Cpr65Eb|NP_648076.3|DMEL
OG0000046	LOC115768148|XP_030568502.1|DNOV	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL
OG0000047	LOC115760745|XP_030558082.1|DNOV	S-Lap8|NP_611132.1|DMEL
OG0000047	LOC115757956|XP_030554291.1|DNOV	S-Lap5|NP_610892.1|DMEL
OG0000047	LOC115757840|XP_030554132.1|DNOV	S-Lap7|NP_610900.1|DMEL
OG0000048	LOC115762856|XP_030561091.1|DNOV	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	LOC115762848|XP_030561084.1|DNOV	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL
OG0000048	LOC115762847|XP_030561083.1|DNOV	CG13044|NP_648867.1|DMEL
OG0000048	LOC115762857|XP_030561093.1|DNOV	CG13042|NP_648870.1|DMEL
OG0000049	LOC115761547|XP_030559189.1|DNOV	CG4053|NP_650601.2|DMEL
OG0000049	LOC115761542|XP_030559185.1|DNOV	CG5246|NP_650603.1|DMEL
OG0000049	LOC115761399|XP_030559017.1|DNOV	CG17475|NP_650600.2|DMEL
OG0000049	LOC115761457|XP_030559084.1|DNOV	CG31265|NP_650599.1|DMEL
OG0000049	LOC115761552|XP_030559195.1|DNOV	CG5255|NP_650604.1|DMEL
OG0000050	LOC115758280|XP_030554702.1|DNOV	CG13193|NP_610699.1|DMEL
OG0000050	LOC115770327|XP_030571425.1|DNOV	CG33770|NP_001027144.2|DMEL
OG0000050	LOC115770328|XP_030571426.1|DNOV	CG33769|NP_001027143.1|DMEL
OG0000050	LOC115770326|XP_030571424.1|DNOV	CG33767|NP_001027141.1|DMEL
OG0000050	LOC115770322|XP_030571419.1|DNOV	CG33771|NP_001027145.3|DMEL
OG0000051	LOC115763752|XP_030562324.1|DNOV	Cyp313b1|NP_649807.1|DMEL
OG0000051	LOC115761373|XP_030558983.1|DNOV	Cyp313a4|NP_650224.3|DMEL
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	CG16904|NP_649957.1|DMEL, CG31141|NP_732912.2|DMEL, eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL
OG0000052	LOC115771518|XP_030573117.1|DNOV	CG17821|NP_725820.2|DMEL
OG0000052	LOC115771510|XP_030573105.1|DNOV	CG18609|NP_611365.2|DMEL
OG0000053	LOC115771927|XP_030573689.1|DNOV	Mal-A8|NP_610384.1|DMEL
OG0000053	LOC115771866|XP_030573609.1|DNOV	Mal-A7|NP_610383.1|DMEL
OG0000053	LOC115771921|XP_030573679.1|DNOV	Mal-A6|NP_995779.2|DMEL
OG0000053	LOC115771855|XP_030573599.1|DNOV	Mal-A5|NP_610382.2|DMEL
OG0000053	LOC115771936|XP_030573699.1|DNOV	Mal-A1|NP_476627.3|DMEL
OG0000054	LOC115766043|XP_030565674.1|DNOV	AOX1|NP_650475.1|DMEL
OG0000054	LOC115770765|XP_030572036.1|DNOV	AOX2|NP_732047.2|DMEL
OG0000054	LOC115766097|XP_030565772.1|DNOV	AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL
OG0000055	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV	CecA2|NP_524589.1|DMEL, CecA1|NP_524588.1|DMEL
OG0000056	LOC115764820|XP_030563929.1|DNOV	CG6726|NP_651120.1|DMEL
OG0000056	LOC115764821|XP_030563930.1|DNOV	CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL
OG0000058	LOC115758934|XP_030555595.1|DNOV	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL
OG0000058	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV	AANATL2|NP_609005.1|DMEL
OG0000058	LOC115766835|XP_030566732.1|DNOV	AgmNAT|NP_572268.1|DMEL
OG0000059	LOC115764095|XP_030562808.1|DNOV	TwdlH|NP_651490.1|DMEL
OG0000059	LOC115764107|XP_030562822.1|DNOV	TwdlJ|NP_651489.2|DMEL, TwdlK|NP_651488.1|DMEL
