Orthogroup	DNOV.longest_only	ASTE.longest_only
OG0000020	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC115770843|XP_030572140.1|DNOV, LOC115771758|XP_030573467.1|DNOV, LOC115766401|XP_030566179.1|DNOV	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC115757997|XP_030554350.1|DNOV, LOC115762571|XP_030560717.1|DNOV, LOC115762572|XP_030560718.1|DNOV, LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV, LOC115762575|XP_030560720.1|DNOV	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV, LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV, LOC115761267|XP_030558841.1|DNOV, LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV, LOC115761262|XP_030558836.1|DNOV, LOC115761326|XP_030558919.1|DNOV, LOC115761659|XP_030559359.1|DNOV, LOC115761434|XP_030559060.1|DNOV	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV, LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV, LOC115764549|XP_030563528.1|DNOV, LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV, LOC115759954|XP_030556957.1|DNOV	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC115765969|XP_030565582.1|DNOV, LOC115765940|XP_030565545.1|DNOV, LOC115768547|XP_030569016.1|DNOV	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000032	LOC115771909|XP_030573659.1|DNOV, LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV, LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC115761663|XP_030559406.1|DNOV, LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV, LOC115758180|XP_030554581.1|DNOV	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC115770548|XP_030571710.1|DNOV, LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC115762848|XP_030561084.1|DNOV, LOC115762847|XP_030561083.1|DNOV, LOC115762857|XP_030561093.1|DNOV	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC115761547|XP_030559189.1|DNOV, LOC115761542|XP_030559185.1|DNOV, LOC115761399|XP_030559017.1|DNOV, LOC115761457|XP_030559084.1|DNOV, LOC115761552|XP_030559195.1|DNOV	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC115763752|XP_030562324.1|DNOV, LOC115767886|XP_030568111.1|DNOV, LOC115761373|XP_030558983.1|DNOV	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC115771927|XP_030573689.1|DNOV, LOC115771866|XP_030573609.1|DNOV, LOC115771921|XP_030573679.1|DNOV	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC115766043|XP_030565674.1|DNOV, LOC115770765|XP_030572036.1|DNOV, LOC115766097|XP_030565772.1|DNOV	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV, LOC115761644|XP_030559338.1|DNOV	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC115764822|XP_030563931.1|DNOV, LOC115764820|XP_030563929.1|DNOV, LOC115764821|XP_030563930.1|DNOV	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC115758934|XP_030555595.1|DNOV, LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV, LOC115766835|XP_030566732.1|DNOV	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC115768497|XP_030568943.1|DNOV, LOC115768521|XP_030568971.1|DNOV	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC115765029|XP_030564252.1|DNOV	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC115767352|XP_030567464.1|DNOV, LOC115759170|XP_030555902.1|DNOV	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC115766456|XP_030566248.1|DNOV, LOC115763354|XP_030561739.1|DNOV	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC115758842|XP_030555482.1|DNOV	LOC118503143|XP_035892009.1|ASTE
OG0000067	LOC115761742|XP_030559494.1|DNOV, LOC115769783|XP_030570610.1|DNOV	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC115770913|XP_030572222.1|DNOV	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC115766532|XP_030566358.1|DNOV, LOC115765365|XP_030564748.1|DNOV	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC115758973|XP_030555636.1|DNOV, LOC115765204|XP_030564504.1|DNOV, LOC115759073|XP_030555762.1|DNOV, LOC115758728|XP_030555341.1|DNOV	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC115767110|XP_030567126.1|DNOV	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC115771374|XP_030572918.1|DNOV, LOC115771373|XP_030572916.1|DNOV, LOC115771375|XP_030572919.1|DNOV	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC115762189|XP_030560172.1|DNOV, LOC115760700|XP_030558025.1|DNOV, LOC115760737|XP_030558073.1|DNOV	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC115757880|XP_030554180.1|DNOV	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC115764211|XP_030562961.1|DNOV	LOC118506813|XP_035900364.1|ASTE
OG0000073	LOC115765214|XP_030564517.1|DNOV	LOC118508670|XP_035904399.1|ASTE
OG0000074	LOC115767646|XP_030567793.1|DNOV, LOC115767642|XP_030567789.1|DNOV, LOC115771062|XP_030572474.1|DNOV	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC115766967|XP_030566920.1|DNOV	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC115766325|XP_030566076.1|DNOV	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC115765531|XP_030565013.1|DNOV	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC115761940|XP_030559834.1|DNOV	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC115757826|XP_030554110.1|DNOV	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC115759443|XP_030556224.1|DNOV	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC115767483|XP_030567650.1|DNOV, LOC115767481|XP_030567645.1|DNOV, LOC115767473|XP_030567638.1|DNOV, LOC115770100|XP_030571073.1|DNOV, LOC115761731|XP_030559475.1|DNOV, LOC115764426|XP_030563287.1|DNOV, LOC115767246|XP_030567310.1|DNOV	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC115762483|XP_030560581.1|DNOV, LOC115766550|XP_030566385.1|DNOV	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC115760531|XP_030557814.1|DNOV, LOC115771876|XP_030573620.1|DNOV, LOC115764022|XP_030562714.1|DNOV	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC115771570|XP_030573183.1|DNOV, LOC115763288|XP_030561633.1|DNOV	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC115759698|XP_030556562.1|DNOV	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC115760890|XP_030558315.1|DNOV	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC115764646|XP_030563684.1|DNOV	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC115761105|XP_030558592.1|DNOV, LOC115761104|XP_030558591.1|DNOV	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC115759965|XP_030556974.1|DNOV	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC115758292|XP_030554718.1|DNOV	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC115759581|XP_030556409.1|DNOV	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC115769774|XP_030570599.1|DNOV	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC115758299|XP_030554725.1|DNOV, LOC115758298|XP_030554724.1|DNOV, LOC115765820|XP_030565404.1|DNOV, LOC115766045|XP_030565682.1|DNOV, LOC115769503|XP_030570188.1|DNOV	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC115757670|XP_030553848.1|DNOV	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC115759049|XP_030555733.1|DNOV, LOC115761273|XP_030558848.1|DNOV, LOC115761272|XP_030558847.1|DNOV	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC115758323|XP_030554750.1|DNOV	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC115770336|XP_030571434.1|DNOV, LOC115761783|XP_030559578.1|DNOV, LOC115759953|XP_030556956.1|DNOV, LOC115759952|XP_030556955.1|DNOV	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC115761336|XP_030558933.1|DNOV, LOC115761351|XP_030558956.1|DNOV, LOC115761323|XP_030558916.1|DNOV, LOC115759222|XP_030555977.1|DNOV	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC115763976|XP_030562641.1|DNOV	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC115768874|XP_030569441.1|DNOV	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC115769895|XP_030570771.1|DNOV, LOC115769419|XP_030570087.1|DNOV, LOC115769417|XP_030570084.1|DNOV, LOC115769418|XP_030570086.1|DNOV, LOC115769861|XP_030570719.1|DNOV, LOC115769416|XP_030570083.1|DNOV, LOC115769860|XP_030570709.1|DNOV	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC115764983|XP_030564174.1|DNOV	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC115760629|XP_030557940.1|DNOV	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC115771233|XP_030572694.1|DNOV, LOC115771230|XP_030572692.1|DNOV, LOC115771232|XP_030572693.1|DNOV, LOC115762233|XP_030560233.1|DNOV	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC115763410|XP_030561820.1|DNOV, LOC115766038|XP_030565668.1|DNOV, LOC115766116|XP_030565797.1|DNOV	LOC118506605|XP_035899865.1|ASTE
OG0000109	LOC115758411|XP_030554919.1|DNOV	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC115758763|XP_030555384.1|DNOV, LOC115759000|XP_030555661.1|DNOV	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC115771207|XP_030572667.1|DNOV, LOC115771206|XP_030572666.1|DNOV, LOC115771081|XP_030572492.1|DNOV, LOC115771102|XP_030572522.1|DNOV, LOC115771159|XP_030572591.1|DNOV	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC115767450|XP_030567608.1|DNOV, LOC115767471|XP_030567636.1|DNOV, LOC115766597|XP_030566444.1|DNOV	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC115766378|XP_030566142.1|DNOV, LOC115766361|XP_030566121.1|DNOV, LOC115764351|XP_030563169.1|DNOV, LOC115764305|XP_030563103.1|DNOV	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC115761208|XP_030558753.1|DNOV, LOC115768193|XP_030568568.1|DNOV, LOC115768345|XP_030568769.1|DNOV, LOC115766418|XP_030566199.1|DNOV	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC115759690|XP_030556543.1|DNOV	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC115769301|XP_030569889.1|DNOV, LOC115769303|XP_030569891.1|DNOV, LOC115769305|XP_030569893.1|DNOV, LOC115769308|XP_030569897.1|DNOV, LOC115769307|XP_030569896.1|DNOV	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC115758561|XP_030555129.1|DNOV, LOC115768983|XP_030569558.1|DNOV, LOC115764682|XP_030563730.1|DNOV	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC115761228|XP_030558777.1|DNOV, LOC115761623|XP_030559312.1|DNOV, LOC115761429|XP_030559055.1|DNOV	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC115768766|XP_030569316.1|DNOV	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC115765330|XP_030564696.1|DNOV	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC115764363|XP_030563185.1|DNOV, LOC115771803|XP_030573534.1|DNOV, LOC115771900|XP_030573645.1|DNOV	LOC118504430|XP_035894762.1|ASTE
OG0000122	LOC115763181|XP_030561499.1|DNOV, LOC115767044|XP_030567034.1|DNOV, LOC115762161|XP_030560138.1|DNOV, LOC115759056|XP_030555741.1|DNOV	LOC118502484|XP_035890608.1|ASTE
OG0000123	LOC115759448|XP_030556240.1|DNOV, LOC115763740|XP_030562303.1|DNOV	LOC118506463|XP_035899530.1|ASTE
OG0000125	LOC115771741|XP_030573428.1|DNOV	LOC118502975|XP_035891640.1|ASTE
OG0000125	LOC115761248|XP_030558810.1|DNOV	LOC118511794|XP_035911255.1|ASTE
