Orthogroup	DNOV.longest_only	DPER.longest_only
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC113565257|XP_026842907.1|DPER
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC6595695|XP_026843975.1|DPER, LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC6588514|XP_002012998.2|DPER
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC6587186|XP_002012999.1|DPER
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC6603691|XP_002028659.1|DPER
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC6592715|XP_002018082.1|DPER
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC6592713|XP_002018080.1|DPER
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC6592714|XP_026841677.1|DPER
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC6592712|XP_002018079.1|DPER
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC6594351|XP_026840807.1|DPER
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC6594355|XP_002019534.1|DPER
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC6594114|XP_002019536.2|DPER
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC6594113|XP_002019535.2|DPER
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC6592580|XP_002017745.1|DPER
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC6604122|XP_002029055.1|DPER, LOC113567416|XP_026850955.1|DPER
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC113567384|XP_026850889.1|DPER, LOC113567392|XP_026850909.1|DPER
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER
OG0000028	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	LOC6602374|XP_026848578.1|DPER
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC6587627|XP_026841612.1|DPER
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC6595505|XP_002020610.1|DPER
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC6598612|XP_002023857.1|DPER
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC6598613|XP_002023858.2|DPER
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC6590962|XP_002015544.1|DPER
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC6589243|XP_002014735.1|DPER
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC115759327|XP_030556099.1|DNOV	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC6593808|XP_026844827.1|DPER
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV	LOC6598395|XP_002023518.2|DPER
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC113566301|XP_026847173.1|DPER, LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER, LOC6594617|XP_002019840.1|DPER
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC6594616|XP_002019839.1|DPER
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC6587705|XP_002012978.2|DPER
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC6594076|XP_002019736.1|DPER
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC6591553|XP_026847828.1|DPER
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC113564933|XP_026840246.1|DPER
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC6603693|XP_002028666.1|DPER
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC6601537|XP_002026551.1|DPER
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC6595948|XP_002021076.1|DPER
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC6591074|XP_002015712.2|DPER, LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC6589933|XP_002015961.2|DPER
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC6592655|XP_026842447.1|DPER
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC6592377|XP_002017999.1|DPER
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC6599882|XP_002024936.1|DPER
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC6599879|XP_002024933.1|DPER
OG0000049	LOC115761458|XP_030559085.1|DNOV	LOC6598737|XP_002023806.2|DPER
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC6598735|XP_002023804.1|DPER
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC6598765|XP_002023799.1|DPER
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC6598736|XP_026840083.1|DPER
OG0000050	LOC115758280|XP_030554702.1|DNOV	LOC6600939|XP_002026041.2|DPER
OG0000050	LOC115770327|XP_030571425.1|DNOV	LOC6603438|XP_026848195.1|DPER
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER
OG0000050	LOC115770326|XP_030571424.1|DNOV	LOC113566500|XP_026848194.1|DPER, LOC6603415|XP_026848193.1|DPER
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC6603437|XP_002028415.2|DPER
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC6588071|XP_002014115.1|DPER
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC6588118|XP_002013763.1|DPER, LOC6588232|XP_026849799.1|DPER
OG0000052	LOC115771518|XP_030573117.1|DNOV	LOC6590971|XP_002015907.1|DPER
OG0000052	LOC115771510|XP_030573105.1|DNOV	LOC6591184|XP_002015908.1|DPER
OG0000053	LOC115771927|XP_030573689.1|DNOV	LOC6589988|XP_002015740.1|DPER
OG0000053	LOC115771866|XP_030573609.1|DNOV	LOC6589987|XP_002015739.1|DPER
OG0000053	LOC115771921|XP_030573679.1|DNOV	LOC6589986|XP_002015738.1|DPER
