Orthogroup	DANA.longest_only	DNOV.longest_only
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC115761953|XP_030559852.1|DNOV
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000014	LOC116655080|XP_032308035.1|DANA	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC6498652|XP_001963246.1|DANA, LOC6498651|XP_001963245.1|DANA, LOC6498650|XP_001963244.2|DANA, LOC26515517|XP_032311043.1|DANA, LOC6498649|XP_001963243.2|DANA	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC6505609|XP_001964601.1|DANA	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC6505613|XP_032305481.1|DANA	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC6505612|XP_001964599.1|DANA	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC6505608|XP_001964602.1|DANA	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC26515395|XP_032312045.1|DANA	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC6502914|XP_001967640.3|DANA	LOC115768250|XP_030568679.1|DNOV
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC6496057|XP_001960127.1|DANA	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC6502328|XP_014759082.1|DANA	LOC115762372|XP_030560413.1|DNOV
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6500082|XP_001953260.1|DANA	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC6500077|XP_001953265.1|DANA	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC6500461|XP_001953266.1|DANA	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC6500076|XP_001953267.1|DANA	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC6495254|XP_001958751.1|DANA	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC116655981|XP_032310865.1|DANA, LOC26514165|XP_014759036.1|DANA, LOC116655431|XP_032309220.1|DANA, LOC6504865|XP_001964821.1|DANA, LOC6496740|XP_001967888.2|DANA, LOC26513707|XP_032309216.1|DANA, LOC116655705|XP_032309460.1|DANA	LOC115770696|XP_030571951.1|DNOV
OG0000025	LOC6498725|XP_001967729.1|DANA	LOC115762028|XP_030559953.1|DNOV
OG0000025	LOC6498690|XP_001967678.1|DANA, LOC6504929|XP_032310964.1|DANA, LOC26515026|XP_014758997.2|DANA, LOC116655979|XP_032310863.1|DANA, LOC116655980|XP_032310864.1|DANA, LOC26513675|XP_032309215.1|DANA, LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC6499843|XP_032305552.1|DANA	LOC115771703|XP_030573383.1|DNOV
OG0000032	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC6498848|XP_001955809.2|DANA	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC6502398|XP_001967387.3|DANA	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC6504273|XP_001967388.1|DANA	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC6504271|XP_032308876.1|DANA	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV
OG0000039	LOC6503200|XP_032311880.1|DANA	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC6499533|XP_001954425.2|DANA	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC6500946|XP_001954224.1|DANA	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC6500944|XP_001954222.1|DANA	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC6500236|XP_001952967.2|DANA	LOC115764805|XP_030563912.1|DNOV
OG0000040	LOC6505623|XP_001964581.1|DANA	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC6499525|XP_001954440.1|DANA	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC6499523|XP_032311279.1|DANA	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC6500203|XP_032305729.1|DANA	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC6499418|XP_001954679.1|DANA	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC6493486|XP_001957849.1|DANA	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC6507632|XP_001956043.1|DANA	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC6507423|XP_032310209.1|DANA	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC6503183|XP_001963600.1|DANA, LOC6502915|XP_001963599.1|DANA	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC6503185|XP_032311857.1|DANA, LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA, LOC6501523|XP_001955420.3|DANA, LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC6496440|XP_001960917.1|DANA	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC6496543|XP_001961111.1|DANA	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC6494029|XP_001961117.1|DANA	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC6493171|XP_001957195.2|DANA	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC6493169|XP_001957191.1|DANA	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC6500644|XP_001953636.2|DANA	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC6499920|XP_001953633.1|DANA	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC6500645|XP_001953637.1|DANA	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC6502640|XP_001953638.1|DANA	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC6499921|XP_001953632.1|DANA	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC6494319|XP_001960538.2|DANA	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC6493851|XP_001958559.1|DANA	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC6493850|XP_001958558.2|DANA	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC6502856|XP_032309510.1|DANA	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC6493852|XP_001958560.2|DANA	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC6499129|XP_001955245.1|DANA	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC6500659|XP_001953666.2|DANA	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC6505124|XP_001964791.1|DANA, LOC6496824|XP_001963326.1|DANA, LOC6498306|XP_001962504.1|DANA, LOC6498305|XP_001962503.1|DANA, LOC6498307|XP_001962505.3|DANA, LOC6499936|XP_001953600.1|DANA	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC6496593|XP_001961216.2|DANA	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC6496594|XP_001961217.1|DANA	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC6495215|XP_001958835.1|DANA	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC6495434|XP_001958836.2|DANA	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC6495214|XP_001958837.1|DANA	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC6495213|XP_001958838.1|DANA	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC6495436|XP_001958842.1|DANA	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC6499283|XP_001954953.1|DANA	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC6501596|XP_001955554.1|DANA	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000056	LOC6499765|XP_001953966.1|DANA	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA	LOC115758934|XP_030555595.1|DNOV
OG0000058	LOC6497335|XP_001962298.1|DANA	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV
OG0000058	LOC6503754|XP_001963803.1|DANA	LOC115766835|XP_030566732.1|DNOV
OG0000059	LOC6499242|XP_001955037.1|DANA	LOC115764095|XP_030562808.1|DNOV
OG0000059	LOC6499240|XP_001955039.1|DANA, LOC6501345|XP_001955040.1|DANA	LOC115764107|XP_030562822.1|DNOV
OG0000059	LOC6499241|XP_001955038.1|DANA	LOC115764042|XP_030562742.1|DNOV
