Orthogroup	DANA.longest_only	DSUZ.longest_only
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC108019592|XP_016942921.1|DSUZ
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC108019594|XP_016942924.1|DSUZ
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC108016330|XP_016938455.2|DSUZ
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC118879645|XP_036678432.1|DSUZ
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC108013029|XP_016934109.1|DSUZ
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC118879795|XP_036678702.1|DSUZ
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC6492986|XP_032310804.1|DANA	LOC108012353|XP_016933194.1|DSUZ
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC108012354|XP_016933195.2|DSUZ
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC6503895|XP_001963800.1|DANA	LOC108011129|XP_016931690.1|DSUZ
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC6500144|XP_001953137.1|DANA	LOC108015574|XP_036672879.1|DSUZ
OG0000009	LOC6500400|XP_001953139.2|DANA	LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC108019245|XP_036673765.1|DSUZ
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC108014626|XP_016936278.1|DSUZ
OG0000011	LOC6503983|XP_014760411.1|DANA	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ, LOC108010267|XP_016930620.1|DSUZ, LOC108009077|XP_016928601.2|DSUZ, LOC108007943|XP_016927205.1|DSUZ
OG0000011	LOC6502747|XP_014760371.2|DANA	LOC108011057|XP_016931608.2|DSUZ, LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ, LOC108018712|XP_036678677.1|DSUZ
OG0000011	LOC6506691|XP_001957410.1|DANA	LOC108012408|XP_016933257.1|DSUZ
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC118877899|XP_036674305.1|DSUZ
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC6495189|XP_001958891.1|DANA	LOC108008915|XP_016928309.1|DSUZ
OG0000012	LOC6495188|XP_001958892.1|DANA	LOC108008112|XP_016927391.1|DSUZ
OG0000012	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA	LOC108008405|XP_016927739.1|DSUZ
OG0000012	LOC6495185|XP_001958895.2|DANA	LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC6495691|XP_001959390.1|DANA	LOC108008513|XP_016927870.1|DSUZ
OG0000012	LOC6495692|XP_001959391.1|DANA	LOC108008168|XP_036669662.1|DSUZ
OG0000012	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA	LOC108009570|XP_016929524.1|DSUZ
OG0000012	LOC26514216|XP_014763990.1|DANA	LOC108009572|XP_016929528.1|DSUZ
OG0000012	LOC6495695|XP_001959394.1|DANA	LOC108009569|XP_016929521.1|DSUZ
OG0000012	LOC6495696|XP_032306537.1|DANA	LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC108007391|XP_016926534.2|DSUZ
OG0000014	LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA	LOC118879246|XP_036678025.1|DSUZ
OG0000014	LOC116655080|XP_032308035.1|DANA	LOC118878839|XP_036677760.1|DSUZ
OG0000014	LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA	LOC118879451|XP_036678220.1|DSUZ
OG0000014	LOC116656386|XP_032311769.1|DANA	LOC108005664|XP_016924475.1|DSUZ
OG0000014	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA, LOC116656444|XP_032311951.1|DANA	LOC118879539|XP_036678287.1|DSUZ
OG0000014	LOC116655469|XP_032309335.1|DANA, LOC116655425|XP_032309209.1|DANA, LOC116656371|XP_032311725.1|DANA, LOC116655243|XP_032308680.1|DANA	LOC118878733|XP_036677645.1|DSUZ, LOC118878702|XP_036677612.1|DSUZ, LOC118878312|XP_036676373.1|DSUZ, LOC118879579|XP_036678375.1|DSUZ, LOC118879580|XP_036678377.1|DSUZ, LOC118879083|XP_036677955.1|DSUZ
OG0000015	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA	LOC108012737|XP_016933663.2|DSUZ
OG0000015	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA	LOC108010739|XP_036668651.1|DSUZ, LOC108012550|XP_016933490.1|DSUZ, LOC108010859|XP_016931327.1|DSUZ, LOC108012640|XP_016933551.1|DSUZ, LOC108009429|XP_016929253.1|DSUZ, LOC108018082|XP_016941013.1|DSUZ, LOC108018900|XP_016941980.1|DSUZ, LOC118879010|XP_036677865.1|DSUZ
OG0000015	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA	LOC108010103|XP_016930413.1|DSUZ
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC108009982|XP_016930246.1|DSUZ
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC108006430|XP_016925443.1|DSUZ
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC108007764|XP_016927008.1|DSUZ
OG0000017	LOC6503036|XP_001963366.1|DANA	LOC108018993|XP_036676279.1|DSUZ
OG0000017	LOC6494096|XP_001960985.1|DANA	LOC108009448|XP_016929291.1|DSUZ
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC108015782|XP_016937825.2|DSUZ
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC108009905|XP_016930117.1|DSUZ
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC108019403|XP_016942713.1|DSUZ
OG0000017	LOC6494707|XP_001959817.2|DANA	LOC108009903|XP_016930115.2|DSUZ, LOC108009904|XP_036669180.1|DSUZ
OG0000017	LOC6498649|XP_001963243.2|DANA	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC108012644|XP_016933559.1|DSUZ
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC108012663|XP_016933579.1|DSUZ
OG0000018	LOC6493789|XP_001958438.1|DANA	LOC108012710|XP_016933628.2|DSUZ, LOC118877292|XP_036671250.1|DSUZ
OG0000018	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA	LOC108013582|XP_016934999.1|DSUZ
OG0000019	LOC6505609|XP_001964601.1|DANA	LOC108016142|XP_016938246.1|DSUZ
OG0000019	LOC6505610|XP_001964600.1|DANA	LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ
OG0000019	LOC6505613|XP_032305481.1|DANA	LOC108016158|XP_036675606.1|DSUZ
OG0000019	LOC6505612|XP_001964599.1|DANA	LOC108016141|XP_016938245.1|DSUZ
OG0000019	LOC6505608|XP_001964602.1|DANA	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ
OG0000020	LOC6497508|XP_032307386.1|DANA	LOC108021143|XP_036673557.1|DSUZ
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC108015714|XP_036672549.1|DSUZ
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC108010610|XP_036674725.1|DSUZ
OG0000020	LOC6506852|XP_001965261.1|DANA	LOC108021708|XP_016946031.1|DSUZ
OG0000020	LOC6497510|XP_032307412.1|DANA	LOC108021147|XP_016945207.1|DSUZ
OG0000021	LOC26515395|XP_032312045.1|DANA	LOC108015921|XP_016937993.1|DSUZ
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC108009589|XP_016929550.1|DSUZ
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC108009874|XP_016930066.1|DSUZ
OG0000021	LOC6496057|XP_001960127.1|DANA	LOC108008720|XP_016928109.1|DSUZ
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC108006427|XP_036673222.1|DSUZ
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC108018719|XP_036672548.1|DSUZ
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC108008926|XP_016928324.1|DSUZ
OG0000022	LOC6492952|XP_001956727.1|DANA	LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ
OG0000022	LOC6507069|XP_001956716.1|DANA	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ
OG0000022	LOC6492946|XP_001956717.1|DANA	LOC108013018|XP_016934098.1|DSUZ
OG0000023	LOC6500082|XP_001953260.1|DANA	LOC108013955|XP_036675219.1|DSUZ
OG0000023	LOC6500077|XP_001953265.1|DANA	LOC108013952|XP_016935450.2|DSUZ
OG0000023	LOC6500461|XP_001953266.1|DANA	LOC108019337|XP_016942646.2|DSUZ
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC108009166|XP_016928770.1|DSUZ
OG0000023	LOC6500076|XP_001953267.1|DANA	LOC108018731|XP_036675082.1|DSUZ
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC108013954|XP_016935453.2|DSUZ
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC108013962|XP_016935466.1|DSUZ
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC108013947|XP_036675218.1|DSUZ
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC116654715|XP_032306639.1|DANA	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ
OG0000024	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC108010252|XP_016930594.2|DSUZ
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC108010071|XP_016930374.1|DSUZ
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC6498525|XP_001962995.1|DANA	LOC108016763|XP_016939005.1|DSUZ
OG0000025	LOC26513707|XP_032309216.1|DANA	LOC108016331|XP_036678431.1|DSUZ
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC108004556|XP_016922979.1|DSUZ
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC108010503|XP_036668665.1|DSUZ
OG0000026	LOC6502964|XP_001963504.1|DANA	LOC108005489|XP_016924284.1|DSUZ
OG0000026	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA	LOC108014363|XP_016935943.1|DSUZ
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC118879783|XP_036678676.1|DSUZ
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC108021423|XP_016945624.1|DSUZ
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA	LOC118877530|XP_036672475.1|DSUZ, LOC108006594|XP_016925608.2|DSUZ, LOC118876756|XP_036670662.1|DSUZ
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ
OG0000028	LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA	LOC118877232|XP_036670660.1|DSUZ, LOC118877535|XP_036672480.1|DSUZ
OG0000028	LOC6506803|XP_001957208.1|DANA	LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC116655417|XP_032309201.1|DANA	LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ
OG0000029	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC108019543|XP_016942870.2|DSUZ
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC108013240|XP_036677776.1|DSUZ
OG0000030	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA	LOC108019494|XP_016942847.1|DSUZ
OG0000030	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA	LOC108012924|XP_016933943.1|DSUZ
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC108008957|XP_016928357.1|DSUZ
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC108016627|XP_016938811.1|DSUZ
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ
OG0000031	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ
OG0000031	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC108017973|XP_016940764.1|DSUZ
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC108018357|XP_036672791.1|DSUZ
OG0000032	LOC6500725|XP_032312300.1|DANA	LOC108018355|XP_036672792.1|DSUZ
OG0000032	LOC6500722|XP_032312297.1|DANA	LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ
OG0000032	LOC6499843|XP_032305552.1|DANA	LOC108007821|XP_016927075.2|DSUZ
OG0000032	LOC6500728|XP_001953801.1|DANA	LOC108018408|XP_016941455.1|DSUZ
OG0000032	LOC6500726|XP_032305502.1|DANA	LOC118877584|XP_036672749.1|DSUZ
OG0000033	LOC6494619|XP_001959999.1|DANA	LOC108017678|XP_016940276.1|DSUZ
OG0000033	LOC6494622|XP_001959998.3|DANA	LOC108017971|XP_016940757.1|DSUZ
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC108017970|XP_016940756.2|DSUZ
OG0000033	LOC6501373|XP_001955098.3|DANA	LOC108013858|XP_016935336.2|DSUZ, LOC118878058|XP_036675136.1|DSUZ
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC108021477|XP_016945708.1|DSUZ
OG0000034	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA	LOC108021476|XP_016945707.1|DSUZ
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC108021724|XP_016946052.1|DSUZ
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC108011927|XP_016932664.1|DSUZ
OG0000035	LOC116655392|XP_032309148.1|DANA, LOC116655456|XP_032309239.1|DANA, LOC116655738|XP_032309482.1|DANA, LOC116655677|XP_032309434.1|DANA, LOC116656512|XP_032312047.1|DANA, LOC116656511|XP_032312046.1|DANA, LOC116654548|XP_032305690.1|DANA	LOC118878806|XP_036677717.1|DSUZ
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC108019328|XP_036675087.1|DSUZ
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC108006404|XP_016925415.2|DSUZ
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC108011658|XP_016932343.2|DSUZ
OG0000036	LOC6499049|XP_001955412.1|DANA	LOC108007854|XP_036674140.1|DSUZ
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC108018132|XP_016941074.1|DSUZ
OG0000037	LOC6498848|XP_001955809.2|DANA	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC108020759|XP_016944626.2|DSUZ
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC108010653|XP_036670653.1|DSUZ
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC108016023|XP_016938107.2|DSUZ
