Orthogroup	DANA.longest_only	BCOP.longest_only
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC6500401|XP_001953140.1|DANA, LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA, LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC119077564|XP_037040669.1|BCOP
OG0000012	LOC6495461|XP_014763319.1|DANA, LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA, LOC6495181|XP_001958900.1|DANA, LOC6495184|XP_001958896.1|DANA, LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC6500746|XP_001953834.1|DANA, LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000014	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA, LOC116656444|XP_032311951.1|DANA	LOC119066014|XP_037024126.1|BCOP
OG0000014	LOC116655469|XP_032309335.1|DANA, LOC116655425|XP_032309209.1|DANA, LOC116656371|XP_032311725.1|DANA, LOC116655243|XP_032308680.1|DANA	LOC119083379|XP_037048988.1|BCOP
OG0000016	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC6506162|XP_001958433.1|DANA, LOC6506161|XP_001958434.1|DANA, LOC6493789|XP_001958438.1|DANA, LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC6499398|XP_032312200.1|DANA, LOC6494967|XP_001959313.1|DANA	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA, LOC6500139|XP_032312147.1|DANA, LOC6501153|XP_001954651.1|DANA, LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC6500082|XP_001953260.1|DANA, LOC6500077|XP_001953265.1|DANA, LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA, LOC6500083|XP_001953259.2|DANA, LOC6500087|XP_001953255.2|DANA, LOC6500085|XP_032312233.1|DANA, LOC6500088|XP_014766376.1|DANA	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA, LOC6495252|XP_001958753.1|DANA, LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA, LOC6496529|XP_001961079.1|DANA	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC116655431|XP_032309220.1|DANA, LOC6504865|XP_001964821.1|DANA, LOC6496740|XP_001967888.2|DANA, LOC26513707|XP_032309216.1|DANA, LOC116655705|XP_032309460.1|DANA	LOC119075511|XP_037037876.1|BCOP
OG0000025	LOC116655982|XP_032310866.1|DANA	LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC6506315|XP_001958127.1|DANA, LOC116655856|XP_032310373.1|DANA, LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA, LOC6506316|XP_001958125.1|DANA, LOC116655895|XP_032310688.1|DANA, LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA, LOC6506803|XP_001957208.1|DANA	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC6504294|XP_001965069.1|DANA, LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA, LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA, LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA, LOC6494711|XP_001959810.1|DANA, LOC6504640|XP_001966489.1|DANA, LOC6503160|XP_001963545.1|DANA	LOC119070696|XP_037031044.1|BCOP
OG0000031	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA, LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000032	LOC6499841|XP_001953793.1|DANA, LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA, LOC6499843|XP_032305552.1|DANA, LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA, LOC6495993|XP_001960000.1|DANA, LOC6501373|XP_001955098.3|DANA, LOC6502622|XP_032305620.1|DANA, LOC116656581|XP_032312240.1|DANA	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC119070319|XP_037030483.1|BCOP
OG0000037	LOC6493979|XP_001961214.2|DANA, LOC6498848|XP_001955809.2|DANA	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC6503200|XP_032311880.1|DANA	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC26515385|XP_014759495.2|DANA, LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA, LOC6495009|XP_001959227.2|DANA	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA, LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC6500203|XP_032305729.1|DANA, LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA, LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA, LOC6499418|XP_001954679.1|DANA	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC6500644|XP_001953636.2|DANA, LOC6499920|XP_001953633.1|DANA, LOC6500645|XP_001953637.1|DANA, LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA, LOC6499921|XP_001953632.1|DANA	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC6499129|XP_001955245.1|DANA, LOC6500659|XP_001953666.2|DANA, LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC6505124|XP_001964791.1|DANA, LOC6496824|XP_001963326.1|DANA, LOC6498306|XP_001962504.1|DANA, LOC6498305|XP_001962503.1|DANA, LOC6498307|XP_001962505.3|DANA, LOC6499936|XP_001953600.1|DANA, LOC6496593|XP_001961216.2|DANA, LOC6496594|XP_001961217.1|DANA	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA, LOC6495214|XP_001958837.1|DANA	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC6495436|XP_001958842.1|DANA	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC6499283|XP_001954953.1|DANA, LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA, LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC6499765|XP_001953966.1|DANA, LOC6499766|XP_001953965.2|DANA, LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA, LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000058	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA, LOC6497335|XP_001962298.1|DANA, LOC6503754|XP_001963803.1|DANA	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC6504067|XP_001964111.1|DANA	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC6505935|XP_001964647.1|DANA	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC6499795|XP_032305657.1|DANA, LOC6499794|XP_001953901.1|DANA, LOC6506620|XP_001957527.1|DANA	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC6495325|XP_001958630.1|DANA, LOC6493325|XP_001957528.1|DANA	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC6506201|XP_001958352.1|DANA	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC6506532|XP_001957704.2|DANA, LOC6500414|XP_001953168.2|DANA, LOC6507230|XP_001956426.2|DANA, LOC6495108|XP_001959037.2|DANA, LOC6504517|XP_032308101.1|DANA	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC6503961|XP_001965215.1|DANA, LOC6503769|XP_001963776.1|DANA, LOC6498205|XP_001962291.1|DANA, LOC6498204|XP_001962290.1|DANA	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC6507148|XP_001956586.1|DANA	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC6506125|XP_001958498.2|DANA, LOC6493818|XP_001958499.2|DANA, LOC6493817|XP_001958497.2|DANA	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC6495130|XP_032306843.1|DANA	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC6504831|XP_032309092.1|DANA	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC6501709|XP_014767186.1|DANA	LOC119069220|XP_037029092.1|BCOP
OG0000074	LOC6506390|XP_001957961.1|DANA, LOC6493409|XP_001957690.2|DANA	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC6506377|XP_001957995.1|DANA, LOC6493560|XP_001957997.1|DANA, LOC6493559|XP_001957996.1|DANA, LOC6506378|XP_001957994.1|DANA	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC6507708|XP_032310567.1|DANA	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC6498742|XP_001967290.3|DANA	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC6498743|XP_001967289.1|DANA	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC6495454|XP_001958879.1|DANA	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC6500548|XP_001953433.1|DANA	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC6494255|XP_001960658.2|DANA	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC6498930|XP_001955657.2|DANA	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC6496013|XP_001960040.1|DANA, LOC6506366|XP_001958015.1|DANA, LOC6500459|XP_001953252.2|DANA, LOC6504531|XP_014759488.1|DANA	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC26513925|XP_014762276.1|DANA, LOC6498060|XP_001962001.1|DANA, LOC116654890|XP_032307325.1|DANA, LOC26515455|XP_014762435.1|DANA, LOC6497477|XP_001961997.1|DANA, LOC26514625|XP_014762351.1|DANA, LOC6497476|XP_001961998.1|DANA	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC6492911|XP_032306632.1|DANA, LOC6492910|XP_001955590.1|DANA, LOC6501610|XP_001955588.1|DANA, LOC116656055|XP_032311275.1|DANA, LOC26515084|XP_014764086.1|DANA, LOC116656191|XP_032311532.1|DANA, LOC116656193|XP_032311533.1|DANA, LOC6505843|XP_032311161.1|DANA, LOC6492912|XP_001960641.1|DANA	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC6507078|XP_001956706.2|DANA	LOC119072492|XP_037033632.1|BCOP
OG0000082	LOC6496417|XP_001960874.1|DANA, LOC6501080|XP_032305850.1|DANA, LOC6501083|XP_001954522.1|DANA, LOC6499028|XP_001955484.1|DANA, LOC6499027|XP_032311475.1|DANA	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP
