Orthogroup	DANA.longest_only	DFIC.longest_only
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA	LOC108091368|XP_017046009.1|DFIC
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC108094815|XP_017051075.1|DFIC
OG0000002	LOC6502757|XP_014760373.1|DANA	LOC108095490|XP_017052085.1|DFIC
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108092580|XP_017047713.1|DFIC
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC108090319|XP_017044419.1|DFIC
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC108098156|XP_017056380.1|DFIC
OG0000005	LOC6503374|XP_001967857.2|DANA, LOC116655708|XP_032309465.1|DANA, LOC6496741|XP_032309466.1|DANA, LOC6503247|XP_001967891.1|DANA, LOC6505250|XP_001964819.2|DANA, LOC6498694|XP_001967676.1|DANA, LOC116654465|XP_001964814.3|DANA, LOC6505185|XP_032310967.1|DANA, LOC6501721|XP_001967821.1|DANA, LOC6505175|XP_001964801.1|DANA, LOC6506069|XP_001967796.1|DANA, LOC116655707|XP_032309463.1|DANA, LOC116655987|XP_032310872.1|DANA, LOC6505228|XP_032310874.1|DANA, LOC6505206|XP_001964809.1|DANA, LOC6502041|XP_032310871.1|DANA, LOC116655988|XP_032310873.1|DANA, LOC116655989|XP_032310875.1|DANA, LOC116655712|XP_032309470.1|DANA, LOC116655430|XP_032309219.1|DANA	LOC108094052|XP_017049981.1|DFIC
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC108102298|XP_017038659.1|DFIC
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC108093241|XP_017048705.1|DFIC
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC6492986|XP_032310804.1|DANA	LOC108088955|XP_017042464.1|DFIC
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC6500144|XP_001953137.1|DANA	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC
OG0000009	LOC6500400|XP_001953139.2|DANA	LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA	LOC108086655|XP_017039128.1|DFIC
OG0000009	LOC6494924|XP_001959414.1|DANA	LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC108098255|XP_017056544.1|DFIC
OG0000011	LOC6503983|XP_014760411.1|DANA	LOC108101289|XP_017061078.1|DFIC
OG0000011	LOC6502747|XP_014760371.2|DANA	LOC108100104|XP_017059339.1|DFIC
OG0000011	LOC6506691|XP_001957410.1|DANA	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC6495188|XP_001958892.1|DANA	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC6495185|XP_001958895.2|DANA	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC6495691|XP_001959390.1|DANA	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC6495692|XP_001959391.1|DANA	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA	LOC108086755|XP_017039283.1|DFIC
OG0000012	LOC26514216|XP_014763990.1|DANA	LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC6495695|XP_001959394.1|DANA	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC6495696|XP_032306537.1|DANA	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA	LOC108098169|XP_017056391.1|DFIC, LOC108098170|XP_017056392.1|DFIC
OG0000015	LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA	LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC
OG0000015	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA	LOC108094095|XP_017050008.1|DFIC, LOC108094122|XP_017050032.1|DFIC, LOC108099798|XP_017058915.1|DFIC, LOC108099788|XP_017058906.1|DFIC, LOC108099784|XP_017058902.1|DFIC, LOC108099708|XP_017058819.1|DFIC, LOC108099813|XP_017058931.1|DFIC, LOC108099796|XP_017058913.1|DFIC, LOC108099792|XP_017058910.1|DFIC, LOC108099709|XP_017058820.1|DFIC, LOC108099710|XP_017058821.1|DFIC, LOC108099711|XP_017058822.1|DFIC, LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC, LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC
OG0000015	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA	LOC108086461|XP_017038876.1|DFIC
OG0000015	LOC26514507|XP_014762338.1|DANA	LOC108094483|XP_017050559.1|DFIC
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC6503036|XP_001963366.1|DANA	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC6494096|XP_001960985.1|DANA	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC6494707|XP_001959817.2|DANA	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC6498649|XP_001963243.2|DANA	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC6493789|XP_001958438.1|DANA	LOC108093138|XP_017048572.1|DFIC
OG0000018	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC6505609|XP_001964601.1|DANA	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC6505610|XP_001964600.1|DANA	LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC
OG0000019	LOC6505613|XP_032305481.1|DANA	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC6505612|XP_001964599.1|DANA	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC6505608|XP_001964602.1|DANA	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC6497508|XP_032307386.1|DANA	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC6506852|XP_001965261.1|DANA	LOC108089992|XP_017043983.1|DFIC
OG0000020	LOC6497510|XP_032307412.1|DANA	LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC6496057|XP_001960127.1|DANA	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC6492952|XP_001956727.1|DANA	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC
OG0000022	LOC6507069|XP_001956716.1|DANA	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC6492946|XP_001956717.1|DANA	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC6500082|XP_001953260.1|DANA	LOC108096120|XP_017052985.1|DFIC
OG0000023	LOC6500461|XP_001953266.1|DANA	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC6500076|XP_001953267.1|DANA	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC116654715|XP_032306639.1|DANA	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC
OG0000024	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC6495254|XP_001958751.1|DANA	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC6502964|XP_001963504.1|DANA	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA	LOC108091826|XP_017046693.1|DFIC
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA	LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC6506803|XP_001957208.1|DANA	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC116655417|XP_032309201.1|DANA	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC6502513|XP_001960684.2|DANA	LOC108096726|XP_017054059.1|DFIC
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA	LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC6500725|XP_032312300.1|DANA	LOC108088062|XP_017041192.1|DFIC
OG0000032	LOC6500722|XP_032312297.1|DANA	LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC
OG0000032	LOC6499843|XP_032305552.1|DANA	LOC108087890|XP_017040957.1|DFIC
OG0000032	LOC6500728|XP_001953801.1|DANA	LOC108087896|XP_017040963.1|DFIC
OG0000032	LOC6500726|XP_032305502.1|DANA	LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC6494619|XP_001959999.1|DANA	LOC108094281|XP_017050264.1|DFIC
OG0000033	LOC6494622|XP_001959998.3|DANA	LOC108094283|XP_017050266.1|DFIC
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC108094282|XP_017050265.1|DFIC
OG0000033	LOC6501373|XP_001955098.3|DANA	LOC108098495|XP_017056904.1|DFIC
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC108093450|XP_017049013.1|DFIC
OG0000035	LOC116656532|XP_032312057.1|DANA	LOC108090078|XP_017044070.1|DFIC
OG0000035	LOC116655392|XP_032309148.1|DANA, LOC116655456|XP_032309239.1|DANA, LOC116655738|XP_032309482.1|DANA, LOC116655677|XP_032309434.1|DANA, LOC116656512|XP_032312047.1|DANA, LOC116656511|XP_032312046.1|DANA, LOC116654548|XP_032305690.1|DANA	LOC108094809|XP_017051072.1|DFIC
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC6499049|XP_001955412.1|DANA	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC6498848|XP_001955809.2|DANA	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC6502398|XP_001967387.3|DANA	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC6504273|XP_001967388.1|DANA	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC6503200|XP_032311880.1|DANA	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC6500947|XP_014766809.1|DANA	LOC108092229|XP_017047255.1|DFIC
OG0000040	LOC6501033|XP_001954424.1|DANA	LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC6499533|XP_001954425.2|DANA	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC6500946|XP_001954224.1|DANA	LOC108092211|XP_017047228.1|DFIC
OG0000040	LOC6500944|XP_001954222.1|DANA	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC6500236|XP_001952967.2|DANA	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC6505623|XP_001964581.1|DANA	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC6500348|XP_001953017.1|DANA	LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC
OG0000041	LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA	LOC108095939|XP_017052765.1|DFIC
OG0000041	LOC6500352|XP_001953027.2|DANA	LOC108095866|XP_017052659.1|DFIC
OG0000041	LOC26513865|XP_032307158.1|DANA	LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000042	LOC26515385|XP_014759495.2|DANA	LOC108097744|XP_017055741.1|DFIC
OG0000042	LOC6495008|XP_001959230.2|DANA	LOC108090330|XP_017044433.1|DFIC
OG0000042	LOC6495010|XP_001959228.2|DANA	LOC108090327|XP_017044430.1|DFIC
