Orthogroup	DANA.longest_only	BTRY.longest_only
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC116655195|XP_032308626.1|DANA, LOC116655801|XP_032310036.1|DANA	LOC120767802|XP_039950005.1|BTRY, LOC120780812|XP_039968993.1|BTRY
OG0000014	LOC6505601|XP_032305480.1|DANA, LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA, LOC116656444|XP_032311951.1|DANA	LOC120779372|XP_039967501.1|BTRY
OG0000015	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA, LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA, LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA, LOC6498688|XP_014762246.1|DANA, LOC26513911|XP_032309196.1|DANA, LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA, LOC26514507|XP_014762338.1|DANA	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC6503036|XP_001963366.1|DANA	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC6494096|XP_001960985.1|DANA, LOC6493898|XP_001961368.1|DANA	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC120777549|XP_039964872.1|BTRY
OG0000018	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC6499833|XP_001953817.3|DANA, LOC6503731|XP_032308490.1|DANA	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000023	LOC6500077|XP_001953265.1|DANA	LOC120770307|XP_039953615.1|BTRY
OG0000023	LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA	LOC120774110|XP_039959404.1|BTRY
OG0000025	LOC26513707|XP_032309216.1|DANA	LOC120767501|XP_039949528.1|BTRY
OG0000025	LOC6498690|XP_001967678.1|DANA, LOC6504929|XP_032310964.1|DANA, LOC26515026|XP_014758997.2|DANA, LOC116655979|XP_032310863.1|DANA, LOC116655980|XP_032310864.1|DANA, LOC26513675|XP_032309215.1|DANA, LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA	LOC120767497|XP_039949523.1|BTRY
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC120777924|XP_039965441.1|BTRY
OG0000028	LOC6506803|XP_001957208.1|DANA	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC6504294|XP_001965069.1|DANA, LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA, LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000035	LOC116656532|XP_032312057.1|DANA	LOC120780256|XP_039968450.1|BTRY
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC6502398|XP_001967387.3|DANA	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA, LOC6499533|XP_001954425.2|DANA, LOC6500946|XP_001954224.1|DANA, LOC6500944|XP_001954222.1|DANA, LOC6500236|XP_001952967.2|DANA, LOC6505623|XP_001964581.1|DANA	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC6500203|XP_032305729.1|DANA	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA, LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	LOC6499418|XP_001954679.1|DANA	LOC120782367|XP_039970539.1|BTRY
OG0000045	LOC6493486|XP_001957849.1|DANA	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC6507632|XP_001956043.1|DANA	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC6507423|XP_032310209.1|DANA	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	LOC6493169|XP_001957191.1|DANA	LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC6500644|XP_001953636.2|DANA	LOC120782870|XP_039971347.1|BTRY
OG0000049	LOC6499920|XP_001953633.1|DANA	LOC120782209|XP_039970301.1|BTRY
OG0000049	LOC6500645|XP_001953637.1|DANA	LOC120781673|XP_039969832.1|BTRY
OG0000049	LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	LOC6499921|XP_001953632.1|DANA	LOC120772847|XP_039957638.1|BTRY
OG0000050	LOC6494319|XP_001960538.2|DANA	LOC120776369|XP_039962882.1|BTRY
