Orthogroup	DANA.longest_only	DALB.longest_only
OG0000002	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA, LOC116656048|XP_032311202.1|DANA	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC6505175|XP_001964801.1|DANA	LOC117566149|XP_034101527.1|DALB
OG0000005	LOC6506069|XP_001967796.1|DANA	LOC117564295|XP_034098885.1|DALB
OG0000005	LOC116655712|XP_032309470.1|DANA	LOC117564289|XP_034098879.1|DALB
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC117564301|XP_034098889.1|DALB
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC26515478|XP_014762438.1|DANA	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA, LOC26514507|XP_014762338.1|DANA	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC6498652|XP_001963246.1|DANA, LOC6498651|XP_001963245.1|DANA, LOC6498650|XP_001963244.2|DANA, LOC26515517|XP_032311043.1|DANA, LOC6498649|XP_001963243.2|DANA	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC26515395|XP_032312045.1|DANA	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC6502914|XP_001967640.3|DANA	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC6502328|XP_014759082.1|DANA	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC6500082|XP_001953260.1|DANA	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC6495254|XP_001958751.1|DANA	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC6498525|XP_001962995.1|DANA	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC6496740|XP_001967888.2|DANA, LOC26513707|XP_032309216.1|DANA	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC6498725|XP_001967729.1|DANA	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC6499843|XP_032305552.1|DANA	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC6498848|XP_001955809.2|DANA	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC6502398|XP_001967387.3|DANA	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC6504273|XP_001967388.1|DANA	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC6504271|XP_032308876.1|DANA	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC6503200|XP_032311880.1|DANA	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC6499533|XP_001954425.2|DANA	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC6500944|XP_001954222.1|DANA	LOC117573618|XP_034112808.1|DALB
OG0000040	LOC6500236|XP_001952967.2|DANA	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC6495009|XP_001959227.2|DANA	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC6499525|XP_001954440.1|DANA	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC6499523|XP_032311279.1|DANA	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC6500203|XP_032305729.1|DANA	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC6500202|XP_001953032.2|DANA	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC6499418|XP_001954679.1|DANA	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC6493486|XP_001957849.1|DANA	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC6507632|XP_001956043.1|DANA	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC6507423|XP_032310209.1|DANA	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC6503183|XP_001963600.1|DANA, LOC6502915|XP_001963599.1|DANA	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC6503185|XP_032311857.1|DANA, LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA, LOC6501523|XP_001955420.3|DANA, LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC6496443|XP_001960921.1|DANA	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC6496440|XP_001960917.1|DANA	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC6496543|XP_001961111.1|DANA	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC6493464|XP_001957813.1|DANA	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC6494029|XP_001961117.1|DANA	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC6506811|XP_001957192.1|DANA	LOC117571564|XP_034109658.1|DALB
OG0000048	LOC6493171|XP_001957195.2|DANA	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC6493169|XP_001957191.1|DANA	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC6500644|XP_001953636.2|DANA	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC6499920|XP_001953633.1|DANA	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC6500645|XP_001953637.1|DANA	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC6502640|XP_001953638.1|DANA	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC6499921|XP_001953632.1|DANA	LOC117574439|XP_034114168.1|DALB
