Orthogroup	DANA.longest_only	DMIR.longest_only
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000011	LOC6503972|XP_001965213.2|DANA, LOC6498068|XP_032307307.1|DANA, LOC6503983|XP_014760411.1|DANA, LOC6502747|XP_014760371.2|DANA	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC6506691|XP_001957410.1|DANA	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR
OG0000012	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC6495691|XP_001959390.1|DANA	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC6495692|XP_001959391.1|DANA	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC6495695|XP_001959394.1|DANA	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC6495696|XP_032306537.1|DANA	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC116655386|XP_032309137.1|DANA	LOC117193489|XP_033254131.1|DMIR, LOC117187336|XP_033245660.1|DMIR
OG0000014	LOC116656440|XP_032311942.1|DANA, LOC116656388|XP_032311771.1|DANA, LOC116656355|XP_032311687.1|DANA, LOC116655388|XP_032309140.1|DANA, LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA, LOC116655080|XP_032308035.1|DANA	LOC117186505|XP_033243277.1|DMIR
OG0000014	LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA	LOC117193488|XP_033254130.1|DMIR
OG0000015	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC6503036|XP_001963366.1|DANA	LOC108153009|XP_017138281.1|DMIR
OG0000017	LOC6494096|XP_001960985.1|DANA	LOC108160150|XP_017149453.1|DMIR
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC6494707|XP_001959817.2|DANA	LOC108157934|XP_017145566.1|DMIR
OG0000017	LOC6498649|XP_001963243.2|DANA	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC6493789|XP_001958438.1|DANA	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000019	LOC6505609|XP_001964601.1|DANA	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC6505613|XP_032305481.1|DANA	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC6505612|XP_001964599.1|DANA	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC6505608|XP_001964602.1|DANA	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC6506852|XP_001965261.1|DANA	LOC108163835|XP_033249247.1|DMIR
OG0000020	LOC6497510|XP_032307412.1|DANA	LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC26515395|XP_032312045.1|DANA	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC6502914|XP_001967640.3|DANA	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC6496057|XP_001960127.1|DANA	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC6502328|XP_014759082.1|DANA	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC6492952|XP_001956727.1|DANA	LOC108152468|XP_017137324.1|DMIR
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR
OG0000022	LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA	LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR
OG0000022	LOC6507069|XP_001956716.1|DANA	LOC108152470|XP_017137327.1|DMIR
OG0000022	LOC6492946|XP_001956717.1|DANA	LOC108152469|XP_017137325.1|DMIR
OG0000023	LOC6500077|XP_001953265.1|DANA	LOC108155686|XP_017142144.1|DMIR
OG0000023	LOC6500461|XP_001953266.1|DANA	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC6500076|XP_001953267.1|DANA	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC6495254|XP_001958751.1|DANA	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC6498525|XP_001962995.1|DANA	LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC26513707|XP_032309216.1|DANA	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC6502964|XP_001963504.1|DANA	LOC108165129|XP_017156683.1|DMIR
OG0000026	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC108162949|XP_017153433.1|DMIR
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC108165421|XP_017156949.1|DMIR
OG0000028	LOC6506803|XP_001957208.1|DANA	LOC108151302|XP_017135327.1|DMIR
OG0000029	LOC116655417|XP_032309201.1|DANA	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR
OG0000029	LOC6502513|XP_001960684.2|DANA	LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR
OG0000029	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA	LOC108161304|XP_017151013.1|DMIR
OG0000030	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA	LOC108163859|XP_017154864.1|DMIR
OG0000031	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC6500725|XP_032312300.1|DANA	LOC108156621|XP_017143666.1|DMIR
OG0000032	LOC6500728|XP_001953801.1|DANA	LOC108157634|XP_017145264.1|DMIR
OG0000032	LOC6500726|XP_032305502.1|DANA	LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC6494619|XP_001959999.1|DANA	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000033	LOC6501373|XP_001955098.3|DANA, LOC6502622|XP_032305620.1|DANA, LOC116656581|XP_032312240.1|DANA	LOC108153999|XP_033244121.1|DMIR
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC116656032|XP_032311076.1|DANA	LOC108155636|XP_017142064.1|DMIR
OG0000036	LOC6499049|XP_001955412.1|DANA	LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC108160263|XP_017149626.1|DMIR
