Orthogroup	DANA.longest_only	DEUG.longest_only
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC108108874|XP_017072580.1|DEUG
OG0000002	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA	LOC108114765|XP_017081366.1|DEUG
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108113287|XP_017079326.1|DEUG
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC108104523|XP_017066143.1|DEUG
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC108103412|XP_017064359.1|DEUG
OG0000006	LOC116655985|XP_032310869.1|DANA, LOC6498689|XP_001967680.1|DANA, LOC6498692|XP_001967675.1|DANA, LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA, LOC6504919|XP_001964813.1|DANA, LOC26515522|XP_032311285.1|DANA	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC6503895|XP_001963800.1|DANA	LOC108103232|XP_017064122.1|DEUG
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC6500144|XP_001953137.1|DANA	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG
OG0000009	LOC6500400|XP_001953139.2|DANA	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC108111728|XP_017076770.1|DEUG
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC6503983|XP_014760411.1|DANA	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG
OG0000011	LOC6502747|XP_014760371.2|DANA	LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG
OG0000011	LOC6506691|XP_001957410.1|DANA	LOC108105968|XP_017068261.1|DEUG
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC6495189|XP_001958891.1|DANA	LOC108112229|XP_017077538.1|DEUG
OG0000012	LOC6495188|XP_001958892.1|DANA	LOC108112131|XP_017077370.1|DEUG
OG0000012	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA	LOC108112132|XP_017077371.1|DEUG
OG0000012	LOC6495185|XP_001958895.2|DANA	LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC6495691|XP_001959390.1|DANA	LOC108106282|XP_017068738.1|DEUG
OG0000012	LOC6495692|XP_001959391.1|DANA	LOC108106301|XP_017068761.1|DEUG
OG0000012	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA	LOC108106279|XP_017068735.1|DEUG
OG0000012	LOC26514216|XP_014763990.1|DANA	LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC6495695|XP_001959394.1|DANA	LOC108106742|XP_017069468.1|DEUG
OG0000012	LOC6495696|XP_032306537.1|DANA	LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC6500746|XP_001953834.1|DANA	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC116655386|XP_032309137.1|DANA	LOC108104162|XP_017065556.1|DEUG
OG0000014	LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA	LOC108112994|XP_017078897.1|DEUG
OG0000014	LOC116655080|XP_032308035.1|DANA	LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG
OG0000014	LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA, LOC116656386|XP_032311769.1|DANA	LOC108105912|XP_017068177.1|DEUG
OG0000015	LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA	LOC108110504|XP_017075072.1|DEUG
OG0000015	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA	LOC108111565|XP_017076580.1|DEUG, LOC108108656|XP_017072249.1|DEUG, LOC108108426|XP_017071967.1|DEUG, LOC108106912|XP_017069652.1|DEUG, LOC108106885|XP_017069622.1|DEUG, LOC108106894|XP_017069633.1|DEUG, LOC108106916|XP_017069656.1|DEUG, LOC108106913|XP_017069653.1|DEUG, LOC108106877|XP_017069613.1|DEUG
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC6503036|XP_001963366.1|DANA	LOC108103426|XP_017064385.1|DEUG
OG0000017	LOC6494096|XP_001960985.1|DANA	LOC108112627|XP_017078221.1|DEUG
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC6494707|XP_001959817.2|DANA	LOC108109231|XP_017073193.1|DEUG
OG0000017	LOC6498649|XP_001963243.2|DANA	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC6493787|XP_001958436.1|DANA	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC6506162|XP_001958433.1|DANA	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC6506161|XP_001958434.1|DANA	LOC108108164|XP_017071591.1|DEUG
OG0000018	LOC6493789|XP_001958438.1|DANA	LOC108107673|XP_017070750.1|DEUG
OG0000018	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA	LOC108107616|XP_017070674.1|DEUG
OG0000019	LOC6505609|XP_001964601.1|DANA	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC6505610|XP_001964600.1|DANA	LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG
OG0000019	LOC6505613|XP_032305481.1|DANA	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC6505612|XP_001964599.1|DANA	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC6505608|XP_001964602.1|DANA	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC6499398|XP_032312200.1|DANA	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC6494967|XP_001959313.1|DANA	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG
OG0000020	LOC6497508|XP_032307386.1|DANA	LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC6500139|XP_032312147.1|DANA	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC6501153|XP_001954651.1|DANA	LOC108116455|XP_017083873.1|DEUG
OG0000020	LOC6497510|XP_032307412.1|DANA	LOC108107046|XP_017069896.1|DEUG
OG0000021	LOC26515395|XP_032312045.1|DANA	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC6494472|XP_001960263.1|DANA	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC6494465|XP_001960278.1|DANA	LOC108112288|XP_017077598.1|DEUG
OG0000021	LOC6496057|XP_001960127.1|DANA	LOC108112285|XP_017077596.1|DEUG
OG0000021	LOC6502328|XP_014759082.1|DANA	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC6503446|XP_001967498.1|DANA	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC6499833|XP_001953817.3|DANA	LOC108111770|XP_017076824.1|DEUG
OG0000021	LOC6503731|XP_032308490.1|DANA	LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC6495509|XP_001959002.1|DANA	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC6492952|XP_001956727.1|DANA	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG
OG0000022	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA	LOC108102802|XP_017063462.1|DEUG
OG0000022	LOC6507069|XP_001956716.1|DANA	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG
OG0000022	LOC6492946|XP_001956717.1|DANA	LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC6500077|XP_001953265.1|DANA	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC6500461|XP_001953266.1|DANA	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC6494760|XP_001959725.1|DANA	LOC108112507|XP_017077883.1|DEUG
OG0000023	LOC6500076|XP_001953267.1|DANA	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC6500083|XP_001953259.2|DANA	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC6500087|XP_001953255.2|DANA	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC6500085|XP_032312233.1|DANA	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC6500088|XP_014766376.1|DANA	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC116654715|XP_032306639.1|DANA	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG
OG0000024	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA	LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC6495252|XP_001958753.1|DANA	LOC108106500|XP_017069084.1|DEUG
OG0000024	LOC6498256|XP_001962412.1|DANA	LOC108115421|XP_017082346.1|DEUG
OG0000024	LOC6495254|XP_001958751.1|DANA	LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC6496529|XP_001961079.1|DANA	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC6498525|XP_001962995.1|DANA	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC6498725|XP_001967729.1|DANA	LOC108114004|XP_017080277.1|DEUG
OG0000025	LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC6505023|XP_001965614.1|DANA	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC6498214|XP_001962316.1|DANA	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC6502964|XP_001963504.1|DANA	LOC108103585|XP_017064599.1|DEUG
OG0000026	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG
OG0000026	LOC6500045|XP_001953325.1|DANA	LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC6497408|XP_001962144.1|DANA	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC6497406|XP_001962147.2|DANA	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC6497407|XP_001962145.1|DANA	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC116655895|XP_032310688.1|DANA	LOC108108455|XP_017071998.1|DEUG
OG0000028	LOC6506803|XP_001957208.1|DANA	LOC108114276|XP_017080662.1|DEUG
OG0000029	LOC116655417|XP_032309201.1|DANA	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG
OG0000029	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG
OG0000029	LOC6506262|XP_014764698.1|DANA	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC6504294|XP_001965069.1|DANA	LOC108104028|XP_017065349.1|DEUG
OG0000030	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA	LOC108104049|XP_017065385.1|DEUG
OG0000030	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA	LOC108104046|XP_017065382.1|DEUG
OG0000030	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC6494711|XP_001959810.1|DANA	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC6504640|XP_001966489.1|DANA	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC6503160|XP_001963545.1|DANA	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG
OG0000031	LOC6495934|XP_001959882.2|DANA	LOC108105922|XP_017068599.1|DEUG
OG0000031	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA	LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG
OG0000031	LOC6496944|XP_001963083.2|DANA	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC6499841|XP_001953793.1|DANA	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC6500725|XP_032312300.1|DANA	LOC108111712|XP_017076751.1|DEUG
OG0000032	LOC6500722|XP_032312297.1|DANA	LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG
OG0000032	LOC6499843|XP_032305552.1|DANA	LOC108111711|XP_017076750.1|DEUG
OG0000032	LOC6500728|XP_001953801.1|DANA	LOC108111718|XP_017076758.1|DEUG
OG0000032	LOC6500726|XP_032305502.1|DANA	LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC6494619|XP_001959999.1|DANA	LOC108112609|XP_017078188.1|DEUG
OG0000033	LOC6494622|XP_001959998.3|DANA	LOC108112610|XP_017078190.1|DEUG
OG0000033	LOC6495993|XP_001960000.1|DANA	LOC108112608|XP_017078187.1|DEUG
OG0000033	LOC6501373|XP_001955098.3|DANA	LOC108115098|XP_017081835.1|DEUG
OG0000033	LOC6502622|XP_032305620.1|DANA, LOC116656581|XP_032312240.1|DANA	LOC108117093|XP_017084781.1|DEUG
OG0000034	LOC6498174|XP_001962232.1|DANA	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA	LOC108118408|XP_017086572.1|DEUG
OG0000034	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC6498552|XP_001963046.3|DANA	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG
OG0000034	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA	LOC108113407|XP_017079451.1|DEUG
OG0000035	LOC116656532|XP_032312057.1|DANA	LOC108103278|XP_017064178.1|DEUG
OG0000036	LOC6500465|XP_001953274.1|DANA	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC6505844|XP_001964473.1|DANA	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC6500980|XP_001954293.1|DANA	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC6499049|XP_001955412.1|DANA	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC6493979|XP_001961214.2|DANA	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC6498848|XP_001955809.2|DANA	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC6506319|XP_001958116.1|DANA	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC6492929|XP_032310430.1|DANA	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC6501134|XP_001954615.2|DANA	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC6502398|XP_001967387.3|DANA	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC6504273|XP_001967388.1|DANA	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC6503200|XP_032311880.1|DANA	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC6501033|XP_001954424.1|DANA	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC6499533|XP_001954425.2|DANA	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC6500946|XP_001954224.1|DANA	LOC108111562|XP_017076575.1|DEUG
OG0000040	LOC6500944|XP_001954222.1|DANA	LOC108111548|XP_017076556.1|DEUG
OG0000040	LOC6505623|XP_001964581.1|DANA	LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC6500348|XP_001953017.1|DANA	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG
OG0000041	LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA	LOC108113782|XP_017079974.1|DEUG
OG0000041	LOC6500352|XP_001953027.2|DANA	LOC108113689|XP_017079854.1|DEUG
OG0000041	LOC26513865|XP_032307158.1|DANA	LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000042	LOC26515385|XP_014759495.2|DANA	LOC108108093|XP_017071481.1|DEUG
OG0000042	LOC6495008|XP_001959230.2|DANA	LOC108112378|XP_017077703.1|DEUG
OG0000042	LOC6495010|XP_001959228.2|DANA	LOC108112385|XP_017077715.1|DEUG
OG0000042	LOC6495011|XP_001959229.1|DANA	LOC108112383|XP_017077713.1|DEUG
OG0000042	LOC6495009|XP_001959227.2|DANA	LOC108112384|XP_017077714.1|DEUG
OG0000043	LOC6499525|XP_001954440.1|DANA	LOC108116482|XP_017083904.1|DEUG
OG0000043	LOC6499523|XP_032311279.1|DANA	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG
OG0000043	LOC6501039|XP_001954437.1|DANA	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG
OG0000043	LOC6502673|XP_001954436.1|DANA	LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC6500203|XP_032305729.1|DANA	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC6500197|XP_001953036.1|DANA	LOC108113679|XP_017079844.1|DEUG
OG0000044	LOC26515569|XP_014767439.1|DANA	LOC108113668|XP_017079833.1|DEUG
