Orthogroup	DEUG.longest_only	Other
OG0001629	LOC108115326|XP_017082227.1|DEUG, LOC108118071|XP_017086106.1|DEUG	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ
OG0001634	LOC108118499|XP_017086724.1|DEUG	LOC110179907|XP_020803163.1|DSER, LOC110179909|XP_020803166.1|DSER
OG0001678	LOC108105335|XP_017067317.1|DEUG	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC108109048|XP_017072849.1|DEUG	LOC120431894|XP_039452957.1|CPIP
OG0001765	LOC108104475|XP_017066044.1|DEUG	LOC116649770|XP_032290313.1|DVIR
OG0001795	LOC108118424|XP_017086594.1|DEUG	LOC6588877|XP_002015330.2|DPER
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC110191339|XP_020817842.1|DSER
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC6499812|XP_001953861.2|DANA
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC108024769|XP_016950371.1|DBIA
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC115620921|XP_030370281.1|SLEB
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC6538812|XP_002099325.1|DYAK
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC6555207|XP_001982075.1|DERE
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC108087271|XP_017040067.1|DFIC
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC119562886|XP_037731930.1|DSUP
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC120453648|XP_039494375.1|DSAN
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC108084578|XP_017036341.1|DKIK
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC108136960|XP_017113934.1|DELE
OG0001849	LOC108116628|XP_017084096.1|DEUG	LOC117574913|XP_034114850.1|DALB, LOC117575504|XP_034115638.1|DALB
OG0001919	LOC108112862|XP_017078677.1|DEUG	LOC110675359|XP_021695748.1|AAEG
OG0001999	LOC108104799|XP_017066559.1|DEUG	LOC108085086|XP_017037044.1|DKIK
OG0001999	LOC108104799|XP_017066559.1|DEUG	LOC115482838|XP_030078932.1|DHYD
OG0002007	LOC108106168|XP_017068573.1|DEUG	LOC108100975|XP_017060617.1|DFIC
OG0002007	LOC108106168|XP_017068573.1|DEUG	LOC108074832|XP_017022522.1|DKIK
OG0002045	LOC108109587|XP_017073653.1|DEUG	LOC115258039|XP_029713915.1|AEAL
OG0002074	LOC108106780|XP_017069510.1|DEUG	LOC117190395|XP_033251362.1|DMIR
OG0002090	LOC108114570|XP_017081110.1|DEUG	LOC118464895|XP_035788540.1|AALB
OG0002118	LOC108117448|XP_017085354.1|DEUG	LOC26530985|XP_015024798.1|DVIR
OG0002150	LOC108110054|XP_017074418.1|DEUG	LOC110680424|XP_021711913.1|AAEG
OG0002321	LOC108106785|XP_017069518.1|DEUG	LOC108160629|XP_033252060.1|DMIR
OG0002337	LOC108104793|XP_017066546.1|DEUG	LOC119769564|XP_038118442.1|CQUI
OG0002503	LOC108106414|XP_017068925.1|DEUG	LOC117191816|XP_033252471.1|DMIR
OG0002558	LOC108116638|XP_017084107.1|DEUG	LOC115483798|XP_030081914.1|DHYD
OG0002648	LOC108115169|XP_017081977.1|DEUG	LOC108006070|XP_036674983.1|DSUZ
OG0002705	LOC108114488|XP_017080996.1|DEUG	LOC115267175|XP_029729879.1|AEAL
OG0002920	LOC108116760|XP_017084681.1|DEUG	LOC108137157|XP_017114219.1|DELE
OG0003017	LOC108115031|XP_017081767.1|DEUG	LOC110680521|XP_021712010.1|AAEG
OG0003087	LOC108107800|XP_017071004.1|DEUG	LOC116655923|XP_032310835.1|DANA
OG0003133	LOC108107188|XP_017070095.1|DEUG	LOC120431803|XP_039452855.1|CPIP
OG0003213	LOC108112795|XP_017078570.1|DEUG	LOC115260214|XP_029717006.1|AEAL
OG0003257	LOC108116772|XP_017084295.1|DEUG	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC108108346|XP_017071876.1|DEUG	LOC119768640|XP_038114842.1|CQUI
OG0003552	LOC108106489|XP_017069059.1|DEUG	LOC117192295|XP_033252842.1|DMIR
OG0003649	LOC108113778|XP_017079968.1|DEUG	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC108113010|XP_017078922.1|DEUG	LOC110680396|XP_021711895.1|AAEG
OG0004626	LOC108105452|XP_017067529.1|DEUG	LOC120428971|XP_039450040.1|CPIP
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC5575234|XP_001655640.2|AAEG
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC109432063|XP_019563909.2|AEAL
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC120427402|XP_039448197.1|CPIP
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC6035404|XP_001845598.2|CQUI
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC118509343|XP_035905748.1|ASTE
OG0004840	LOC108104720|XP_017066438.1|DEUG	LOC118463418|XP_035785865.1|AALB
OG0004909	LOC108114288|XP_017080674.1|DEUG	LOC115253550|XP_029722605.1|AEAL
OG0005598	LOC108111414|XP_017076360.1|DEUG	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC108109606|XP_017073663.1|DEUG	LOC6041934|XP_038121645.1|CQUI
OG0006874	LOC108105316|XP_017067298.1|DEUG	LOC120457536|XP_039501016.1|DSAN
OG0009283	LOC108111071|XP_017075890.1|DEUG	LOC111594404|XP_023163445.2|DHYD
OG0009516	LOC108103518|XP_017064518.1|DEUG	LOC111594209|XP_023163175.1|DHYD
OG0009919	LOC108113857|XP_017080056.1|DEUG	LOC108005546|XP_016924329.1|DSUZ
OG0010294	LOC108103394|XP_017064340.1|DEUG	LOC120457699|XP_039501129.1|DSAN
OG0011026	LOC108111271|XP_017076148.1|DEUG	LOC117185970|XP_033245986.1|DMIR
OG0011445	LOC108103642|XP_017064683.1|DEUG	LOC115768921|XP_030569517.1|DNOV
