Orthogroup	DVIR.longest_only	Other
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC6528766|XP_039227560.1|DYAK
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC117135514|XP_033151642.1|DMAU
OG0001765	LOC116649770|XP_032290313.1|DVIR	CCAP1982_LOCUS22890|CAD7014926.1|CCAP
OG0001919	LOC6625344|XP_002050426.1|DVIR	LOC110675359|XP_021695748.1|AAEG
OG0002001	LOC116650000|XP_032289206.1|DVIR, LOC6628530|XP_032294382.1|DVIR	LOC108101573|XP_017061478.1|DFIC
OG0002007	LOC6628906|XP_002051550.1|DVIR	LOC108074832|XP_017022522.1|DKIK
OG0002007	LOC6628906|XP_002051550.1|DVIR	LOC108100975|XP_017060617.1|DFIC
OG0002045	LOC6633162|XP_002056611.3|DVIR, LOC116652214|XP_032296159.1|DVIR	LOC115258039|XP_029713915.1|AEAL
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC26514480|XP_032309671.1|DANA
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC110187751|XP_020812869.1|DSER
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC108077352|XP_017026134.1|DKIK
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC26535881|XP_039233327.1|DYAK, LOC26535306|XP_039229578.1|DYAK
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC108117448|XP_017085354.1|DEUG
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC108147566|XP_017129640.1|DELE
OG0002118	LOC26530985|XP_015024798.1|DVIR	LOC108101139|XP_017060850.1|DFIC
OG0002118	LOC26530985|XP_015024798.1|DVIR	CCAP1982_LOCUS4161|CAD6995444.1|CCAP
OG0002150	LOC6634442|XP_002058057.1|DVIR	LOC110680424|XP_021711913.1|AAEG
OG0002337	LOC6636462|XP_032291653.1|DVIR, LOC116650814|XP_032291460.1|DVIR	LOC119769564|XP_038118442.1|CQUI
OG0002474	LOC116649860|XP_032288967.1|DVIR	LOC119649201|XP_037907174.1|HILL
OG0002474	LOC116649860|XP_032288967.1|DVIR	CCAP1982_LOCUS14635|CAD7006313.1|CCAP
OG0002474	LOC116649860|XP_032288967.1|DVIR	CCAP1982_LOCUS14635|CAD7006313.1|CCAP
OG0002474	LOC116649860|XP_032288967.1|DVIR	LOC115253675|XP_029712630.1|AEAL
OG0002503	LOC26531142|XP_015027866.1|DVIR	LOC117191816|XP_033252471.1|DMIR
OG0002674	LOC6625587|XP_032292247.1|DVIR	LOC117189489|XP_033250517.1|DMIR
OG0002705	LOC6623654|XP_032290414.1|DVIR	LOC115267175|XP_029729879.1|AEAL
OG0002920	LOC6627732|XP_002051749.1|DVIR	LOC108137157|XP_017114219.1|DELE
OG0003017	LOC6632394|XP_002056630.1|DVIR	LOC110680521|XP_021712010.1|AAEG
OG0003133	LOC6626138|XP_032292492.1|DVIR	LOC120431803|XP_039452855.1|CPIP
OG0003257	LOC6635443|XP_015024601.2|DVIR	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC6623579|XP_002046789.1|DVIR	LOC119768640|XP_038114842.1|CQUI
OG0003649	LOC6635229|XP_002058753.1|DVIR	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC26530690|XP_015028841.1|DVIR	LOC110680396|XP_021711895.1|AAEG
OG0004414	LOC6625547|XP_002049982.1|DVIR	LOC117191097|XP_033251951.1|DMIR
OG0004626	LOC6631543|XP_032295830.1|DVIR	LOC120428971|XP_039450040.1|CPIP
OG0004909	LOC6623779|XP_015031075.1|DVIR	LOC115253550|XP_029722605.1|AEAL
OG0005598	LOC6632230|XP_002055878.1|DVIR	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC6633094|XP_032289678.1|DVIR	LOC6041934|XP_038121645.1|CQUI
OG0007785	LOC116649957|XP_032289131.1|DVIR	LOC118503936|XP_035893699.1|ASTE
OG0007785	LOC116649957|XP_032289131.1|DVIR	LOC118460838|XP_035781413.1|AALB
OG0007785	LOC116649957|XP_032289131.1|DVIR	LOC109405502|XP_019534148.1|AEAL
OG0007785	LOC116649957|XP_032289131.1|DVIR	LOC5568535|XP_021707736.1|AAEG, LOC5568536|XP_021707722.1|AAEG
OG0009230	LOC6629074|XP_032293994.1|DVIR	LOC120423238|XP_039442883.1|CPIP
OG0009283	LOC6636632|XP_015023807.1|DVIR	LOC111594404|XP_023163445.2|DHYD
