Orthogroup	DSAN.longest_only	Other
OG0001481	LOC120446505|XP_039483446.1|DSAN	LOC110680971|XP_021712436.1|AAEG
OG0001521	LOC120444637|XP_039480379.1|DSAN	LOC115482924|XP_030079089.1|DHYD
OG0001568	LOC120451084|XP_039490385.1|DSAN	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC120448051|XP_039485734.1|DSAN	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC120448051|XP_039485734.1|DSAN	LOC117572790|XP_034111784.1|DALB
OG0001598	LOC120444130|XP_039479627.1|DSAN	LOC115257068|XP_029712222.1|AEAL, LOC115259388|XP_029715798.1|AEAL
OG0001634	LOC120452843|XP_039493207.1|DSAN	LOC110179907|XP_020803163.1|DSER, LOC110179909|XP_020803166.1|DSER
OG0001678	LOC120455176|XP_039497041.1|DSAN	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC120447076|XP_039484401.1|DSAN	LOC120431894|XP_039452957.1|CPIP
OG0001765	LOC120443882|XP_039479225.1|DSAN	LOC116649770|XP_032290313.1|DVIR
OG0001795	LOC120446404|XP_039483278.1|DSAN	LOC6588877|XP_002015330.2|DPER
OG0001808	LOC120452596|XP_039492828.1|DSAN	LOC108010615|XP_036673627.1|DSUZ
OG0001849	LOC120453648|XP_039494375.1|DSAN	LOC108116628|XP_017084096.1|DEUG
OG0001919	LOC120444489|XP_039480129.1|DSAN	LOC110675359|XP_021695748.1|AAEG
OG0001999	LOC120458323|XP_039501873.1|DSAN	LOC108085086|XP_017037044.1|DKIK
OG0001999	LOC120458323|XP_039501873.1|DSAN	LOC115482838|XP_030078932.1|DHYD
OG0002007	LOC120446368|XP_039483236.1|DSAN	LOC108100975|XP_017060617.1|DFIC
OG0002007	LOC120446368|XP_039483236.1|DSAN	LOC108074832|XP_017022522.1|DKIK
OG0002045	LOC120453302|XP_039493869.1|DSAN	LOC115258039|XP_029713915.1|AEAL
OG0002074	LOC120449704|XP_039488296.1|DSAN	LOC117190395|XP_033251362.1|DMIR
OG0002090	LOC120448498|XP_039486464.1|DSAN	LOC118464895|XP_035788540.1|AALB
OG0002150	LOC120456516|XP_039499317.1|DSAN	LOC110680424|XP_021711913.1|AAEG
OG0002337	LOC120448179|XP_039485964.1|DSAN	LOC119769564|XP_038118442.1|CQUI
OG0002558	LOC120453081|XP_039493542.1|DSAN	LOC115483798|XP_030081914.1|DHYD
OG0002648	LOC120453880|XP_039494726.1|DSAN	LOC108006070|XP_036674983.1|DSUZ
OG0002705	LOC120447737|XP_039485214.1|DSAN	LOC115267175|XP_029729879.1|AEAL
OG0002928	LOC120445485|XP_039481866.1|DSAN	LOC117149960|XP_033172749.1|DMAU
OG0003017	LOC120453183|XP_039493680.1|DSAN	LOC110680521|XP_021712010.1|AAEG
OG0003133	LOC120446704|XP_039483737.1|DSAN	LOC120431803|XP_039452855.1|CPIP
OG0003213	LOC120446972|XP_039484177.1|DSAN	LOC115260214|XP_029717006.1|AEAL
OG0003257	LOC120456239|XP_039498856.1|DSAN	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC120448919|XP_039487076.1|DSAN	LOC119768640|XP_038114842.1|CQUI
OG0003649	LOC120453680|XP_039494429.1|DSAN	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC120457834|XP_039501267.1|DSAN	LOC110680396|XP_021711895.1|AAEG
OG0004626	LOC120457259|XP_039500597.1|DSAN	LOC120428971|XP_039450040.1|CPIP
OG0004909	LOC120448402|XP_039486326.1|DSAN	LOC115253550|XP_029722605.1|AEAL
OG0005598	LOC120451817|XP_039491719.1|DSAN	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC120453685|XP_039494437.1|DSAN	LOC6041934|XP_038121645.1|CQUI
OG0006874	LOC120457536|XP_039501016.1|DSAN	LOC108035858|XP_016967092.1|DBIA
OG0006874	LOC120457536|XP_039501016.1|DSAN	LOC119562720|XP_037731854.1|DSUP
OG0006874	LOC120457536|XP_039501016.1|DSAN	LOC108016295|XP_036668832.1|DSUZ
OG0006874	LOC120457536|XP_039501016.1|DSAN	LOC108105316|XP_017067298.1|DEUG
OG0006874	LOC120457536|XP_039501016.1|DSAN	LOC108135014|XP_017111036.1|DELE
OG0008458	LOC120445355|XP_039481634.1|DSAN	LOC4805627|XP_001361999.3|DPSE
OG0008458	LOC120445355|XP_039481634.1|DSAN	LOC108158937|XP_017147236.2|DMIR, LOC117192895|XP_033253529.1|DMIR
OG0008458	LOC120445355|XP_039481634.1|DSAN	LOC6601328|XP_026841399.1|DPER
OG0008458	LOC120445355|XP_039481634.1|DSAN	CCAP1982_LOCUS19472|CAD7011371.1|CCAP
OG0009283	LOC120458872|XP_039502639.1|DSAN	LOC111594404|XP_023163445.2|DHYD
OG0009516	LOC120445212|XP_039481397.1|DSAN	LOC111594209|XP_023163175.1|DHYD
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC6497150|XP_001962661.2|DANA
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC110182722|XP_020806481.1|DSER
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC108070519|XP_017016508.1|DKIK
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC108093401|XP_017048919.1|DFIC
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC108033738|XP_016963784.1|DBIA
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC108138854|XP_017116864.1|DELE
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC108103394|XP_017064340.1|DEUG
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC6548904|XP_001974043.1|DERE
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC6618270|XP_002042543.1|DSEC
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC6733068|XP_016025771.1|DSIM
OG0010294	LOC120457699|XP_039501129.1|DSAN	LOC117137017|XP_033154109.1|DMAU
OG0010294	LOC120457699|XP_039501129.1|DSAN	Gr39a|NP_724330.1|DMEL
OG0011026	LOC120454323|XP_039495460.1|DSAN	LOC117185970|XP_033245986.1|DMIR
OG0011059	LOC120443985|XP_039479392.1|DSAN	LOC117185702|XP_033246933.1|DMIR
OG0011445	LOC120455659|XP_039497985.1|DSAN	LOC115768921|XP_030569517.1|DNOV
