Orthogroup	DALB.longest_only	Other
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC110189850|XP_020815719.1|DSER
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108078828|XP_017028405.1|DKIK
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108600374|XP_017843401.1|DBUS
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC6636548|XP_032291461.1|DVIR
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC117572790|XP_034111784.1|DALB	CCAP1982_LOCUS11587|CAD7003125.1|CCAP
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC120777157|XP_039964235.1|BTRY
OG0001598	LOC117563354|XP_034097531.1|DALB	LOC115257068|XP_029712222.1|AEAL, LOC115259388|XP_029715798.1|AEAL
OG0001647	LOC117564522|XP_034099233.1|DALB	LOC110680255|XP_021711762.1|AAEG
OG0001678	LOC117578104|XP_034119172.1|DALB	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC117566870|XP_034102359.1|DALB	LOC120431894|XP_039452957.1|CPIP
OG0001849	LOC117574913|XP_034114850.1|DALB, LOC117575504|XP_034115638.1|DALB	LOC108116628|XP_017084096.1|DEUG
OG0001919	LOC117566910|XP_034102421.1|DALB	LOC110675359|XP_021695748.1|AAEG
OG0002007	LOC117563455|XP_034097694.1|DALB	LOC108074832|XP_017022522.1|DKIK
OG0002007	LOC117563455|XP_034097694.1|DALB	LOC108100975|XP_017060617.1|DFIC
OG0002045	LOC117575040|XP_034115012.1|DALB	LOC115258039|XP_029713915.1|AEAL
OG0002090	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB	LOC118464895|XP_035788540.1|AALB
OG0002150	LOC117573954|XP_034113379.1|DALB	LOC110680424|XP_021711913.1|AAEG
OG0002337	LOC117571394|XP_034109404.1|DALB	LOC119769564|XP_038118442.1|CQUI
OG0002373	LOC117567883|XP_034104047.1|DALB	LOC109423381|XP_019553916.1|AEAL, LOC109411733|XP_019540867.1|AEAL
OG0002373	LOC117567883|XP_034104047.1|DALB	LOC110677914|XP_021705594.1|AAEG, LOC5564878|XP_001649236.1|AAEG
OG0002373	LOC117567883|XP_034104047.1|DALB	LOC120419153|XP_039437731.1|CPIP
OG0002373	LOC117567883|XP_034104047.1|DALB	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI
OG0002373	LOC117567883|XP_034104047.1|DALB	LOC119076965|XP_037039952.1|BCOP
OG0002705	LOC117569580|XP_034106693.1|DALB	LOC115267175|XP_029729879.1|AEAL
OG0003017	LOC117575582|XP_034115739.1|DALB	LOC110680521|XP_021712010.1|AAEG
OG0003133	LOC117572044|XP_034110502.1|DALB	LOC120431803|XP_039452855.1|CPIP
OG0003213	LOC117570170|XP_034107537.1|DALB	LOC115260214|XP_029717006.1|AEAL
OG0003257	LOC117578177|XP_034119358.1|DALB	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC117569206|XP_034106168.1|DALB	LOC119768640|XP_038114842.1|CQUI
OG0003649	LOC117573074|XP_034111844.1|DALB	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC117563950|XP_034098413.1|DALB	LOC110680396|XP_021711895.1|AAEG
OG0004414	LOC117572047|XP_034110513.1|DALB	LOC117191097|XP_033251951.1|DMIR
OG0004626	LOC117564871|XP_034099713.1|DALB	LOC120428971|XP_039450040.1|CPIP
OG0004909	LOC117572303|XP_034110908.1|DALB	LOC115253550|XP_029722605.1|AEAL
OG0005598	LOC117574063|XP_034113577.1|DALB	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC117576440|XP_034117088.1|DALB	LOC6041934|XP_038121645.1|CQUI
OG0009230	LOC117564842|XP_034099665.1|DALB	LOC120423238|XP_039442883.1|CPIP
