Orthogroup	AALB.longest_only	Other
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6545372|XP_001972621.1|DERE
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108114570|XP_017081110.1|DEUG
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108146747|XP_017128365.1|DELE
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108011264|XP_036670757.1|DSUZ
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108028596|XP_016956000.1|DBIA
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC119554062|XP_037720732.1|DSUP
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108095443|XP_017052041.1|DFIC
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108075308|XP_017023201.1|DKIK
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC110190964|XP_020817313.1|DSER
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6506664|XP_001957452.1|DANA
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC117893368|XP_034655852.1|DSUB
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC117579718|XP_034121603.1|DGUA
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC4813071|XP_015042931.1|DPSE
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6595903|XP_002021442.1|DPER
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108151981|XP_017136434.1|DMIR
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC108601142|XP_017844558.1|DBUS
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC111594926|XP_023164188.2|DHYD
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB
OG0002144	LOC118462711|XP_035784545.1|AALB	LOC108101977|XP_017062061.1|DFIC
OG0002251	LOC118464478|XP_035787784.1|AALB	CCAP1982_LOCUS22091|CAD7014085.1|CCAP
OG0002311	LOC118468467|XP_035795154.1|AALB	CCAP1982_LOCUS9048|CAD7000573.1|CCAP, CCAP1982_LOCUS9044|CAD7000568.1|CCAP
OG0002415	LOC118468461|XP_035795147.1|AALB	LOC120423283|XP_039442983.1|CPIP
OG0002523	LOC118464696|XP_035788156.1|AALB	LOC108081670|XP_017032376.1|DKIK
OG0002581	LOC118463781|XP_035786495.1|AALB	CCAP1982_LOCUS3456|CAD6994723.1|CCAP
OG0002929	LOC118457679|XP_035775329.1|AALB	CCAP1982_LOCUS9168|CAD7000694.1|CCAP
OG0002949	LOC118460339|XP_035780453.1|AALB	LOC108096501|XP_017053599.1|DFIC
OG0003318	LOC118465064|XP_035788844.1|AALB	LOC115260102|XP_029716831.1|AEAL
OG0003345	LOC118466306|XP_035791311.1|AALB	CCAP1982_LOCUS1181|CAD6992313.1|CCAP
OG0003395	LOC118458853|XP_035777667.1|AALB	CCAP1982_LOCUS2762|CAD6993979.1|CCAP
OG0003507	LOC118465918|XP_035790503.1|AALB	CCAP1982_LOCUS4038|CAD6995319.1|CCAP
OG0003716	LOC118467772|XP_035794494.1|AALB	CCAP1982_LOCUS12851|CAD7004445.1|CCAP, CCAP1982_LOCUS12852|CAD7004446.1|CCAP, CCAP1982_LOCUS12848|CAD7004442.1|CCAP
OG0003725	LOC118466222|XP_035791146.1|AALB	CCAP1982_LOCUS12242|CAD7003809.1|CCAP
OG0004117	LOC118458353|XP_035776597.1|AALB	LOC117134911|XP_033150262.1|DBUS
OG0004357	LOC118467502|XP_035793945.1|AALB	LOC108149201|XP_017132152.1|DELE
OG0004840	LOC118463418|XP_035785865.1|AALB	LOC108104720|XP_017066438.1|DEUG
OG0004875	LOC118456349|XP_035772905.1|AALB, LOC118466681|XP_035792193.1|AALB	LOC6614917|XP_032580539.1|DSEC
OG0005415	LOC118460741|XP_035781195.1|AALB	LOC108078332|XP_017027622.1|DKIK
OG0005706	LOC118456667|XP_035773527.1|AALB	LOC108599901|XP_017842584.2|DBUS
OG0006349	LOC118461711|XP_035783261.1|AALB	LOC108606864|XP_033150460.1|DBUS
OG0006589	LOC118460355|XP_035780490.1|AALB	CCAP1982_LOCUS3571|CAD6994840.1|CCAP
OG0007520	LOC118465502|XP_035789712.1|AALB	LOC108085070|XP_017037026.1|DKIK
OG0007785	LOC118460838|XP_035781413.1|AALB	LOC116649957|XP_032289131.1|DVIR
