Orthogroup	DELE.longest_only	Other
OG0000157	LOC108145497|XP_017126445.1|DELE	LOC117193637|XP_033254273.1|DMIR
OG0000171	LOC108149326|XP_017132279.1|DELE	LOC115268592|XP_029732566.1|AEAL
OG0000239	LOC108148404|XP_017130926.1|DELE	LOC115482805|XP_030078778.1|DHYD
OG0000255	LOC108149719|XP_017132974.1|DELE, LOC108137541|XP_017114757.1|DELE	LOC5578920|XP_001657206.1|AAEG
OG0000301	LOC108145309|XP_017126142.1|DELE	LOC118456217|XP_035772695.1|AALB
OG0000442	LOC108146194|XP_017127597.1|DELE	LOC118505460|XP_035897155.1|ASTE
OG0000480	LOC108139840|XP_017118051.1|DELE	LOC115263401|XP_029722545.1|AEAL
OG0000493	LOC108148464|XP_017130985.1|DELE	LOC108014841|XP_016936538.2|DSUZ
OG0000639	LOC108142361|XP_017121651.1|DELE	LOC119766935|XP_038109439.1|CQUI
OG0000843	LOC108144818|XP_017125438.1|DELE	LOC6047696|XP_038104663.1|CQUI
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC5563777|XP_021702027.1|AAEG
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC109417728|XP_029709163.1|AEAL, LOC109415159|XP_029719636.1|AEAL
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC118509337|XP_035905708.1|ASTE
OG0000916	LOC108138705|XP_017116543.1|DELE	LOC119083725|XP_037049418.1|BCOP, LOC119083824|XP_037049514.1|BCOP, LOC119083729|XP_037049422.1|BCOP
OG0000964	LOC108144188|XP_017124342.1|DELE	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC108144986|XP_017125629.1|DELE	LOC115269910|XP_029734571.1|AEAL
OG0001050	LOC108146792|XP_017128449.1|DELE	LOC119770659|XP_038121888.1|CQUI
OG0001094	LOC108138737|XP_017116619.1|DELE	LOC6634092|XP_032289019.1|DVIR
OG0001094	LOC108138737|XP_017116619.1|DELE	LOC111600341|XP_023172173.2|DHYD
OG0001147	LOC108135609|XP_017111913.1|DELE	LOC116800992|XP_032573931.1|DSEC
OG0001166	LOC108145646|XP_017126671.1|DELE	LOC6903282|XP_033235587.1|DPSE
OG0001284	LOC108149950|XP_017133355.1|DELE	LOC26532832|XP_015044419.2|DPSE
OG0001291	LOC108137629|XP_017114904.1|DELE	LOC120428474|XP_039449422.1|CPIP
OG0001291	LOC108137629|XP_017114904.1|DELE	LOC109412699|XP_019541866.2|AEAL
OG0001308	LOC108136299|XP_017112873.1|DELE	LOC117147216|XP_033169921.1|DMAU
OG0001308	LOC108136299|XP_017112873.1|DELE	LOC6724945|XP_016037809.1|DSIM
OG0001340	LOC108134774|XP_017110710.1|DELE	LOC115269180|XP_029733449.1|AEAL
OG0001386	LOC108137515|XP_017114721.1|DELE	LOC119070351|XP_037030533.1|BCOP
OG0001386	LOC108137515|XP_017114721.1|DELE	LOC108088938|XP_017042450.1|DFIC
OG0001386	LOC108137515|XP_017114721.1|DELE	LOC115266961|XP_029729541.1|AEAL
OG0001424	LOC108144842|XP_017125471.1|DELE	LOC6553480|XP_001980274.1|DERE
OG0001481	LOC108141815|XP_017120880.1|DELE	LOC110680971|XP_021712436.1|AAEG
OG0001521	LOC108138858|XP_017116867.1|DELE	LOC115482924|XP_030079089.1|DHYD
OG0001568	LOC108139165|XP_017117269.1|DELE	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC108145946|XP_017127143.1|DELE	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC108145946|XP_017127143.1|DELE	LOC117572790|XP_034111784.1|DALB
OG0001629	LOC108138359|XP_017116016.1|DELE	LOC118879715|XP_036678511.1|DSUZ, LOC108011192|XP_036678509.1|DSUZ
OG0001678	LOC108136225|XP_017112735.1|DELE	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC108145202|XP_017125933.1|DELE	LOC120431894|XP_039452957.1|CPIP
OG0001765	LOC108141334|XP_017120106.1|DELE	LOC116649770|XP_032290313.1|DVIR
OG0001795	LOC108150452|XP_017134101.1|DELE	LOC6588877|XP_002015330.2|DPER
OG0001808	LOC108140506|XP_017118777.1|DELE	LOC108010615|XP_036673627.1|DSUZ
OG0001849	LOC108136960|XP_017113934.1|DELE	LOC108116628|XP_017084096.1|DEUG
OG0001919	LOC108144685|XP_017125239.1|DELE	LOC110675359|XP_021695748.1|AAEG
OG0001970	LOC108136597|XP_017113405.1|DELE	LOC117892432|XP_034654560.1|DSUB
OG0001970	LOC108136597|XP_017113405.1|DELE	LOC4803853|XP_001360504.1|DPSE
OG0001970	LOC108136597|XP_017113405.1|DELE	LOC6590085|XP_002016039.1|DPER
OG0001970	LOC108136597|XP_017113405.1|DELE	LOC117190684|XP_033251636.1|DMIR, LOC108160360|XP_017149819.1|DMIR
OG0001970	LOC108136597|XP_017113405.1|DELE	LOC117592242|XP_034141768.1|DGUA
OG0001970	LOC108136597|XP_017113405.1|DELE	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001999	LOC108137930|XP_017115373.1|DELE	LOC108085086|XP_017037044.1|DKIK
OG0001999	LOC108137930|XP_017115373.1|DELE	LOC117191450|XP_033252203.1|DMIR
OG0001999	LOC108137930|XP_017115373.1|DELE	LOC115482838|XP_030078932.1|DHYD
OG0002007	LOC108149482|XP_017132587.1|DELE	LOC108100975|XP_017060617.1|DFIC
OG0002007	LOC108149482|XP_017132587.1|DELE	LOC108074832|XP_017022522.1|DKIK
OG0002045	LOC108144055|XP_017124188.1|DELE	LOC115258039|XP_029713915.1|AEAL
OG0002074	LOC108144905|XP_017125556.1|DELE	LOC117190395|XP_033251362.1|DMIR
OG0002090	LOC108146747|XP_017128365.1|DELE	LOC118464895|XP_035788540.1|AALB
OG0002118	LOC108147566|XP_017129640.1|DELE	LOC26530985|XP_015024798.1|DVIR
OG0002150	LOC108140941|XP_017119500.1|DELE	LOC110680424|XP_021711913.1|AAEG
OG0002321	LOC108149835|XP_017133197.1|DELE	LOC108160629|XP_033252060.1|DMIR
OG0002337	LOC108141339|XP_017120136.1|DELE	LOC119769564|XP_038118442.1|CQUI
OG0002648	LOC108141133|XP_017119844.1|DELE	LOC108006070|XP_036674983.1|DSUZ
OG0002705	LOC108142495|XP_017121879.1|DELE	LOC115267175|XP_029729879.1|AEAL
OG0002920	LOC108137157|XP_017114219.1|DELE	LOC108116760|XP_017084681.1|DEUG
OG0002920	LOC108137157|XP_017114219.1|DELE	LOC115758366|XP_030554814.1|DNOV
OG0002920	LOC108137157|XP_017114219.1|DELE	LOC6627732|XP_002051749.1|DVIR
OG0002920	LOC108137157|XP_017114219.1|DELE	LOC111602542|XP_023175441.1|DHYD
OG0002928	LOC108150503|XP_017134205.1|DELE	LOC117149960|XP_033172749.1|DMAU
OG0003017	LOC108141220|XP_017119961.1|DELE	LOC110680521|XP_021712010.1|AAEG
OG0003087	LOC108142351|XP_017121637.1|DELE	LOC116655923|XP_032310835.1|DANA
OG0003133	LOC108144156|XP_017124289.1|DELE	LOC120431803|XP_039452855.1|CPIP
OG0003213	LOC108141331|XP_017120101.1|DELE	LOC115260214|XP_029717006.1|AEAL
OG0003257	LOC108142367|XP_017121665.1|DELE	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC108150321|XP_017133931.1|DELE	LOC119768640|XP_038114842.1|CQUI
OG0003552	LOC108144353|XP_017124591.1|DELE	LOC117192295|XP_033252842.1|DMIR
OG0003649	LOC108143767|XP_017123785.1|DELE	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC108146862|XP_017128582.1|DELE, LOC108135459|XP_017111691.1|DELE	LOC110680396|XP_021711895.1|AAEG
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC118505922|XP_035898308.1|ASTE
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC5571581|XP_021707500.1|AAEG
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC109413612|XP_029721382.1|AEAL, LOC109401274|XP_029721572.1|AEAL
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC120418003|XP_039436180.1|CPIP
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC6042464|XP_038112637.1|CQUI
OG0004357	LOC108149201|XP_017132152.1|DELE	LOC118467502|XP_035793945.1|AALB
OG0004626	LOC108137112|XP_017114127.1|DELE	LOC120428971|XP_039450040.1|CPIP
OG0005598	LOC108148841|XP_017131604.1|DELE	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC108139222|XP_017117372.1|DELE	LOC6041934|XP_038121645.1|CQUI
OG0006874	LOC108135014|XP_017111036.1|DELE	LOC120457536|XP_039501016.1|DSAN
OG0009283	LOC108142015|XP_017121176.1|DELE	LOC111594404|XP_023163445.2|DHYD
OG0009516	LOC108149415|XP_017132463.1|DELE	LOC111594209|XP_023163175.1|DHYD
OG0010294	LOC108138854|XP_017116864.1|DELE	LOC120457699|XP_039501129.1|DSAN
OG0011059	LOC108145130|XP_017125835.1|DELE	LOC117185702|XP_033246933.1|DMIR
