Orthogroup	DSUZ.longest_only	Other
OG0001634	LOC108015673|XP_016937673.2|DSUZ	LOC110179907|XP_020803163.1|DSER, LOC110179909|XP_020803166.1|DSER
OG0001678	LOC108016849|XP_036676087.1|DSUZ	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC108009989|XP_016930253.1|DSUZ	LOC120431894|XP_039452957.1|CPIP
OG0001765	LOC108009122|XP_016928699.1|DSUZ	LOC116649770|XP_032290313.1|DVIR
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC110186492|XP_020811344.1|DSER
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC108085690|XP_017037886.1|DKIK
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC120452596|XP_039492828.1|DSAN
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC6536643|XP_015047865.1|DYAK
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC6606820|XP_032576925.1|DSEC
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC117145339|XP_033166840.1|DMAU
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC6739711|XP_016035161.1|DSIM
OG0001808	LOC108010615|XP_036673627.1|DSUZ	PGRP-LB|NP_001247052.1|DMEL
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC108140506|XP_017118777.1|DELE
OG0001808	LOC108010615|XP_036673627.1|DSUZ	LOC108102035|XP_017062144.1|DFIC
OG0001919	LOC108018227|XP_016941235.1|DSUZ	LOC110675359|XP_021695748.1|AAEG
OG0001999	LOC108009896|XP_016930103.1|DSUZ	LOC108085086|XP_017037044.1|DKIK
OG0001999	LOC108009896|XP_016930103.1|DSUZ	LOC115482838|XP_030078932.1|DHYD
OG0002007	LOC108021314|XP_016945457.1|DSUZ	LOC108100975|XP_017060617.1|DFIC
OG0002007	LOC108021314|XP_016945457.1|DSUZ	LOC108074832|XP_017022522.1|DKIK
OG0002045	LOC108012222|XP_036673080.1|DSUZ	LOC115258039|XP_029713915.1|AEAL
OG0002074	LOC108009400|XP_016929208.1|DSUZ	LOC117190395|XP_033251362.1|DMIR
OG0002090	LOC108011264|XP_036670757.1|DSUZ	LOC118464895|XP_035788540.1|AALB
OG0002150	LOC108005403|XP_016924156.1|DSUZ	LOC110680424|XP_021711913.1|AAEG
OG0002321	LOC108008443|XP_016927784.1|DSUZ	LOC108160629|XP_033252060.1|DMIR
OG0002337	LOC108009071|XP_016928573.1|DSUZ	LOC119769564|XP_038118442.1|CQUI
OG0002558	LOC108007852|XP_016927104.2|DSUZ	LOC115483798|XP_030081914.1|DHYD
OG0002648	LOC108006070|XP_036674983.1|DSUZ	LOC120453880|XP_039494726.1|DSAN
OG0002648	LOC108006070|XP_036674983.1|DSUZ	LOC6535983|XP_039231963.1|DYAK
OG0002648	LOC108006070|XP_036674983.1|DSUZ	LOC6553574|XP_026839497.1|DERE
OG0002648	LOC108006070|XP_036674983.1|DSUZ	LOC108115169|XP_017081977.1|DEUG
OG0002648	LOC108006070|XP_036674983.1|DSUZ	LOC108141133|XP_017119844.1|DELE
OG0002705	LOC108012297|XP_036670986.1|DSUZ	LOC115267175|XP_029729879.1|AEAL
OG0002928	LOC108007638|XP_016926850.1|DSUZ	LOC117149960|XP_033172749.1|DMAU
OG0003017	LOC108018804|XP_036675126.1|DSUZ	LOC110680521|XP_021712010.1|AAEG
OG0003087	LOC108014333|XP_036670826.1|DSUZ	LOC116655923|XP_032310835.1|DANA
OG0003133	LOC108009160|XP_016928757.1|DSUZ	LOC120431803|XP_039452855.1|CPIP
OG0003213	LOC108009563|XP_016929515.1|DSUZ	LOC115260214|XP_029717006.1|AEAL
OG0003257	LOC108016807|XP_036676459.1|DSUZ	LOC115254881|XP_029708427.1|AEAL
OG0003533	LOC108012450|XP_016933308.1|DSUZ	LOC119768640|XP_038114842.1|CQUI
OG0003552	LOC108009306|XP_016929046.1|DSUZ	LOC117192295|XP_033252842.1|DMIR
OG0003649	LOC108006625|XP_016925639.2|DSUZ	LOC110675955|XP_021697734.1|AAEG
OG0003998	LOC108007592|XP_036678382.1|DSUZ	LOC110680396|XP_021711895.1|AAEG
OG0004626	LOC108020180|XP_016943773.1|DSUZ	LOC120428971|XP_039450040.1|CPIP
OG0004670	LOC108011762|XP_036675256.1|DSUZ	LOC117591200|XP_034140230.1|DGUA
OG0004909	LOC108012883|XP_016933863.1|DSUZ	LOC115253550|XP_029722605.1|AEAL
OG0005598	LOC108015493|XP_016937428.2|DSUZ	LOC120424826|XP_039444981.1|CPIP
OG0005657	LOC108017449|XP_036674287.1|DSUZ	LOC6041934|XP_038121645.1|CQUI
OG0006874	LOC108016295|XP_036668832.1|DSUZ	LOC120457536|XP_039501016.1|DSAN
OG0008719	LOC118879447|XP_036678215.1|DSUZ	LOC108603497|XP_017847846.1|DBUS
OG0008719	LOC118879447|XP_036678215.1|DSUZ	LOC115766066|XP_030565727.1|DNOV
OG0009283	LOC108018107|XP_036678405.1|DSUZ	LOC111594404|XP_023163445.2|DHYD
OG0009516	LOC108021123|XP_016945162.1|DSUZ	LOC111594209|XP_023163175.1|DHYD
OG0009919	LOC108005546|XP_016924329.1|DSUZ	LOC108028204|XP_016955354.1|DBIA
OG0009919	LOC108005546|XP_016924329.1|DSUZ	LOC108113857|XP_017080056.1|DEUG
OG0009919	LOC108005546|XP_016924329.1|DSUZ	LOC108095478|XP_017052081.1|DFIC
OG0009919	LOC108005546|XP_016924329.1|DSUZ	SP|NP_524057.2|DMEL
OG0011026	LOC108017232|XP_036675466.1|DSUZ	LOC117185970|XP_033245986.1|DMIR
OG0011059	LOC108018088|XP_016940978.1|DSUZ	LOC117185702|XP_033246933.1|DMIR
OG0011445	LOC108016828|XP_016939134.1|DSUZ	LOC115768921|XP_030569517.1|DNOV
