Orthogroup	DELE.longest_only	BTRY.longest_only
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC120767531|XP_039949557.1|BTRY
OG0000012	LOC108145523|XP_017126497.1|DELE	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC108145522|XP_017126496.1|DELE	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC108145538|XP_017126526.1|DELE	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC108145542|XP_017126531.1|DELE	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC108136687|XP_017113497.1|DELE	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000015	LOC108138780|XP_017116737.1|DELE, LOC108144259|XP_017124429.1|DELE, LOC108150455|XP_017134109.1|DELE, LOC108150437|XP_017134084.1|DELE, LOC108139113|XP_017117214.1|DELE, LOC108149130|XP_017132027.1|DELE, LOC108147777|XP_017129996.1|DELE, LOC108136717|XP_017113571.1|DELE, LOC108147380|XP_017129303.1|DELE, LOC108140615|XP_017119021.1|DELE, LOC108140757|XP_017119232.1|DELE, LOC108134674|XP_017110561.1|DELE, LOC108149322|XP_017132271.1|DELE, LOC108138718|XP_017116558.1|DELE, LOC108134711|XP_017110595.1|DELE, LOC108134675|XP_017110562.1|DELE, LOC108149227|XP_017132148.1|DELE, LOC108138680|XP_017116516.1|DELE, LOC108134715|XP_017110604.1|DELE, LOC108149217|XP_017132136.1|DELE, LOC108145615|XP_017126640.1|DELE, LOC108138032|XP_017115494.1|DELE, LOC108147770|XP_017129989.1|DELE, LOC108135473|XP_017111703.1|DELE, LOC108138355|XP_017116015.1|DELE, LOC108138106|XP_017115592.1|DELE, LOC108140625|XP_017119033.1|DELE, LOC108144693|XP_017125256.1|DELE, LOC108141971|XP_017121111.1|DELE	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC108134657|XP_017110539.1|DELE	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC108140478|XP_017118708.1|DELE	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC108136374|XP_017112976.1|DELE	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC108149934|XP_017133339.1|DELE, LOC108134991|XP_017111013.1|DELE	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC108142172|XP_017121346.1|DELE	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC108142475|XP_017121848.1|DELE	LOC120777549|XP_039964872.1|BTRY
OG0000019	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC108148802|XP_017131514.1|DELE	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC108136813|XP_017113705.1|DELE	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC108140888|XP_017119410.1|DELE	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC108139148|XP_017117255.1|DELE	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC108134787|XP_017110724.1|DELE, LOC108137723|XP_017115107.1|DELE	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC108144256|XP_017124426.1|DELE	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000023	LOC108140990|XP_017119554.1|DELE	LOC120770307|XP_039953615.1|BTRY
OG0000023	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC108140949|XP_017119506.1|DELE	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC108141054|XP_017119691.1|DELE	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC108141157|XP_017119872.1|DELE	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC108141055|XP_017119693.1|DELE	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC108144317|XP_017124507.1|DELE	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC108134565|XP_017110407.1|DELE	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC108148017|XP_017130341.1|DELE, LOC108136491|XP_017113196.1|DELE	LOC120774110|XP_039959404.1|BTRY
OG0000026	LOC108148207|XP_017130606.1|DELE	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC108138066|XP_017115531.1|DELE	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC108138053|XP_017115518.1|DELE	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC108138043|XP_017115505.1|DELE	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC108146069|XP_017127372.1|DELE	LOC120777924|XP_039965441.1|BTRY
OG0000028	LOC108145772|XP_017126831.1|DELE	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC108138030|XP_017115492.1|DELE, LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE, LOC108138092|XP_017115567.1|DELE	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC108147758|XP_017129978.1|DELE	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC108143463|XP_017123389.1|DELE	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC108136286|XP_017112860.1|DELE	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC108147607|XP_017129735.1|DELE	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC108142073|XP_017121248.1|DELE	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	LOC108141221|XP_017119962.1|DELE	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC108141229|XP_017119974.1|DELE	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC108141167|XP_017119884.1|DELE	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC108134742|XP_017110664.1|DELE	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC108145158|XP_017125873.1|DELE	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC108146067|XP_017127370.1|DELE	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC108135451|XP_017111682.1|DELE	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC108140733|XP_017119198.1|DELE, LOC108136930|XP_017113894.1|DELE, LOC108136932|XP_017113896.1|DELE, LOC108140734|XP_017119199.1|DELE, LOC108140735|XP_017119200.1|DELE, LOC108140405|XP_017118609.1|DELE, LOC108143008|XP_017122685.1|DELE	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC108143748|XP_017123768.1|DELE	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE, LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	LOC108140749|XP_017119215.1|DELE	LOC120782367|XP_039970539.1|BTRY
OG0000045	LOC108150162|XP_017133621.1|DELE	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC108146641|XP_017128175.1|DELE	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC108146602|XP_017128138.1|DELE	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC108137997|XP_017115461.1|DELE, LOC108137888|XP_017115315.1|DELE, LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE, LOC108150380|XP_017134008.1|DELE, LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	LOC108146211|XP_017127619.1|DELE	LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC108140399|XP_017118596.1|DELE	LOC120782870|XP_039971347.1|BTRY
OG0000049	LOC108140396|XP_017118593.1|DELE	LOC120782209|XP_039970301.1|BTRY
OG0000049	LOC108140391|XP_017118587.1|DELE	LOC120781673|XP_039969832.1|BTRY
OG0000049	LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	LOC108140395|XP_017118592.1|DELE	LOC120772847|XP_039957638.1|BTRY
OG0000050	LOC108144105|XP_017124238.1|DELE	LOC120776369|XP_039962882.1|BTRY
OG0000050	LOC108143124|XP_017122854.1|DELE, LOC108143123|XP_017122853.1|DELE, LOC108143198|XP_017122940.1|DELE, LOC108143121|XP_017122851.1|DELE, LOC108143197|XP_017122939.1|DELE, LOC108143120|XP_017122849.1|DELE, LOC108143122|XP_017122852.1|DELE	LOC120778411|XP_039966128.1|BTRY
OG0000051	LOC108143756|XP_017123775.1|DELE	LOC120776450|XP_039963045.1|BTRY
OG0000051	LOC108143275|XP_017123079.1|DELE	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY
OG0000051	LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY
OG0000052	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE, LOC108145160|XP_017125875.1|DELE, LOC108145159|XP_017125874.1|DELE	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY
OG0000053	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE	LOC120770153|XP_039953281.1|BTRY
OG0000053	LOC108145357|XP_017126239.1|DELE	LOC120770564|XP_039954076.1|BTRY
OG0000053	LOC108145356|XP_017126238.1|DELE	LOC120770562|XP_039954075.1|BTRY
OG0000053	LOC108145362|XP_017126243.1|DELE	LOC120771115|XP_039954899.1|BTRY, LOC120772335|XP_039956813.1|BTRY, LOC120771116|XP_039954900.1|BTRY
OG0000054	LOC108140678|XP_017119113.1|DELE	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY
OG0000054	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE	LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY
OG0000056	LOC108148700|XP_017131340.1|DELE, LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY
OG0000056	LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE	LOC120775660|XP_039961862.1|BTRY
OG0000057	LOC108149908|XP_017133298.1|DELE	LOC120781175|XP_039969232.1|BTRY, LOC120780782|XP_039968968.1|BTRY
OG0000058	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY
