Orthogroup	DELE.longest_only	AAEG.longest_only
OG0000061	LOC108138018|XP_017115477.1|DELE, LOC108138006|XP_017115465.1|DELE, LOC108138025|XP_017115485.1|DELE, LOC108138035|XP_017115497.1|DELE	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC108140552|XP_017118898.1|DELE, LOC108147479|XP_017129518.1|DELE	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC108141513|XP_017120431.1|DELE, LOC108147383|XP_017129307.1|DELE	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC108142223|XP_017121430.1|DELE	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC108135597|XP_017111897.1|DELE, LOC108136670|XP_017113481.1|DELE, LOC108143529|XP_017123510.1|DELE, LOC108144464|XP_017124859.1|DELE	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC108136307|XP_017112891.1|DELE, LOC108138084|XP_017115563.1|DELE, LOC108141686|XP_017120657.1|DELE	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC108135493|XP_017111725.1|DELE, LOC108135492|XP_017111724.1|DELE	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC108137979|XP_017115440.1|DELE, LOC108137893|XP_017115321.1|DELE, LOC108137978|XP_017115439.1|DELE	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC108144661|XP_017125196.1|DELE	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC108150393|XP_017134024.1|DELE	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC108141036|XP_017119625.1|DELE	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC108142390|XP_017121714.1|DELE, LOC108135696|XP_017112027.1|DELE	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC108145993|XP_017127221.1|DELE	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC108134879|XP_017110865.1|DELE	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC108143509|XP_017123469.1|DELE	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC108143053|XP_017122754.1|DELE	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC108144573|XP_017125051.1|DELE	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC108148773|XP_017131468.1|DELE	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC108143331|XP_017123140.1|DELE, LOC108146642|XP_017128176.1|DELE, LOC108141001|XP_017119564.1|DELE, LOC108144954|XP_017125592.1|DELE, LOC108136186|XP_017112673.1|DELE	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC108144727|XP_017125313.1|DELE, LOC108144830|XP_017125456.1|DELE, LOC108144561|XP_017125028.1|DELE	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC108137556|XP_017114771.1|DELE, LOC108137394|XP_017114542.1|DELE, LOC108139183|XP_017117297.1|DELE, LOC108139182|XP_017117296.1|DELE	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC108141924|XP_017121037.1|DELE, LOC108142089|XP_017121272.1|DELE, LOC108141663|XP_017120626.1|DELE, LOC108141752|XP_017120736.1|DELE, LOC108141923|XP_017121035.1|DELE	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC108145181|XP_017125909.1|DELE	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC108141471|XP_017120366.1|DELE	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC108149598|XP_017132782.1|DELE	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC108145443|XP_017126361.1|DELE	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC108141653|XP_017120612.1|DELE	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC108138695|XP_017116529.1|DELE, LOC108141784|XP_017120782.1|DELE	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC108145086|XP_017125761.1|DELE	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC108141125|XP_017119833.1|DELE, LOC108140991|XP_017119555.1|DELE	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC108139313|XP_017117508.1|DELE	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC108150208|XP_017133709.1|DELE	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC108141353|XP_017120159.1|DELE, LOC108141325|XP_017120093.1|DELE, LOC108146219|XP_017127627.1|DELE, LOC108145938|XP_017127135.1|DELE	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC108148708|XP_017131350.1|DELE	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC108138282|XP_017115927.1|DELE, LOC108136749|XP_017113584.1|DELE, LOC108136955|XP_017113929.1|DELE	LOC5579216|XP_021706364.1|AAEG
OG0000094	LOC108150099|XP_017133552.1|DELE, LOC108150100|XP_017133553.1|DELE, LOC108148190|XP_017130585.1|DELE	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG
OG0000099	LOC108136339|XP_017112932.1|DELE	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG
OG0000101	LOC108146008|XP_017127262.1|DELE, LOC108146010|XP_017127274.1|DELE	LOC5567622|XP_021696506.1|AAEG
OG0000102	LOC108144533|XP_017124982.1|DELE	LOC5575366|XP_001661890.1|AAEG, LOC5575359|XP_001661891.2|AAEG, LOC5574118|XP_001661190.2|AAEG, LOC5566259|XP_001650639.2|AAEG, LOC5566258|XP_001650638.2|AAEG, LOC5578062|XP_021699381.1|AAEG, LOC5578064|XP_001663685.2|AAEG, LOC5578063|XP_001663686.2|AAEG
OG0000102	LOC108145434|XP_017126345.1|DELE, LOC108147095|XP_017128871.1|DELE	LOC5564622|XP_001648968.1|AAEG
OG0000103	LOC108150149|XP_017133604.1|DELE, LOC108135601|XP_017111902.1|DELE, LOC108135599|XP_017111899.1|DELE, LOC108144606|XP_017125116.1|DELE	LOC5571412|XP_001653663.2|AAEG, LOC5571411|XP_001653661.2|AAEG, LOC5571410|XP_001653662.2|AAEG, LOC5571934|XP_021704949.1|AAEG
OG0000104	LOC108141735|XP_017120717.1|DELE, LOC108145705|XP_017126755.1|DELE	LOC23687757|XP_021699122.1|AAEG, LOC23687967|XP_011493637.2|AAEG, LOC23687459|XP_011493699.2|AAEG, LOC23687728|XP_021699125.1|AAEG, LOC23687690|XP_011493079.2|AAEG
OG0000105	LOC108136674|XP_017113486.1|DELE, LOC108136167|XP_017112653.1|DELE, LOC108136675|XP_017113487.1|DELE, LOC108150095|XP_017133547.1|DELE, LOC108143740|XP_017123762.1|DELE, LOC108143955|XP_017124042.1|DELE, LOC108143741|XP_017123763.1|DELE	LOC5576020|XP_001662355.3|AAEG
OG0000109	LOC108135305|XP_017111479.1|DELE, LOC108135351|XP_017111532.1|DELE	LOC5576150|XP_001662494.2|AAEG, LOC5575961|XP_001662317.1|AAEG, LOC5565685|XP_001650036.2|AAEG, LOC5576147|XP_001662495.2|AAEG
OG0000109	LOC108142109|XP_017121293.1|DELE, LOC108142059|XP_017121232.1|DELE	LOC5565636|XP_001649991.2|AAEG, LOC5576144|XP_001662496.1|AAEG
