Orthogroup	DELE.longest_only	BCOP.longest_only
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC119077564|XP_037040669.1|BCOP
OG0000012	LOC108145523|XP_017126497.1|DELE, LOC108145522|XP_017126496.1|DELE, LOC108145538|XP_017126526.1|DELE, LOC108145542|XP_017126531.1|DELE, LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC108142172|XP_017121346.1|DELE, LOC108142475|XP_017121848.1|DELE, LOC108142476|XP_017121849.1|DELE, LOC108142480|XP_017121852.1|DELE, LOC108142478|XP_017121851.1|DELE, LOC108142483|XP_017121857.1|DELE, LOC108142171|XP_017121345.1|DELE, LOC108142484|XP_017121859.1|DELE	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC108148802|XP_017131514.1|DELE, LOC108145240|XP_017125995.1|DELE	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE, LOC108136813|XP_017113705.1|DELE, LOC108140627|XP_017119032.1|DELE, LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC108140888|XP_017119410.1|DELE	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC108139148|XP_017117255.1|DELE	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC108140988|XP_017119550.1|DELE, LOC108140990|XP_017119554.1|DELE, LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE, LOC108140949|XP_017119506.1|DELE, LOC108141054|XP_017119691.1|DELE, LOC108141157|XP_017119872.1|DELE, LOC108141055|XP_017119693.1|DELE	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE, LOC108144317|XP_017124507.1|DELE, LOC108134565|XP_017110407.1|DELE, LOC108149067|XP_017131913.1|DELE	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC108148017|XP_017130341.1|DELE, LOC108136491|XP_017113196.1|DELE	LOC119074493|XP_037036540.1|BCOP
OG0000026	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC108138053|XP_017115518.1|DELE	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC108146071|XP_017127374.1|DELE, LOC108146072|XP_017127376.1|DELE, LOC108146069|XP_017127372.1|DELE, LOC108146070|XP_017127373.1|DELE, LOC108146073|XP_017127378.1|DELE, LOC108145772|XP_017126831.1|DELE	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC108138030|XP_017115492.1|DELE, LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE, LOC108138092|XP_017115567.1|DELE, LOC108147758|XP_017129978.1|DELE, LOC108143463|XP_017123389.1|DELE, LOC108136286|XP_017112860.1|DELE, LOC108147607|XP_017129735.1|DELE	LOC119070696|XP_037031044.1|BCOP
OG0000031	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE, LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000032	LOC108141556|XP_017120489.1|DELE, LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE, LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC108148602|XP_017131169.1|DELE, LOC108141856|XP_017120938.1|DELE, LOC108141639|XP_017120598.1|DELE, LOC108141763|XP_017120751.1|DELE, LOC108145061|XP_017125731.1|DELE, LOC108145062|XP_017125732.1|DELE, LOC108136520|XP_017113279.1|DELE, LOC108145060|XP_017125730.1|DELE, LOC108135468|XP_017111699.1|DELE, LOC108135862|XP_017112252.1|DELE, LOC108137918|XP_017115348.1|DELE	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC108141221|XP_017119962.1|DELE	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC108141229|XP_017119974.1|DELE	LOC119070319|XP_037030483.1|BCOP
OG0000037	LOC108145158|XP_017125873.1|DELE, LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC108146067|XP_017127370.1|DELE	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC108146005|XP_017127248.1|DELE	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC108148259|XP_017130681.1|DELE	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC108147617|XP_017129742.1|DELE	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC108137297|XP_017114407.1|DELE, LOC108139192|XP_017117319.1|DELE, LOC108139163|XP_017117272.1|DELE, LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE, LOC108139178|XP_017117292.1|DELE	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE, LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC108143748|XP_017123768.1|DELE, LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE, LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE, LOC108140749|XP_017119215.1|DELE	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC108137997|XP_017115461.1|DELE, LOC108137888|XP_017115315.1|DELE, LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE, LOC108150380|XP_017134008.1|DELE, LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC108140399|XP_017118596.1|DELE, LOC108140396|XP_017118593.1|DELE, LOC108140391|XP_017118587.1|DELE, LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE, LOC108140395|XP_017118592.1|DELE	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC108143756|XP_017123775.1|DELE, LOC108143275|XP_017123079.1|DELE, LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE, LOC108145160|XP_017125875.1|DELE, LOC108145159|XP_017125874.1|DELE	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE, LOC108145357|XP_017126239.1|DELE	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC108145362|XP_017126243.1|DELE	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC108140678|XP_017119113.1|DELE, LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC108148700|XP_017131340.1|DELE, LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE, LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000057	LOC108149908|XP_017133298.1|DELE	LOC119082293|XP_037047662.1|BCOP, LOC119073087|XP_037034294.1|BCOP, LOC119079795|XP_037043751.1|BCOP, LOC119068952|XP_037028712.1|BCOP, LOC119066033|XP_037024146.1|BCOP, LOC119074187|XP_037036075.1|BCOP, LOC119078385|XP_037041781.1|BCOP, LOC119078383|XP_037041779.1|BCOP, LOC119077205|XP_037040283.1|BCOP, LOC119075090|XP_037037375.1|BCOP, LOC119082294|XP_037047663.1|BCOP
OG0000058	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC108137714|XP_017115086.1|DELE	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC108143025|XP_017122707.1|DELE	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC108140552|XP_017118898.1|DELE, LOC108147479|XP_017129518.1|DELE	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC108141513|XP_017120431.1|DELE, LOC108147383|XP_017129307.1|DELE	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC108142223|XP_017121430.1|DELE	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC108135597|XP_017111897.1|DELE, LOC108136670|XP_017113481.1|DELE, LOC108143529|XP_017123510.1|DELE, LOC108144464|XP_017124859.1|DELE	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC108136307|XP_017112891.1|DELE, LOC108138084|XP_017115563.1|DELE, LOC108141686|XP_017120657.1|DELE	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC108135493|XP_017111725.1|DELE, LOC108135492|XP_017111724.1|DELE	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC108144661|XP_017125196.1|DELE	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC108150393|XP_017134024.1|DELE	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC108141036|XP_017119625.1|DELE	LOC119069220|XP_037029092.1|BCOP
OG0000074	LOC108142390|XP_017121714.1|DELE, LOC108135696|XP_017112027.1|DELE	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC108142537|XP_017121952.1|DELE, LOC108142566|XP_017122005.1|DELE, LOC108142541|XP_017121955.1|DELE, LOC108142539|XP_017121953.1|DELE	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC108145993|XP_017127221.1|DELE	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC108134879|XP_017110865.1|DELE	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC108134878|XP_017110863.1|DELE	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC108143509|XP_017123469.1|DELE	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC108143053|XP_017122754.1|DELE	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC108144573|XP_017125051.1|DELE	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC108148773|XP_017131468.1|DELE	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC108143331|XP_017123140.1|DELE, LOC108146642|XP_017128176.1|DELE, LOC108141001|XP_017119564.1|DELE, LOC108144954|XP_017125592.1|DELE, LOC108136186|XP_017112673.1|DELE	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC108134689|XP_017110575.1|DELE, LOC108134708|XP_017110593.1|DELE, LOC108134678|XP_017110564.1|DELE, LOC108134679|XP_017110565.1|DELE, LOC108134696|XP_017110582.1|DELE	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC108144727|XP_017125313.1|DELE, LOC108144830|XP_017125456.1|DELE, LOC108144561|XP_017125028.1|DELE	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC108146394|XP_017127879.1|DELE	LOC119072492|XP_037033632.1|BCOP
OG0000082	LOC108137556|XP_017114771.1|DELE, LOC108137394|XP_017114542.1|DELE, LOC108139183|XP_017117297.1|DELE, LOC108139182|XP_017117296.1|DELE	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP
OG0000083	LOC108141924|XP_017121037.1|DELE, LOC108142089|XP_017121272.1|DELE, LOC108141663|XP_017120626.1|DELE, LOC108141752|XP_017120736.1|DELE	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP
OG0000083	LOC108141923|XP_017121035.1|DELE	LOC119077030|XP_037040043.1|BCOP
OG0000084	LOC108145181|XP_017125909.1|DELE	LOC119071066|XP_037031596.1|BCOP, LOC119071181|XP_037031846.1|BCOP
OG0000085	LOC108149598|XP_017132782.1|DELE	LOC119077040|XP_037040059.1|BCOP
OG0000086	LOC108145443|XP_017126361.1|DELE	LOC119080738|XP_037045178.1|BCOP, LOC119067907|XP_037027094.1|BCOP, LOC119080632|XP_037044934.1|BCOP, LOC119068130|XP_037027486.1|BCOP
OG0000087	LOC108141653|XP_017120612.1|DELE	LOC119084681|XP_037050656.1|BCOP
OG0000087	LOC108138695|XP_017116529.1|DELE, LOC108141784|XP_017120782.1|DELE	LOC119075761|XP_037038197.1|BCOP
OG0000088	LOC108145086|XP_017125761.1|DELE	LOC119079125|XP_037042849.1|BCOP
OG0000088	LOC108138348|XP_017116006.1|DELE, LOC108150137|XP_017133592.1|DELE, LOC108144703|XP_017125283.1|DELE, LOC108150155|XP_017133613.1|DELE	LOC119082220|XP_037047569.1|BCOP
