Orthogroup	DELE.longest_only	CCAP.longest_only
OG0000027	LOC108138043|XP_017115505.1|DELE	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC108146069|XP_017127372.1|DELE	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC108145772|XP_017126831.1|DELE	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC108138030|XP_017115492.1|DELE, LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE, LOC108138092|XP_017115567.1|DELE	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC108147758|XP_017129978.1|DELE, LOC108143463|XP_017123389.1|DELE	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC108142073|XP_017121248.1|DELE	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC108141221|XP_017119962.1|DELE	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC108141229|XP_017119974.1|DELE	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC108141167|XP_017119884.1|DELE	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC108134742|XP_017110664.1|DELE	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC108145158|XP_017125873.1|DELE	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC108146067|XP_017127370.1|DELE	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC108143748|XP_017123768.1|DELE	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE, LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC108140749|XP_017119215.1|DELE	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC108150162|XP_017133621.1|DELE	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC108146641|XP_017128175.1|DELE	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC108146602|XP_017128138.1|DELE	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC108149120|XP_017132010.1|DELE	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC108146211|XP_017127619.1|DELE	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC108140396|XP_017118593.1|DELE	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC108140391|XP_017118587.1|DELE	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC108140395|XP_017118592.1|DELE	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC108144105|XP_017124238.1|DELE	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC108143124|XP_017122854.1|DELE, LOC108143123|XP_017122853.1|DELE, LOC108143198|XP_017122940.1|DELE, LOC108143121|XP_017122851.1|DELE, LOC108143197|XP_017122939.1|DELE, LOC108143120|XP_017122849.1|DELE, LOC108143122|XP_017122852.1|DELE	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC108143756|XP_017123775.1|DELE	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC108143275|XP_017123079.1|DELE	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE, LOC108145160|XP_017125875.1|DELE, LOC108145159|XP_017125874.1|DELE	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC108145357|XP_017126239.1|DELE	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC108137373|XP_017114513.1|DELE	CCAP1982_LOCUS20994|CAD7012895.1|CCAP, CCAP1982_LOCUS21331|CAD7013260.1|CCAP
OG0000053	LOC108145356|XP_017126238.1|DELE	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC108145362|XP_017126243.1|DELE	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC108140678|XP_017119113.1|DELE	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC108148904|XP_017131709.1|DELE, LOC108148902|XP_017131707.1|DELE, LOC108148903|XP_017131708.1|DELE, LOC108148901|XP_017131706.1|DELE, LOC108148972|XP_017131800.1|DELE, LOC108148971|XP_017131799.1|DELE, LOC108148470|XP_017130991.1|DELE	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC108143025|XP_017122707.1|DELE	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC108138018|XP_017115477.1|DELE	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC108138006|XP_017115465.1|DELE	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC108138025|XP_017115485.1|DELE, LOC108138035|XP_017115497.1|DELE	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
OG0000062	LOC108136516|XP_017113265.1|DELE, LOC108138778|XP_017116734.1|DELE, LOC108138779|XP_017116735.1|DELE, LOC108141958|XP_017121089.1|DELE, LOC108136038|XP_017112458.1|DELE, LOC108136028|XP_017112449.1|DELE, LOC108134584|XP_017110431.1|DELE, LOC108134586|XP_017110432.1|DELE, LOC108134589|XP_017110436.1|DELE	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP
OG0000063	LOC108150132|XP_017133588.1|DELE, LOC108150112|XP_017133565.1|DELE, LOC108150366|XP_017133993.1|DELE, LOC108150356|XP_017133979.1|DELE	CCAP1982_LOCUS12099|CAD7003661.1|CCAP
OG0000065	LOC108134781|XP_017110718.1|DELE, LOC108141665|XP_017120628.1|DELE, LOC108134782|XP_017110720.1|DELE, LOC108135129|XP_017111226.1|DELE, LOC108135083|XP_017111141.1|DELE, LOC108135130|XP_017111227.1|DELE	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP
OG0000067	LOC108140552|XP_017118898.1|DELE	CCAP1982_LOCUS14065|CAD7005713.1|CCAP
OG0000067	LOC108147479|XP_017129518.1|DELE	CCAP1982_LOCUS14066|CAD7005714.1|CCAP
OG0000067	LOC108141513|XP_017120431.1|DELE	CCAP1982_LOCUS21530|CAD7013467.1|CCAP
OG0000067	LOC108147383|XP_017129307.1|DELE	CCAP1982_LOCUS14064|CAD7005712.1|CCAP
OG0000069	LOC108147571|XP_017129645.1|DELE	CCAP1982_LOCUS8182|CAD6999652.1|CCAP
OG0000071	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE	CCAP1982_LOCUS13882|CAD7005522.1|CCAP, CCAP1982_LOCUS13883|CAD7005523.1|CCAP
OG0000072	LOC108137979|XP_017115440.1|DELE	CCAP1982_LOCUS22450|CAD7014454.1|CCAP
OG0000072	LOC108137893|XP_017115321.1|DELE	CCAP1982_LOCUS22440|CAD7014444.1|CCAP
