Orthogroup	DELE.longest_only	DVIR.longest_only
OG0000029	LOC108135556|XP_017111792.1|DELE	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC108138030|XP_017115492.1|DELE	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC108147758|XP_017129978.1|DELE	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC108143463|XP_017123389.1|DELE	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC108136286|XP_017112860.1|DELE	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC108147607|XP_017129735.1|DELE	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC108142073|XP_017121248.1|DELE	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC108141856|XP_017120938.1|DELE, LOC108141639|XP_017120598.1|DELE, LOC108141763|XP_017120751.1|DELE, LOC108145061|XP_017125731.1|DELE, LOC108145062|XP_017125732.1|DELE, LOC108136520|XP_017113279.1|DELE	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC108145060|XP_017125730.1|DELE	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC108150425|XP_017134072.1|DELE	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC108150530|XP_017134248.1|DELE	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC108134580|XP_017110423.1|DELE	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC108141221|XP_017119962.1|DELE	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC108141229|XP_017119974.1|DELE	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC108141167|XP_017119884.1|DELE	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC108134742|XP_017110664.1|DELE	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC108145158|XP_017125873.1|DELE	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC108146067|XP_017127370.1|DELE	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC108146005|XP_017127248.1|DELE	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC108148259|XP_017130681.1|DELE	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC108135451|XP_017111682.1|DELE	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC108135405|XP_017111592.1|DELE	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC108147617|XP_017129742.1|DELE	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC108140733|XP_017119198.1|DELE, LOC108136930|XP_017113894.1|DELE	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC108136932|XP_017113896.1|DELE	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC108140734|XP_017119199.1|DELE, LOC108140735|XP_017119200.1|DELE	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC108140405|XP_017118609.1|DELE	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC108143008|XP_017122685.1|DELE	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC108139192|XP_017117319.1|DELE, LOC108139163|XP_017117272.1|DELE, LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC108136884|XP_017113826.1|DELE	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC108137000|XP_017113987.1|DELE	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC108143748|XP_017123768.1|DELE	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC108150162|XP_017133621.1|DELE	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC108146641|XP_017128175.1|DELE	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC108146602|XP_017128138.1|DELE	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC108134821|XP_017110764.1|DELE, LOC108134933|XP_017110942.1|DELE	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC108147306|XP_017129219.1|DELE, LOC108147302|XP_017129214.1|DELE, LOC108147114|XP_017128893.1|DELE, LOC108144852|XP_017125488.1|DELE	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC108137997|XP_017115461.1|DELE	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC108137888|XP_017115315.1|DELE	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC108150380|XP_017134008.1|DELE	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC108149847|XP_017133213.1|DELE	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC108146206|XP_017127613.1|DELE	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC108146211|XP_017127619.1|DELE	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC108140399|XP_017118596.1|DELE	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC108140396|XP_017118593.1|DELE	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC108140391|XP_017118587.1|DELE	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC108140400|XP_017118597.1|DELE	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC108140395|XP_017118592.1|DELE	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC108144105|XP_017124238.1|DELE	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC108143123|XP_017122853.1|DELE	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC108143198|XP_017122940.1|DELE	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC108143121|XP_017122851.1|DELE	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC108143197|XP_017122939.1|DELE	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC108143120|XP_017122849.1|DELE	LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC108143756|XP_017123775.1|DELE	LOC6633160|XP_002056609.1|DVIR
OG0000051	LOC108143275|XP_017123079.1|DELE	LOC6630427|XP_002053739.1|DVIR
OG0000052	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR
OG0000052	LOC108145160|XP_017125875.1|DELE	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR
OG0000052	LOC108145159|XP_017125874.1|DELE	LOC6626911|XP_002050286.2|DVIR
OG0000053	LOC108145359|XP_017126241.1|DELE	LOC6625282|XP_002049664.3|DVIR
OG0000053	LOC108145358|XP_017126240.1|DELE	LOC6624847|XP_002049663.1|DVIR
OG0000053	LOC108145357|XP_017126239.1|DELE	LOC6624846|XP_002049662.1|DVIR
OG0000053	LOC108145356|XP_017126238.1|DELE	LOC6624845|XP_002049661.1|DVIR
OG0000053	LOC108145362|XP_017126243.1|DELE	LOC6624806|XP_002049656.1|DVIR
OG0000054	LOC108140678|XP_017119113.1|DELE	LOC6633223|XP_002056282.1|DVIR
OG0000054	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE	LOC6629800|XP_002053376.1|DVIR
OG0000054	LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
OG0000055	LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR
OG0000056	LOC108148700|XP_017131340.1|DELE	LOC6630824|XP_002054731.1|DVIR
OG0000056	LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR
OG0000056	LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE	LOC6627508|XP_002052791.1|DVIR
OG0000057	LOC108149908|XP_017133298.1|DELE	LOC116651248|XP_032293116.1|DVIR
OG0000058	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR
OG0000058	LOC108150544|XP_017134265.1|DELE	LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR
OG0000058	LOC108149860|XP_017133229.1|DELE	LOC6633609|XP_002056917.1|DVIR
OG0000059	LOC108148904|XP_017131709.1|DELE	LOC6635045|XP_002058688.1|DVIR
OG0000059	LOC108148902|XP_017131707.1|DELE, LOC108148903|XP_017131708.1|DELE	LOC6635047|XP_002058690.1|DVIR
OG0000059	LOC108148901|XP_017131706.1|DELE	LOC6635046|XP_032295222.1|DVIR
