Orthogroup	DELE.longest_only	DALB.longest_only
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC108144916|XP_017125568.1|DELE	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC108137992|XP_017115455.1|DELE	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC108137889|XP_017115317.1|DELE	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC117564301|XP_034098889.1|DALB
OG0000012	LOC108145523|XP_017126497.1|DELE	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC108145522|XP_017126496.1|DELE	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC108145538|XP_017126526.1|DELE	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108145542|XP_017126531.1|DELE	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108136687|XP_017113497.1|DELE	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC108138780|XP_017116737.1|DELE	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC108134675|XP_017110562.1|DELE	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC108144693|XP_017125256.1|DELE, LOC108141971|XP_017121111.1|DELE	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC108139227|XP_017117379.1|DELE	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108145428|XP_017126326.1|DELE	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108144651|XP_017125185.1|DELE	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108134657|XP_017110539.1|DELE	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108140478|XP_017118708.1|DELE	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108134991|XP_017111013.1|DELE	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108137351|XP_017114475.1|DELE	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108143462|XP_017123388.1|DELE	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108141554|XP_017120482.1|DELE	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108142172|XP_017121346.1|DELE	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108142475|XP_017121848.1|DELE	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC108142476|XP_017121849.1|DELE, LOC108142480|XP_017121852.1|DELE, LOC108142478|XP_017121851.1|DELE, LOC108142483|XP_017121857.1|DELE	LOC117569766|XP_034106951.1|DALB
OG0000020	LOC108148802|XP_017131514.1|DELE	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108145240|XP_017125995.1|DELE	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108136813|XP_017113705.1|DELE	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108140627|XP_017119032.1|DELE	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108143679|XP_017123678.1|DELE	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108143658|XP_017123658.1|DELE	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108140888|XP_017119410.1|DELE	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108139148|XP_017117255.1|DELE	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108134787|XP_017110724.1|DELE	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108137723|XP_017115107.1|DELE	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108144256|XP_017124426.1|DELE	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108140988|XP_017119550.1|DELE	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC108137536|XP_017114748.1|DELE	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108140949|XP_017119506.1|DELE	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108141054|XP_017119691.1|DELE	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108141157|XP_017119872.1|DELE	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108141055|XP_017119693.1|DELE	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108144317|XP_017124507.1|DELE	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108134565|XP_017110407.1|DELE	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108149067|XP_017131913.1|DELE	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108136491|XP_017113196.1|DELE	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000026	LOC108142200|XP_017121376.1|DELE	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108148207|XP_017130606.1|DELE	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108140970|XP_017119526.1|DELE	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC108138066|XP_017115531.1|DELE	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108138043|XP_017115505.1|DELE	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC108146069|XP_017127372.1|DELE	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC108135556|XP_017111792.1|DELE	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108138030|XP_017115492.1|DELE	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC108147758|XP_017129978.1|DELE	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108143463|XP_017123389.1|DELE	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108136286|XP_017112860.1|DELE	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108147607|XP_017129735.1|DELE	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108142073|XP_017121248.1|DELE	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108141568|XP_017120503.1|DELE	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC108141856|XP_017120938.1|DELE, LOC108141639|XP_017120598.1|DELE, LOC108141763|XP_017120751.1|DELE, LOC108145061|XP_017125731.1|DELE, LOC108145062|XP_017125732.1|DELE, LOC108136520|XP_017113279.1|DELE	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108145060|XP_017125730.1|DELE	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108150425|XP_017134072.1|DELE	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108150530|XP_017134248.1|DELE	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108134580|XP_017110423.1|DELE	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC108141221|XP_017119962.1|DELE	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108141229|XP_017119974.1|DELE	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108141167|XP_017119884.1|DELE	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108134742|XP_017110664.1|DELE	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108145158|XP_017125873.1|DELE	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108146067|XP_017127370.1|DELE	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108146005|XP_017127248.1|DELE	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108148259|XP_017130681.1|DELE	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108135451|XP_017111682.1|DELE	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108135405|XP_017111592.1|DELE	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108147617|XP_017129742.1|DELE	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108140733|XP_017119198.1|DELE, LOC108136930|XP_017113894.1|DELE	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108136932|XP_017113896.1|DELE	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108140405|XP_017118609.1|DELE	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC108139192|XP_017117319.1|DELE, LOC108139163|XP_017117272.1|DELE, LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC108139178|XP_017117292.1|DELE	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC108136884|XP_017113826.1|DELE	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC108137000|XP_017113987.1|DELE	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC108143748|XP_017123768.1|DELE	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC108143771|XP_017123788.1|DELE	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC108140749|XP_017119215.1|DELE	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC108150162|XP_017133621.1|DELE	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC108146641|XP_017128175.1|DELE	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC108146602|XP_017128138.1|DELE	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC108134821|XP_017110764.1|DELE, LOC108134933|XP_017110942.1|DELE	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC108147306|XP_017129219.1|DELE, LOC108147302|XP_017129214.1|DELE, LOC108147114|XP_017128893.1|DELE, LOC108144852|XP_017125488.1|DELE	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC108137997|XP_017115461.1|DELE	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC108137888|XP_017115315.1|DELE	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC108150380|XP_017134008.1|DELE	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC108149847|XP_017133213.1|DELE	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC108146206|XP_017127613.1|DELE	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC108146211|XP_017127619.1|DELE	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC108140399|XP_017118596.1|DELE	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC108140396|XP_017118593.1|DELE	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC108140391|XP_017118587.1|DELE	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC108140400|XP_017118597.1|DELE	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC108140395|XP_017118592.1|DELE	LOC117574439|XP_034114168.1|DALB
OG0000050	LOC108144105|XP_017124238.1|DELE	LOC117567964|XP_034104164.1|DALB
OG0000050	LOC108143198|XP_017122940.1|DELE	LOC117566525|XP_034101957.1|DALB
OG0000050	LOC108143121|XP_017122851.1|DELE	LOC117566526|XP_034101958.1|DALB
OG0000050	LOC108143197|XP_017122939.1|DELE	LOC117570483|XP_034108058.1|DALB
OG0000050	LOC108143120|XP_017122849.1|DELE	LOC117569367|XP_034106390.1|DALB
OG0000051	LOC108143756|XP_017123775.1|DELE	LOC117576304|XP_034116849.1|DALB
OG0000051	LOC108143275|XP_017123079.1|DELE	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB
OG0000051	LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE	LOC117576902|XP_034117931.1|DALB
OG0000052	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB
OG0000052	LOC108145160|XP_017125875.1|DELE	LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB
OG0000052	LOC108145159|XP_017125874.1|DELE	LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB
OG0000053	LOC108145359|XP_017126241.1|DELE	LOC117569597|XP_034106723.1|DALB
OG0000053	LOC108145358|XP_017126240.1|DELE	LOC117569598|XP_034106724.1|DALB
OG0000053	LOC108145357|XP_017126239.1|DELE	LOC117569609|XP_034106736.1|DALB
OG0000053	LOC108145356|XP_017126238.1|DELE	LOC117569596|XP_034106722.1|DALB
OG0000053	LOC108145362|XP_017126243.1|DELE	LOC117569600|XP_034106726.1|DALB
OG0000054	LOC108140678|XP_017119113.1|DELE	LOC117575896|XP_034116230.1|DALB
OG0000054	LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE	LOC117575899|XP_034116231.1|DALB
OG0000055	LOC108148506|XP_017131032.1|DELE	LOC117575962|XP_034116331.1|DALB, LOC117575960|XP_034116330.1|DALB
OG0000055	LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE	LOC117574528|XP_034114281.1|DALB, LOC117574682|XP_034114479.1|DALB, LOC117575963|XP_034116332.1|DALB
OG0000056	LOC108148700|XP_017131340.1|DELE	LOC117573870|XP_034113237.1|DALB
OG0000056	LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE	LOC117573868|XP_034113236.1|DALB, LOC117573871|XP_034113238.1|DALB, LOC117576772|XP_034117714.1|DALB, LOC117573872|XP_034113239.1|DALB
