Orthogroup	DMEL.longest_only	SLEB.longest_only
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC115628395|XP_030380343.1|SLEB
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC115628400|XP_030380349.1|SLEB
OG0000008	Crys|NP_476906.1|DMEL	LOC115631184|XP_030383735.1|SLEB
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC115628403|XP_030380351.1|SLEB
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC115623587|XP_030373847.1|SLEB
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC115624340|XP_030374852.1|SLEB
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC115624344|XP_030374855.1|SLEB
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC115623612|XP_030373889.1|SLEB
OG0000009	CG11453|NP_650832.1|DMEL	LOC115624173|XP_030374629.1|SLEB
OG0000009	CG11391|NP_650830.1|DMEL	LOC115624028|XP_030374465.1|SLEB
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	CG8834|NP_610779.1|DMEL	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC115633544|XP_030386861.1|SLEB
OG0000010	His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL	LOC115630140|XP_030382609.1|SLEB
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC115625114|XP_030375880.1|SLEB
OG0000012	CG9416|NP_611415.2|DMEL	LOC115626791|XP_030378121.1|SLEB
OG0000012	CG10051|NP_611414.1|DMEL	LOC115634820|XP_030388598.1|SLEB
OG0000012	CG11961|NP_725876.1|DMEL	LOC115624523|XP_030375106.1|SLEB
OG0000012	CG10062|NP_001261089.1|DMEL	LOC115632632|XP_030385725.1|SLEB
OG0000012	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL	LOC115630730|XP_030383248.1|SLEB
OG0000012	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC115634441|XP_030388010.1|SLEB
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC115626662|XP_030377938.1|SLEB
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC115625570|XP_030376527.1|SLEB
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC115623047|XP_030373085.1|SLEB
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC115621092|XP_030370486.1|SLEB
OG0000013	Hsp68|NP_524474.1|DMEL	LOC115624312|XP_030374797.1|SLEB
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	lectin-37Db|NP_001188847.1|DMEL	LOC115626216|XP_030377371.1|SLEB
OG0000015	CG7763|NP_001356891.1|DMEL	LOC115628471|XP_030380453.1|SLEB
OG0000016	Act87E|NP_477091.1|DMEL	LOC115621740|XP_030371332.1|SLEB
OG0000016	Act57B|NP_523800.1|DMEL	LOC115634422|XP_030387989.1|SLEB
OG0000016	Arp1|NP_524331.2|DMEL	LOC115620605|XP_030369779.1|SLEB
OG0000016	Arp53D|NP_477037.2|DMEL	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	Act5C|NP_511052.1|DMEL	LOC115628929|XP_030381051.1|SLEB
OG0000016	Act42A|NP_523625.1|DMEL	LOC115634608|XP_030388318.1|SLEB
OG0000016	Act88F|NP_524367.1|DMEL	LOC115621272|XP_030370732.1|SLEB
OG0000016	Act79B|NP_524210.1|DMEL	LOC115634447|XP_030388017.1|SLEB
OG0000017	Or7a|NP_511081.1|DMEL	LOC115627671|XP_030379272.1|SLEB
OG0000017	Or43b|NP_523656.2|DMEL	LOC115619974|XP_030368869.1|SLEB
OG0000017	Or42a|NP_523622.2|DMEL	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	Or59b|NP_523822.1|DMEL	LOC115630526|XP_030382993.1|SLEB
OG0000017	Or42b|NP_523624.2|DMEL	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC115620280|XP_030369314.1|SLEB
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC115633159|XP_030386430.1|SLEB
OG0000018	Lcp65Ac|NP_477279.1|DMEL	LOC115633160|XP_030386431.1|SLEB
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC115633162|XP_030386433.1|SLEB
OG0000019	CG6283|NP_651524.1|DMEL	LOC115621701|XP_030371268.1|SLEB
OG0000019	CG6296|NP_651520.1|DMEL	LOC115621698|XP_030371264.1|SLEB
OG0000019	CG6295|NP_651521.1|DMEL	LOC115621699|XP_030371266.1|SLEB
OG0000019	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC115621700|XP_030371267.1|SLEB
OG0000020	rdog|NP_651678.1|DMEL	LOC115620461|XP_030369552.1|SLEB
OG0000020	CG10505|NP_611571.2|DMEL	LOC115634835|XP_030388616.1|SLEB
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL	LOC115625139|XP_030375917.1|SLEB
OG0000020	CG4562|NP_001262747.1|DMEL	LOC115623558|XP_030373816.1|SLEB
OG0000020	Mrp4|NP_650086.2|DMEL	LOC115623561|XP_030373817.1|SLEB
OG0000020	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC115625796|XP_030376833.1|SLEB
OG0000021	PpD6|NP_524947.1|DMEL	LOC115632536|XP_030385602.1|SLEB
OG0000021	Pp1-Y1|NP_001104152.3|DMEL	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	PpN58A|NP_477384.1|DMEL	LOC115624982|XP_030375700.1|SLEB
OG0000021	PpY-55A|NP_476689.1|DMEL	LOC115619935|XP_030372749.1|SLEB
OG0000021	Pp1-Y2|NP_001015497.4|DMEL	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	flw|NP_727418.1|DMEL	LOC115629488|XP_030381818.1|SLEB
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC115625208|XP_030376037.1|SLEB
OG0000021	Pp1-87B|NP_524937.1|DMEL	LOC115620616|XP_030369796.1|SLEB
OG0000021	Pp1-13C|NP_524921.1|DMEL	LOC115629963|XP_030382440.1|SLEB
OG0000022	CG7798|NP_611098.1|DMEL	LOC115634544|XP_030388214.1|SLEB
OG0000022	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL	LOC115624802|XP_030375508.1|SLEB
OG0000023	alpha-Est6|NP_524262.1|DMEL	LOC115623320|XP_030373442.1|SLEB
OG0000023	alpha-Est5|NP_001246965.1|DMEL	LOC115623826|XP_030374229.1|SLEB
OG0000023	alpha-Est2|NP_524268.3|DMEL	LOC115623325|XP_030373446.1|SLEB
OG0000023	alpha-Est1|NP_524269.3|DMEL	LOC115623824|XP_030374228.1|SLEB
OG0000023	alpha-Est7|NP_524261.1|DMEL	LOC115623322|XP_030373444.1|SLEB
OG0000023	alpha-Est9|NP_731165.2|DMEL	LOC115623324|XP_030373445.1|SLEB
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC115623321|XP_030373443.1|SLEB
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC115623326|XP_030373447.1|SLEB
OG0000024	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL	LOC115626230|XP_030377390.1|SLEB
OG0000024	Ser8|NP_610874.1|DMEL	LOC115633141|XP_030386412.1|SLEB
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	His3_CG33839|NP_001027343.1|DMEL	LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000025	His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL	LOC115630303|XP_030382701.1|SLEB
OG0000026	antdh|NP_572695.2|DMEL	LOC115627188|XP_030378651.1|SLEB
OG0000026	CG9150|NP_608991.2|DMEL	LOC115626629|XP_030377893.1|SLEB
OG0000026	CG9360|NP_572746.1|DMEL	LOC115627162|XP_030378606.1|SLEB
OG0000027	Acp1|NP_477115.1|DMEL	LOC115632057|XP_030384894.1|SLEB
OG0000027	CG7203|NP_609143.2|DMEL	LOC115632056|XP_030384892.1|SLEB
OG0000027	CG7214|NP_609141.1|DMEL	LOC115631416|XP_030384002.1|SLEB
OG0000029	CheA75a|NP_649035.2|DMEL	LOC115634071|XP_030387478.1|SLEB
OG0000030	Or33c|NP_523555.1|DMEL	LOC115631185|XP_030383736.1|SLEB
OG0000030	Or33a|NP_523553.1|DMEL, Or33b|NP_523554.1|DMEL	LOC115631186|XP_030383737.1|SLEB
OG0000030	Or23a|NP_523458.3|DMEL	LOC115630766|XP_030383282.1|SLEB
OG0000030	Or59a|NP_523821.1|DMEL	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	Or2a|NP_525046.1|DMEL	LOC115627904|XP_030379659.1|SLEB
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	CG5390|NP_609374.1|DMEL	LOC115631052|XP_030383546.1|SLEB
OG0000032	GstD1|NP_524326.1|DMEL	LOC115621800|XP_030371439.1|SLEB
OG0000032	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC115621799|XP_030371437.1|SLEB
OG0000033	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL, CheB38b|NP_995735.1|DMEL, CheB42c|NP_995764.2|DMEL, CheB42b|NP_995763.1|DMEL	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	CheB42a|NP_995765.1|DMEL	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL	LOC115631238|XP_030383807.1|SLEB
OG0000034	Ugt37E1|NP_652628.2|DMEL	LOC115631233|XP_030383802.1|SLEB
OG0000034	Ugt37D1|NP_652627.2|DMEL	LOC115631016|XP_030383488.1|SLEB
OG0000034	Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	Sp7|NP_649734.2|DMEL	LOC115623477|XP_030373705.1|SLEB
OG0000036	ea|NP_524362.2|DMEL	LOC115621020|XP_030370399.1|SLEB
OG0000036	MP1|NP_001303421.1|DMEL	LOC115620249|XP_030369258.1|SLEB
OG0000036	SPE|NP_651168.1|DMEL	LOC115621341|XP_030370821.1|SLEB
OG0000037	Cyp12b2|NP_611370.2|DMEL	LOC115626848|XP_030378208.1|SLEB
OG0000037	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC115633983|XP_030387367.1|SLEB
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC115633961|XP_030387345.1|SLEB
OG0000039	CG42564|NP_649651.2|DMEL	LOC115633921|XP_030387291.1|SLEB
OG0000039	Ag5r|NP_524770.1|DMEL	LOC115633267|XP_030386532.1|SLEB
OG0000039	Ag5r2|NP_524689.2|DMEL	LOC115628050|XP_030379855.1|SLEB
OG0000039	CG32679|NP_727412.2|DMEL	LOC115633390|XP_030386693.1|SLEB
OG0000040	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	CG4820|NP_001097748.1|DMEL	LOC115624210|XP_030374678.1|SLEB
OG0000040	CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	CG1792|NP_651878.1|DMEL	LOC115621426|XP_030370938.1|SLEB
OG0000042	CG34028|NP_001033838.1|DMEL	LOC115630085|XP_030382572.1|SLEB
OG0000042	CG14502|NP_611311.1|DMEL, CG18539|NP_611315.3|DMEL, CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	Ugt302K1|NP_652620.1|DMEL	LOC115623987|XP_030374418.1|SLEB
OG0000043	Ugt302C1|NP_652626.1|DMEL	LOC115623491|XP_030373724.1|SLEB
OG0000043	Ugt302E1|NP_652625.2|DMEL	LOC115623337|XP_030373467.1|SLEB
OG0000043	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL	LOC115623986|XP_030374417.1|SLEB
OG0000044	CG31087|NP_733100.1|DMEL	LOC115624024|XP_030374460.1|SLEB
OG0000044	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL	LOC115623538|XP_030373780.1|SLEB
OG0000044	CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL	LOC115631500|XP_030384120.1|SLEB
OG0000044	CG6908|NP_650105.1|DMEL	LOC115624165|XP_030374623.1|SLEB
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC115632695|XP_030385792.1|SLEB
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC115632698|XP_030385795.1|SLEB
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC115632700|XP_030385796.1|SLEB
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC115632701|XP_030385797.1|SLEB
OG0000046	CG5892|NP_650959.2|DMEL, CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL, CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	loopin-1|NP_001097338.1|DMEL	LOC115631261|XP_030383836.1|SLEB
OG0000047	S-Lap8|NP_611132.1|DMEL	LOC115632503|XP_030385556.1|SLEB
OG0000047	S-Lap5|NP_610892.1|DMEL	LOC115626702|XP_030377994.1|SLEB
OG0000047	S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL	LOC115622391|XP_030372176.1|SLEB
OG0000048	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	CG13044|NP_648867.1|DMEL	LOC115632620|XP_030385708.1|SLEB
OG0000048	CG13042|NP_648870.1|DMEL	LOC115632159|XP_030385047.1|SLEB
OG0000049	CG4053|NP_650601.2|DMEL	LOC115631187|XP_030383738.1|SLEB
OG0000049	CG5246|NP_650603.1|DMEL	LOC115625471|XP_030376380.1|SLEB
OG0000049	CG17475|NP_650600.2|DMEL	LOC115625469|XP_030376378.1|SLEB
OG0000049	CG31269|NP_001097818.1|DMEL	LOC115625467|XP_030376376.1|SLEB
OG0000049	CG31265|NP_650599.1|DMEL	LOC115625232|XP_030376077.1|SLEB
OG0000049	CG5255|NP_650604.1|DMEL	LOC115621014|XP_030370394.1|SLEB
OG0000050	CG33769|NP_001027143.1|DMEL	LOC115632844|XP_030385961.1|SLEB
OG0000050	CG33767|NP_001027141.1|DMEL	LOC115632845|XP_030385962.1|SLEB
OG0000050	CG33771|NP_001027145.3|DMEL	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	Cyp313b1|NP_649807.1|DMEL	LOC115624036|XP_030374474.1|SLEB
OG0000051	Cyp313a4|NP_650224.3|DMEL	LOC115620987|XP_030370367.1|SLEB
OG0000052	CG16904|NP_649957.1|DMEL, CG31141|NP_732912.2|DMEL, eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL	LOC115621355|XP_030370842.1|SLEB
OG0000052	CG17821|NP_725820.2|DMEL, CG18609|NP_611365.2|DMEL	LOC115621366|XP_030370854.1|SLEB
OG0000053	Mal-A8|NP_610384.1|DMEL, Mal-A7|NP_610383.1|DMEL	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	Mal-A6|NP_995779.2|DMEL	LOC115634038|XP_030387442.1|SLEB
OG0000053	Mal-A5|NP_610382.2|DMEL	LOC115634037|XP_030387441.1|SLEB
OG0000053	Mal-A1|NP_476627.3|DMEL	LOC115634626|XP_030388341.1|SLEB
OG0000054	AOX1|NP_650475.1|DMEL	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	AOX2|NP_732047.2|DMEL	LOC115623633|XP_030373934.1|SLEB
OG0000054	AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL	LOC115624033|XP_030374471.1|SLEB
OG0000056	CG6726|NP_651120.1|DMEL	LOC115626734|XP_030378039.1|SLEB
OG0000056	CG17110|NP_651121.1|DMEL, CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL	LOC115626727|XP_030378033.1|SLEB
OG0000056	CG6465|NP_650004.1|DMEL	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL, AANATL2|NP_609005.1|DMEL	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
OG0000058	AgmNAT|NP_572268.1|DMEL	LOC115629610|XP_030381967.1|SLEB
OG0000059	TwdlH|NP_651490.1|DMEL	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB
OG0000059	TwdlN|NP_733160.1|DMEL	LOC115621386|XP_030370879.1|SLEB
OG0000059	TwdlM|NP_651484.1|DMEL	LOC115620757|XP_030370013.1|SLEB
OG0000060	CkIalpha|NP_511140.1|DMEL	LOC115629929|XP_030382393.1|SLEB
OG0000060	CG7094|NP_609851.2|DMEL	LOC115630565|XP_030383041.1|SLEB
OG0000060	CG12147|NP_649536.1|DMEL	LOC115623364|XP_030373510.1|SLEB
OG0000060	dco|NP_001356928.1|DMEL	LOC115620624|XP_030369812.1|SLEB
OG0000060	CG2577|NP_572794.1|DMEL	LOC115629360|XP_030381672.1|SLEB
OG0000060	CG9962|NP_608697.1|DMEL	LOC115630767|XP_030383283.1|SLEB
OG0000061	CG15255|NP_609755.1|DMEL	LOC115631729|XP_030384426.1|SLEB
OG0000061	CG15254|NP_609757.1|DMEL	LOC115631701|XP_030384388.1|SLEB
OG0000062	CG12111|NP_572491.1|DMEL	LOC115627142|XP_030378579.1|SLEB
OG0000062	Lectin-galC1|NP_477200.1|DMEL, lectin-37Da|NP_001188846.1|DMEL	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB
