Orthogroup	DMEL.longest_only	CPIP.longest_only
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC120430236|XP_039451249.1|CPIP
OG0000010	His4_CG33875|NP_001027367.1|DMEL, His4_CG33901|NP_001027302.1|DMEL, His4_CG33889|NP_001027332.1|DMEL, His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL, His4_CG33899|NP_001027307.1|DMEL	LOC120422947|XP_039442463.1|CPIP
OG0000010	His4_CG33897|NP_001027312.1|DMEL, His4_CG33907|NP_001027288.1|DMEL, His4_CG33905|NP_001027293.1|DMEL, His4_CG33883|NP_001027347.1|DMEL	LOC120415441|XP_039432923.1|CPIP
OG0000012	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC120421446|XP_039440586.1|CPIP
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC120414719|XP_039431959.1|CPIP
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC120419254|XP_039437842.1|CPIP
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC120420165|XP_039439065.1|CPIP
OG0000013	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000016	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	Arp1|NP_524331.2|DMEL	LOC120432396|XP_039453527.1|CPIP
OG0000016	Act5C|NP_511052.1|DMEL	LOC120421049|XP_039440125.1|CPIP
OG0000016	Act79B|NP_524210.1|DMEL	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC120418854|XP_039437316.1|CPIP
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP
OG0000020	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL	LOC120421785|XP_039440991.1|CPIP
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC120420106|XP_039438987.1|CPIP
OG0000021	flw|NP_727418.1|DMEL	LOC120418811|XP_039437259.1|CPIP
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL	LOC120424111|XP_039444066.1|CPIP
OG0000022	CG7798|NP_611098.1|DMEL, LysX|NP_523881.1|DMEL, LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL, LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL	LOC120418999|XP_039437504.1|CPIP
OG0000023	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP
OG0000025	His3_CG33839|NP_001027343.1|DMEL	LOC120422949|XP_039442466.1|CPIP
OG0000026	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP
OG0000027	Acp1|NP_477115.1|DMEL, CG7203|NP_609143.2|DMEL, CG7214|NP_609141.1|DMEL	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP
OG0000028	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP
OG0000029	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP
OG0000032	GstD1|NP_524326.1|DMEL, GstD10|NP_652713.1|DMEL, GstD9|NP_650181.1|DMEL, GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP
OG0000036	Sp7|NP_649734.2|DMEL	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP
OG0000036	ea|NP_524362.2|DMEL	LOC120428713|XP_039449719.1|CPIP
OG0000037	Cyp12b2|NP_611370.2|DMEL, Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC120421672|XP_039440837.1|CPIP
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC120424485|XP_039444561.1|CPIP
OG0000039	CG42564|NP_649651.2|DMEL	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP
OG0000043	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL, Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP
OG0000044	CG31087|NP_733100.1|DMEL, CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL, CG6908|NP_650105.1|DMEL	LOC120431841|XP_039452903.1|CPIP
OG0000047	loopin-1|NP_001097338.1|DMEL, S-Lap8|NP_611132.1|DMEL, S-Lap5|NP_610892.1|DMEL, S-Lap3|NP_648394.1|DMEL, S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL	LOC120423119|XP_039442732.1|CPIP
OG0000048	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL, CG13042|NP_648870.1|DMEL	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP
OG0000049	CG4053|NP_650601.2|DMEL, CG5246|NP_650603.1|DMEL, CG17475|NP_650600.2|DMEL, CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL, CG5255|NP_650604.1|DMEL	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP
OG0000051	Cyp313b1|NP_649807.1|DMEL, Cyp313a4|NP_650224.3|DMEL, Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP
OG0000053	Mal-A8|NP_610384.1|DMEL, Mal-A7|NP_610383.1|DMEL, Mal-A6|NP_995779.2|DMEL	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP
OG0000054	AOX1|NP_650475.1|DMEL, AOX2|NP_732047.2|DMEL, AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP
OG0000055	CecC|NP_524591.1|DMEL, CecA2|NP_524589.1|DMEL, CecA1|NP_524588.1|DMEL, CecB|NP_524590.1|DMEL	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP
OG0000056	CG6726|NP_651120.1|DMEL, CG17110|NP_651121.1|DMEL, CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL, CG6465|NP_650004.1|DMEL	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP
OG0000058	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL, AANATL2|NP_609005.1|DMEL, AgmNAT|NP_572268.1|DMEL	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP
OG0000060	CkIalpha|NP_511140.1|DMEL	LOC120420228|XP_039439150.1|CPIP
OG0000060	dco|NP_001356928.1|DMEL	LOC120426886|XP_039447624.1|CPIP
OG0000061	CG15255|NP_609755.1|DMEL, CG7631|NP_609760.1|DMEL, CG15254|NP_609757.1|DMEL, CG15253|NP_609758.1|DMEL	LOC120415159|XP_039432529.1|CPIP
OG0000067	Alp5|NP_650931.1|DMEL, Alp9|NP_647977.1|DMEL	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP
OG0000067	Alp6|NP_610496.1|DMEL, Alp10|NP_647976.1|DMEL	LOC120432651|XP_039453829.1|CPIP
OG0000067	Alp1|NP_001262159.1|DMEL	LOC120427625|XP_039448443.1|CPIP
OG0000068	CG6052|NP_649002.3|DMEL, CG31213|NP_001262752.1|DMEL, CG42816|NP_730301.3|DMEL, CG8908|NP_611464.3|DMEL, ABCA|NP_608445.2|DMEL	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP
OG0000070	CG9498|NP_609015.2|DMEL, CG13360|NP_569859.1|DMEL, CG9497|NP_609014.3|DMEL, CG7135|NP_573269.1|DMEL	LOC120414155|XP_039431129.1|CPIP
OG0000071	CG10725|NP_648647.1|DMEL, CG10154|NP_001189089.1|DMEL, CG10140|NP_648648.2|DMEL	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP
OG0000072	jtb|NP_611126.1|DMEL, CG15712|NP_611131.2|DMEL, CG4409|NP_001097337.1|DMEL	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP
OG0000073	lolal|NP_524778.1|DMEL	LOC120414900|XP_039432160.1|CPIP
OG0000073	br|NP_001162638.2|DMEL	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP
OG0000073	pre-mod_mdg4_-E|NP_001287451.1|DMEL	LOC120418372|XP_039436675.1|CPIP
OG0000074	CG10472|NP_648017.1|DMEL, CG7542|NP_648995.3|DMEL	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP
OG0000076	CG42540|NP_001246627.1|DMEL	LOC120414119|XP_039431083.1|CPIP
OG0000076	CG33253|NP_001259699.1|DMEL	LOC120419152|XP_039437732.1|CPIP
OG0000077	betaTub56D|NP_725896.1|DMEL	LOC120428195|XP_039449110.1|CPIP
OG0000077	betaTub60D|NP_523842.2|DMEL	LOC120425394|XP_039445844.1|CPIP
OG0000077	betaTub97EF|NP_651606.2|DMEL	LOC120420744|XP_039439774.1|CPIP
OG0000078	CG15128|NP_611441.1|DMEL, CG7634|NP_649332.1|DMEL, wa-cup|NP_649721.2|DMEL, r-cup|NP_608419.1|DMEL, p-cup|NP_573216.1|DMEL	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP
OG0000080	Amy-d|NP_523768.1|DMEL, Amy-p|NP_536346.1|DMEL, Amyrel|NP_477262.1|DMEL	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP
OG0000082	Cyp6d2|NP_611698.1|DMEL, Cyp6d4|NP_651082.1|DMEL, Cyp6d5|NP_650327.1|DMEL	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP
OG0000083	LManI|NP_609407.1|DMEL, LManVI|NP_609253.1|DMEL, LManV|NP_609252.1|DMEL, LManIII|NP_609250.2|DMEL, LManIV|NP_609251.2|DMEL, LManII|NP_609408.1|DMEL	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP
OG0000084	CG15073|NP_611362.2|DMEL	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP
OG0000084	CG8388|NP_611075.1|DMEL	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP
OG0000085	CG30491|NP_610306.1|DMEL	LOC120418894|XP_039437359.1|CPIP
OG0000086	fest|NP_611412.1|DMEL	LOC120419495|XP_039438120.1|CPIP
OG0000087	Cpr30F|NP_723504.1|DMEL	LOC120431959|XP_039453027.1|CPIP, LOC120424926|XP_039445151.1|CPIP, LOC120424893|XP_039445115.1|CPIP, LOC120431961|XP_039453029.1|CPIP, LOC120431960|XP_039453028.1|CPIP, LOC120424925|XP_039445150.1|CPIP, LOC120424892|XP_039445113.1|CPIP, LOC120424924|XP_039445149.1|CPIP, LOC120424889|XP_039445110.1|CPIP, LOC120425288|XP_039445674.1|CPIP
OG0000087	Cpr35B|NP_609713.1|DMEL, Cpr31A|NP_995678.1|DMEL	LOC120424910|XP_039445137.1|CPIP, LOC120424913|XP_039445140.1|CPIP
OG0000088	Vha16-1|NP_476801.1|DMEL	LOC120424171|XP_039444162.1|CPIP
