Orthogroup	DMEL.longest_only	BTRY.longest_only
OG0000005	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL	LOC120767523|XP_039949552.1|BTRY
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY
OG0000006	His2A_CG33847|NP_001027356.1|DMEL	LOC120767507|XP_039949534.1|BTRY
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC120781340|XP_039969478.1|BTRY
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC120782797|XP_039971208.1|BTRY
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC120778932|XP_039966913.1|BTRY
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC120778930|XP_039966911.1|BTRY
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC120778933|XP_039966914.1|BTRY
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC120778217|XP_039965948.1|BTRY
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC120780533|XP_039968729.1|BTRY
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC120778133|XP_039965828.1|BTRY
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC120780988|XP_039969143.1|BTRY
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	CG11453|NP_650832.1|DMEL	LOC120780063|XP_039968275.1|BTRY
OG0000009	CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC120782593|XP_039970879.1|BTRY
OG0000009	CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL	LOC120766432|XP_039947870.1|BTRY
OG0000010	His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL	LOC120767531|XP_039949557.1|BTRY
OG0000010	His4_CG33897|NP_001027312.1|DMEL, His4_CG33907|NP_001027288.1|DMEL, His4_CG33905|NP_001027293.1|DMEL, His4_CG33883|NP_001027347.1|DMEL	LOC120767528|XP_039949554.1|BTRY
OG0000012	CG9416|NP_611415.2|DMEL	LOC120772295|XP_039956737.1|BTRY
OG0000012	CG10051|NP_611414.1|DMEL	LOC120771372|XP_039955267.1|BTRY
OG0000012	CG11961|NP_725876.1|DMEL	LOC120772056|XP_039956371.1|BTRY
OG0000012	CG10062|NP_001261089.1|DMEL	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC120772529|XP_039957131.1|BTRY
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC120770990|XP_039954671.1|BTRY
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC120776120|XP_039962578.1|BTRY
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC120769789|XP_039952912.1|BTRY
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC120778592|XP_039966397.1|BTRY
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC120782170|XP_039970244.1|BTRY
OG0000013	Hsp68|NP_524474.1|DMEL	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000015	lectin-37Db|NP_001188847.1|DMEL, lectin-24A|NP_652637.1|DMEL, CG43797|NP_001260012.1|DMEL, lectin-22C|NP_001137766.1|DMEL, CG15358|NP_608629.3|DMEL, CG15818|NP_609116.1|DMEL, CG7763|NP_001356891.1|DMEL	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	Arp1|NP_524331.2|DMEL	LOC120774116|XP_039959415.1|BTRY
OG0000016	Act42A|NP_523625.1|DMEL	LOC120775405|XP_039961502.1|BTRY
OG0000016	Act88F|NP_524367.1|DMEL	LOC120767942|XP_039950259.1|BTRY
OG0000016	Act79B|NP_524210.1|DMEL	LOC120773675|XP_039958634.1|BTRY
OG0000017	Or7a|NP_511081.1|DMEL	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	Or43b|NP_523656.2|DMEL, Or42a|NP_523622.2|DMEL	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	Lcp65Ac|NP_477279.1|DMEL	LOC120777489|XP_039964764.1|BTRY
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC120777549|XP_039964872.1|BTRY
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	rdog|NP_651678.1|DMEL	LOC120772465|XP_039957032.1|BTRY
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL	LOC120782274|XP_039970399.1|BTRY
OG0000020	CG4562|NP_001262747.1|DMEL	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	flw|NP_727418.1|DMEL	LOC120776121|XP_039962581.1|BTRY
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC120780423|XP_039968662.1|BTRY
OG0000021	Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL	LOC120766828|XP_039948474.1|BTRY
OG0000022	CG7798|NP_611098.1|DMEL	LOC120770783|XP_039954296.1|BTRY
OG0000022	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000023	alpha-Est3|NP_524267.2|DMEL	LOC120770307|XP_039953615.1|BTRY
OG0000023	alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL	LOC120782575|XP_039970851.1|BTRY
OG0000023	alpha-Est7|NP_524261.1|DMEL	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	alpha-Est9|NP_731165.2|DMEL	LOC120766880|XP_039948548.1|BTRY
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC120774273|XP_039959699.1|BTRY
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC120766882|XP_039948559.1|BTRY
OG0000024	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	epsilonTry|NP_525112.1|DMEL	LOC120771072|XP_039954818.1|BTRY
OG0000024	CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC120774110|XP_039959404.1|BTRY
OG0000025	His3_CG33839|NP_001027343.1|DMEL	LOC120767501|XP_039949528.1|BTRY
OG0000025	His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL	LOC120767497|XP_039949523.1|BTRY
OG0000026	CG9150|NP_608991.2|DMEL	LOC120773924|XP_039959055.1|BTRY
OG0000026	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	Acp1|NP_477115.1|DMEL	LOC120768378|XP_039950978.1|BTRY
OG0000027	CG7203|NP_609143.2|DMEL	LOC120768612|XP_039951313.1|BTRY
OG0000027	CG7214|NP_609141.1|DMEL	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	CG14095|NP_649112.1|DMEL	LOC120777924|XP_039965441.1|BTRY
OG0000028	CG32212|NP_730416.1|DMEL	LOC120777926|XP_039965443.1|BTRY
OG0000028	CG13068|NP_648856.1|DMEL	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	Or33c|NP_523555.1|DMEL, Or33a|NP_523553.1|DMEL, Or33b|NP_523554.1|DMEL	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	Or23a|NP_523458.3|DMEL	LOC120773026|XP_039957889.1|BTRY
OG0000030	Or59a|NP_523821.1|DMEL	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	Or2a|NP_525046.1|DMEL	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC120776112|XP_039962547.1|BTRY
OG0000031	CG5390|NP_609374.1|DMEL	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	GstD1|NP_524326.1|DMEL	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC120782780|XP_039971181.1|BTRY
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	Sp7|NP_649734.2|DMEL	LOC120776996|XP_039964035.1|BTRY
OG0000036	ea|NP_524362.2|DMEL	LOC120778788|XP_039966724.1|BTRY
OG0000036	MP1|NP_001303421.1|DMEL	LOC120782503|XP_039970745.1|BTRY
OG0000036	SPE|NP_651168.1|DMEL	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	Cyp12b2|NP_611370.2|DMEL	LOC120770870|XP_039954430.1|BTRY
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	Ag5r|NP_524770.1|DMEL	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL, CG4820|NP_001097748.1|DMEL, CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL, Odj|NP_650661.1|DMEL, CG1792|NP_651878.1|DMEL	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	CG31087|NP_733100.1|DMEL	LOC120772588|XP_039957233.1|BTRY
OG0000044	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	CG6908|NP_650105.1|DMEL	LOC120782367|XP_039970539.1|BTRY
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC120778581|XP_039966382.1|BTRY
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC120778222|XP_039965914.1|BTRY
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC120777964|XP_039965517.1|BTRY
OG0000047	loopin-1|NP_001097338.1|DMEL, S-Lap8|NP_611132.1|DMEL, S-Lap5|NP_610892.1|DMEL, S-Lap3|NP_648394.1|DMEL, S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL	LOC120775795|XP_039962073.1|BTRY
OG0000048	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	CG13042|NP_648870.1|DMEL	LOC120770486|XP_039953934.1|BTRY
OG0000049	CG4053|NP_650601.2|DMEL	LOC120782870|XP_039971347.1|BTRY
OG0000049	CG5246|NP_650603.1|DMEL	LOC120782209|XP_039970301.1|BTRY
OG0000049	CG17475|NP_650600.2|DMEL	LOC120781673|XP_039969832.1|BTRY
OG0000049	CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	CG5255|NP_650604.1|DMEL	LOC120772847|XP_039957638.1|BTRY
OG0000050	CG13193|NP_610699.1|DMEL	LOC120776369|XP_039962882.1|BTRY
OG0000050	CG33766|NP_001027140.1|DMEL, CG33770|NP_001027144.2|DMEL, CG33769|NP_001027143.1|DMEL, CG33767|NP_001027141.1|DMEL, CG33771|NP_001027145.3|DMEL, CG33768|NP_001027142.2|DMEL	LOC120778411|XP_039966128.1|BTRY
OG0000051	Cyp313b1|NP_649807.1|DMEL	LOC120776450|XP_039963045.1|BTRY
OG0000051	Cyp313a4|NP_650224.3|DMEL	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY
