Orthogroup	DMEL.longest_only	DFIC.longest_only
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108090320|XP_017044421.1|DFIC
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	LOC108094043|XP_017049969.1|DFIC
OG0000005	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL	LOC108094052|XP_017049981.1|DFIC
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC108093252|XP_017048717.1|DFIC
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC108093253|XP_017048718.1|DFIC
OG0000007	yip7|NP_523944.1|DMEL	LOC108093241|XP_017048705.1|DFIC
OG0000007	CG10477|NP_648010.1|DMEL	LOC108093261|XP_017048727.1|DFIC
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC108089978|XP_017043968.1|DFIC
OG0000007	Jon44E|NP_724699.1|DMEL	LOC108090582|XP_017044820.1|DFIC
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC108099497|XP_017058547.1|DFIC
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC108089778|XP_017043661.1|DFIC
OG0000007	Jon66Cii|NP_648217.1|DMEL	LOC108088955|XP_017042464.1|DFIC
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC108088950|XP_017042460.1|DFIC
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC108093152|XP_017048588.1|DFIC
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC108093153|XP_017048589.1|DFIC
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108101034|XP_017060691.1|DFIC
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC108100331|XP_017059630.1|DFIC
OG0000008	Crys|NP_476906.1|DMEL	LOC108093477|XP_017049051.1|DFIC
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC108100333|XP_017059632.1|DFIC
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC108091746|XP_017046577.1|DFIC
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108091769|XP_017046605.1|DFIC
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108091757|XP_017046589.1|DFIC
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108091754|XP_017046587.1|DFIC
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC108091767|XP_017046601.1|DFIC
OG0000009	CG11453|NP_650832.1|DMEL	LOC108101115|XP_017060823.1|DFIC
OG0000009	CG11391|NP_650830.1|DMEL	LOC108101125|XP_017060838.1|DFIC
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC
OG0000009	CG11407|NP_650831.1|DMEL	LOC108101116|XP_017060824.1|DFIC
OG0000009	CG4563|NP_611913.1|DMEL	LOC108101809|XP_017061774.1|DFIC
OG0000009	CG4830|NP_650160.1|DMEL	LOC108088079|XP_017041220.1|DFIC
OG0000009	CG8834|NP_610779.1|DMEL	LOC108086769|XP_017039304.1|DFIC
OG0000010	His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL	LOC108098255|XP_017056544.1|DFIC
OG0000010	His4_CG33899|NP_001027307.1|DMEL	LOC108086289|XP_017038672.1|DFIC
OG0000011	CG15436|NP_608840.1|DMEL	LOC108101289|XP_017061078.1|DFIC
OG0000011	Neu2|NP_649316.1|DMEL	LOC108100104|XP_017059339.1|DFIC
OG0000011	CG4318|NP_572860.2|DMEL	LOC108095556|XP_017052180.1|DFIC
OG0000011	CG17361|NP_648678.3|DMEL	LOC108086883|XP_017039433.1|DFIC
OG0000011	CG17359|NP_648679.1|DMEL	LOC108086913|XP_017039476.1|DFIC
OG0000011	CG8319|NP_649920.2|DMEL	LOC108098799|XP_017057429.1|DFIC
OG0000012	CG9416|NP_611415.2|DMEL	LOC108096904|XP_017054341.1|DFIC
OG0000012	CG10051|NP_611414.1|DMEL	LOC108096903|XP_017054340.1|DFIC
OG0000012	CG11961|NP_725876.1|DMEL	LOC108096929|XP_017054370.1|DFIC
OG0000012	CG10062|NP_001261089.1|DMEL	LOC108096943|XP_017054393.1|DFIC
OG0000012	CG10081|NP_611418.1|DMEL	LOC108096563|XP_017053746.1|DFIC
OG0000012	CG10073|NP_001261090.1|DMEL	LOC108096571|XP_017053756.1|DFIC
OG0000012	CG30047|NP_725141.1|DMEL	LOC108086628|XP_017039092.1|DFIC
OG0000012	CG30049|NP_725142.3|DMEL	LOC108086618|XP_017039083.1|DFIC
OG0000012	CG30043|NP_725143.1|DMEL	LOC108086755|XP_017039283.1|DFIC
OG0000012	CG33012|NP_788335.2|DMEL	LOC108086627|XP_017039091.1|DFIC
OG0000012	CG13160|NP_001260918.1|DMEL	LOC108086756|XP_017039284.1|DFIC
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC108101557|XP_017061445.1|DFIC
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC108101682|XP_017061593.1|DFIC
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC108098830|XP_017057474.1|DFIC
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC108086910|XP_017039470.1|DFIC
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC108087118|XP_017039788.1|DFIC
OG0000013	Hsp68|NP_524474.1|DMEL	LOC108091996|XP_017046910.1|DFIC
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	lectin-24A|NP_652637.1|DMEL	LOC108092527|XP_017047639.1|DFIC
OG0000015	lectin-22C|NP_001137766.1|DMEL	LOC108094095|XP_017050008.1|DFIC
OG0000015	CG15358|NP_608629.3|DMEL	LOC108094122|XP_017050032.1|DFIC
OG0000015	CG15818|NP_609116.1|DMEL	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC
OG0000015	CG7763|NP_001356891.1|DMEL	LOC108086461|XP_017038876.1|DFIC
OG0000016	Act87E|NP_477091.1|DMEL	LOC108091644|XP_017046435.1|DFIC
OG0000016	Act57B|NP_523800.1|DMEL	LOC108095161|XP_017051608.1|DFIC
OG0000016	Arp1|NP_524331.2|DMEL	LOC108088049|XP_017041175.1|DFIC
OG0000016	Arp53D|NP_477037.2|DMEL	LOC108090474|XP_017044659.1|DFIC
OG0000016	Act5C|NP_511052.1|DMEL	LOC108092889|XP_017048224.1|DFIC
OG0000016	Act42A|NP_523625.1|DMEL	LOC108091135|XP_017045658.1|DFIC
OG0000016	Act88F|NP_524367.1|DMEL	LOC108096392|XP_017053452.1|DFIC
OG0000016	Act79B|NP_524210.1|DMEL	LOC108093583|XP_017049197.1|DFIC
OG0000017	Or7a|NP_511081.1|DMEL	LOC108098017|XP_017056155.1|DFIC
OG0000017	Or43b|NP_523656.2|DMEL	LOC108101533|XP_017061396.1|DFIC
OG0000017	Or42a|NP_523622.2|DMEL	LOC108099991|XP_017059177.1|DFIC
OG0000017	Or85a|NP_524277.1|DMEL	LOC108097740|XP_017055736.1|DFIC
OG0000017	Or59b|NP_523822.1|DMEL	LOC108087716|XP_017040726.1|DFIC
OG0000017	Or42b|NP_523624.2|DMEL	LOC108099990|XP_017059176.1|DFIC
OG0000017	Or59c|NP_523823.1|DMEL	LOC108087715|XP_017040725.1|DFIC
OG0000017	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC108093126|XP_017048560.1|DFIC
OG0000018	Lcp65Ac|NP_477279.1|DMEL	LOC108093128|XP_017048562.1|DFIC
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC108093130|XP_017048564.1|DFIC
OG0000019	CG6283|NP_651524.1|DMEL	LOC108086541|XP_017038967.1|DFIC
OG0000019	CG17192|NP_651522.1|DMEL	LOC108086542|XP_017038968.1|DFIC
OG0000019	CG17191|NP_651523.1|DMEL	LOC108086544|XP_017038971.1|DFIC
OG0000019	CG6296|NP_651520.1|DMEL	LOC108086535|XP_017038961.1|DFIC
OG0000019	CG6295|NP_651521.1|DMEL	LOC108086543|XP_017038970.1|DFIC
OG0000019	CG6277|NP_651525.1|DMEL	LOC108086538|XP_017038965.1|DFIC
OG0000019	CG6271|NP_651526.1|DMEL	LOC108086540|XP_017038966.1|DFIC
OG0000020	rdog|NP_651678.1|DMEL	LOC108086571|XP_017039016.1|DFIC
OG0000020	CG10505|NP_611571.2|DMEL	LOC108087826|XP_017040886.1|DFIC
OG0000020	CG7627|NP_001245943.1|DMEL	LOC108100979|XP_017060622.1|DFIC
OG0000020	CG4562|NP_001262747.1|DMEL	LOC108101093|XP_017060792.1|DFIC
OG0000020	Mrp4|NP_650086.2|DMEL	LOC108102060|XP_017062180.1|DFIC
OG0000020	CG9270|NP_995741.2|DMEL	LOC108089992|XP_017043983.1|DFIC
OG0000020	CG31793|NP_609930.4|DMEL	LOC108101220|XP_017060958.1|DFIC
OG0000021	PpN58A|NP_477384.1|DMEL	LOC108090792|XP_017045128.1|DFIC
OG0000021	PpD5|NP_524707.1|DMEL	LOC108090653|XP_017044920.1|DFIC
OG0000021	PpY-55A|NP_476689.1|DMEL	LOC108093638|XP_017049284.1|DFIC
OG0000021	flw|NP_727418.1|DMEL	LOC108095541|XP_017052159.1|DFIC
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC108091979|XP_017046877.1|DFIC
OG0000021	Pp1-87B|NP_524937.1|DMEL	LOC108088013|XP_017041113.1|DFIC
OG0000021	Pp1-13C|NP_524921.1|DMEL	LOC108094694|XP_017050914.1|DFIC
OG0000022	CG7798|NP_611098.1|DMEL	LOC108093677|XP_017049345.1|DFIC
OG0000022	LysX|NP_523881.1|DMEL	LOC108100202|XP_017059465.1|DFIC
OG0000022	LysE|NP_476827.2|DMEL	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC
OG0000022	LysD|NP_476823.1|DMEL	LOC108100308|XP_017059596.1|DFIC
OG0000022	LysS|NP_476829.1|DMEL	LOC108100304|XP_017059591.1|DFIC
OG0000022	LysP|NP_476828.1|DMEL	LOC108100302|XP_017059589.1|DFIC
OG0000023	alpha-Est6|NP_524262.1|DMEL	LOC108096120|XP_017052985.1|DFIC
OG0000023	alpha-Est5|NP_001246965.1|DMEL	LOC108096122|XP_017052987.1|DFIC
OG0000023	alpha-Est2|NP_524268.3|DMEL	LOC108096128|XP_017052994.1|DFIC
OG0000023	gas|NP_611678.1|DMEL	LOC108096606|XP_017053802.1|DFIC
OG0000023	alpha-Est1|NP_524269.3|DMEL	LOC108096129|XP_017052995.1|DFIC
OG0000023	alpha-Est7|NP_524261.1|DMEL	LOC108096118|XP_017052982.1|DFIC
OG0000023	alpha-Est9|NP_731165.2|DMEL	LOC108096119|XP_017052984.1|DFIC
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC108096117|XP_017052981.1|DFIC
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC108096114|XP_017052979.1|DFIC
OG0000024	betaTry|NP_524904.1|DMEL	LOC108086469|XP_017038885.1|DFIC
OG0000024	CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL	LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC
OG0000024	alphaTry|NP_476771.1|DMEL	LOC108086467|XP_017038883.1|DFIC
OG0000024	epsilonTry|NP_525112.1|DMEL	LOC108086472|XP_017038887.1|DFIC
OG0000024	CG17571|NP_610109.1|DMEL	LOC108098296|XP_017056595.1|DFIC
OG0000024	thetaTry|NP_523693.1|DMEL	LOC108086381|XP_017038771.1|DFIC
OG0000024	Ser8|NP_610874.1|DMEL	LOC108094860|XP_017051169.1|DFIC
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC108088651|XP_017042067.1|DFIC
OG0000026	antdh|NP_572695.2|DMEL	LOC108091247|XP_017045848.1|DFIC
OG0000026	CG9150|NP_608991.2|DMEL	LOC108093407|XP_017048931.1|DFIC
OG0000026	CG9360|NP_572746.1|DMEL	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	CG3301|NP_650964.1|DMEL	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	Acp1|NP_477115.1|DMEL	LOC108100821|XP_017060378.1|DFIC
OG0000027	CG7203|NP_609143.2|DMEL	LOC108100819|XP_017060376.1|DFIC
OG0000027	CG7214|NP_609141.1|DMEL	LOC108100820|XP_017060377.1|DFIC
OG0000028	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL	LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC
OG0000028	CG14095|NP_649112.1|DMEL	LOC108095285|XP_017051819.1|DFIC
OG0000028	CG13068|NP_648856.1|DMEL	LOC108089312|XP_017042978.1|DFIC
OG0000029	CheA46a|NP_001027399.1|DMEL	LOC108090681|XP_017044956.1|DFIC
OG0000029	CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL	LOC108100972|XP_017060614.1|DFIC
OG0000029	CheA75a|NP_649035.2|DMEL	LOC108099785|XP_017058903.1|DFIC
OG0000030	Or33c|NP_523555.1|DMEL	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	Or33a|NP_523553.1|DMEL	LOC108093469|XP_017049043.1|DFIC
OG0000030	Or33b|NP_523554.1|DMEL	LOC108093479|XP_017049053.1|DFIC
OG0000030	Or23a|NP_523458.3|DMEL	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	Or59a|NP_523821.1|DMEL	LOC108087621|XP_017040552.1|DFIC
OG0000030	Or2a|NP_525046.1|DMEL	LOC108091341|XP_017045978.1|DFIC
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC108088560|XP_017041895.1|DFIC
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	SPH93|NP_609840.1|DMEL	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC
OG0000031	CG3117|NP_608722.2|DMEL	LOC108092296|XP_017047319.1|DFIC
OG0000031	CG5390|NP_609374.1|DMEL	LOC108089228|XP_017042875.1|DFIC
OG0000032	GstD9|NP_650181.1|DMEL	LOC108087979|XP_017041070.1|DFIC
OG0000032	GstD8|NP_524916.1|DMEL	LOC108087896|XP_017040963.1|DFIC
OG0000032	GstD7|NP_525114.1|DMEL	LOC108087899|XP_017040966.1|DFIC
OG0000033	CheB98a|NP_652269.3|DMEL	LOC108102066|XP_017062199.1|DFIC
OG0000033	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL	LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC
OG0000033	CheB38b|NP_995735.1|DMEL	LOC108089806|XP_017043692.1|DFIC
OG0000033	CheB42c|NP_995764.2|DMEL	LOC108094281|XP_017050264.1|DFIC
OG0000033	CheB42b|NP_995763.1|DMEL	LOC108094283|XP_017050266.1|DFIC
OG0000033	CheB42a|NP_995765.1|DMEL	LOC108094282|XP_017050265.1|DFIC
OG0000033	CheB74a|NP_001027134.1|DMEL	LOC108098498|XP_017056906.1|DFIC
OG0000033	CheB93b|NP_732641.2|DMEL, CheB93a|NP_650970.2|DMEL	LOC108098495|XP_017056904.1|DFIC
OG0000034	Ugt37C1|NP_525007.1|DMEL	LOC108090289|XP_017044389.1|DFIC
OG0000034	Ugt37C2|NP_652629.1|DMEL	LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	Ugt37E1|NP_652628.2|DMEL	LOC108098179|XP_017056401.1|DFIC
OG0000034	Ugt37D1|NP_652627.2|DMEL	LOC108098285|XP_017056581.1|DFIC
OG0000034	Ugt37A1|NP_523607.2|DMEL	LOC108098386|XP_017056743.1|DFIC
OG0000034	Ugt37A3|NP_650229.2|DMEL	LOC108087083|XP_017039752.1|DFIC
OG0000034	Ugt37A2|NP_650228.1|DMEL	LOC108087380|XP_017040209.1|DFIC
OG0000034	Ugt37B1|NP_525008.2|DMEL	LOC108093450|XP_017049013.1|DFIC
OG0000036	Sp7|NP_649734.2|DMEL	LOC108096138|XP_017053007.1|DFIC
OG0000036	ea|NP_524362.2|DMEL	LOC108097979|XP_017056090.1|DFIC
OG0000036	MP1|NP_001303421.1|DMEL	LOC108098533|XP_017057003.1|DFIC
OG0000036	SPE|NP_651168.1|DMEL	LOC108087237|XP_017040017.1|DFIC
OG0000037	Cyp12b2|NP_611370.2|DMEL	LOC108087844|XP_017040913.1|DFIC
OG0000037	Cyp12a5|NP_650782.1|DMEL	LOC108088042|XP_017041165.1|DFIC
OG0000037	Cyp12a4|NP_650783.2|DMEL	LOC108088040|XP_017041164.1|DFIC
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC108088854|XP_017042318.1|DFIC
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC108088914|XP_017042416.1|DFIC
OG0000039	CG42564|NP_649651.2|DMEL	LOC108091791|XP_017046639.1|DFIC
OG0000039	Ag5r|NP_524770.1|DMEL	LOC108097516|XP_017055329.1|DFIC
OG0000039	Ag5r2|NP_524689.2|DMEL	LOC108097515|XP_017055328.1|DFIC
OG0000039	CG32679|NP_727412.2|DMEL	LOC108095512|XP_017052111.1|DFIC
OG0000040	CG17803|NP_650657.2|DMEL	LOC108092229|XP_017047255.1|DFIC
OG0000040	CG6689|NP_650051.1|DMEL	LOC108087305|XP_017040113.1|DFIC
OG0000040	CG4820|NP_001097748.1|DMEL	LOC108087307|XP_017040114.1|DFIC
OG0000040	CG17806|NP_650658.1|DMEL	LOC108092211|XP_017047228.1|DFIC
OG0000040	CG17802|NP_650659.2|DMEL	LOC108092212|XP_017047230.1|DFIC
OG0000040	Odj|NP_650661.1|DMEL	LOC108092206|XP_017047224.1|DFIC
OG0000040	CG1792|NP_651878.1|DMEL	LOC108100764|XP_017060292.1|DFIC
OG0000041	CG31300|NP_651373.2|DMEL	LOC108095996|XP_017052831.1|DFIC
OG0000041	CG11893|NP_651375.1|DMEL	LOC108095939|XP_017052765.1|DFIC
OG0000041	CG31436|NP_733096.1|DMEL	LOC108095866|XP_017052659.1|DFIC
OG0000041	CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC108095867|XP_017052660.1|DFIC
OG0000042	CG34028|NP_001033838.1|DMEL	LOC108097744|XP_017055741.1|DFIC
OG0000042	CG14502|NP_611311.1|DMEL	LOC108090330|XP_017044433.1|DFIC
OG0000042	CG18539|NP_611315.3|DMEL	LOC108090327|XP_017044430.1|DFIC
OG0000042	CG18536|NP_611312.1|DMEL	LOC108090329|XP_017044432.1|DFIC
OG0000042	CG18537|NP_611313.1|DMEL	LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000042	CG18540|NP_611316.2|DMEL	LOC108090331|XP_017044434.1|DFIC
OG0000043	Ugt302K1|NP_652620.1|DMEL	LOC108087389|XP_017040220.1|DFIC
OG0000043	Ugt302C1|NP_652626.1|DMEL	LOC108087351|XP_017040180.1|DFIC
OG0000043	Ugt302E1|NP_652625.2|DMEL	LOC108087056|XP_017039721.1|DFIC
OG0000043	Ugt35E1|NP_652622.3|DMEL	LOC108087304|XP_017040112.1|DFIC
OG0000043	Ugt35E2|NP_652623.2|DMEL	LOC108087099|XP_017039770.1|DFIC
OG0000043	Ugt35D1|NP_651866.1|DMEL	LOC108086831|XP_017039366.1|DFIC
OG0000043	Ugt35B1|NP_524313.2|DMEL	LOC108087388|XP_017040219.1|DFIC
OG0000044	CG31087|NP_733100.1|DMEL	LOC108095953|XP_017052779.1|DFIC
OG0000044	CG10562|NP_651385.3|DMEL	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC
OG0000044	CHKov1|NP_001097918.1|DMEL	LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000044	CG10559|NP_651382.2|DMEL	LOC108096011|XP_017052849.1|DFIC
OG0000044	CG10560|NP_651384.2|DMEL	LOC108095670|XP_017052324.1|DFIC
OG0000044	CG10553|NP_651383.1|DMEL	LOC108095658|XP_017052312.1|DFIC
OG0000044	CG6908|NP_650105.1|DMEL	LOC108102017|XP_017062104.1|DFIC
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC108099782|XP_017058900.1|DFIC
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC108089346|XP_017043016.1|DFIC
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC108089335|XP_017043004.1|DFIC
OG0000046	CG5892|NP_650959.2|DMEL	LOC108098480|XP_017056880.1|DFIC
OG0000046	CG14219|NP_608322.1|DMEL	LOC108097441|XP_017055199.1|DFIC
