Orthogroup	DMEL.longest_only	DPSE.longest_only
OG0000012	CG10081|NP_611418.1|DMEL	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	CG10073|NP_001261090.1|DMEL	LOC4804256|XP_015039778.2|DPSE
OG0000012	CG30047|NP_725141.1|DMEL	LOC4804263|XP_001360847.3|DPSE
OG0000012	CG30049|NP_725142.3|DMEL	LOC6898438|XP_002138480.2|DPSE
OG0000012	CG30043|NP_725143.1|DMEL	LOC4804265|XP_001360848.3|DPSE
OG0000012	CG33012|NP_788335.2|DMEL	LOC6898439|XP_002138481.3|DPSE
OG0000012	CG13160|NP_001260918.1|DMEL	LOC4804266|XP_033235099.1|DPSE
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC4805483|XP_001361878.1|DPSE
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC4815139|XP_001354758.1|DPSE
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC6900589|XP_002134962.1|DPSE
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC4801399|XP_001358499.2|DPSE
OG0000013	Hsp68|NP_524474.1|DMEL	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000015	CG7763|NP_001356891.1|DMEL	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	Act87E|NP_477091.1|DMEL	LOC4801993|XP_001359004.1|DPSE
OG0000016	Act57B|NP_523800.1|DMEL	LOC6898475|XP_002138517.1|DPSE
OG0000016	Arp1|NP_524331.2|DMEL	LOC4801351|XP_001358460.1|DPSE
OG0000016	Arp53D|NP_477037.2|DMEL	LOC4805675|XP_001362034.4|DPSE
OG0000016	Act5C|NP_511052.1|DMEL	LOC4814924|XP_001354857.1|DPSE
OG0000016	Act42A|NP_523625.1|DMEL	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	Act88F|NP_524367.1|DMEL	LOC6896970|XP_002137155.1|DPSE
OG0000016	Act79B|NP_524210.1|DMEL	LOC4812150|XP_001352883.1|DPSE
OG0000017	Or43b|NP_523656.2|DMEL	LOC4805006|XP_001361476.2|DPSE
OG0000017	Or42a|NP_523622.2|DMEL	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	Or98a|NP_524536.2|DMEL	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	Or59b|NP_523822.1|DMEL	LOC4804478|XP_001361036.2|DPSE
OG0000017	Or42b|NP_523624.2|DMEL	LOC4804840|XP_001361336.1|DPSE
OG0000017	Or59c|NP_523823.1|DMEL	LOC4804477|XP_001361035.3|DPSE
OG0000017	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC5495511|XP_001353833.1|DPSE
OG0000018	Cpr65Ax1|NP_001097523.1|DMEL, Cpr65Ax2|NP_652660.1|DMEL	LOC4813480|XP_001353827.2|DPSE
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC4813481|XP_001353829.1|DPSE
OG0000018	Lcp65Af|NP_477274.1|DMEL, Lcp65Ag1|NP_477273.1|DMEL, Lcp65Ag2|NP_477272.1|DMEL, Lcp65Ag3|NP_652662.1|DMEL	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000019	CG6283|NP_651524.1|DMEL	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	CG6296|NP_651520.1|DMEL	LOC4801129|XP_033235715.1|DPSE
OG0000019	CG6295|NP_651521.1|DMEL	LOC4801131|XP_001358273.2|DPSE
OG0000019	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	rdog|NP_651678.1|DMEL	LOC6896759|XP_002136966.1|DPSE
OG0000020	CG10505|NP_611571.2|DMEL	LOC4803770|XP_001360432.3|DPSE
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL	LOC6902791|XP_002132528.2|DPSE
OG0000020	CG4562|NP_001262747.1|DMEL	LOC117183221|XP_033232918.1|DPSE
OG0000020	Mrp4|NP_650086.2|DMEL	LOC6897832|XP_002137937.1|DPSE
OG0000020	CG9270|NP_995741.2|DMEL	LOC4818201|XP_033236143.1|DPSE
OG0000021	PpD6|NP_524947.1|DMEL	LOC6898835|XP_002138808.1|DPSE
OG0000021	Pp1-Y1|NP_001104152.3|DMEL	LOC6898834|XP_002138807.1|DPSE
OG0000021	PpN58A|NP_477384.1|DMEL	LOC6898840|XP_002138811.3|DPSE
OG0000021	PpD5|NP_524707.1|DMEL	LOC4805268|XP_001361693.2|DPSE
OG0000021	PpY-55A|NP_476689.1|DMEL	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	Pp1-Y2|NP_001015497.4|DMEL	LOC6898836|XP_002138809.1|DPSE
OG0000021	flw|NP_727418.1|DMEL	LOC6901473|XP_033238237.1|DPSE
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC6897478|XP_002137627.1|DPSE
OG0000021	Pp1-87B|NP_524937.1|DMEL	LOC4800831|XP_001358035.1|DPSE
OG0000021	Pp1-13C|NP_524921.1|DMEL	LOC6901811|XP_002134479.1|DPSE
OG0000022	CG7798|NP_611098.1|DMEL	LOC4804646|XP_033234778.1|DPSE
OG0000022	LysX|NP_523881.1|DMEL	LOC6899947|XP_002135315.1|DPSE
OG0000022	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE
OG0000022	LysS|NP_476829.1|DMEL	LOC4812049|XP_001352467.1|DPSE
OG0000022	LysP|NP_476828.1|DMEL	LOC6899946|XP_002135314.1|DPSE
OG0000023	alpha-Est5|NP_001246965.1|DMEL	LOC6897864|XP_033232668.1|DPSE
OG0000023	alpha-Est3|NP_524267.2|DMEL	LOC4802962|XP_001359775.3|DPSE
OG0000023	alpha-Est2|NP_524268.3|DMEL	LOC4802964|XP_001359777.4|DPSE
OG0000023	gas|NP_611678.1|DMEL	LOC4804210|XP_001360806.2|DPSE
OG0000023	alpha-Est1|NP_524269.3|DMEL	LOC6897865|XP_033232678.1|DPSE
OG0000023	alpha-Est7|NP_524261.1|DMEL	LOC4802957|XP_001359771.3|DPSE
OG0000023	alpha-Est9|NP_731165.2|DMEL	LOC5495505|XP_001359769.4|DPSE
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC5384073|XP_001359768.2|DPSE
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC4802956|XP_015038205.2|DPSE
OG0000024	alphaTry|NP_476771.1|DMEL	LOC5495520|XP_001361563.3|DPSE
OG0000024	epsilonTry|NP_525112.1|DMEL	LOC4805107|XP_001361564.1|DPSE
OG0000024	CG17571|NP_610109.1|DMEL	LOC6899225|XP_002136299.3|DPSE
OG0000024	thetaTry|NP_523693.1|DMEL	LOC5495508|XP_001361566.2|DPSE
OG0000024	Ser8|NP_610874.1|DMEL	LOC4805028|XP_001361496.1|DPSE
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC6901557|XP_002134231.1|DPSE
OG0000025	His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL	LOC117183559|XP_033233680.1|DPSE
OG0000026	antdh|NP_572695.2|DMEL	LOC4814777|XP_001354707.2|DPSE
OG0000026	CG9150|NP_608991.2|DMEL	LOC4818162|XP_001357184.4|DPSE
OG0000026	CG9360|NP_572746.1|DMEL	LOC4815876|XP_001355332.2|DPSE
OG0000026	CG3301|NP_650964.1|DMEL	LOC4800860|XP_001358060.2|DPSE
OG0000027	Acp1|NP_477115.1|DMEL	LOC6902829|XP_002132565.2|DPSE
OG0000027	CG7203|NP_609143.2|DMEL	LOC4817432|XP_001356466.2|DPSE
OG0000027	CG7214|NP_609141.1|DMEL	LOC4816919|XP_001356465.1|DPSE
OG0000028	CG14095|NP_649112.1|DMEL	LOC6900255|XP_002135584.2|DPSE
OG0000028	CG13068|NP_648856.1|DMEL	LOC6900007|XP_002135372.2|DPSE
OG0000029	CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	CheA84a|NP_001027150.1|DMEL	LOC6897267|XP_033233167.1|DPSE
OG0000029	CheA75a|NP_649035.2|DMEL	LOC4813458|XP_001353977.2|DPSE
OG0000030	Or33c|NP_523555.1|DMEL	LOC4817563|XP_001356970.3|DPSE
OG0000030	Or33a|NP_523553.1|DMEL	LOC4817564|XP_002132859.2|DPSE
OG0000030	Or33b|NP_523554.1|DMEL	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	Or23a|NP_523458.3|DMEL	LOC4816660|XP_001355989.2|DPSE
OG0000030	Or59a|NP_523821.1|DMEL	LOC4804482|XP_001361038.2|DPSE
OG0000030	Or2a|NP_525046.1|DMEL	LOC4816069|XP_001355235.2|DPSE
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC4815215|XP_001354948.2|DPSE
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL	LOC6902663|XP_015036753.2|DPSE
OG0000031	CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	CG5390|NP_609374.1|DMEL	LOC26533742|XP_033235774.1|DPSE
OG0000032	GstD10|NP_652713.1|DMEL	LOC4800808|XP_001358017.2|DPSE
OG0000032	GstD8|NP_524916.1|DMEL	LOC4800814|XP_001358021.1|DPSE
OG0000032	GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC4800811|XP_001358020.3|DPSE
OG0000033	CheB98a|NP_652269.3|DMEL	LOC4800626|XP_001357867.3|DPSE
OG0000033	CheB42c|NP_995764.2|DMEL	LOC6898089|XP_002138174.1|DPSE
OG0000033	CheB42a|NP_995765.1|DMEL	LOC6898093|XP_002138175.2|DPSE
OG0000033	CheB74a|NP_001027134.1|DMEL, CheB93b|NP_732641.2|DMEL, CheB93a|NP_650970.2|DMEL, CheB53b|NP_001014531.1|DMEL, CheB53a|NP_001014530.1|DMEL	LOC4800868|XP_001358066.3|DPSE
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL	LOC4817450|XP_001356533.3|DPSE
OG0000034	Ugt37E1|NP_652628.2|DMEL	LOC4817037|XP_001356534.3|DPSE
OG0000034	Ugt37D1|NP_652627.2|DMEL	LOC6902878|XP_002132612.2|DPSE
OG0000034	Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	Ugt37B1|NP_525008.2|DMEL	LOC4816157|XP_001355874.3|DPSE
OG0000036	Sp7|NP_649734.2|DMEL	LOC6897873|XP_002137975.2|DPSE
OG0000036	ea|NP_524362.2|DMEL	LOC4801521|XP_033232300.1|DPSE
OG0000036	MP1|NP_001303421.1|DMEL	LOC4802757|XP_001359618.3|DPSE
OG0000036	SPE|NP_651168.1|DMEL	LOC4800563|XP_033232364.1|DPSE
OG0000037	Cyp12b2|NP_611370.2|DMEL	LOC4803745|XP_001360410.4|DPSE
OG0000037	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC4812152|XP_001352947.2|DPSE
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC6900265|XP_002135594.2|DPSE
OG0000039	CG42564|NP_649651.2|DMEL	LOC6897556|XP_033241818.1|DPSE
OG0000039	Ag5r|NP_524770.1|DMEL	LOC4815394|XP_001354810.3|DPSE
OG0000039	Ag5r2|NP_524689.2|DMEL	LOC4814563|XP_001354811.1|DPSE
OG0000039	CG32679|NP_727412.2|DMEL	LOC6901668|XP_002134337.3|DPSE
OG0000040	CG6689|NP_650051.1|DMEL	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	CG4820|NP_001097748.1|DMEL	LOC4803144|XP_001359934.2|DPSE
OG0000040	CG17806|NP_650658.1|DMEL	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
OG0000040	CG17802|NP_650659.2|DMEL	LOC6897971|XP_002138070.1|DPSE
OG0000040	Odj|NP_650661.1|DMEL	LOC4803208|XP_001359988.4|DPSE
OG0000040	CG1792|NP_651878.1|DMEL	LOC4801113|XP_001358260.2|DPSE
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE
OG0000041	CG31436|NP_733096.1|DMEL	LOC4802353|XP_001359283.3|DPSE
OG0000041	CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC6897572|XP_033240353.1|DPSE
OG0000042	CG34028|NP_001033838.1|DMEL	LOC6902242|XP_002133769.2|DPSE
OG0000042	CG14502|NP_611311.1|DMEL	LOC4804794|XP_001361299.3|DPSE
OG0000042	CG18539|NP_611315.3|DMEL	LOC5495510|XP_001361301.4|DPSE
OG0000042	CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL	LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000042	CG18540|NP_611316.2|DMEL	LOC4804792|XP_001361298.2|DPSE
OG0000043	Ugt302K1|NP_652620.1|DMEL	LOC4803128|XP_001359922.2|DPSE
OG0000043	Ugt302C1|NP_652626.1|DMEL	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE
OG0000043	Ugt302E1|NP_652625.2|DMEL	LOC4803134|XP_001359926.3|DPSE
OG0000043	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL	LOC6897937|XP_002138039.2|DPSE
OG0000043	Ugt35B1|NP_524313.2|DMEL	LOC4803132|XP_001359925.3|DPSE
OG0000044	CG31087|NP_733100.1|DMEL	LOC4802344|XP_001359278.1|DPSE
OG0000044	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE
OG0000044	CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE
OG0000044	CG6908|NP_650105.1|DMEL	LOC4802849|XP_001359684.3|DPSE
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC4812813|XP_033238456.1|DPSE
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC4813084|XP_001353641.2|DPSE
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC6900434|XP_002134825.3|DPSE
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE
OG0000046	CG5892|NP_650959.2|DMEL	LOC4800854|XP_001358055.2|DPSE
OG0000046	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL	LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE
OG0000046	CG14204|NP_608321.1|DMEL	LOC6898136|XP_002138215.2|DPSE
OG0000046	CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL	LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE
OG0000047	loopin-1|NP_001097338.1|DMEL	LOC4803784|XP_001360446.3|DPSE
OG0000047	S-Lap8|NP_611132.1|DMEL	LOC4803787|XP_001360449.3|DPSE
