Orthogroup	DMEL.longest_only	DSUB.longest_only
OG0000011	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB
OG0000011	CG17361|NP_648678.3|DMEL	LOC117893712|XP_034656290.1|DSUB
OG0000011	CG17359|NP_648679.1|DMEL	LOC117894953|XP_034658172.1|DSUB
OG0000011	CG8319|NP_649920.2|DMEL	LOC117897187|XP_034661778.1|DSUB
OG0000012	CG9416|NP_611415.2|DMEL	LOC117892204|XP_034654190.1|DSUB
OG0000012	CG10051|NP_611414.1|DMEL	LOC117892205|XP_034654193.1|DSUB
OG0000012	CG11961|NP_725876.1|DMEL	LOC117892198|XP_034654182.1|DSUB
OG0000012	CG10062|NP_001261089.1|DMEL	LOC117892199|XP_034654185.1|DSUB
OG0000012	CG10081|NP_611418.1|DMEL	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB
OG0000012	CG10073|NP_001261090.1|DMEL	LOC117892200|XP_034654187.1|DSUB
OG0000012	CG30047|NP_725141.1|DMEL	LOC117891062|XP_034652125.1|DSUB
OG0000012	CG30049|NP_725142.3|DMEL	LOC117891063|XP_034652127.1|DSUB
OG0000012	CG30043|NP_725143.1|DMEL	LOC117891061|XP_034652124.1|DSUB
OG0000012	CG33012|NP_788335.2|DMEL	LOC117891058|XP_034652122.1|DSUB
OG0000012	CG13160|NP_001260918.1|DMEL	LOC117891064|XP_034652128.1|DSUB
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC117890717|XP_034651649.1|DSUB
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC117896187|XP_034660170.1|DSUB
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC117896516|XP_034660775.1|DSUB
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC117895334|XP_034658799.1|DSUB
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC117898536|XP_034663901.1|DSUB
OG0000013	Hsp68|NP_524474.1|DMEL	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	CG7763|NP_001356891.1|DMEL	LOC117902318|XP_034669497.1|DSUB
OG0000016	Act87E|NP_477091.1|DMEL	LOC117899529|XP_034665488.1|DSUB
OG0000016	Act57B|NP_523800.1|DMEL	LOC117889984|XP_034650458.1|DSUB
OG0000016	Arp1|NP_524331.2|DMEL	LOC117898309|XP_034663475.1|DSUB
OG0000016	Arp53D|NP_477037.2|DMEL	LOC117892105|XP_034654005.1|DSUB
OG0000016	Act5C|NP_511052.1|DMEL	LOC117903845|XP_034672195.1|DSUB
OG0000016	Act42A|NP_523625.1|DMEL	LOC117890476|XP_034651231.1|DSUB
OG0000016	Act88F|NP_524367.1|DMEL	LOC117898432|XP_034663715.1|DSUB
OG0000016	Act79B|NP_524210.1|DMEL	LOC117893424|XP_034655932.1|DSUB
OG0000017	Or7a|NP_511081.1|DMEL	LOC117892719|XP_034655033.1|DSUB
OG0000017	Or43b|NP_523656.2|DMEL	LOC117890423|XP_034651134.1|DSUB
OG0000017	Or42a|NP_523622.2|DMEL	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	Or98a|NP_524536.2|DMEL	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	Or59b|NP_523822.1|DMEL	LOC117891086|XP_034652156.1|DSUB
OG0000017	Or42b|NP_523624.2|DMEL	LOC117890435|XP_034651155.1|DSUB
OG0000017	Or59c|NP_523823.1|DMEL	LOC117892462|XP_034654603.1|DSUB
OG0000017	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC117895264|XP_034658678.1|DSUB
OG0000018	Cpr65Ax1|NP_001097523.1|DMEL, Cpr65Ax2|NP_652660.1|DMEL	LOC117895260|XP_034658672.1|DSUB
OG0000018	Lcp65Ac|NP_477279.1|DMEL	LOC117895265|XP_034658679.1|DSUB
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC117895258|XP_034658670.1|DSUB
OG0000019	CG6283|NP_651524.1|DMEL	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	CG6296|NP_651520.1|DMEL	LOC117899339|XP_034665171.1|DSUB
OG0000019	CG6295|NP_651521.1|DMEL	LOC117899361|XP_034665230.1|DSUB
OG0000019	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	rdog|NP_651678.1|DMEL	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	CG10505|NP_611571.2|DMEL	LOC117892172|XP_034654141.1|DSUB
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL	LOC117902343|XP_034669534.1|DSUB
OG0000020	CG4562|NP_001262747.1|DMEL	LOC117898500|XP_034663833.1|DSUB
OG0000020	Mrp4|NP_650086.2|DMEL	LOC117898411|XP_034663671.1|DSUB
OG0000020	CG9270|NP_995741.2|DMEL	LOC117901489|XP_034668148.1|DSUB
OG0000020	CG31793|NP_609930.4|DMEL	LOC117901231|XP_034667794.1|DSUB
OG0000021	PpD6|NP_524947.1|DMEL	LOC117892038|XP_034653853.1|DSUB
OG0000021	Pp1-Y1|NP_001104152.3|DMEL	LOC117892039|XP_034653854.1|DSUB
OG0000021	PpN58A|NP_477384.1|DMEL	LOC117891478|XP_034652849.1|DSUB
OG0000021	PpD5|NP_524707.1|DMEL	LOC117891531|XP_034652923.1|DSUB
OG0000021	Pp1-Y2|NP_001015497.4|DMEL	LOC117892040|XP_034653856.1|DSUB
OG0000021	flw|NP_727418.1|DMEL	LOC117903672|XP_034671893.1|DSUB
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC117896843|XP_034661258.1|DSUB
OG0000021	Pp1-87B|NP_524937.1|DMEL	LOC117898591|XP_034664027.1|DSUB
OG0000022	CG7798|NP_611098.1|DMEL	LOC117892309|XP_034654347.1|DSUB
OG0000022	LysX|NP_523881.1|DMEL	LOC117892920|XP_034655126.1|DSUB
OG0000022	LysS|NP_476829.1|DMEL	LOC117892921|XP_034655127.1|DSUB
OG0000022	LysP|NP_476828.1|DMEL	LOC117892919|XP_034655125.1|DSUB
OG0000023	alpha-Est6|NP_524262.1|DMEL	LOC117896148|XP_034660114.1|DSUB
OG0000023	alpha-Est5|NP_001246965.1|DMEL	LOC117896153|XP_034660122.1|DSUB
OG0000023	alpha-Est3|NP_524267.2|DMEL	LOC117896151|XP_034660118.1|DSUB
OG0000023	alpha-Est2|NP_524268.3|DMEL	LOC117896150|XP_034660117.1|DSUB
OG0000023	gas|NP_611678.1|DMEL	LOC117891805|XP_034653377.1|DSUB
OG0000023	alpha-Est1|NP_524269.3|DMEL	LOC117896149|XP_034660116.1|DSUB
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC117898724|XP_034664233.1|DSUB
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC117898725|XP_034664234.1|DSUB
OG0000024	betaTry|NP_524904.1|DMEL	LOC117889935|XP_034650357.1|DSUB
OG0000024	alphaTry|NP_476771.1|DMEL	LOC117889933|XP_034650355.1|DSUB
OG0000024	epsilonTry|NP_525112.1|DMEL	LOC117889934|XP_034650356.1|DSUB
OG0000024	CG17571|NP_610109.1|DMEL	LOC117901020|XP_034667512.1|DSUB
OG0000024	thetaTry|NP_523693.1|DMEL	LOC117889812|XP_034650181.1|DSUB
OG0000024	Ser8|NP_610874.1|DMEL	LOC117891118|XP_034652213.1|DSUB
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC117890855|XP_034651836.1|DSUB
OG0000026	antdh|NP_572695.2|DMEL	LOC117889599|XP_034649905.1|DSUB
OG0000026	CG9150|NP_608991.2|DMEL	LOC117901731|XP_034668504.1|DSUB
OG0000026	CG9360|NP_572746.1|DMEL	LOC117903905|XP_034672302.1|DSUB
OG0000026	CG3301|NP_650964.1|DMEL	LOC117899507|XP_034665449.1|DSUB
OG0000027	Acp1|NP_477115.1|DMEL	LOC117902555|XP_034669887.1|DSUB
OG0000027	CG7203|NP_609143.2|DMEL	LOC117902556|XP_034669889.1|DSUB
OG0000027	CG7214|NP_609141.1|DMEL	LOC117902554|XP_034669886.1|DSUB
OG0000028	CG14095|NP_649112.1|DMEL	LOC117894266|XP_034657112.1|DSUB
OG0000028	CG13068|NP_648856.1|DMEL	LOC117894530|XP_034657538.1|DSUB
OG0000029	CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL	LOC117890176|XP_034650765.1|DSUB
OG0000029	CheA84a|NP_001027150.1|DMEL	LOC117898949|XP_034664564.1|DSUB
OG0000029	CheA75a|NP_649035.2|DMEL	LOC117893783|XP_034656418.1|DSUB
OG0000030	Or33c|NP_523555.1|DMEL	LOC117901334|XP_034667933.1|DSUB
OG0000030	Or33a|NP_523553.1|DMEL	LOC117901337|XP_034667938.1|DSUB
OG0000030	Or33b|NP_523554.1|DMEL	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	Or23a|NP_523458.3|DMEL	LOC117901974|XP_034668869.1|DSUB
OG0000030	Or59a|NP_523821.1|DMEL	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	Or2a|NP_525046.1|DMEL	LOC117903801|XP_034672130.1|DSUB
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC117903197|XP_034670973.1|DSUB
OG0000031	CG5390|NP_609374.1|DMEL	LOC117900916|XP_034667369.1|DSUB
OG0000032	GstD1|NP_524326.1|DMEL	LOC117898600|XP_034664039.1|DSUB
OG0000032	GstD10|NP_652713.1|DMEL	LOC117898601|XP_034664041.1|DSUB
OG0000032	GstD9|NP_650181.1|DMEL	LOC117898595|XP_034664033.1|DSUB
OG0000032	GstD8|NP_524916.1|DMEL	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB
OG0000032	GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC117898597|XP_034664035.1|DSUB
OG0000033	CheB98a|NP_652269.3|DMEL	LOC117899465|XP_034665372.1|DSUB
OG0000033	CheB42c|NP_995764.2|DMEL	LOC117891426|XP_034652788.1|DSUB
OG0000033	CheB42a|NP_995765.1|DMEL	LOC117891425|XP_034652787.1|DSUB
OG0000033	CheB74a|NP_001027134.1|DMEL, CheB93b|NP_732641.2|DMEL, CheB93a|NP_650970.2|DMEL, CheB53b|NP_001014531.1|DMEL, CheB53a|NP_001014530.1|DMEL	LOC117897820|XP_034662764.1|DSUB
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL	LOC117902583|XP_034669972.1|DSUB
OG0000034	Ugt37E1|NP_652628.2|DMEL	LOC117902581|XP_034669969.1|DSUB
OG0000034	Ugt37D1|NP_652627.2|DMEL	LOC117902582|XP_034669970.1|DSUB
OG0000034	Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB
OG0000034	Ugt37B1|NP_525008.2|DMEL	LOC117902353|XP_034669555.1|DSUB
OG0000036	Sp7|NP_649734.2|DMEL	LOC117898005|XP_034663024.1|DSUB
OG0000036	ea|NP_524362.2|DMEL	LOC117896918|XP_034661349.1|DSUB
OG0000036	MP1|NP_001303421.1|DMEL	LOC117897457|XP_034662194.1|DSUB
OG0000036	SPE|NP_651168.1|DMEL	LOC117899046|XP_034664697.1|DSUB
OG0000037	Cyp12b2|NP_611370.2|DMEL	LOC117890311|XP_034650989.1|DSUB
OG0000037	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC117894264|XP_034657109.1|DSUB
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC117893334|XP_034655815.1|DSUB
OG0000039	CG42564|NP_649651.2|DMEL	LOC117897419|XP_034662142.1|DSUB
OG0000039	Ag5r|NP_524770.1|DMEL	LOC117903895|XP_034672289.1|DSUB
OG0000039	Ag5r2|NP_524689.2|DMEL	LOC117903896|XP_034672290.1|DSUB
OG0000039	CG32679|NP_727412.2|DMEL	LOC117892341|XP_034654394.1|DSUB
OG0000040	CG17803|NP_650657.2|DMEL	LOC117897706|XP_034662619.1|DSUB
OG0000040	CG6689|NP_650051.1|DMEL	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	CG4820|NP_001097748.1|DMEL	LOC117899278|XP_034665074.1|DSUB
OG0000040	CG17806|NP_650658.1|DMEL	LOC117896008|XP_034659896.1|DSUB
OG0000040	CG17802|NP_650659.2|DMEL	LOC117899589|XP_034665598.1|DSUB
OG0000040	Odj|NP_650661.1|DMEL	LOC117899588|XP_034665597.1|DSUB
OG0000040	CG1792|NP_651878.1|DMEL	LOC117899356|XP_034665219.1|DSUB
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB
OG0000041	CG31436|NP_733096.1|DMEL	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	CG34028|NP_001033838.1|DMEL	LOC117903839|XP_034672183.1|DSUB
OG0000042	CG14502|NP_611311.1|DMEL	LOC117891862|XP_034653515.1|DSUB
OG0000042	CG18539|NP_611315.3|DMEL	LOC117891861|XP_034653514.1|DSUB
OG0000042	CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	CG18540|NP_611316.2|DMEL	LOC117891864|XP_034653517.1|DSUB
OG0000043	Ugt302K1|NP_652620.1|DMEL	LOC117898000|XP_034663019.1|DSUB
OG0000043	Ugt302C1|NP_652626.1|DMEL	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	Ugt302E1|NP_652625.2|DMEL	LOC117898866|XP_034664435.1|DSUB
OG0000043	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL	LOC117898867|XP_034664437.1|DSUB
OG0000043	Ugt35B1|NP_524313.2|DMEL	LOC117897193|XP_034661785.1|DSUB
OG0000044	CG31087|NP_733100.1|DMEL	LOC117898991|XP_034664623.1|DSUB
OG0000044	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL	LOC117895983|XP_034659856.1|DSUB
OG0000044	CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	CG6908|NP_650105.1|DMEL	LOC117898153|XP_034663242.1|DSUB
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC117894865|XP_034658016.1|DSUB
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC117893502|XP_034656031.1|DSUB
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC117894637|XP_034657700.1|DSUB
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC117893875|XP_034656539.1|DSUB
OG0000046	CG5892|NP_650959.2|DMEL	LOC117898099|XP_034663170.1|DSUB
OG0000046	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB
OG0000046	CG14204|NP_608321.1|DMEL	LOC117892077|XP_034653957.1|DSUB
OG0000046	CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	loopin-1|NP_001097338.1|DMEL	LOC117891323|XP_034652630.1|DSUB
OG0000047	S-Lap8|NP_611132.1|DMEL	LOC117891482|XP_034652852.1|DSUB
OG0000047	S-Lap5|NP_610892.1|DMEL	LOC117892480|XP_034654625.1|DSUB
OG0000047	S-Lap3|NP_648394.1|DMEL	LOC117893757|XP_034656383.1|DSUB
OG0000047	S-Lap7|NP_610900.1|DMEL	LOC117891376|XP_034652704.1|DSUB
OG0000047	S-Lap4|NP_729613.1|DMEL	LOC117895380|XP_034658890.1|DSUB
OG0000048	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	CG13044|NP_648867.1|DMEL	LOC117894523|XP_034657528.1|DSUB
OG0000048	CG13042|NP_648870.1|DMEL	LOC117894537|XP_034657548.1|DSUB
OG0000049	CG4053|NP_650601.2|DMEL	LOC117898484|XP_034663812.1|DSUB
OG0000049	CG17475|NP_650600.2|DMEL	LOC117898479|XP_034663805.1|DSUB
OG0000049	CG31265|NP_650599.1|DMEL	LOC117899170|XP_034664920.1|DSUB
OG0000049	CG5255|NP_650604.1|DMEL	LOC117898482|XP_034663809.1|DSUB
OG0000050	CG13193|NP_610699.1|DMEL	LOC117892195|XP_034654177.1|DSUB
OG0000050	CG33766|NP_001027140.1|DMEL	LOC117893228|XP_034655655.1|DSUB
OG0000050	CG33770|NP_001027144.2|DMEL	LOC117893221|XP_034655647.1|DSUB
OG0000050	CG33769|NP_001027143.1|DMEL	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB
OG0000050	CG33767|NP_001027141.1|DMEL	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB
OG0000050	CG33771|NP_001027145.3|DMEL	LOC117893220|XP_034655645.1|DSUB
OG0000050	CG33768|NP_001027142.2|DMEL	LOC117893224|XP_034655652.1|DSUB
OG0000051	Cyp313b1|NP_649807.1|DMEL	LOC117896438|XP_034660657.1|DSUB
OG0000051	Cyp313a4|NP_650224.3|DMEL	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
