Orthogroup	DMEL.longest_only	HILL.longest_only
OG0000008	Cpr5C|NP_572266.1|DMEL, Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL, Ccp84Ad|NP_649680.1|DMEL, Ccp84Af|NP_649678.1|DMEL	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	Ccp84Ac|NP_649681.1|DMEL, Ccp84Ae|NP_649679.1|DMEL, Ccp84Ag|NP_649677.1|DMEL	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
OG0000009	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC119656845|XP_037919421.1|HILL
OG0000010	His4_CG33885|NP_001027342.1|DMEL	LOC119656775|XP_037919284.1|HILL
OG0000011	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL, CG17361|NP_648678.3|DMEL, CG17359|NP_648679.1|DMEL, CG8319|NP_649920.2|DMEL	LOC119646989|XP_037903630.1|HILL
OG0000012	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC119654191|XP_037915315.1|HILL
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC119655345|XP_037917122.1|HILL
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC119659716|XP_037923899.1|HILL
OG0000013	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL
OG0000016	Act87E|NP_477091.1|DMEL	LOC119657471|XP_037920318.1|HILL
OG0000016	Arp1|NP_524331.2|DMEL	LOC119659313|XP_037923259.1|HILL
OG0000016	Act5C|NP_511052.1|DMEL	LOC119646467|XP_037902844.1|HILL
OG0000016	Act88F|NP_524367.1|DMEL	LOC119653602|XP_037914284.1|HILL
OG0000016	Act79B|NP_524210.1|DMEL	LOC119654963|XP_037916552.1|HILL
OG0000017	Or7a|NP_511081.1|DMEL, Or43b|NP_523656.2|DMEL, Or42a|NP_523622.2|DMEL, Or85a|NP_524277.1|DMEL, Or98a|NP_524536.2|DMEL, Or59b|NP_523822.1|DMEL, Or42b|NP_523624.2|DMEL, Or59c|NP_523823.1|DMEL, Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC119654115|XP_037915205.1|HILL
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL
OG0000018	Cpr65Ax1|NP_001097523.1|DMEL, Cpr65Ax2|NP_652660.1|DMEL, Lcp65Ac|NP_477279.1|DMEL, Lcp65Ad|NP_477278.1|DMEL, Lcp65Af|NP_477274.1|DMEL, Lcp65Ag1|NP_477273.1|DMEL, Lcp65Ag2|NP_477272.1|DMEL, Lcp65Ag3|NP_652662.1|DMEL	LOC119647980|XP_037905281.1|HILL
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL
OG0000020	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL
OG0000021	flw|NP_727418.1|DMEL	LOC119653674|XP_037914437.1|HILL
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC119660522|XP_037925071.1|HILL
OG0000022	CG7798|NP_611098.1|DMEL	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL
OG0000022	LysX|NP_523881.1|DMEL, LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL, LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL
OG0000023	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL
OG0000024	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL, epsilonTry|NP_525112.1|DMEL, CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL, Ser8|NP_610874.1|DMEL	LOC119655586|XP_037917457.1|HILL
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC119656929|XP_037919551.1|HILL
OG0000026	antdh|NP_572695.2|DMEL	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL
OG0000026	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL
OG0000027	CG7203|NP_609143.2|DMEL	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL
OG0000027	CG7214|NP_609141.1|DMEL	LOC119661224|XP_037926378.1|HILL
OG0000028	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL
OG0000029	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL
OG0000030	Or2a|NP_525046.1|DMEL	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL
OG0000030	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL	LOC119654438|XP_037915765.1|HILL
OG0000031	CG5390|NP_609374.1|DMEL	LOC119655224|XP_037916931.1|HILL
OG0000032	GstD1|NP_524326.1|DMEL, GstD10|NP_652713.1|DMEL, GstD9|NP_650181.1|DMEL, GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL
OG0000036	Sp7|NP_649734.2|DMEL	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL
OG0000036	ea|NP_524362.2|DMEL	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL
OG0000037	Cyp12b2|NP_611370.2|DMEL, Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL
OG0000038	Cpr76Bb|NP_649121.1|DMEL, Cpr76Bd|NP_001262052.1|DMEL	LOC119648832|XP_037906622.1|HILL
OG0000039	CG42564|NP_649651.2|DMEL	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL
OG0000040	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL, CG4820|NP_001097748.1|DMEL, CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL, Odj|NP_650661.1|DMEL, CG1792|NP_651878.1|DMEL	LOC119659482|XP_037923522.1|HILL
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL
OG0000043	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL, Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL
OG0000044	CG31087|NP_733100.1|DMEL, CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL, CG6908|NP_650105.1|DMEL	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC119649047|XP_037906953.1|HILL
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL, Cpr65Ec|NP_648077.1|DMEL, Cpr65Eb|NP_648076.3|DMEL	LOC119652611|XP_037912776.1|HILL
OG0000046	CG5892|NP_650959.2|DMEL, CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL, CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL	LOC119657334|XP_037920131.1|HILL, LOC119657920|XP_037921035.1|HILL
