Orthogroup	DMEL.longest_only	DBUS.longest_only
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108604418|XP_033150077.1|DBUS
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108602531|XP_017846153.1|DBUS
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC108602012|XP_017845504.1|DBUS
OG0000009	CG11453|NP_650832.1|DMEL	LOC108604020|XP_017848755.1|DBUS
OG0000009	CG11391|NP_650830.1|DMEL	LOC108601959|XP_017845435.1|DBUS
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	CG4563|NP_611913.1|DMEL	LOC108595579|XP_017836330.1|DBUS
OG0000009	CG8834|NP_610779.1|DMEL	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL	LOC108603408|XP_017847686.1|DBUS
OG0000010	His4_CG33875|NP_001027367.1|DMEL, His4_CG33901|NP_001027302.1|DMEL, His4_CG33889|NP_001027332.1|DMEL, His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL, His4_CG33899|NP_001027307.1|DMEL	LOC117134729|XP_033149263.1|DBUS
OG0000011	CG8319|NP_649920.2|DMEL	LOC108599014|XP_017841282.1|DBUS
OG0000012	CG9416|NP_611415.2|DMEL	LOC108595899|XP_017836677.1|DBUS
OG0000012	CG10051|NP_611414.1|DMEL	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	CG11961|NP_725876.1|DMEL	LOC108595898|XP_017836676.1|DBUS
OG0000012	CG10062|NP_001261089.1|DMEL	LOC108595900|XP_017836679.1|DBUS
OG0000012	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL	LOC108597255|XP_017839199.1|DBUS
OG0000012	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC108596692|XP_017838201.1|DBUS
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC108606235|XP_017851657.1|DBUS
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC108603181|XP_017847228.1|DBUS
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC108599948|XP_017842685.1|DBUS
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC108603387|XP_017847647.1|DBUS
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000016	Act87E|NP_477091.1|DMEL	LOC108603000|XP_017846884.1|DBUS
OG0000016	Act57B|NP_523800.1|DMEL	LOC108596111|XP_017837026.1|DBUS
OG0000016	Arp1|NP_524331.2|DMEL	LOC108603521|XP_017847904.1|DBUS
OG0000016	Arp53D|NP_477037.2|DMEL	LOC108596316|XP_017837414.1|DBUS
OG0000016	Act5C|NP_511052.1|DMEL	LOC108606266|XP_017851714.1|DBUS
OG0000016	Act42A|NP_523625.1|DMEL	LOC108596191|XP_017837194.1|DBUS
OG0000016	Act88F|NP_524367.1|DMEL	LOC108601639|XP_017845028.2|DBUS
OG0000016	Act79B|NP_524210.1|DMEL	LOC108599665|XP_017842156.1|DBUS
OG0000017	Or42a|NP_523622.2|DMEL	LOC108594623|XP_017835255.1|DBUS
OG0000017	Or98a|NP_524536.2|DMEL	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	Or59b|NP_523822.1|DMEL	LOC108594615|XP_017835248.1|DBUS
OG0000017	Or42b|NP_523624.2|DMEL	LOC108595879|XP_017836658.1|DBUS
OG0000017	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL	LOC108607612|XP_017854053.1|DBUS
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC108599199|XP_017841484.1|DBUS
OG0000018	Lcp65Ac|NP_477279.1|DMEL	LOC108597971|XP_017840076.1|DBUS
OG0000018	Lcp65Ad|NP_477278.1|DMEL	LOC108599156|XP_017841431.1|DBUS
OG0000019	CG6283|NP_651524.1|DMEL	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	CG6296|NP_651520.1|DMEL	LOC108602931|XP_017846763.1|DBUS
OG0000019	CG6295|NP_651521.1|DMEL	LOC108602936|XP_017846767.1|DBUS
OG0000019	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC108602933|XP_017846765.1|DBUS
OG0000020	rdog|NP_651678.1|DMEL	LOC108604342|XP_017849258.1|DBUS
OG0000020	CG10505|NP_611571.2|DMEL	LOC108594958|XP_017835581.1|DBUS
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL	LOC108607439|XP_017853757.2|DBUS
OG0000020	CG4562|NP_001262747.1|DMEL	LOC108603823|XP_017848442.1|DBUS
OG0000020	Mrp4|NP_650086.2|DMEL	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC108607440|XP_017853760.2|DBUS
OG0000021	PpD6|NP_524947.1|DMEL	LOC108595010|XP_017835633.1|DBUS
OG0000021	Pp1-Y1|NP_001104152.3|DMEL	LOC108595013|XP_017835637.1|DBUS
OG0000021	PpN58A|NP_477384.1|DMEL	LOC108595009|XP_017835632.1|DBUS
OG0000021	PpD5|NP_524707.1|DMEL	LOC108595428|XP_017836145.1|DBUS
OG0000021	PpY-55A|NP_476689.1|DMEL	LOC108594982|XP_017835604.1|DBUS
OG0000021	Pp1-Y2|NP_001015497.4|DMEL	LOC108595014|XP_017835638.1|DBUS
OG0000021	flw|NP_727418.1|DMEL	LOC108605475|XP_017850651.1|DBUS
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL	LOC108602127|XP_017845643.1|DBUS
OG0000021	Pp1-13C|NP_524921.1|DMEL	LOC108606823|XP_017852795.1|DBUS
OG0000022	CG7798|NP_611098.1|DMEL	LOC108595778|XP_017836559.1|DBUS
OG0000022	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	alpha-Est6|NP_524262.1|DMEL	LOC117134624|XP_033150075.1|DBUS
OG0000023	alpha-Est5|NP_001246965.1|DMEL	LOC108601632|XP_017845020.1|DBUS
OG0000023	alpha-Est3|NP_524267.2|DMEL	LOC108601651|XP_017845040.1|DBUS
OG0000023	alpha-Est2|NP_524268.3|DMEL	LOC108604301|XP_017849208.1|DBUS
OG0000023	gas|NP_611678.1|DMEL	LOC108596143|XP_017837125.1|DBUS
OG0000023	alpha-Est1|NP_524269.3|DMEL	LOC108604433|XP_017849396.1|DBUS
OG0000023	alpha-Est7|NP_524261.1|DMEL	LOC108601245|XP_033150074.1|DBUS
OG0000023	alpha-Est9|NP_731165.2|DMEL	LOC108602727|XP_017846368.1|DBUS
OG0000023	alpha-Est8|NP_524259.2|DMEL	LOC108602726|XP_017846367.1|DBUS
OG0000023	alpha-Est10|NP_001246962.1|DMEL	LOC117134644|XP_033150071.1|DBUS
OG0000024	epsilonTry|NP_525112.1|DMEL	LOC108595136|XP_017835788.1|DBUS
OG0000024	CG17571|NP_610109.1|DMEL	LOC108596281|XP_017837347.1|DBUS
OG0000024	Ser8|NP_610874.1|DMEL	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC108607483|XP_017853815.1|DBUS
OG0000025	His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL	LOC117134728|XP_033149262.1|DBUS
OG0000026	antdh|NP_572695.2|DMEL	LOC108606562|XP_017852268.1|DBUS
OG0000026	CG9150|NP_608991.2|DMEL	LOC108597443|XP_017839499.1|DBUS
OG0000026	CG9360|NP_572746.1|DMEL	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	CG3301|NP_650964.1|DMEL	LOC108602219|XP_017845755.1|DBUS
OG0000027	Acp1|NP_477115.1|DMEL	LOC108600961|XP_017844639.1|DBUS
OG0000027	CG7203|NP_609143.2|DMEL	LOC108608302|XP_017855118.1|DBUS
OG0000027	CG7214|NP_609141.1|DMEL	LOC108600155|XP_017843044.1|DBUS
OG0000028	CG14095|NP_649112.1|DMEL	LOC108598250|XP_017840354.1|DBUS
OG0000028	CG13068|NP_648856.1|DMEL	LOC108597900|XP_017840008.2|DBUS
OG0000029	CheA84a|NP_001027150.1|DMEL	LOC108601292|XP_017844680.1|DBUS
OG0000029	CheA75a|NP_649035.2|DMEL	LOC108599285|XP_017841572.1|DBUS
OG0000030	Or33c|NP_523555.1|DMEL	LOC108608102|XP_033150830.1|DBUS
OG0000030	Or23a|NP_523458.3|DMEL	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	Or59a|NP_523821.1|DMEL	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	Or2a|NP_525046.1|DMEL	LOC108605352|XP_017850510.1|DBUS
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	CG5390|NP_609374.1|DMEL	LOC108596350|XP_017837498.1|DBUS
OG0000032	GstD1|NP_524326.1|DMEL	LOC108604099|XP_017848870.1|DBUS
OG0000032	GstD9|NP_650181.1|DMEL	LOC108601631|XP_017845019.1|DBUS
OG0000032	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL, CheB38b|NP_995735.1|DMEL, CheB42c|NP_995764.2|DMEL, CheB42b|NP_995763.1|DMEL	LOC108596493|XP_017837798.1|DBUS
OG0000033	CheB42a|NP_995765.1|DMEL	LOC108594868|XP_017835496.1|DBUS
OG0000034	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL	LOC108600656|XP_017843844.2|DBUS
OG0000034	Ugt37E1|NP_652628.2|DMEL	LOC108597722|XP_017839907.2|DBUS
OG0000034	Ugt37D1|NP_652627.2|DMEL	LOC108608325|XP_017855153.2|DBUS
OG0000034	Ugt37B1|NP_525008.2|DMEL	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	Sp7|NP_649734.2|DMEL	LOC108601814|XP_017845240.1|DBUS
OG0000036	ea|NP_524362.2|DMEL	LOC108604642|XP_017849680.1|DBUS
OG0000036	MP1|NP_001303421.1|DMEL	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	SPE|NP_651168.1|DMEL	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	Cpr76Bb|NP_649121.1|DMEL	LOC108598255|XP_017840359.1|DBUS
OG0000038	Cpr76Bd|NP_001262052.1|DMEL	LOC108599609|XP_017842054.2|DBUS
OG0000039	CG42564|NP_649651.2|DMEL	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	Ag5r|NP_524770.1|DMEL	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	CG32679|NP_727412.2|DMEL	LOC108605392|XP_017850551.1|DBUS
OG0000040	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL	LOC108601310|XP_017844699.1|DBUS
OG0000040	CG4820|NP_001097748.1|DMEL	LOC108603822|XP_017848441.1|DBUS
OG0000040	CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL	LOC108604808|XP_017849901.1|DBUS
OG0000040	Odj|NP_650661.1|DMEL	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	CG1792|NP_651878.1|DMEL	LOC117134625|XP_033150105.1|DBUS
OG0000041	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	CG14502|NP_611311.1|DMEL, CG18539|NP_611315.3|DMEL, CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	CG18540|NP_611316.2|DMEL	LOC108601375|XP_033149906.1|DBUS
OG0000043	Ugt302E1|NP_652625.2|DMEL	LOC108602016|XP_033149810.1|DBUS
OG0000043	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL	LOC117134835|XP_033149811.1|DBUS
OG0000044	CG31087|NP_733100.1|DMEL	LOC108602073|XP_017845582.1|DBUS
OG0000044	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL	LOC108601821|XP_017845247.1|DBUS
OG0000045	Cpr67Fb|NP_648420.1|DMEL	LOC108599876|XP_017842521.1|DBUS
OG0000045	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	Cpr65Ec|NP_648077.1|DMEL	LOC108598310|XP_017840415.1|DBUS
OG0000045	Cpr65Eb|NP_648076.3|DMEL	LOC108598311|XP_017840416.1|DBUS
OG0000046	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL	LOC108605353|XP_017850511.2|DBUS
OG0000047	loopin-1|NP_001097338.1|DMEL	LOC108595113|XP_033148899.1|DBUS
OG0000047	S-Lap8|NP_611132.1|DMEL	LOC108595086|XP_017835725.1|DBUS
OG0000047	S-Lap5|NP_610892.1|DMEL	LOC108595112|XP_017835761.1|DBUS
OG0000047	S-Lap3|NP_648394.1|DMEL	LOC108601150|XP_033149649.1|DBUS
OG0000047	S-Lap7|NP_610900.1|DMEL	LOC108597760|XP_017839960.1|DBUS
OG0000048	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	CG13044|NP_648867.1|DMEL	LOC108599702|XP_017842187.2|DBUS
OG0000048	CG13042|NP_648870.1|DMEL	LOC108599709|XP_017842195.1|DBUS
OG0000049	CG4053|NP_650601.2|DMEL	LOC108604094|XP_017848864.1|DBUS
OG0000049	CG5246|NP_650603.1|DMEL	LOC108604092|XP_017848863.1|DBUS
OG0000049	CG17475|NP_650600.2|DMEL	LOC108602189|XP_017845724.1|DBUS
OG0000049	CG31265|NP_650599.1|DMEL	LOC108602386|XP_017845985.1|DBUS
OG0000049	CG5255|NP_650604.1|DMEL	LOC108601428|XP_017844815.1|DBUS
OG0000050	CG33769|NP_001027143.1|DMEL	LOC108598030|XP_017840133.2|DBUS
OG0000050	CG33771|NP_001027145.3|DMEL	LOC108598031|XP_017840135.1|DBUS
OG0000051	Cyp313b1|NP_649807.1|DMEL	LOC108602122|XP_017845638.1|DBUS
OG0000051	Cyp313a4|NP_650224.3|DMEL	LOC108603519|XP_017847901.1|DBUS
OG0000051	Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL	LOC108601326|XP_017844713.1|DBUS
OG0000052	CG16904|NP_649957.1|DMEL, CG31141|NP_732912.2|DMEL, eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	CG17821|NP_725820.2|DMEL	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	CG18609|NP_611365.2|DMEL	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	Mal-A8|NP_610384.1|DMEL	LOC108596657|XP_017838132.1|DBUS
OG0000053	Mal-A7|NP_610383.1|DMEL	LOC108596656|XP_017838131.1|DBUS
OG0000053	Mal-A6|NP_995779.2|DMEL	LOC108596363|XP_017837514.1|DBUS
OG0000053	Mal-A5|NP_610382.2|DMEL	LOC108596359|XP_017837509.1|DBUS
OG0000053	Mal-A1|NP_476627.3|DMEL	LOC108596165|XP_017837161.1|DBUS
OG0000054	AOX1|NP_650475.1|DMEL	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	AOX2|NP_732047.2|DMEL	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	CecA2|NP_524589.1|DMEL, CecA1|NP_524588.1|DMEL	LOC108602318|XP_017845891.1|DBUS
OG0000055	CecB|NP_524590.1|DMEL	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000056	CG6726|NP_651120.1|DMEL	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL	LOC108602080|XP_017845593.1|DBUS
OG0000056	CG6465|NP_650004.1|DMEL	LOC108598485|XP_017840632.1|DBUS
OG0000058	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	AANATL2|NP_609005.1|DMEL	LOC117135039|XP_033150759.1|DBUS
OG0000058	AgmNAT|NP_572268.1|DMEL	LOC108606881|XP_017852895.1|DBUS
OG0000059	TwdlJ|NP_651489.2|DMEL, TwdlK|NP_651488.1|DMEL	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	TwdlN|NP_733160.1|DMEL	LOC108602589|XP_017846217.1|DBUS
OG0000059	TwdlM|NP_651484.1|DMEL	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	CkIalpha|NP_511140.1|DMEL	LOC108605501|XP_017850738.1|DBUS
OG0000060	CG7094|NP_609851.2|DMEL	LOC108596314|XP_017837413.1|DBUS
OG0000060	CG12147|NP_649536.1|DMEL	LOC108602170|XP_017845695.1|DBUS
OG0000060	dco|NP_001356928.1|DMEL	LOC108604124|XP_017848902.1|DBUS
OG0000060	CG2577|NP_572794.1|DMEL	LOC108605927|XP_017851236.1|DBUS
OG0000060	CG9962|NP_608697.1|DMEL	LOC108594930|XP_033150017.1|DBUS
OG0000061	CG15255|NP_609755.1|DMEL	LOC108602145|XP_017845670.1|DBUS
OG0000061	CG7631|NP_609760.1|DMEL	LOC108594753|XP_017835384.1|DBUS
OG0000061	CG15253|NP_609758.1|DMEL	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS
OG0000062	CG12111|NP_572491.1|DMEL	LOC108606274|XP_017851741.1|DBUS
OG0000062	Lectin-galC1|NP_477200.1|DMEL, lectin-37Da|NP_001188846.1|DMEL	LOC108607908|XP_017854511.1|DBUS
OG0000063	CG42826|NP_001189079.1|DMEL	LOC108598139|XP_033149614.1|DBUS
OG0000063	CG32053|NP_729587.1|DMEL	LOC108598875|XP_017841124.1|DBUS
OG0000063	CG32054|NP_729588.1|DMEL, CG42825|NP_729590.1|DMEL	LOC108598617|XP_017840805.2|DBUS, LOC108598825|XP_017841064.2|DBUS
OG0000065	CG10096|NP_001027183.1|DMEL	LOC108602948|XP_017846787.1|DBUS
OG0000065	Sgp|NP_609241.1|DMEL, CG10097|NP_731699.2|DMEL, CG14893|NP_650568.2|DMEL, CG17562|NP_650566.1|DMEL, CG17560|NP_650567.1|DMEL	LOC108604232|XP_017849089.1|DBUS, LOC108597099|XP_017838955.1|DBUS
