Orthogroup	DPER.longest_only	AEAL.longest_only
OG0000009	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC113567423|XP_026850962.1|DPER	LOC115264603|XP_029724326.1|AEAL, LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC113567415|XP_026850950.1|DPER	LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC113567250|XP_026850220.1|DPER	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000011	LOC113565948|XP_026845158.1|DPER	LOC115262047|XP_029719837.1|AEAL, LOC115261495|XP_029719074.1|AEAL
OG0000012	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000016	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL
OG0000021	LOC113565817|XP_026844838.1|DPER, LOC6598730|XP_026840231.1|DPER, LOC6597578|XP_026848930.1|DPER	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC6593244|XP_026840814.1|DPER, LOC6601032|XP_002026120.1|DPER, LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER, LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER, LOC113566794|XP_026849744.1|DPER	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC6594351|XP_026840807.1|DPER, LOC6594350|XP_002019529.2|DPER, LOC6594355|XP_002019534.1|DPER, LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER, LOC6594346|XP_002019525.2|DPER, LOC6594348|XP_002019527.1|DPER, LOC6594344|XP_002019523.1|DPER	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER, LOC6592578|XP_002017743.2|DPER, LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER, LOC6591036|XP_002016629.1|DPER	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC6604122|XP_002029055.1|DPER	LOC109431226|XP_029724373.1|AEAL
OG0000025	LOC113567384|XP_026850889.1|DPER	LOC115264617|XP_029724354.1|AEAL
OG0000026	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC6589175|XP_002014624.1|DPER, LOC6589890|XP_026844932.1|DPER, LOC6589176|XP_002014625.1|DPER	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER, LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER, LOC6599696|XP_002024949.1|DPER	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC6603379|XP_002028365.1|DPER, LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000032	LOC6598612|XP_002023857.1|DPER, LOC6598610|XP_026850099.1|DPER, LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER, LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL
OG0000035	LOC113566113|XP_026846027.1|DPER	LOC115268848|XP_029732879.1|AEAL
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC109424827|XP_019555564.2|AEAL
OG0000037	LOC6590968|XP_002015904.2|DPER, LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL
OG0000043	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER, LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL
OG0000044	LOC6591553|XP_026847828.1|DPER, LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER, LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER, LOC113564933|XP_026840246.1|DPER	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL
OG0000045	LOC6601537|XP_002026551.1|DPER, LOC6595948|XP_002021076.1|DPER, LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL
OG0000047	LOC6589933|XP_002015961.2|DPER, LOC6592655|XP_026842447.1|DPER, LOC6592377|XP_002017999.1|DPER	LOC109430117|XP_029718231.1|AEAL
OG0000048	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER, LOC6599882|XP_002024936.1|DPER, LOC6599879|XP_002024933.1|DPER	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL
OG0000049	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER, LOC6598735|XP_002023804.1|DPER, LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER, LOC6598736|XP_026840083.1|DPER	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL
OG0000051	LOC6588071|XP_002014115.1|DPER, LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER, LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL
OG0000053	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER, LOC6589986|XP_002015738.1|DPER	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL
OG0000054	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER, LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL
OG0000055	LOC113567436|XP_026851056.1|DPER, LOC113567435|XP_026851054.1|DPER, LOC113567434|XP_026851053.1|DPER, LOC113567362|XP_026850717.1|DPER, LOC113566737|XP_026849496.1|DPER, LOC113566729|XP_026849439.1|DPER, LOC113567357|XP_026850699.1|DPER	LOC115256529|XP_029711077.1|AEAL
OG0000056	LOC6595083|XP_002020145.1|DPER, LOC6595082|XP_002020144.1|DPER, LOC6595081|XP_002020143.1|DPER, LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL
OG0000058	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER	LOC109413458|XP_019542679.2|AEAL, LOC115265775|XP_029727582.1|AEAL, LOC109623107|XP_019933135.2|AEAL, LOC109405129|XP_019533674.2|AEAL
OG0000060	LOC6603233|XP_026845368.1|DPER	LOC115253826|XP_029711789.1|AEAL, LOC109415565|XP_019544994.1|AEAL, LOC109431105|XP_029711394.1|AEAL, LOC115256864|XP_029711798.1|AEAL
OG0000060	LOC6595218|XP_026848071.1|DPER	LOC109421315|XP_029726943.1|AEAL, LOC109621270|XP_029727055.1|AEAL
OG0000061	LOC6596401|XP_002021586.2|DPER, LOC6596505|XP_002021579.1|DPER, LOC6596504|XP_002021578.1|DPER, LOC6596398|XP_002021583.1|DPER, LOC6596397|XP_002021582.1|DPER	LOC109412047|XP_019541235.2|AEAL, LOC115259629|XP_029716255.1|AEAL, LOC109398453|XP_029716337.1|AEAL, LOC109424658|XP_019555373.2|AEAL
OG0000064	LOC6594000|XP_002019052.1|DPER	LOC115267276|XP_029730049.1|AEAL, LOC115262602|XP_029720858.1|AEAL, LOC115266697|XP_029729085.1|AEAL, LOC115257776|XP_029713592.1|AEAL, LOC109432247|XP_019564124.2|AEAL, LOC115267200|XP_029729932.1|AEAL, LOC115266586|XP_029728866.1|AEAL, LOC115258714|XP_029714947.1|AEAL, LOC115256715|XP_029711511.1|AEAL, LOC115256702|XP_029711483.1|AEAL
OG0000067	LOC6599619|XP_026849500.1|DPER	LOC109411462|XP_019540532.2|AEAL
