Orthogroup	DPER.longest_only	DSER.longest_only
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC113567028|XP_026850039.1|DPER	LOC110180700|XP_020804040.1|DSER
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000006	LOC113567386|XP_026850891.1|DPER	LOC110182435|XP_020806129.1|DSER
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC113567423|XP_026850962.1|DPER	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER
OG0000010	LOC113567415|XP_026850950.1|DPER	LOC110183810|XP_020807821.1|DSER
OG0000011	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER, LOC110183280|XP_020807170.1|DSER, LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER, LOC110183170|XP_020807021.1|DSER, LOC110182672|XP_020806412.1|DSER, LOC110185813|XP_020810477.1|DSER, LOC110182278|XP_020805955.1|DSER
OG0000011	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER
OG0000012	LOC6589912|XP_002016521.1|DPER	LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER
OG0000012	LOC6590586|XP_002016525.1|DPER	LOC110178311|XP_020801063.1|DSER
OG0000012	LOC6590587|XP_002016526.1|DPER	LOC110178377|XP_020801172.1|DSER
OG0000012	LOC6590588|XP_002016527.1|DPER	LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC6590215|XP_002016528.1|DPER	LOC110178292|XP_020801024.1|DSER
OG0000012	LOC6590216|XP_002016529.1|DPER	LOC110178324|XP_020801093.1|DSER
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC113565257|XP_026842907.1|DPER	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER
OG0000015	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER	LOC110179364|XP_020802537.1|DSER
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC6596237|XP_002021770.1|DPER	LOC110187883|XP_020813027.1|DSER
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC6598163|XP_026846248.1|DPER	LOC110179704|XP_020802972.1|DSER
OG0000017	LOC6590466|XP_002016652.1|DPER	LOC110182944|XP_020806786.1|DSER
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC6592611|XP_002018159.1|DPER	LOC110178449|XP_020801243.1|DSER
OG0000017	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC6601450|XP_002026452.1|DPER	LOC110184752|XP_020809041.1|DSER
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	LOC110184705|XP_020808980.1|DSER, LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER, LOC110184753|XP_020809042.1|DSER, LOC110184714|XP_020808993.1|DSER, LOC110184703|XP_020808978.1|DSER
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC6587186|XP_002012999.1|DPER	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC6593366|XP_002018585.1|DPER	LOC110187270|XP_020812316.1|DSER
OG0000020	LOC6589656|XP_026844645.1|DPER	LOC110183751|XP_020807766.1|DSER
OG0000021	LOC6592714|XP_026841677.1|DPER	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC110177755|XP_020800276.1|DSER
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC110177907|XP_020800536.1|DSER
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC6598730|XP_026840231.1|DPER	LOC110190995|XP_020817366.1|DSER
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC110189278|XP_020814959.1|DSER
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC6601032|XP_002026120.1|DPER	LOC110178658|XP_020801510.1|DSER
OG0000022	LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER	LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000022	LOC113566793|XP_026849743.1|DPER	LOC110178662|XP_020801517.1|DSER
OG0000023	LOC6594355|XP_002019534.1|DPER	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC110180829|XP_020804169.1|DSER
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC6594346|XP_002019525.2|DPER	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC6592579|XP_002017744.1|DPER	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC110179365|XP_020802539.1|DSER
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC110185697|XP_020810324.1|DSER
OG0000024	LOC6592580|XP_002017745.1|DPER	LOC110179322|XP_020802473.1|DSER
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC6599955|XP_002025032.1|DPER	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC6604122|XP_002029055.1|DPER	LOC110182432|XP_020806127.1|DSER
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC6600343|XP_026848406.1|DPER	LOC110179505|XP_020802740.1|DSER
OG0000026	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER	LOC110189572|XP_020815365.1|DSER
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC110188271|XP_020813620.1|DSER
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	LOC6599696|XP_002024949.1|DPER	LOC110190608|XP_020816860.1|DSER
OG0000029	LOC6592269|XP_002017847.2|DPER	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC110185765|XP_020810430.1|DSER
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC110183999|XP_020808015.1|DSER
OG0000030	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER	LOC110184000|XP_020808016.1|DSER
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC6597331|XP_002022519.1|DPER	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC110185921|XP_020810593.1|DSER
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC110185929|XP_020810602.1|DSER
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC6598610|XP_026850099.1|DPER	LOC110189627|XP_020815431.1|DSER
OG0000032	LOC6598613|XP_002023858.2|DPER	LOC110189708|XP_020815547.1|DSER
OG0000032	LOC6598611|XP_026840271.1|DPER	LOC110188628|XP_020814064.1|DSER
OG0000032	LOC6598616|XP_002023861.1|DPER	LOC110190425|XP_020816566.1|DSER
OG0000032	LOC6598615|XP_002023860.1|DPER	LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC6594755|XP_002020092.1|DPER	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC110189687|XP_020815520.1|DSER
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC110189686|XP_020815519.1|DSER
OG0000033	LOC6598819|XP_002023931.1|DPER	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER, LOC110188478|XP_020813866.1|DSER
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC6589243|XP_002014735.1|DPER	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC110185768|XP_020810429.1|DSER
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC6594996|XP_002020162.1|DPER	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC6590968|XP_002015904.2|DPER	LOC110178458|XP_020801255.1|DSER
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC6598397|XP_002023520.1|DPER	LOC110181861|XP_020805441.1|DSER
OG0000039	LOC6598395|XP_002023518.2|DPER	LOC110182039|XP_020805628.1|DSER
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC113566301|XP_026847173.1|DPER	LOC110177295|XP_020799616.1|DSER
OG0000040	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC110190225|XP_020816248.1|DSER
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER
OG0000040	LOC6594617|XP_002019840.1|DPER	LOC110177296|XP_020799617.1|DSER
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC110177417|XP_020799793.1|DSER
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC110186252|XP_020810992.1|DSER
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER
OG0000041	LOC6591518|XP_002017066.1|DPER	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER
OG0000041	LOC6591551|XP_002017060.1|DPER	LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000042	LOC6592870|XP_026842041.1|DPER	LOC110191593|XP_020818136.1|DSER
OG0000042	LOC6592873|XP_002018540.1|DPER	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER
OG0000042	LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER	LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000042	LOC6592874|XP_002018541.2|DPER	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER
OG0000043	LOC6594473|XP_002019739.2|DPER	LOC110187856|XP_020813000.1|DSER
OG0000043	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER	LOC110188004|XP_020813185.1|DSER
OG0000043	LOC6594076|XP_002019736.1|DPER	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC6594478|XP_002019744.1|DPER	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER
OG0000043	LOC6594479|XP_002019745.1|DPER	LOC110187786|XP_020812917.1|DSER
OG0000044	LOC6591553|XP_026847828.1|DPER	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
