Orthogroup	DPER.longest_only	DBUS.longest_only
OG0000012	LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC113565257|XP_026842907.1|DPER	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC6601585|XP_002026606.2|DPER	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC6595695|XP_026843975.1|DPER, LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC6601450|XP_002026452.1|DPER	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC6587186|XP_002012999.1|DPER	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC6603691|XP_002028659.1|DPER	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC6592715|XP_002018082.1|DPER	LOC108595011|XP_017835635.1|DBUS
OG0000021	LOC6592713|XP_002018080.1|DPER	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC6592714|XP_026841677.1|DPER	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC6592712|XP_002018079.1|DPER	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000022	LOC113566794|XP_026849744.1|DPER	LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC6594351|XP_026840807.1|DPER	LOC117134624|XP_033150075.1|DBUS
OG0000023	LOC6594350|XP_002019529.2|DPER	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC6594355|XP_002019534.1|DPER	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC6594346|XP_002019525.2|DPER	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC6599955|XP_002025032.1|DPER	LOC108607483|XP_017853815.1|DBUS
OG0000025	LOC113567384|XP_026850889.1|DPER, LOC113567392|XP_026850909.1|DPER	LOC117134728|XP_033149262.1|DBUS
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS
OG0000028	LOC6602374|XP_026848578.1|DPER	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC6599696|XP_002024949.1|DPER	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC6589243|XP_002014735.1|DPER	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC6598395|XP_002023518.2|DPER	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC113566301|XP_026847173.1|DPER, LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER, LOC6594617|XP_002019840.1|DPER	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC6592874|XP_002018541.2|DPER	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC6594474|XP_002019740.1|DPER	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC6594076|XP_002019736.1|DPER	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC6591553|XP_026847828.1|DPER	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC6603693|XP_002028666.1|DPER	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC6601537|XP_002026551.1|DPER	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC6595948|XP_002021076.1|DPER	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC6591074|XP_002015712.2|DPER, LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC6589933|XP_002015961.2|DPER	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC6592655|XP_026842447.1|DPER	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC6592377|XP_002017999.1|DPER	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC6599882|XP_002024936.1|DPER	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC6599879|XP_002024933.1|DPER	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC6598737|XP_002023806.2|DPER	LOC108601427|XP_017844814.1|DBUS
OG0000049	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC6598735|XP_002023804.1|DPER	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC6598765|XP_002023799.1|DPER	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC6598736|XP_026840083.1|DPER	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC6603417|XP_002028422.1|DPER	LOC108598028|XP_017840131.1|DBUS
OG0000050	LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC6603437|XP_002028415.2|DPER	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC6588071|XP_002014115.1|DPER	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC6588118|XP_002013763.1|DPER, LOC6588232|XP_026849799.1|DPER	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC6590971|XP_002015907.1|DPER	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC6591184|XP_002015908.1|DPER	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC6589988|XP_002015740.1|DPER	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC6589987|XP_002015739.1|DPER	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC6589986|XP_002015738.1|DPER	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC6589985|XP_002015737.2|DPER	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC6590437|XP_002015733.2|DPER	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC6594489|XP_002019960.1|DPER	LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC6594491|XP_026850312.1|DPER	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC113566737|XP_026849496.1|DPER, LOC113566729|XP_026849439.1|DPER, LOC113567357|XP_026850699.1|DPER	LOC108602318|XP_017845891.1|DBUS
OG0000056	LOC6595083|XP_002020145.1|DPER	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC6595081|XP_002020143.1|DPER	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC6593807|XP_002019274.1|DPER	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC6600389|XP_002025477.1|DPER	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC6588594|XP_026851089.1|DPER, LOC6588660|XP_026843599.1|DPER	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC6588641|XP_002013982.1|DPER	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC6587355|XP_002013989.1|DPER	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC6603233|XP_026845368.1|DPER	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC6595658|XP_002020780.1|DPER	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC6591405|XP_002017180.1|DPER	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC6595218|XP_026848071.1|DPER	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC6596974|XP_002022138.1|DPER	LOC108605927|XP_017851236.1|DBUS
OG0000061	LOC6596401|XP_002021586.2|DPER	LOC108602145|XP_017845670.1|DBUS
OG0000061	LOC6596505|XP_002021579.1|DPER, LOC6596504|XP_002021578.1|DPER	LOC108594753|XP_017835384.1|DBUS
OG0000061	LOC6596397|XP_002021582.1|DPER	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS
OG0000062	LOC6597499|XP_002022647.1|DPER	LOC108606274|XP_017851741.1|DBUS
