Orthogroup	DPER.longest_only	DKIK.longest_only
OG0000004	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC113567239|XP_026850209.1|DPER	LOC108071511|XP_017017769.1|DKIK
OG0000005	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC6588523|XP_002013122.1|DPER, LOC113567419|XP_026850958.1|DPER, LOC113567247|XP_026850217.1|DPER, LOC113565363|XP_026842914.1|DPER, LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER, LOC6604168|XP_002029102.2|DPER, LOC113567418|XP_026850957.1|DPER, LOC113567028|XP_026850039.1|DPER, LOC113567401|XP_026850929.1|DPER, LOC6604120|XP_002029058.1|DPER, LOC6587306|XP_002013133.1|DPER, LOC113567394|XP_026850911.1|DPER	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC113567415|XP_026850950.1|DPER	LOC108072854|XP_017019661.1|DKIK
OG0000011	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK, LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK, LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK, LOC108081964|XP_017032688.1|DKIK, LOC108072833|XP_017019613.1|DKIK, LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC6599733|XP_002024838.2|DPER	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC108073175|XP_017020170.1|DKIK
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC6589912|XP_002016521.1|DPER	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC6590586|XP_002016525.1|DPER	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC6590587|XP_002016526.1|DPER	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC6590588|XP_002016527.1|DPER	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC6590215|XP_002016528.1|DPER	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC6590216|XP_002016529.1|DPER	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC113565257|XP_026842907.1|DPER	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK
OG0000015	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER	LOC108073116|XP_017020100.1|DKIK
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC6596237|XP_002021770.1|DPER	LOC108084561|XP_017036305.1|DKIK
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC6598163|XP_026846248.1|DPER	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC6590466|XP_002016652.1|DPER	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC6592611|XP_002018159.1|DPER	LOC108076530|XP_017024931.1|DKIK
OG0000017	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK
OG0000018	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC6587186|XP_002012999.1|DPER	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC6593366|XP_002018585.1|DPER	LOC108074862|XP_017022564.1|DKIK
OG0000020	LOC6589656|XP_026844645.1|DPER	LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC6592714|XP_026841677.1|DPER	LOC108072937|XP_017019783.1|DKIK
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC6592712|XP_002018079.1|DPER	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC6598730|XP_026840231.1|DPER	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC6601032|XP_002026120.1|DPER	LOC108071489|XP_017017741.1|DKIK
OG0000022	LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER	LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000022	LOC113566793|XP_026849743.1|DPER	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC6594355|XP_002019534.1|DPER	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC6594346|XP_002019525.2|DPER	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER	LOC108078326|XP_017027614.1|DKIK
OG0000024	LOC6592579|XP_002017744.1|DPER	LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC6592580|XP_002017745.1|DPER	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC6599955|XP_002025032.1|DPER	LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC6604122|XP_002029055.1|DPER	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC6600343|XP_026848406.1|DPER	LOC108079334|XP_017029126.1|DKIK
OG0000026	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER	LOC108070686|XP_017016752.1|DKIK
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC6592269|XP_002017847.2|DPER	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC6595503|XP_002020608.1|DPER	LOC108075896|XP_017024005.1|DKIK
OG0000030	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER	LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC6597331|XP_002022519.1|DPER	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC6598610|XP_026850099.1|DPER	LOC108077790|XP_017026779.1|DKIK
OG0000032	LOC6598613|XP_002023858.2|DPER	LOC108077711|XP_017026651.1|DKIK
OG0000032	LOC6598611|XP_026840271.1|DPER	LOC108077612|XP_017026507.1|DKIK
OG0000032	LOC6598616|XP_002023861.1|DPER	LOC108077846|XP_017026865.1|DKIK
OG0000032	LOC6598615|XP_002023860.1|DPER	LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC6594755|XP_002020092.1|DPER	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC108080716|XP_017031056.1|DKIK
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC108080718|XP_017031058.1|DKIK
OG0000033	LOC6598819|XP_002023931.1|DPER	LOC108084001|XP_017035503.1|DKIK, LOC108076855|XP_017025374.1|DKIK, LOC108076138|XP_017024355.1|DKIK, LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK, LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC6589243|XP_002014735.1|DPER	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC6594996|XP_002020162.1|DPER	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC6590968|XP_002015904.2|DPER	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC6598397|XP_002023520.1|DPER	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC6598395|XP_002023518.2|DPER	LOC108071673|XP_017017967.1|DKIK
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC113566301|XP_026847173.1|DPER	LOC108070642|XP_017016699.1|DKIK
OG0000040	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK
OG0000040	LOC6594617|XP_002019840.1|DPER	LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC108070710|XP_017016793.1|DKIK
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC108084976|XP_017036887.1|DKIK
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK
