Orthogroup	DPER.longest_only	DHYD.longest_only
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC113567423|XP_026850962.1|DPER	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD
OG0000010	LOC113567415|XP_026850950.1|DPER	LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC113567250|XP_026850220.1|DPER	LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC113565257|XP_026842907.1|DPER	LOC111601485|XP_023173841.2|DHYD, LOC111598320|XP_023169285.2|DHYD
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC6601585|XP_002026606.2|DPER	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC6595695|XP_026843975.1|DPER, LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC6601450|XP_002026452.1|DPER	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC6587186|XP_002012999.1|DPER	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC6603691|XP_002028659.1|DPER	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC6592713|XP_002018080.1|DPER	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC6592712|XP_002018079.1|DPER	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC6598730|XP_026840231.1|DPER	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC113566794|XP_026849744.1|DPER	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC6594350|XP_002019529.2|DPER	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC6594355|XP_002019534.1|DPER	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC6594346|XP_002019525.2|DPER	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC6592580|XP_002017745.1|DPER	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC6604122|XP_002029055.1|DPER	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000025	LOC113567384|XP_026850889.1|DPER, LOC113567392|XP_026850909.1|DPER	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD
OG0000028	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC6602374|XP_026848578.1|DPER	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC6597331|XP_002022519.1|DPER	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC6598610|XP_026850099.1|DPER	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC6590968|XP_002015904.2|DPER	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC6598397|XP_002023520.1|DPER	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC6598395|XP_002023518.2|DPER	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC113566301|XP_026847173.1|DPER, LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER, LOC6594617|XP_002019840.1|DPER	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC6592874|XP_002018541.2|DPER	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC6594474|XP_002019740.1|DPER	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC6594076|XP_002019736.1|DPER	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC6591553|XP_026847828.1|DPER	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC113564933|XP_026840246.1|DPER	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC6603693|XP_002028666.1|DPER	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC6601537|XP_002026551.1|DPER	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC6595948|XP_002021076.1|DPER	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC6591074|XP_002015712.2|DPER, LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC6589933|XP_002015961.2|DPER	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC6592655|XP_026842447.1|DPER	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC6592377|XP_002017999.1|DPER	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC6599882|XP_002024936.1|DPER	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC6599879|XP_002024933.1|DPER	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC6598735|XP_002023804.1|DPER	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC6598765|XP_002023799.1|DPER	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC6598736|XP_026840083.1|DPER	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC6600939|XP_002026041.2|DPER	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC113566500|XP_026848194.1|DPER, LOC6603415|XP_026848193.1|DPER	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC6603437|XP_002028415.2|DPER	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC6588071|XP_002014115.1|DPER	LOC111604842|XP_023178842.2|DHYD
