Orthogroup	DPER.longest_only	CCAP.longest_only
OG0000003	LOC6596552|XP_002021689.1|DPER	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC113567411|XP_026850946.1|DPER	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC113567402|XP_026850930.1|DPER	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC6595910|XP_002021056.1|DPER	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC6596309|XP_002021479.1|DPER, LOC6592462|XP_002017797.1|DPER, LOC6595007|XP_002020464.1|DPER, LOC6595006|XP_002020463.1|DPER, LOC6595005|XP_002020462.1|DPER, LOC6596310|XP_002021480.2|DPER, LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER, LOC6601483|XP_026847920.1|DPER, LOC6601458|XP_026847765.1|DPER	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC6594328|XP_026850351.1|DPER	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC6601897|XP_026849381.1|DPER	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC6601898|XP_002026947.1|DPER	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC113566715|XP_026849382.1|DPER	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC6591826|XP_002016976.2|DPER	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC6591822|XP_002016972.1|DPER	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC6591825|XP_026846385.1|DPER	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC6591827|XP_002016977.1|DPER	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC6594636|XP_026850331.1|DPER	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC113567423|XP_026850962.1|DPER	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC113567415|XP_026850950.1|DPER	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC113567250|XP_026850220.1|DPER	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC6589910|XP_026840670.1|DPER	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC6589909|XP_002016518.1|DPER	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC6589908|XP_026841658.1|DPER	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC6589911|XP_026840671.1|DPER	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC6600889|XP_026840828.1|DPER	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC6602278|XP_002027327.1|DPER	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC113564954|XP_026840479.1|DPER	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC6587678|XP_002013954.1|DPER	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC6601585|XP_002026606.2|DPER	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC6587745|XP_026840230.1|DPER	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC6602189|XP_026848039.1|DPER	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC6590466|XP_002016652.1|DPER, LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC6601448|XP_002026450.1|DPER	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC6601451|XP_002026453.1|DPER	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC6601450|XP_002026452.1|DPER	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000018	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC6594838|XP_002020242.2|DPER	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC6589657|XP_002014518.1|DPER	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC6594627|XP_026850533.1|DPER	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC6598730|XP_026840231.1|DPER	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC6593244|XP_026840814.1|DPER	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000022	LOC113566794|XP_026849744.1|DPER	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC6594346|XP_002019525.2|DPER	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC6594348|XP_002019527.1|DPER	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC6594344|XP_002019523.1|DPER	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC6604122|XP_002029055.1|DPER, LOC113567416|XP_026850955.1|DPER	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC6589175|XP_002014624.1|DPER	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC6589890|XP_026844932.1|DPER	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC6589176|XP_002014625.1|DPER	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC6602374|XP_026848578.1|DPER	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC6599696|XP_002024949.1|DPER	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC6595505|XP_002020610.1|DPER, LOC6595503|XP_002020608.1|DPER, LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC6596396|XP_002021549.2|DPER, LOC6592616|XP_002018164.1|DPER	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC6589468|XP_002014413.1|DPER	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC6598612|XP_002023857.1|DPER	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000035	LOC113566113|XP_026846027.1|DPER	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP
OG0000036	LOC6594433|XP_002019545.1|DPER	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC6587691|XP_002013731.1|DPER	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC6594383|XP_002019297.1|DPER	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC6590968|XP_002015904.2|DPER	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC6602410|XP_002027415.1|DPER	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC6591553|XP_026847828.1|DPER	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER, LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC113564933|XP_026840246.1|DPER	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC6603693|XP_002028666.1|DPER	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC6601537|XP_002026551.1|DPER	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC6595948|XP_002021076.1|DPER	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC6592655|XP_026842447.1|DPER	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER, LOC6599882|XP_002024936.1|DPER	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC6599879|XP_002024933.1|DPER	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC6598735|XP_002023804.1|DPER	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC6598736|XP_026840083.1|DPER	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC6600939|XP_002026041.2|DPER	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC6603417|XP_002028422.1|DPER, LOC6603416|XP_002028421.2|DPER, LOC6603438|XP_026848195.1|DPER, LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER, LOC113566500|XP_026848194.1|DPER, LOC6603415|XP_026848193.1|DPER, LOC6603437|XP_002028415.2|DPER, LOC6603414|XP_002028419.2|DPER	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC6588071|XP_002014115.1|DPER	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC6588118|XP_002013763.1|DPER, LOC6588232|XP_026849799.1|DPER, LOC6590971|XP_002015907.1|DPER, LOC6591184|XP_002015908.1|DPER	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC6589986|XP_002015738.1|DPER	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC6589985|XP_002015737.2|DPER	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC6590437|XP_002015733.2|DPER	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
