Orthogroup	DPER.longest_only	DMAU.longest_only
OG0000010	LOC6588556|XP_002013936.1|DPER, LOC113565368|XP_026842920.1|DPER, LOC113564875|XP_002013123.1|DPER, LOC6604121|XP_026850045.1|DPER, LOC113567031|XP_026850044.1|DPER, LOC6603834|XP_002028795.1|DPER, LOC113567405|XP_026850933.1|DPER, LOC6587285|XP_002013134.1|DPER, LOC113567423|XP_026850962.1|DPER, LOC113567389|XP_026850894.1|DPER, LOC113565367|XP_026842919.1|DPER, LOC6603973|XP_002028920.1|DPER, LOC6587232|XP_026850916.1|DPER, LOC6587476|XP_002013129.1|DPER, LOC113567388|XP_026850893.1|DPER, LOC113567422|XP_026850961.1|DPER, LOC113567406|XP_026850934.1|DPER, LOC6587263|XP_002013118.1|DPER, LOC113567240|XP_026850210.1|DPER, LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER, LOC113567414|XP_026850949.1|DPER	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU, LOC117138313|XP_033156221.1|DMAU, LOC117140362|XP_033159107.1|DMAU, LOC117142406|XP_033162250.1|DMAU, LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC6599733|XP_002024838.2|DPER	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC6589912|XP_002016521.1|DPER	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC6590586|XP_002016525.1|DPER	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC6590587|XP_002016526.1|DPER	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC6590588|XP_002016527.1|DPER	LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC6590215|XP_002016528.1|DPER	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC6590216|XP_002016529.1|DPER	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC6601585|XP_002026606.2|DPER	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC6598163|XP_026846248.1|DPER	LOC117146549|XP_033168738.1|DMAU
OG0000017	LOC6590466|XP_002016652.1|DPER	LOC117138274|XP_033156132.1|DMAU
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC6592611|XP_002018159.1|DPER	LOC117137415|XP_033154734.1|DMAU
OG0000017	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC6601450|XP_002026452.1|DPER	LOC117141483|XP_033160852.1|DMAU
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	LOC117140972|XP_033160097.1|DMAU, LOC117139215|XP_033157288.1|DMAU
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC6587186|XP_002012999.1|DPER	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC6593366|XP_002018585.1|DPER	LOC117135687|XP_033151982.1|DMAU
OG0000020	LOC6589656|XP_026844645.1|DPER	LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC6592713|XP_002018080.1|DPER	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC6592714|XP_026841677.1|DPER	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC6592712|XP_002018079.1|DPER	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC6598730|XP_026840231.1|DPER	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC6601032|XP_002026120.1|DPER	LOC117139751|XP_033158206.1|DMAU
OG0000022	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC113566793|XP_026849743.1|DPER	LOC117139203|XP_033157266.1|DMAU
OG0000022	LOC113566797|XP_026849748.1|DPER	LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC6594351|XP_026840807.1|DPER	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC6594350|XP_002019529.2|DPER	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC6594346|XP_002019525.2|DPER	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC6592579|XP_002017744.1|DPER	LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC6592580|XP_002017745.1|DPER	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC6600343|XP_026848406.1|DPER	LOC117146899|XP_033169397.1|DMAU
OG0000026	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER	LOC117142902|XP_033163074.1|DMAU
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC6602374|XP_026848578.1|DPER	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC6599696|XP_002024949.1|DPER	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC6592269|XP_002017847.2|DPER	LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC6595503|XP_002020608.1|DPER	LOC117137293|XP_033154560.1|DMAU
OG0000030	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER	LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC6597331|XP_002022519.1|DPER	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC6598610|XP_026850099.1|DPER	LOC117145860|XP_033167571.1|DMAU
OG0000032	LOC6598613|XP_002023858.2|DPER	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU
OG0000032	LOC6598611|XP_026840271.1|DPER	LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC6594755|XP_002020092.1|DPER	LOC117144719|XP_033165948.1|DMAU
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC117138299|XP_033156190.1|DMAU
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC117138298|XP_033156189.1|DMAU
OG0000033	LOC6598819|XP_002023931.1|DPER	LOC117140273|XP_033158989.1|DMAU, LOC117144413|XP_033165445.1|DMAU, LOC117144938|XP_033166283.1|DMAU, LOC117137789|XP_033155336.1|DMAU, LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC6589243|XP_002014735.1|DPER	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER	LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC6594996|XP_002020162.1|DPER	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC6590968|XP_002015904.2|DPER	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC6598397|XP_002023520.1|DPER	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC113566301|XP_026847173.1|DPER	LOC117145128|XP_033166540.1|DMAU
OG0000040	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER	LOC117144294|XP_033165289.1|DMAU
OG0000040	LOC6594617|XP_002019840.1|DPER	LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU
OG0000041	LOC6591518|XP_002017066.1|DPER	LOC117145103|XP_033166514.1|DMAU
OG0000041	LOC6591551|XP_002017060.1|DPER	LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC6597209|XP_002022617.2|DPER	LOC117146870|XP_033169351.1|DMAU
OG0000042	LOC6592870|XP_026842041.1|DPER	LOC117138472|XP_033156493.1|DMAU
OG0000042	LOC6592873|XP_002018540.1|DPER	LOC117138473|XP_033156494.1|DMAU
OG0000042	LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER	LOC117138470|XP_033156490.1|DMAU
OG0000042	LOC6592874|XP_002018541.2|DPER	LOC117138471|XP_033156492.1|DMAU
OG0000043	LOC6594473|XP_002019739.2|DPER	LOC117143574|XP_033164210.1|DMAU
OG0000043	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER	LOC117143570|XP_033164205.1|DMAU
OG0000043	LOC6594474|XP_002019740.1|DPER	LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC6594076|XP_002019736.1|DPER	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC6594478|XP_002019744.1|DPER	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU
OG0000043	LOC6594479|XP_002019745.1|DPER	LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC6591553|XP_026847828.1|DPER	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000044	LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER	LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU
OG0000044	LOC113564933|XP_026840246.1|DPER	LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC6603693|XP_002028666.1|DPER	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC6601537|XP_002026551.1|DPER	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC6595948|XP_002021076.1|DPER	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC6598792|XP_002023903.1|DPER	LOC117145662|XP_033167285.1|DMAU
OG0000046	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC6591074|XP_002015712.2|DPER	LOC117147217|XP_033169922.1|DMAU
OG0000046	LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER	LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC6589933|XP_002015961.2|DPER	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC6592655|XP_026842447.1|DPER	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC6592377|XP_002017999.1|DPER	LOC117137194|XP_033154412.1|DMAU
OG0000048	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
