Orthogroup	DPER.longest_only	DYAK.longest_only
OG0000011	LOC6599733|XP_002024838.2|DPER	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC6589912|XP_002016521.1|DPER	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC6590586|XP_002016525.1|DPER	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC6590587|XP_002016526.1|DPER	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC6590588|XP_002016527.1|DPER	LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC6590215|XP_002016528.1|DPER	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC6590216|XP_002016529.1|DPER	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000015	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER	LOC6530275|XP_002091207.2|DYAK
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC6601585|XP_002026606.2|DPER	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC6598163|XP_026846248.1|DPER	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC6590466|XP_002016652.1|DPER	LOC6528495|XP_002089541.2|DYAK
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC6592611|XP_002018159.1|DPER	LOC6531832|XP_002092619.1|DYAK
OG0000017	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC6601452|XP_002026454.1|DPER	LOC26535124|XP_015049835.1|DYAK, LOC26536164|XP_039229759.1|DYAK
OG0000018	LOC6601451|XP_002026453.1|DPER	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC6601450|XP_002026452.1|DPER	LOC6533166|XP_002093892.1|DYAK
OG0000018	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK, LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC6588514|XP_002012998.2|DPER	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC6594838|XP_002020242.2|DPER	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC6590666|XP_002015941.1|DPER	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC6589657|XP_002014518.1|DPER	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC6594627|XP_026850533.1|DPER	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC6594128|XP_002019432.1|DPER	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC6593366|XP_002018585.1|DPER	LOC6529263|XP_002090268.1|DYAK
OG0000020	LOC6589656|XP_026844645.1|DPER	LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC6592713|XP_002018080.1|DPER	LOC6526678|XP_002087784.1|DYAK
OG0000021	LOC6592588|XP_002018070.2|DPER	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC6592233|XP_002018052.1|DPER	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC6599244|XP_026848260.1|DPER	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC113565817|XP_026844838.1|DPER	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC6598730|XP_026840231.1|DPER	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC6597578|XP_026848930.1|DPER	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC6593244|XP_026840814.1|DPER	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC6601032|XP_002026120.1|DPER	LOC6532315|XP_002093075.1|DYAK
OG0000022	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000022	LOC113566793|XP_026849743.1|DPER	LOC6532325|XP_002093085.1|DYAK
OG0000022	LOC113566797|XP_026849748.1|DPER	LOC6532324|XP_002093084.1|DYAK
OG0000023	LOC6594351|XP_026840807.1|DPER	LOC6536030|XP_002096645.2|DYAK
OG0000023	LOC6594350|XP_002019529.2|DPER	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC6594114|XP_002019536.2|DPER	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC6590773|XP_002016461.1|DPER	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC6594113|XP_002019535.2|DPER	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC6594348|XP_002019527.1|DPER	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC6594344|XP_002019523.1|DPER	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC6592579|XP_002017744.1|DPER	LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC6592578|XP_002017743.2|DPER	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC6593580|XP_002018871.1|DPER	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC6592580|XP_002017745.1|DPER	LOC6530303|XP_002091230.1|DYAK
OG0000024	LOC6591036|XP_002016629.1|DPER	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER	LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC6598208|XP_002023333.1|DPER	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC6589226|XP_002014215.1|DPER	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC6600343|XP_026848406.1|DPER	LOC6525544|XP_002101379.1|DYAK
OG0000026	LOC6598768|XP_002023910.1|DPER	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC6589175|XP_002014624.1|DPER	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC6589890|XP_026844932.1|DPER	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC6589176|XP_002014625.1|DPER	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC6602374|XP_026848578.1|DPER	LOC6534951|XP_039229813.1|DYAK
OG0000028	LOC6599696|XP_002024949.1|DPER	LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC6592269|XP_002017847.2|DPER	LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK
OG0000029	LOC6587627|XP_026841612.1|DPER	LOC6536173|XP_002096764.1|DYAK
OG0000029	LOC6599019|XP_002024136.1|DPER	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC6595505|XP_002020610.1|DPER	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC6595503|XP_002020608.1|DPER	LOC6527316|XP_002088409.2|DYAK
OG0000030	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER	LOC6527317|XP_002088410.1|DYAK
OG0000030	LOC6596396|XP_002021549.2|DPER	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC6592616|XP_002018164.1|DPER	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC6600142|XP_002025259.1|DPER	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC6597331|XP_002022519.1|DPER	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC6603379|XP_002028365.1|DPER	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER	LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK
OG0000031	LOC6589468|XP_002014413.1|DPER	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC6598612|XP_002023857.1|DPER	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC6598610|XP_026850099.1|DPER	LOC6536792|XP_002097362.1|DYAK
OG0000032	LOC6598613|XP_002023858.2|DPER	LOC6536800|XP_002097370.2|DYAK
OG0000032	LOC6598611|XP_026840271.1|DPER	LOC6536793|XP_002097363.1|DYAK
OG0000032	LOC6598616|XP_002023861.1|DPER	LOC6536802|XP_002097372.1|DYAK
OG0000032	LOC6598615|XP_002023860.1|DPER	LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC6594755|XP_002020092.1|DPER	LOC6538141|XP_039231494.1|DYAK, LOC6538142|XP_002098676.1|DYAK
OG0000033	LOC6590958|XP_002015543.1|DPER	LOC6528345|XP_002089398.1|DYAK
OG0000033	LOC6590962|XP_002015544.1|DPER	LOC6528350|XP_002089399.1|DYAK
OG0000033	LOC6598819|XP_002023931.1|DPER	LOC6534298|XP_002094979.1|DYAK, LOC6535950|XP_002096566.1|DYAK, LOC6531400|XP_002092203.1|DYAK, LOC6531401|XP_002092204.1|DYAK
OG0000034	LOC6589244|XP_002014736.2|DPER	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC6589243|XP_002014735.1|DPER	LOC6529511|XP_002090513.2|DYAK
OG0000034	LOC6589242|XP_002014734.1|DPER	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER	LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK
OG0000034	LOC6593808|XP_026844827.1|DPER	LOC6527117|XP_002088210.1|DYAK
OG0000036	LOC6594433|XP_002019545.1|DPER	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC6587691|XP_002013731.1|DPER	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC6594383|XP_002019297.1|DPER	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC6594996|XP_002020162.1|DPER	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC6590968|XP_002015904.2|DPER	LOC6531032|XP_002091868.2|DYAK
OG0000037	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK
OG0000038	LOC6602410|XP_002027415.1|DPER	LOC6539691|XP_002086577.2|DYAK
OG0000038	LOC6602412|XP_026848529.1|DPER	LOC6534938|XP_039229728.1|DYAK
OG0000039	LOC6591968|XP_026846968.1|DPER	LOC6537610|XP_002098156.2|DYAK
OG0000039	LOC6598396|XP_002023519.1|DPER	LOC6524746|XP_002100590.1|DYAK
OG0000039	LOC6598397|XP_002023520.1|DPER	LOC6524745|XP_002100589.2|DYAK
OG0000039	LOC6599449|XP_026847206.1|DPER	LOC6526007|XP_002101825.1|DYAK
OG0000040	LOC113566301|XP_026847173.1|DPER	LOC6535485|XP_002096116.3|DYAK
OG0000040	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER	LOC6536605|XP_002097181.1|DYAK
OG0000040	LOC6594422|XP_002019754.1|DPER	LOC6536604|XP_002097180.1|DYAK
OG0000040	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER	LOC6535486|XP_002096117.1|DYAK
OG0000040	LOC6594617|XP_002019840.1|DPER	LOC6535487|XP_002096118.3|DYAK
OG0000040	LOC6594616|XP_002019839.1|DPER	LOC6535489|XP_002096120.1|DYAK
OG0000040	LOC6587705|XP_002012978.2|DPER	LOC6539025|XP_002099527.1|DYAK
OG0000041	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK
OG0000041	LOC6591518|XP_002017066.1|DPER	LOC6538533|XP_002099055.1|DYAK
OG0000041	LOC6591551|XP_002017060.1|DPER	LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000042	LOC6597209|XP_002022617.2|DPER	LOC6525924|XP_002101744.1|DYAK
OG0000042	LOC6592870|XP_026842041.1|DPER	LOC6531112|XP_002091946.1|DYAK
OG0000042	LOC6592873|XP_002018540.1|DPER	LOC6531108|XP_002091942.2|DYAK
OG0000042	LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER	LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK
OG0000042	LOC6592874|XP_002018541.2|DPER	LOC6531107|XP_002091941.2|DYAK
OG0000043	LOC6594473|XP_002019739.2|DPER	LOC6536588|XP_002097164.1|DYAK
OG0000043	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER	LOC6536590|XP_002097166.1|DYAK
OG0000043	LOC6594474|XP_002019740.1|DPER	LOC6536589|XP_002097165.1|DYAK
OG0000043	LOC6594076|XP_002019736.1|DPER	LOC6536584|XP_002097160.1|DYAK
OG0000043	LOC6594478|XP_002019744.1|DPER	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK
OG0000043	LOC6594479|XP_002019745.1|DPER	LOC6536594|XP_002097170.1|DYAK
OG0000044	LOC6591553|XP_026847828.1|DPER	LOC6538530|XP_002099052.1|DYAK
OG0000044	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK
OG0000044	LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER	LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK
OG0000044	LOC113564933|XP_026840246.1|DPER	LOC6537407|XP_002097963.3|DYAK
OG0000045	LOC6603693|XP_002028666.1|DPER	LOC6533631|XP_002094338.1|DYAK
OG0000045	LOC6601537|XP_002026551.1|DPER	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK
OG0000045	LOC6595948|XP_002021076.1|DPER	LOC6533265|XP_002093991.2|DYAK
OG0000045	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER	LOC6533264|XP_002093990.1|DYAK
OG0000046	LOC6598792|XP_002023903.1|DPER	LOC6535912|XP_002096528.1|DYAK
OG0000046	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER	LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK
OG0000046	LOC6591074|XP_002015712.2|DPER	LOC6525176|XP_002101014.2|DYAK
OG0000046	LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER	LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK
OG0000047	LOC6589933|XP_002015961.2|DPER	LOC6531396|XP_002092199.1|DYAK
OG0000047	LOC6592655|XP_026842447.1|DPER	LOC6529920|XP_002090877.1|DYAK
OG0000047	LOC6592377|XP_002017999.1|DPER	LOC6529913|XP_002090870.1|DYAK
