Orthogroup	CQUI.longest_only	DHYD.longest_only
OG0000419	LOC6042303|XP_001851438.1|CQUI	LOC111597727|XP_023168337.2|DHYD
OG0000421	LOC6035780|XP_038108560.1|CQUI	LOC115483291|XP_030080494.1|DHYD, LOC111598933|XP_023170175.1|DHYD
OG0000421	LOC6033111|XP_038111263.1|CQUI	LOC111595197|XP_030079195.1|DHYD
OG0000422	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI	LOC111598659|XP_030080615.1|DHYD
OG0000423	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI	LOC111594333|XP_023163346.1|DHYD, LOC111594334|XP_023163347.2|DHYD
OG0000424	LOC6032379|XP_038109405.1|CQUI	LOC111594329|XP_023163340.2|DHYD
OG0000425	LOC6051878|XP_038111177.1|CQUI	LOC111594405|XP_023163450.2|DHYD
OG0000425	LOC6049711|XP_038113311.1|CQUI	LOC115483812|XP_030082012.1|DHYD, LOC111597041|XP_023167323.1|DHYD
OG0000426	LOC6043942|XP_001861525.2|CQUI	LOC111599243|XP_023170614.1|DHYD
OG0000429	LOC6048181|XP_001865138.2|CQUI	LOC111592142|XP_023159956.1|DHYD, LOC111592139|XP_023159951.2|DHYD, LOC111592140|XP_023159954.2|DHYD
OG0000433	LOC6042750|XP_001870760.2|CQUI	LOC111602397|XP_023175180.2|DHYD
OG0000433	LOC6040995|XP_038119615.1|CQUI	LOC111594844|XP_023164078.2|DHYD
OG0000434	LOC6042411|XP_001851531.2|CQUI	LOC111593230|XP_023161649.2|DHYD
OG0000434	LOC119765343|XP_038104983.1|CQUI	LOC111600885|XP_023172991.2|DHYD, LOC111600884|XP_023172990.2|DHYD
OG0000435	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI	LOC111596567|XP_030079553.1|DHYD
OG0000437	LOC6052828|XP_001869024.1|CQUI	LOC111592673|XP_023160808.1|DHYD
OG0000437	LOC6048330|XP_001865266.2|CQUI	LOC111600934|XP_023173074.1|DHYD
OG0000438	LOC6034110|XP_038111570.1|CQUI	LOC111594574|XP_023163700.1|DHYD
OG0000439	LOC6039581|XP_038109671.1|CQUI	LOC111600365|XP_023172210.2|DHYD
OG0000439	LOC6051719|XP_038113453.1|CQUI	LOC111600925|XP_023173057.2|DHYD
OG0000440	LOC6036645|XP_001846671.2|CQUI	LOC111595258|XP_023164672.2|DHYD, LOC111595260|XP_023164674.2|DHYD, LOC111597981|XP_023168725.2|DHYD, LOC111593894|XP_023162730.1|DHYD
OG0000441	LOC6050426|XP_038113065.1|CQUI	LOC111593558|XP_023162182.1|DHYD, LOC111593559|XP_023162183.2|DHYD
OG0000443	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI	LOC111598768|XP_023169950.1|DHYD, LOC111598767|XP_023169949.2|DHYD
OG0000444	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI	LOC111599487|XP_023170922.2|DHYD, LOC111599490|XP_023170924.2|DHYD
OG0000448	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI	LOC111597881|XP_023168576.2|DHYD, LOC111597883|XP_023168583.2|DHYD, LOC111599486|XP_023170921.2|DHYD
OG0000449	LOC6033785|XP_038109492.1|CQUI	LOC111601066|XP_023173257.2|DHYD
OG0000450	LOC6050628|XP_038113806.1|CQUI	LOC111595982|XP_030080038.1|DHYD
OG0000450	LOC6042731|XP_038116979.1|CQUI	LOC111596583|XP_023166624.1|DHYD
OG0000451	LOC6034433|XP_001844750.1|CQUI	LOC111600827|XP_023172938.1|DHYD
OG0000451	LOC6034434|XP_038105282.1|CQUI	LOC111600661|XP_023172700.1|DHYD
OG0000453	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI	LOC111602787|XP_023175828.2|DHYD
OG0000454	LOC6031085|XP_001841933.2|CQUI	LOC111592640|XP_023160753.2|DHYD
OG0000456	LOC6047972|XP_038113525.1|CQUI	LOC111595874|XP_023165565.2|DHYD
OG0000456	LOC6036162|XP_038107996.1|CQUI	LOC111600346|XP_023172181.2|DHYD
OG0000457	LOC6047780|XP_038111522.1|CQUI	LOC111593779|XP_023162564.2|DHYD
OG0000457	LOC6054790|XP_038111518.1|CQUI	LOC111602307|XP_030079070.1|DHYD
OG0000458	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI	LOC111595812|XP_023165471.2|DHYD
OG0000460	LOC6044256|XP_001861795.2|CQUI	LOC111595833|XP_023165509.1|DHYD
OG0000465	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI	LOC111593699|XP_023162412.2|DHYD, LOC111593687|XP_023162351.2|DHYD
OG0000466	LOC6035082|XP_038122526.1|CQUI	LOC111601829|XP_023174424.1|DHYD
OG0000466	LOC6044248|XP_038107808.1|CQUI	LOC111595994|XP_023165759.1|DHYD
OG0000467	LOC6045537|XP_038118816.1|CQUI	LOC111593806|XP_023162599.2|DHYD, LOC111593964|XP_023162823.1|DHYD, LOC111593807|XP_030078931.1|DHYD, LOC115483377|XP_030080957.1|DHYD
OG0000468	LOC6042212|XP_001851353.1|CQUI	LOC111594544|XP_023163664.1|DHYD
OG0000468	LOC6041607|XP_038115266.1|CQUI	LOC111603285|XP_023176571.1|DHYD
OG0000469	LOC6049763|XP_038113824.1|CQUI	LOC111599103|XP_030080377.1|DHYD, LOC111594196|XP_023163161.2|DHYD
OG0000470	LOC6036814|XP_038111507.1|CQUI	LOC111597450|XP_023167940.2|DHYD
OG0000470	LOC6047359|XP_038112314.1|CQUI	LOC111605702|XP_023180148.2|DHYD
OG0000471	LOC6036133|XP_001846226.2|CQUI	LOC111596972|XP_023167216.2|DHYD, LOC115483414|XP_030081135.1|DHYD, LOC111599379|XP_023170781.2|DHYD
OG0000473	LOC6052350|XP_001868639.1|CQUI	LOC111603131|XP_023176373.2|DHYD, LOC111596836|XP_023166978.1|DHYD
OG0000474	LOC6049175|XP_038105811.1|CQUI	LOC111598285|XP_023169235.1|DHYD, LOC111593118|XP_023161487.1|DHYD
OG0000475	LOC6039907|XP_001849405.1|CQUI	LOC111603597|XP_023177023.1|DHYD, LOC111603622|XP_023177060.1|DHYD
OG0000476	LOC6042382|XP_038105827.1|CQUI	LOC111593686|XP_023162350.2|DHYD, LOC111593679|XP_023162339.2|DHYD
OG0000478	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI	LOC111597454|XP_023167974.2|DHYD, LOC111595621|XP_023165200.1|DHYD
OG0000479	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI	LOC111595696|XP_023165309.2|DHYD
OG0000480	LOC6041494|XP_001850745.1|CQUI	LOC111596053|XP_023165869.2|DHYD, LOC111596048|XP_023165854.2|DHYD
OG0000482	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI	LOC111596695|XP_023166779.2|DHYD
OG0000483	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI	LOC111593381|XP_023161868.2|DHYD, LOC111593380|XP_023161867.1|DHYD
OG0000484	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI	LOC111596206|XP_023166087.2|DHYD, LOC111596207|XP_023166088.2|DHYD
OG0000485	LOC6041153|XP_038107076.1|CQUI	LOC111599248|XP_023170617.1|DHYD, LOC111599245|XP_023170613.2|DHYD
OG0000486	LOC6041660|XP_001850887.2|CQUI	LOC111603844|XP_023177385.1|DHYD, LOC111603843|XP_023177381.2|DHYD
OG0000489	LOC6045222|XP_038122215.1|CQUI	LOC111601480|XP_023173837.2|DHYD, LOC111600206|XP_023171991.2|DHYD
OG0000490	LOC6054008|XP_038122876.1|CQUI	LOC111601842|XP_023174444.1|DHYD
OG0000490	LOC6042587|XP_038110786.1|CQUI	LOC111594278|XP_030078911.1|DHYD
OG0000491	LOC6048388|XP_038107947.1|CQUI	LOC111603099|XP_023176331.1|DHYD
OG0000492	LOC6040913|XP_001850241.1|CQUI	LOC111600144|XP_023171889.1|DHYD
OG0000492	LOC6044260|XP_001861799.2|CQUI	LOC111593668|XP_023162325.1|DHYD
OG0000493	LOC6040999|XP_038119325.1|CQUI	LOC115482941|XP_030079169.1|DHYD, LOC111603176|XP_023176429.1|DHYD
OG0000494	LOC119766647|XP_038107694.1|CQUI	LOC115482733|XP_030078968.1|DHYD, LOC111599006|XP_023170287.1|DHYD
OG0000495	LOC6031986|XP_038106727.1|CQUI	LOC111592988|XP_023161258.2|DHYD, LOC111593176|XP_023161550.1|DHYD
OG0000496	LOC6035746|XP_038113161.1|CQUI	LOC111602239|XP_023174993.2|DHYD
OG0000496	LOC6035745|XP_038112206.1|CQUI	LOC111592915|XP_023161134.2|DHYD
OG0000497	LOC6048339|XP_038111873.1|CQUI	LOC111591953|XP_023159655.2|DHYD, LOC111591960|XP_023159668.2|DHYD
OG0000498	LOC6039237|XP_001848874.2|CQUI	LOC111593377|XP_023161864.2|DHYD
OG0000499	LOC6048807|XP_038112168.1|CQUI	LOC111600628|XP_023172599.1|DHYD
OG0000499	LOC6042113|XP_001851263.2|CQUI	LOC111605300|XP_023179522.1|DHYD
OG0000500	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI	LOC111603333|XP_023176637.2|DHYD, LOC111599229|XP_023170595.2|DHYD
OG0000504	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI	LOC111605654|XP_023180083.2|DHYD
OG0000505	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI	LOC111601616|XP_023174050.2|DHYD, LOC111601617|XP_030079936.1|DHYD
OG0000506	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI	LOC111601316|XP_030081592.1|DHYD, LOC111601344|XP_023173644.2|DHYD
OG0000507	LOC6045928|XP_001863205.1|CQUI	LOC111593499|XP_030079940.1|DHYD
OG0000507	LOC6037479|XP_038113105.1|CQUI	LOC111593500|XP_023162035.1|DHYD
OG0000508	LOC6049261|XP_001866046.2|CQUI	LOC111596887|XP_023167105.2|DHYD, LOC111597412|XP_030079482.1|DHYD
OG0000509	LOC6051070|XP_038117205.1|CQUI	LOC111596627|XP_030081319.1|DHYD
OG0000510	LOC6052252|XP_001868549.2|CQUI	LOC111592519|XP_023160538.2|DHYD
OG0000511	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI	LOC111602504|XP_023175347.2|DHYD, LOC111602452|XP_023175279.2|DHYD
OG0000512	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI	LOC111602494|XP_023175331.2|DHYD
OG0000513	LOC6036436|XP_001846489.2|CQUI	LOC111597638|XP_023168211.2|DHYD, LOC111598968|XP_023170230.2|DHYD
OG0000514	LOC6033627|XP_038108381.1|CQUI	LOC111595808|XP_023165467.2|DHYD, LOC111595862|XP_030079227.1|DHYD
OG0000515	LOC6038107|XP_038110142.1|CQUI	LOC111597674|XP_023168272.1|DHYD, LOC111595057|XP_023164379.1|DHYD
OG0000516	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI	LOC111602030|XP_030079551.1|DHYD, LOC111602063|XP_023174745.2|DHYD
OG0000517	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI	LOC111598097|XP_023168915.1|DHYD, LOC111598096|XP_023168914.1|DHYD
OG0000521	LOC6050070|XP_038105342.1|CQUI	LOC111595958|XP_030080031.1|DHYD, LOC111596169|XP_030080029.1|DHYD
OG0000522	LOC6051600|XP_038112565.1|CQUI	LOC111602233|XP_023174988.2|DHYD, LOC111598827|XP_023170027.2|DHYD
OG0000523	LOC6040919|XP_001850247.1|CQUI	LOC111600814|XP_023172881.1|DHYD
OG0000523	LOC6049044|XP_001865872.1|CQUI	LOC111594079|XP_023162989.1|DHYD
OG0000524	LOC6032861|XP_001843386.2|CQUI	LOC111601791|XP_023174330.2|DHYD
OG0000525	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI	LOC111602095|XP_023174797.2|DHYD
OG0000526	LOC6041304|XP_001850584.2|CQUI	LOC111594352|XP_023163380.2|DHYD, LOC111593598|XP_023162226.1|DHYD
OG0000527	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI	LOC111602174|XP_023174903.1|DHYD, LOC111602152|XP_023174872.2|DHYD
OG0000528	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI	LOC111596125|XP_023165963.2|DHYD
OG0000529	LOC6036354|XP_038114138.1|CQUI	LOC111599312|XP_023170690.2|DHYD, LOC111596088|XP_023165916.2|DHYD
OG0000531	LOC6037540|XP_001847440.2|CQUI	LOC111592074|XP_023159857.1|DHYD, LOC111600560|XP_023172479.1|DHYD
OG0000532	LOC6035004|XP_001845249.2|CQUI	LOC111601426|XP_023173770.2|DHYD, LOC111601494|XP_023173849.1|DHYD
OG0000533	LOC6040722|XP_038104185.1|CQUI	LOC111598396|XP_023169390.1|DHYD
OG0000533	LOC119767762|XP_038113133.1|CQUI	LOC111604888|XP_023178896.1|DHYD
OG0000535	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI	LOC111599263|XP_023170633.1|DHYD, LOC111595592|XP_023165170.1|DHYD
OG0000536	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI	LOC111593083|XP_023161441.2|DHYD, LOC111593098|XP_023161464.2|DHYD
OG0000537	LOC6031704|XP_038111588.1|CQUI	LOC111593799|XP_023162588.2|DHYD
OG0000538	LOC6037813|XP_038112386.1|CQUI	LOC111604354|XP_023178187.1|DHYD, LOC111598006|XP_023168766.1|DHYD
OG0000539	LOC6034554|XP_038112937.1|CQUI	LOC111595172|XP_023164520.1|DHYD, LOC111595165|XP_023164513.1|DHYD
OG0000542	LOC6044321|XP_001861851.1|CQUI	LOC111604801|XP_023178789.2|DHYD, LOC111593703|XP_023162419.1|DHYD
OG0000543	LOC6049267|XP_001866057.2|CQUI	LOC111594828|XP_023164060.1|DHYD, LOC111595610|XP_023165184.2|DHYD
OG0000544	LOC6041276|XP_038110067.1|CQUI	LOC111601045|XP_023173227.1|DHYD, LOC111595332|XP_023164764.1|DHYD
OG0000545	LOC6050345|XP_038105847.1|CQUI	LOC111601520|XP_023173894.2|DHYD, LOC111601443|XP_030078652.1|DHYD
OG0000546	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI	LOC111603558|XP_023176966.2|DHYD, LOC111596748|XP_023166847.1|DHYD
OG0000547	LOC6041026|XP_001850337.1|CQUI	LOC111597263|XP_023167642.1|DHYD, LOC111602796|XP_023175848.1|DHYD
OG0000548	LOC6050154|XP_001866808.2|CQUI	LOC111594374|XP_023163406.2|DHYD, LOC111594371|XP_023163404.2|DHYD, LOC111594370|XP_023163403.2|DHYD
OG0000549	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI	LOC111593805|XP_023162598.1|DHYD
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC111601730|XP_023174224.2|DHYD, LOC111596321|XP_023166255.1|DHYD
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC111594479|XP_023163552.2|DHYD, LOC111594594|XP_023163725.2|DHYD, LOC111594576|XP_023163702.2|DHYD
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC111594723|XP_023163922.2|DHYD, LOC111594692|XP_023163880.2|DHYD, LOC111594722|XP_023163920.2|DHYD
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC111605581|XP_023179953.2|DHYD, LOC111594453|XP_023163515.2|DHYD
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC111601060|XP_023173247.1|DHYD, LOC111604484|XP_023178339.1|DHYD
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC111598310|XP_023169272.1|DHYD, LOC111603437|XP_023176789.1|DHYD
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC111604581|XP_023178452.2|DHYD, LOC111604564|XP_023178431.2|DHYD
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC111603017|XP_023176204.1|DHYD, LOC111598667|XP_023169787.2|DHYD
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC111601778|XP_023174299.2|DHYD, LOC111595083|XP_023164406.2|DHYD
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC111597007|XP_023167279.1|DHYD, LOC111597006|XP_023167278.1|DHYD
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC111598714|XP_023169871.2|DHYD, LOC111598750|XP_023169918.2|DHYD
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC111593112|XP_023161480.2|DHYD, LOC115483767|XP_030081869.1|DHYD, LOC111592803|XP_023160979.1|DHYD
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC111602385|XP_023175176.1|DHYD, LOC111604753|XP_023178707.1|DHYD
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC111597252|XP_023167623.1|DHYD
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC111597331|XP_023167742.2|DHYD
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC111598233|XP_023169167.2|DHYD, LOC111601981|XP_023174631.2|DHYD
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC111602724|XP_023175738.1|DHYD, LOC111600813|XP_023172874.1|DHYD
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC111596953|XP_023167181.2|DHYD, LOC111596961|XP_023167195.2|DHYD
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC111594258|XP_023163247.2|DHYD, LOC111594260|XP_030078679.1|DHYD
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC111596609|XP_023166661.1|DHYD, LOC111596591|XP_023166642.1|DHYD
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC111597783|XP_023168417.2|DHYD, LOC111599905|XP_023171495.1|DHYD
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC111597298|XP_023167689.2|DHYD, LOC111601545|XP_023173949.1|DHYD
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC111603412|XP_023176762.2|DHYD
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC111605561|XP_023179902.1|DHYD
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC111601242|XP_023173511.2|DHYD, LOC111599661|XP_023171129.2|DHYD
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC111593268|XP_023161705.1|DHYD, LOC111597243|XP_023167607.1|DHYD
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC111603021|XP_023176219.2|DHYD, LOC111602980|XP_023176142.2|DHYD
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC111595070|XP_023164398.1|DHYD
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC111593932|XP_023162778.1|DHYD, LOC111603806|XP_023177325.1|DHYD
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC111592357|XP_030080157.1|DHYD
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC111605431|XP_023179712.1|DHYD
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC111593899|XP_023162736.2|DHYD, LOC111600679|XP_023172697.2|DHYD
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC111595398|XP_023164873.1|DHYD
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC111594451|XP_023163512.1|DHYD, LOC111604560|XP_023178428.1|DHYD
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC111605572|XP_023179922.1|DHYD, LOC111598220|XP_023169146.1|DHYD
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC111601915|XP_023174530.2|DHYD, LOC111601319|XP_023173617.2|DHYD
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC111596407|XP_023166384.2|DHYD, LOC111596409|XP_023166385.2|DHYD
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC111594455|XP_023163518.2|DHYD, LOC111594456|XP_023163520.2|DHYD
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC111597568|XP_023168134.2|DHYD, LOC111597569|XP_023168135.2|DHYD
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC111595722|XP_023165340.1|DHYD, LOC111595725|XP_023165344.1|DHYD
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC111593157|XP_023161528.2|DHYD, LOC111593163|XP_023161533.1|DHYD
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC111603941|XP_023177537.2|DHYD, LOC111603928|XP_023177523.2|DHYD, LOC111603976|XP_023177590.2|DHYD
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC111601936|XP_023174558.2|DHYD
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC111603542|XP_023176944.1|DHYD, LOC111596067|XP_023165885.1|DHYD
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC111601154|XP_023173401.2|DHYD
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC111603499|XP_023176873.2|DHYD
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC111596833|XP_023166979.1|DHYD, LOC111595484|XP_023165048.1|DHYD
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC111600241|XP_023172044.1|DHYD, LOC111600252|XP_023172065.1|DHYD
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC111595828|XP_030079203.1|DHYD, LOC111595827|XP_023165501.1|DHYD, LOC111601816|XP_023174405.2|DHYD
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC111592275|XP_023160142.1|DHYD, LOC111601249|XP_023173516.1|DHYD
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC111600146|XP_023171891.1|DHYD, LOC111594124|XP_023163051.2|DHYD
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC111603150|XP_023176394.1|DHYD, LOC111602718|XP_023175732.2|DHYD
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC111603109|XP_023176343.2|DHYD
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC111603495|XP_023176870.2|DHYD, LOC111598297|XP_023169253.2|DHYD
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC111594908|XP_023164162.1|DHYD
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC111604249|XP_023178008.1|DHYD
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC111602819|XP_023175891.1|DHYD, LOC111603737|XP_023177221.2|DHYD
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC111595025|XP_030080700.1|DHYD, LOC111604520|XP_023178415.1|DHYD
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC111604778|XP_023178753.2|DHYD, LOC111600479|XP_023172358.2|DHYD
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC111595393|XP_023164863.1|DHYD, LOC111602902|XP_023176008.1|DHYD
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC111603217|XP_030080968.1|DHYD
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC111594856|XP_023164103.2|DHYD, LOC111594850|XP_023164090.1|DHYD
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC111592181|XP_023160015.2|DHYD, LOC111605285|XP_023179497.2|DHYD
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC111604761|XP_023178721.1|DHYD, LOC111605598|XP_023179977.1|DHYD
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC111596303|XP_023166229.1|DHYD, LOC111596646|XP_023166711.1|DHYD
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC111600276|XP_023172092.2|DHYD, LOC111599207|XP_023170571.1|DHYD
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC111600321|XP_023172152.1|DHYD, LOC111600410|XP_023172262.2|DHYD
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC111599386|XP_023170791.2|DHYD, LOC111596318|XP_023166252.2|DHYD
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC111596100|XP_023165928.1|DHYD, LOC111599127|XP_023170457.2|DHYD
OG0000634	LOC6044510|XP_001862016.2|CQUI	LOC111597011|XP_023167283.2|DHYD
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC111594670|XP_023163849.2|DHYD, LOC111598171|XP_023169033.1|DHYD
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC111600582|XP_023172541.1|DHYD, LOC111600597|XP_023172561.1|DHYD
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC111596742|XP_030079889.1|DHYD, LOC111596743|XP_023166843.2|DHYD
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC111593458|XP_023161987.1|DHYD
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC111597500|XP_023168029.2|DHYD
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC111598901|XP_023170138.2|DHYD, LOC111595918|XP_023165637.2|DHYD
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC111594585|XP_023163711.2|DHYD, LOC111598212|XP_023169134.2|DHYD
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC111596551|XP_030079918.1|DHYD
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC111593012|XP_023161315.1|DHYD, LOC111593067|XP_023161411.1|DHYD
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC111603676|XP_023177123.1|DHYD, LOC111597501|XP_023168033.1|DHYD
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC111595319|XP_023164744.1|DHYD, LOC111593505|XP_023162057.1|DHYD
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC111601387|XP_023173695.1|DHYD
