Orthogroup	CQUI.longest_only	BCOP.longest_only
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC119075513|XP_037037878.1|BCOP, LOC119075512|XP_037037877.1|BCOP, LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC119075400|XP_037037739.1|BCOP
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC119082430|XP_037047853.1|BCOP, LOC119070778|XP_037031152.1|BCOP, LOC119082437|XP_037047860.1|BCOP, LOC119075407|XP_037037745.1|BCOP, LOC119077562|XP_037040668.1|BCOP, LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP, LOC119075111|XP_037037395.1|BCOP, LOC119075118|XP_037037401.1|BCOP, LOC119082431|XP_037047855.1|BCOP, LOC119077573|XP_037040679.1|BCOP, LOC119082505|XP_037047916.1|BCOP, LOC119075112|XP_037037396.1|BCOP, LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP
OG0000010	LOC119765466|XP_038105274.1|CQUI	LOC119082500|XP_037047910.1|BCOP
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000014	LOC119766221|XP_038106588.1|CQUI	LOC119066014|XP_037024126.1|BCOP
OG0000014	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI, LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI	LOC119082957|XP_037048500.1|BCOP
OG0000014	LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI	LOC119077000|XP_037040000.1|BCOP
OG0000014	LOC119766248|XP_038106615.1|CQUI, LOC119765908|XP_038106039.1|CQUI, LOC119766343|XP_038106761.1|CQUI, LOC119771095|XP_038122410.1|CQUI, LOC119766487|XP_038106988.1|CQUI, LOC119767155|XP_038110922.1|CQUI, LOC119766298|XP_038106687.1|CQUI, LOC119768993|XP_038116791.1|CQUI, LOC119770561|XP_038121595.1|CQUI, LOC119770558|XP_038121586.1|CQUI, LOC119766297|XP_038106686.1|CQUI, LOC119765902|XP_038106026.1|CQUI, LOC119766309|XP_038106702.1|CQUI, LOC119770256|XP_038120706.1|CQUI, LOC119766148|XP_038106476.1|CQUI, LOC119766039|XP_038106321.1|CQUI, LOC119770148|XP_038120448.1|CQUI, LOC119766501|XP_038107015.1|CQUI, LOC119769289|XP_038117193.1|CQUI, LOC119767885|XP_038113636.1|CQUI, LOC119765953|XP_038106164.1|CQUI, LOC119769138|XP_038116967.1|CQUI, LOC119769320|XP_038117250.1|CQUI, LOC119768940|XP_038116696.1|CQUI, LOC119766254|XP_038106621.1|CQUI, LOC119770091|XP_038120243.1|CQUI, LOC119769170|XP_038117003.1|CQUI, LOC119769262|XP_038117135.1|CQUI, LOC119769264|XP_038117142.1|CQUI, LOC119769824|XP_038119441.1|CQUI, LOC119769792|XP_038119346.1|CQUI, LOC119770300|XP_038120852.1|CQUI, LOC119766411|XP_038106872.1|CQUI, LOC119769083|XP_038116910.1|CQUI, LOC119768999|XP_038116798.1|CQUI, LOC119769462|XP_038117930.1|CQUI, LOC119770313|XP_038120894.1|CQUI, LOC119771022|XP_038122400.1|CQUI, LOC6049375|XP_038106666.1|CQUI	LOC119082466|XP_037047880.1|BCOP, LOC119079734|XP_037043693.1|BCOP
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC6050225|XP_001866863.1|CQUI	LOC119073565|XP_037035016.1|BCOP
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC6044918|XP_001862348.1|CQUI, LOC6045437|XP_001862808.1|CQUI	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC6049801|XP_001866507.1|CQUI, LOC6032081|XP_001842747.1|CQUI, LOC6049798|XP_001866504.2|CQUI, LOC6049794|XP_001866500.1|CQUI, LOC6051402|XP_001867843.2|CQUI, LOC6051397|XP_001867844.1|CQUI, LOC6049799|XP_001866505.1|CQUI	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP
OG0000019	LOC6050287|XP_038119254.1|CQUI	LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC6039902|XP_038113936.1|CQUI, LOC6039901|XP_038113915.1|CQUI	LOC119070432|XP_037030669.1|BCOP
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC119077634|XP_037040747.1|BCOP
OG0000020	LOC6032569|XP_038117444.1|CQUI	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC6041036|XP_001850347.1|CQUI, LOC6050771|XP_038120601.1|CQUI, LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP
OG0000026	LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC6031357|XP_001842169.2|CQUI, LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000031	LOC119766071|XP_038106378.1|CQUI, LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000031	LOC6052086|XP_038110691.1|CQUI, LOC6052089|XP_001868416.1|CQUI, LOC6052091|XP_001868417.2|CQUI	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI	LOC119081013|XP_037045591.1|BCOP
OG0000034	LOC6045701|XP_001863009.1|CQUI	LOC119070626|XP_037030946.1|BCOP
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI, LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI, LOC6046380|XP_001863590.1|CQUI, LOC6041318|XP_001850598.2|CQUI, LOC6050110|XP_038106287.1|CQUI, LOC6050109|XP_038114101.1|CQUI, LOC6049998|XP_001866672.1|CQUI, LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC119077484|XP_037040593.1|BCOP
OG0000038	LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI, LOC6034624|XP_038117154.1|CQUI, LOC119769270|XP_038117156.1|CQUI, LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI, LOC119769357|XP_038117331.1|CQUI, LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI, LOC6051896|XP_001868252.2|CQUI, LOC6034636|XP_038120131.1|CQUI, LOC6031335|XP_038106837.1|CQUI, LOC6034628|XP_001844919.2|CQUI, LOC119769854|XP_038119510.1|CQUI, LOC119770241|XP_038120635.1|CQUI	LOC119080135|XP_037044248.1|BCOP
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC119070988|XP_037031473.1|BCOP
OG0000043	LOC119770262|XP_038120732.1|CQUI	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP
OG0000043	LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000045	LOC6041463|XP_001850720.2|CQUI, LOC6041462|XP_038118004.1|CQUI, LOC6041468|XP_001850724.1|CQUI, LOC6041467|XP_038117274.1|CQUI, LOC6041466|XP_001850722.1|CQUI	LOC119080622|XP_037044922.1|BCOP, LOC119077644|XP_037040760.1|BCOP
OG0000045	LOC6041465|XP_001850721.2|CQUI	LOC119072379|XP_037033474.1|BCOP
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC6053871|XP_001869888.2|CQUI, LOC6049882|XP_001866573.2|CQUI	LOC119073487|XP_037034887.1|BCOP, LOC119073485|XP_037034885.1|BCOP
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
