Orthogroup	CQUI.longest_only	DALB.longest_only
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC117565597|XP_034100688.1|DALB, LOC117564303|XP_034098890.1|DALB, LOC117566021|XP_034101341.1|DALB, LOC117566150|XP_034101528.1|DALB, LOC117566151|XP_034101529.1|DALB, LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000014	LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI	LOC117571584|XP_034109691.1|DALB
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC117568261|XP_034104638.1|DALB
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC117569951|XP_034107204.1|DALB, LOC117567521|XP_034103458.1|DALB, LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB, LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB, LOC117569847|XP_034107067.1|DALB
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB, LOC117569374|XP_034106395.1|DALB, LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB, LOC117571483|XP_034109539.1|DALB
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC117570342|XP_034107792.1|DALB
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC117566241|XP_034101678.1|DALB, LOC117564244|XP_034098829.1|DALB, LOC117565445|XP_034100427.1|DALB
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC117574198|XP_034113792.1|DALB, LOC117574485|XP_034114214.1|DALB, LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI, LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI, LOC6046380|XP_001863590.1|CQUI, LOC6041318|XP_001850598.2|CQUI, LOC6050110|XP_038106287.1|CQUI, LOC6050109|XP_038114101.1|CQUI, LOC6049998|XP_001866672.1|CQUI, LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC117568663|XP_034105356.1|DALB, LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB, LOC117569403|XP_034106430.1|DALB
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC117575707|XP_034115928.1|DALB
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB, LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC117576108|XP_034116557.1|DALB, LOC117576553|XP_034117282.1|DALB, LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB, LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB, LOC117574699|XP_034114502.1|DALB
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC117570271|XP_034107678.1|DALB, LOC117570312|XP_034107745.1|DALB, LOC117567370|XP_034103204.1|DALB, LOC117567748|XP_034103827.1|DALB, LOC117570179|XP_034107548.1|DALB, LOC117570238|XP_034107631.1|DALB
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC117571564|XP_034109658.1|DALB, LOC117572034|XP_034110480.1|DALB, LOC117569405|XP_034106432.1|DALB
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC117574804|XP_034114660.1|DALB, LOC117574253|XP_034113873.1|DALB, LOC117574270|XP_034113907.1|DALB, LOC117576198|XP_034116681.1|DALB, LOC117574439|XP_034114168.1|DALB
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC117576304|XP_034116849.1|DALB, LOC117576889|XP_034117914.1|DALB, LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB, LOC117576902|XP_034117931.1|DALB
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC117569597|XP_034106723.1|DALB, LOC117569598|XP_034106724.1|DALB, LOC117569609|XP_034106736.1|DALB
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC117575896|XP_034116230.1|DALB, LOC117575899|XP_034116231.1|DALB
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC117575962|XP_034116331.1|DALB, LOC117575960|XP_034116330.1|DALB, LOC117574528|XP_034114281.1|DALB, LOC117574682|XP_034114479.1|DALB, LOC117575963|XP_034116332.1|DALB, LOC117574889|XP_034114817.1|DALB
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC117573873|XP_034113241.1|DALB, LOC117573870|XP_034113237.1|DALB, LOC117573868|XP_034113236.1|DALB, LOC117573871|XP_034113238.1|DALB, LOC117576772|XP_034117714.1|DALB, LOC117573872|XP_034113239.1|DALB, LOC117565555|XP_034100612.1|DALB
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC117563763|XP_034098158.1|DALB, LOC117564238|XP_034098822.1|DALB, LOC117564239|XP_034098823.1|DALB, LOC117563762|XP_034098157.1|DALB, LOC117563768|XP_034098166.1|DALB, LOC117563764|XP_034098159.1|DALB, LOC117563767|XP_034098165.1|DALB, LOC117563761|XP_034098156.1|DALB, LOC117563760|XP_034098154.1|DALB, LOC117570528|XP_034108128.1|DALB
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC117568914|XP_034105715.1|DALB
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC117574003|XP_034113462.1|DALB
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC117564862|XP_034099701.1|DALB, LOC117564863|XP_034099702.1|DALB, LOC117564865|XP_034099704.1|DALB, LOC117564867|XP_034099707.1|DALB, LOC117564866|XP_034099705.1|DALB
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC117576940|XP_034117988.1|DALB, LOC117569520|XP_034106607.1|DALB
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC117570707|XP_034108403.1|DALB
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC117575545|XP_034115693.1|DALB, LOC117566789|XP_034102222.1|DALB, LOC117563644|XP_034097948.1|DALB
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC117564516|XP_034099227.1|DALB, LOC117564519|XP_034099229.1|DALB, LOC117575370|XP_034115434.1|DALB, LOC117564518|XP_034099228.1|DALB, LOC117564520|XP_034099230.1|DALB
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC117572590|XP_034111368.1|DALB
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC117570623|XP_034108276.1|DALB, LOC117566528|XP_034101960.1|DALB
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC117566569|XP_034102002.1|DALB, LOC117567900|XP_034104064.1|DALB, LOC117570917|XP_034108716.1|DALB
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC117572206|XP_034110763.1|DALB
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC117576610|XP_034117406.1|DALB
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC117570160|XP_034107519.1|DALB, LOC117571484|XP_034109540.1|DALB, LOC117571440|XP_034109474.1|DALB, LOC117570586|XP_034108221.1|DALB
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC117567636|XP_034103628.1|DALB
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC117577756|XP_034118557.1|DALB
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC117569813|XP_034107023.1|DALB
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC117576948|XP_034117997.1|DALB
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC117567769|XP_034103852.1|DALB
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC117573885|XP_034113262.1|DALB
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC117570798|XP_034108545.1|DALB, LOC117567009|XP_034102585.1|DALB, LOC117571141|XP_034109034.1|DALB, LOC117570994|XP_034108834.1|DALB, LOC117567346|XP_034103163.1|DALB, LOC117575907|XP_034116242.1|DALB, LOC117577833|XP_034118665.1|DALB, LOC117578297|XP_034119631.1|DALB
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC117571068|XP_034108929.1|DALB, LOC117568685|XP_034105383.1|DALB
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC117570745|XP_034108457.1|DALB, LOC117570413|XP_034107930.1|DALB, LOC117573753|XP_034113028.1|DALB, LOC117573752|XP_034113027.1|DALB, LOC117575543|XP_034115688.1|DALB
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC117570126|XP_034107481.1|DALB
