Orthogroup	CQUI.longest_only	DNOV.longest_only
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC115770022|XP_030570941.1|DNOV
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC115770843|XP_030572140.1|DNOV, LOC115771758|XP_030573467.1|DNOV, LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC115757997|XP_030554350.1|DNOV, LOC115762571|XP_030560717.1|DNOV, LOC115762572|XP_030560718.1|DNOV, LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV, LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV, LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV, LOC115761267|XP_030558841.1|DNOV, LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV, LOC115761262|XP_030558836.1|DNOV, LOC115761326|XP_030558919.1|DNOV, LOC115761659|XP_030559359.1|DNOV, LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV, LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV, LOC115764549|XP_030563528.1|DNOV, LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV, LOC115759954|XP_030556957.1|DNOV
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC6048216|XP_001865169.1|CQUI, LOC6037566|XP_001847464.2|CQUI	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC115765969|XP_030565582.1|DNOV, LOC115765940|XP_030565545.1|DNOV, LOC115768547|XP_030569016.1|DNOV
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC115771909|XP_030573659.1|DNOV, LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV, LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI, LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI, LOC6046380|XP_001863590.1|CQUI, LOC6041318|XP_001850598.2|CQUI, LOC6050110|XP_038106287.1|CQUI, LOC6050109|XP_038114101.1|CQUI, LOC6049998|XP_001866672.1|CQUI, LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC115766359|XP_030566119.1|DNOV
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC115761663|XP_030559406.1|DNOV, LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV, LOC115758180|XP_030554581.1|DNOV
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC115764701|XP_030563759.1|DNOV
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC115770548|XP_030571710.1|DNOV, LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC115770712|XP_030571969.1|DNOV, LOC115770689|XP_030571941.1|DNOV, LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV, LOC115766148|XP_030565844.1|DNOV
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC115762848|XP_030561084.1|DNOV, LOC115762847|XP_030561083.1|DNOV, LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC115761547|XP_030559189.1|DNOV, LOC115761542|XP_030559185.1|DNOV, LOC115761399|XP_030559017.1|DNOV, LOC115761457|XP_030559084.1|DNOV, LOC115761552|XP_030559195.1|DNOV
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC115763752|XP_030562324.1|DNOV, LOC115767886|XP_030568111.1|DNOV, LOC115761373|XP_030558983.1|DNOV
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC115771927|XP_030573689.1|DNOV, LOC115771866|XP_030573609.1|DNOV, LOC115771921|XP_030573679.1|DNOV
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC115766043|XP_030565674.1|DNOV, LOC115770765|XP_030572036.1|DNOV, LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV, LOC115761644|XP_030559338.1|DNOV
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC115764822|XP_030563931.1|DNOV, LOC115764820|XP_030563929.1|DNOV, LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC115758934|XP_030555595.1|DNOV, LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV, LOC115766835|XP_030566732.1|DNOV
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC115768497|XP_030568943.1|DNOV, LOC115768521|XP_030568971.1|DNOV
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC115765029|XP_030564252.1|DNOV
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC115763134|XP_030561437.1|DNOV, LOC115763110|XP_030561414.1|DNOV, LOC115763055|XP_030561340.1|DNOV, LOC115763160|XP_030561472.1|DNOV, LOC115763156|XP_030561467.1|DNOV
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC115761742|XP_030559494.1|DNOV, LOC115769783|XP_030570610.1|DNOV
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC115770913|XP_030572222.1|DNOV
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC115766532|XP_030566358.1|DNOV, LOC115765365|XP_030564748.1|DNOV
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC115758973|XP_030555636.1|DNOV, LOC115765204|XP_030564504.1|DNOV, LOC115759073|XP_030555762.1|DNOV, LOC115758728|XP_030555341.1|DNOV
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC115767110|XP_030567126.1|DNOV
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC115771374|XP_030572918.1|DNOV, LOC115771373|XP_030572916.1|DNOV, LOC115771375|XP_030572919.1|DNOV
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC115762189|XP_030560172.1|DNOV, LOC115760700|XP_030558025.1|DNOV, LOC115760737|XP_030558073.1|DNOV
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC115757880|XP_030554180.1|DNOV
OG0000073	LOC6042684|XP_038116667.1|CQUI	LOC115765214|XP_030564517.1|DNOV
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC115767646|XP_030567793.1|DNOV, LOC115767642|XP_030567789.1|DNOV, LOC115771062|XP_030572474.1|DNOV
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC115766967|XP_030566920.1|DNOV
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC115766325|XP_030566076.1|DNOV
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC115765531|XP_030565013.1|DNOV
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC115761940|XP_030559834.1|DNOV
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC115757826|XP_030554110.1|DNOV
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC115759443|XP_030556224.1|DNOV
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC115767483|XP_030567650.1|DNOV, LOC115767481|XP_030567645.1|DNOV, LOC115767473|XP_030567638.1|DNOV, LOC115770100|XP_030571073.1|DNOV, LOC115761731|XP_030559475.1|DNOV, LOC115764426|XP_030563287.1|DNOV, LOC115767246|XP_030567310.1|DNOV
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC115762483|XP_030560581.1|DNOV, LOC115766550|XP_030566385.1|DNOV
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC115760531|XP_030557814.1|DNOV, LOC115771876|XP_030573620.1|DNOV, LOC115764022|XP_030562714.1|DNOV
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC115771570|XP_030573183.1|DNOV, LOC115763288|XP_030561633.1|DNOV
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	LOC115759698|XP_030556562.1|DNOV
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	LOC115760890|XP_030558315.1|DNOV
OG0000085	LOC6043704|XP_001861330.2|CQUI	LOC115764646|XP_030563684.1|DNOV
OG0000086	LOC6046855|XP_001863974.2|CQUI	LOC115761105|XP_030558592.1|DNOV, LOC115761104|XP_030558591.1|DNOV
OG0000087	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI	LOC115759965|XP_030556974.1|DNOV
OG0000087	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI	LOC115763574|XP_030562052.1|DNOV, LOC115763556|XP_030562035.1|DNOV
OG0000088	LOC6043654|XP_038106206.1|CQUI	LOC115758292|XP_030554718.1|DNOV
