Orthogroup	CQUI.longest_only	DERE.longest_only
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC6554105|XP_001979501.1|DERE, LOC6554107|XP_001979503.1|DERE, LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE, LOC6548094|XP_001976600.1|DERE, LOC6553884|XP_001980458.1|DERE, LOC6546804|XP_001975914.1|DERE, LOC6546805|XP_001975915.1|DERE
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC6552863|XP_026831792.1|DERE, LOC113564795|XP_026839443.1|DERE, LOC6556039|XP_015008608.2|DERE, LOC6548695|XP_001974014.1|DERE, LOC113564802|XP_026839451.1|DERE, LOC113564785|XP_026839418.1|DERE, LOC26526498|XP_026839417.1|DERE
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC6548705|XP_026839404.1|DERE, LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC6556049|XP_001982909.3|DERE
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC6547483|XP_015011854.1|DERE, LOC6547482|XP_001974798.1|DERE, LOC6547337|XP_015012184.1|DERE, LOC6547484|XP_026836781.1|DERE, LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE, LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE, LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC6554353|XP_001982051.1|DERE, LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC6553473|XP_001980267.1|DERE, LOC6547825|XP_001974973.1|DERE
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC6544283|XP_001973711.1|DERE
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC113564308|XP_026836578.1|DERE, LOC113564837|XP_026839515.1|DERE, LOC6555070|XP_001981612.1|DERE, LOC6555069|XP_001981611.1|DERE, LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC6555052|XP_026839769.1|DERE, LOC6547855|XP_001975038.1|DERE
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE, LOC6553828|XP_026839892.1|DERE, LOC6554060|XP_001980549.1|DERE, LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC6554651|XP_001981975.1|DERE, LOC6553703|XP_001980409.1|DERE, LOC26526932|XP_026837924.1|DERE
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC6548724|XP_001975398.1|DERE, LOC6543861|XP_001971088.1|DERE, LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE, LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC113563731|XP_026831631.1|DERE, LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE, LOC6553277|XP_001979195.2|DERE, LOC6553329|XP_001979191.2|DERE, LOC6553331|XP_001979193.1|DERE, LOC6553328|XP_001979190.1|DERE
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE, LOC6547182|XP_001976080.1|DERE, LOC6549069|XP_001974169.1|DERE, LOC6547184|XP_001976082.1|DERE, LOC6549473|XP_001975764.1|DERE
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC6540718|XP_001968765.1|DERE
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC113564765|XP_026839399.1|DERE
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC6541432|XP_001970185.1|DERE, LOC6541563|XP_001970188.1|DERE, LOC6541340|XP_001970186.1|DERE
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC6545328|XP_001973336.1|DERE, LOC6545326|XP_026833776.1|DERE, LOC6545325|XP_026832190.1|DERE, LOC6545324|XP_026833774.1|DERE, LOC6545516|XP_001973330.1|DERE, LOC6545103|XP_001973211.1|DERE
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE, LOC113563971|XP_026833917.1|DERE
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC6553974|XP_015009875.1|DERE, LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE, LOC113564299|XP_026836470.1|DERE
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC6553210|XP_001979212.1|DERE
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC6547304|XP_026836461.1|DERE, LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC6553078|XP_001979073.2|DERE
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE, LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC6554933|XP_001981812.1|DERE, LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE, LOC6554932|XP_026836683.1|DERE, LOC6554930|XP_001981809.1|DERE, LOC6554931|XP_001981810.2|DERE, LOC6553968|XP_001980526.3|DERE
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC6548915|XP_026836112.1|DERE, LOC6548919|XP_001975347.1|DERE, LOC6549604|XP_001975737.1|DERE, LOC6546188|XP_001972281.1|DERE, LOC6549507|XP_001975729.1|DERE, LOC6546189|XP_001972282.1|DERE
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE, LOC6544963|XP_001973230.1|DERE
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC6552334|XP_001979793.1|DERE, LOC6552331|XP_001979790.1|DERE, LOC6552229|XP_001979794.1|DERE, LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE, LOC6552330|XP_001979789.1|DERE
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC6552520|XP_001980945.1|DERE, LOC6553748|XP_001980366.1|DERE, LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE, LOC6542876|XP_001970456.1|DERE
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC6553130|XP_001980075.1|DERE, LOC6553131|XP_001980076.1|DERE, LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE, LOC6555461|XP_001981219.1|DERE, LOC113564309|XP_026836595.1|DERE
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC6554751|XP_001982187.1|DERE, LOC6554750|XP_001982186.1|DERE, LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE, LOC6551980|XP_001980665.2|DERE
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE, LOC6543269|XP_001969993.1|DERE
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC6551123|XP_026838344.1|DERE
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC6554918|XP_026832695.1|DERE
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC6541628|XP_001968975.1|DERE, LOC6542667|XP_001968981.1|DERE, LOC6541823|XP_001968977.1|DERE, LOC6542105|XP_001968978.2|DERE
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC6553482|XP_001979359.1|DERE, LOC6544666|XP_001972003.3|DERE
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC6543541|XP_001973625.1|DERE
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC6546215|XP_001972910.3|DERE, LOC6553949|XP_001979475.2|DERE, LOC6546278|XP_001972902.2|DERE, LOC6547621|XP_001974885.1|DERE, LOC6549927|XP_026837643.1|DERE
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC6541526|XP_001970002.1|DERE, LOC6555523|XP_001982429.1|DERE, LOC6542508|XP_001970001.1|DERE, LOC6550273|XP_001977632.1|DERE
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC6544447|XP_001972434.2|DERE
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC6544819|XP_026832512.1|DERE, LOC6544818|XP_026832511.1|DERE, LOC6544820|XP_001972656.1|DERE
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC6548840|XP_001975354.1|DERE, LOC6548921|XP_001975349.1|DERE, LOC6548838|XP_001975352.2|DERE
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC6547037|XP_026835680.1|DERE
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC6555769|XP_026837941.1|DERE
OG0000073	LOC6042684|XP_038116667.1|CQUI	LOC6550857|XP_026837405.1|DERE
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC6545304|XP_001972062.2|DERE, LOC6546439|XP_001972925.1|DERE
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC6544188|XP_015013837.1|DERE
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC6550413|XP_001977744.3|DERE
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC6547656|XP_001974813.2|DERE
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC6552303|XP_001980828.1|DERE
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC6548296|XP_001976581.1|DERE
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC6554318|XP_001981477.2|DERE
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC6547567|XP_001974844.1|DERE, LOC6543899|XP_001973650.1|DERE, LOC6553294|XP_001979187.1|DERE, LOC6549869|XP_001978650.1|DERE, LOC6550069|XP_001977566.1|DERE
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC6548270|XP_001975252.1|DERE, LOC6548272|XP_001975254.1|DERE, LOC6548314|XP_001975327.1|DERE
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC6549322|XP_026837009.1|DERE, LOC6554914|XP_001982236.1|DERE, LOC6552838|XP_001979871.1|DERE
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC6541689|XP_026834543.1|DERE, LOC6543321|XP_001969237.1|DERE, LOC6543013|XP_001969236.1|DERE, LOC6543404|XP_001969234.1|DERE, LOC6543089|XP_001969235.1|DERE, LOC6542300|XP_001969971.2|DERE
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	LOC6547297|XP_001974723.1|DERE
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	LOC6548751|XP_001975436.1|DERE
OG0000085	LOC6043704|XP_001861330.2|CQUI	LOC6541232|XP_001970598.1|DERE
OG0000086	LOC6046855|XP_001863974.2|CQUI	LOC6547336|XP_001974796.1|DERE
OG0000087	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI	LOC6541207|XP_001969370.1|DERE
OG0000087	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI	LOC6540621|XP_001968888.1|DERE, LOC6541897|XP_001969393.1|DERE
OG0000088	LOC6043654|XP_038106206.1|CQUI	LOC6543073|XP_015014662.1|DERE
OG0000088	LOC119768033|XP_038114253.1|CQUI	LOC6542500|XP_001969926.1|DERE, LOC6544587|XP_026832902.1|DERE, LOC6547958|XP_001975286.1|DERE, LOC6544588|XP_001972387.1|DERE
OG0000089	LOC6051513|XP_001867948.1|CQUI	LOC6553054|XP_001979141.1|DERE, LOC6553281|XP_001979199.1|DERE
OG0000089	LOC6044343|XP_001861873.1|CQUI	LOC6552316|XP_001980769.1|DERE
OG0000089	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI	LOC6543975|XP_026832426.1|DERE
OG0000090	LOC6048426|XP_038107457.1|CQUI, LOC6048423|XP_038106295.1|CQUI	LOC6543160|XP_026835138.1|DERE, LOC6542384|XP_026835110.1|DERE, LOC6543999|XP_001971891.1|DERE, LOC6545497|XP_001971099.2|DERE
OG0000091	LOC6037334|XP_038105758.1|CQUI	LOC6555007|XP_015009056.1|DERE
OG0000091	LOC6034718|XP_038115256.1|CQUI	LOC6541159|XP_001969819.1|DERE, LOC113563760|XP_026831978.1|DERE, LOC6551848|XP_026831615.1|DERE
OG0000093	LOC6032151|XP_001842804.1|CQUI, LOC6039544|XP_001849142.2|CQUI	LOC6541764|XP_026834401.1|DERE
