Orthogroup	CQUI.longest_only	AAEG.longest_only
OG0000009	LOC6048808|XP_001865675.2|CQUI	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG
OG0000009	LOC6049524|XP_001866266.2|CQUI	LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG
OG0000009	LOC6049522|XP_001866265.2|CQUI	LOC5575578|XP_001662062.1|AAEG
OG0000009	LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI	LOC5568406|XP_001658054.1|AAEG
OG0000009	LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI	LOC5578292|XP_001663820.1|AAEG
OG0000009	LOC6053772|XP_001869801.2|CQUI	LOC5576588|XP_001656165.1|AAEG
OG0000009	LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI	LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG
OG0000009	LOC6051131|XP_038105415.1|CQUI	LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC110679805|XP_021711228.1|AAEG, LOC110679809|XP_021711233.1|AAEG, LOC5578784|XP_001657154.1|AAEG, LOC110679810|XP_021711234.1|AAEG, LOC110679804|XP_021711227.1|AAEG, LOC5579080|XP_001657273.1|AAEG, LOC110678309|XP_021706673.1|AAEG, LOC110678360|XP_021706813.1|AAEG, LOC110679802|XP_021711225.1|AAEG, LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG, LOC110679800|XP_021711223.1|AAEG, LOC110679815|XP_021711240.1|AAEG, LOC110676735|XP_021701442.1|AAEG, LOC110679807|XP_021711231.1|AAEG, LOC110678205|XP_021706523.1|AAEG, LOC5579072|XP_021707705.1|AAEG, LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG, LOC5578499|XP_001663888.1|AAEG
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG
OG0000011	LOC6033828|XP_038121046.1|CQUI	LOC110678451|XP_021707047.1|AAEG
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC5570988|XP_001659449.2|AAEG
OG0000012	LOC6046845|XP_001863980.2|CQUI	LOC5575907|XP_021696041.1|AAEG
OG0000012	LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC6050225|XP_001866863.1|CQUI	LOC5571832|XP_001659963.1|AAEG
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC6037347|XP_001847270.2|CQUI	LOC5565156|XP_001649531.1|AAEG
OG0000016	LOC6044918|XP_001862348.1|CQUI	LOC5571971|XP_001660073.1|AAEG
OG0000016	LOC6045437|XP_001862808.1|CQUI	LOC5572985|XP_021710979.1|AAEG
OG0000016	LOC6045438|XP_001862809.2|CQUI	LOC5567310|XP_001651745.1|AAEG
OG0000016	LOC6045432|XP_038109584.1|CQUI	LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC6049801|XP_001866507.1|CQUI	LOC5574853|XP_001661677.2|AAEG
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC5577643|XP_001656641.1|AAEG
OG0000018	LOC6049798|XP_001866504.2|CQUI	LOC5578698|XP_001657098.2|AAEG
OG0000018	LOC6049794|XP_001866500.1|CQUI	LOC5578135|XP_001663705.1|AAEG, LOC5578130|XP_001663703.1|AAEG
OG0000018	LOC6051402|XP_001867843.2|CQUI	LOC5568889|XP_001658209.1|AAEG
OG0000018	LOC6051397|XP_001867844.1|CQUI	LOC5568885|XP_001658210.1|AAEG
OG0000018	LOC6049799|XP_001866505.1|CQUI	LOC5578136|XP_001663706.1|AAEG
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI	LOC23687711|XP_021707253.1|AAEG
OG0000019	LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI	LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG
OG0000019	LOC6035670|XP_001845804.2|CQUI	LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG
OG0000019	LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI	LOC5568703|XP_001652527.2|AAEG
OG0000019	LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI	LOC5568704|XP_001652528.2|AAEG
OG0000019	LOC6035725|XP_001845796.2|CQUI	LOC5568697|XP_001652520.1|AAEG
OG0000019	LOC6050287|XP_038119254.1|CQUI	LOC5570298|XP_021708318.1|AAEG
OG0000019	LOC6044518|XP_038116745.1|CQUI	LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC6039902|XP_038113936.1|CQUI	LOC5578721|XP_021693724.1|AAEG
OG0000020	LOC6039901|XP_038113915.1|CQUI	LOC5578720|XP_021693720.1|AAEG
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC5578230|XP_021697387.1|AAEG
OG0000020	LOC6032569|XP_038117444.1|CQUI	LOC5567254|XP_021706785.1|AAEG
OG0000020	LOC6044312|XP_038117451.1|CQUI	LOC5567250|XP_001651693.2|AAEG
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC6047250|XP_001864331.2|CQUI	LOC23687491|XP_011493543.2|AAEG
OG0000023	LOC6047249|XP_038118268.1|CQUI	LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC6041036|XP_001850347.1|CQUI	LOC5571770|XP_001659902.2|AAEG
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC5574772|XP_001655332.2|AAEG
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC110679737|XP_021711158.1|AAEG, LOC110678352|XP_021706806.1|AAEG, LOC110679747|XP_021711169.1|AAEG, LOC110679741|XP_021711162.1|AAEG, LOC110678304|XP_021706667.1|AAEG, LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI	LOC23687599|XP_011493633.2|AAEG
OG0000026	LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI	LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG
OG0000026	LOC6037278|XP_001847205.2|CQUI	LOC5573680|XP_001661002.2|AAEG
OG0000026	LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI	LOC5573679|XP_001661001.2|AAEG
OG0000026	LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC6034849|XP_001845119.2|CQUI, LOC6034819|XP_001845090.2|CQUI, LOC6034815|XP_001845086.1|CQUI, LOC6034822|XP_001845093.2|CQUI, LOC6034816|XP_001845087.1|CQUI, LOC6034821|XP_001845092.1|CQUI, LOC6034850|XP_038111641.1|CQUI, LOC6034817|XP_001845088.1|CQUI, LOC6034818|XP_001845089.1|CQUI, LOC6034820|XP_001845091.2|CQUI, LOC6034851|XP_001845121.2|CQUI, LOC6034852|XP_001845122.2|CQUI	LOC5573906|XP_001654941.1|AAEG
OG0000027	LOC6034861|XP_001845131.1|CQUI	LOC5573924|XP_001654960.1|AAEG
OG0000027	LOC6034862|XP_001845132.2|CQUI	LOC5573923|XP_001654959.1|AAEG
OG0000027	LOC6034859|XP_001845129.1|CQUI, LOC6034858|XP_001845128.1|CQUI, LOC6034857|XP_001845127.1|CQUI	LOC5573914|XP_001654950.2|AAEG, LOC5573911|XP_001654947.1|AAEG, LOC5573918|XP_001654954.1|AAEG
OG0000027	LOC6034855|XP_001845125.1|CQUI, LOC6034856|XP_038111639.1|CQUI	LOC110677065|XP_021703353.1|AAEG, LOC23687652|XP_011493564.1|AAEG, LOC110677066|XP_021703354.1|AAEG, LOC110677067|XP_021703355.1|AAEG
OG0000027	LOC6034839|XP_001845110.1|CQUI	LOC110677060|XP_021703346.1|AAEG
OG0000027	LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI	LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG
OG0000027	LOC6034842|XP_001845113.1|CQUI	LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG
OG0000029	LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI	LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG
OG0000029	LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI	LOC5565691|XP_001650048.2|AAEG
OG0000029	LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI	LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000031	LOC6052086|XP_038110691.1|CQUI	LOC5575324|XP_021704385.1|AAEG
OG0000031	LOC6052089|XP_001868416.1|CQUI	LOC5575328|XP_021706472.1|AAEG
OG0000031	LOC6052091|XP_001868417.2|CQUI	LOC5575329|XP_021705368.1|AAEG
OG0000031	LOC6052096|XP_038111674.1|CQUI, LOC6052094|XP_001868420.2|CQUI, LOC6045845|XP_001863128.1|CQUI, LOC6045839|XP_001863129.2|CQUI	LOC5575350|XP_001655728.2|AAEG, LOC5575349|XP_001655727.2|AAEG, LOC5575351|XP_001655729.2|AAEG
OG0000032	LOC6043364|XP_038120746.1|CQUI	LOC5573538|XP_001654674.2|AAEG
OG0000034	LOC6031148|XP_038117685.1|CQUI	LOC5571297|XP_021695840.1|AAEG
OG0000034	LOC6045701|XP_001863009.1|CQUI	LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI	LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG
OG0000036	LOC6046380|XP_001863590.1|CQUI	LOC5566508|XP_001650899.2|AAEG
OG0000036	LOC6049998|XP_001866672.1|CQUI	LOC5563566|XP_001647872.2|AAEG
OG0000036	LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC5571376|XP_001659658.1|AAEG
OG0000038	LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI	LOC5571365|XP_001659647.1|AAEG
OG0000038	LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI	LOC5565794|XP_001659634.1|AAEG, LOC5571356|XP_001659638.1|AAEG, LOC5571353|XP_021695227.1|AAEG, LOC5571357|XP_021695228.1|AAEG, LOC5571355|XP_001659637.1|AAEG, LOC5571358|XP_001659640.2|AAEG, LOC5565793|XP_001650156.1|AAEG
OG0000038	LOC119769357|XP_038117331.1|CQUI	LOC5571329|XP_001659612.2|AAEG, LOC110675440|XP_021696178.1|AAEG, LOC5571333|XP_001659614.2|AAEG, LOC5571330|XP_001659613.2|AAEG
OG0000038	LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI	LOC5571370|XP_021696182.1|AAEG, LOC5571360|XP_001659642.1|AAEG, LOC5571359|XP_001659641.1|AAEG
OG0000038	LOC6051896|XP_001868252.2|CQUI	LOC5565431|XP_001649812.1|AAEG
OG0000038	LOC6031335|XP_038106837.1|CQUI	LOC5565791|XP_021698965.1|AAEG, LOC5579385|XP_001647688.2|AAEG
OG0000038	LOC6034628|XP_001844919.2|CQUI	LOC5571364|XP_001659646.1|AAEG
OG0000038	LOC119769854|XP_038119510.1|CQUI	LOC5571371|XP_001659653.2|AAEG, LOC5579448|XP_001647747.1|AAEG, LOC5571369|XP_001659651.2|AAEG
OG0000038	LOC119770241|XP_038120635.1|CQUI	LOC5571372|XP_001659654.2|AAEG, LOC5565814|XP_001650182.1|AAEG
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG
OG0000039	LOC6045138|XP_001862537.2|CQUI	LOC5574822|XP_021705274.1|AAEG
OG0000039	LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI	LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG
OG0000039	LOC6048220|XP_038120639.1|CQUI	LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC119770262|XP_038120732.1|CQUI	LOC5573284|XP_021699050.1|AAEG
OG0000043	LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC5577070|XP_001663167.2|AAEG
