Orthogroup	CQUI.longest_only	DSUZ.longest_only
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC108010292|XP_016930652.1|DSUZ, LOC108009919|XP_016930137.1|DSUZ, LOC108009918|XP_016930133.2|DSUZ, LOC108010305|XP_016930677.1|DSUZ, LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC108015759|XP_036673283.1|DSUZ, LOC108007391|XP_016926534.2|DSUZ
OG0000014	LOC119766221|XP_038106588.1|CQUI	LOC118879539|XP_036678287.1|DSUZ
OG0000014	LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI	LOC118879719|XP_036678520.1|DSUZ, LOC108007594|XP_036678380.1|DSUZ
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC108007764|XP_016927008.1|DSUZ
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC108013582|XP_016934999.1|DSUZ
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ, LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ, LOC108015714|XP_036672549.1|DSUZ, LOC108010610|XP_036674725.1|DSUZ, LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC108006427|XP_036673222.1|DSUZ, LOC108018719|XP_036672548.1|DSUZ, LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC108008926|XP_016928324.1|DSUZ, LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ, LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ, LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC108013955|XP_036675219.1|DSUZ, LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ, LOC108013952|XP_016935450.2|DSUZ, LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ, LOC108013954|XP_016935453.2|DSUZ, LOC108013962|XP_016935466.1|DSUZ, LOC108013947|XP_036675218.1|DSUZ, LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ, LOC108010071|XP_016930374.1|DSUZ, LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ, LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC6041036|XP_001850347.1|CQUI	LOC108018019|XP_016940867.1|DSUZ, LOC108017891|XP_016940550.2|DSUZ
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC108016763|XP_016939005.1|DSUZ
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC118879783|XP_036678676.1|DSUZ, LOC108021423|XP_016945624.1|DSUZ, LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC108017014|XP_016939459.2|DSUZ, LOC118877530|XP_036672475.1|DSUZ, LOC108006594|XP_016925608.2|DSUZ, LOC118876756|XP_036670662.1|DSUZ, LOC108017018|XP_016939463.2|DSUZ, LOC118877233|XP_036670663.1|DSUZ, LOC118877238|XP_036670669.1|DSUZ, LOC118877536|XP_036672481.1|DSUZ, LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ, LOC118877237|XP_036670668.1|DSUZ, LOC118877232|XP_036670660.1|DSUZ, LOC118877535|XP_036672480.1|DSUZ, LOC118877531|XP_036672476.1|DSUZ, LOC118877235|XP_036670665.1|DSUZ, LOC108006595|XP_016925609.2|DSUZ, LOC118877534|XP_036672479.1|DSUZ, LOC118877234|XP_036670664.1|DSUZ, LOC108006593|XP_016925607.2|DSUZ, LOC118877529|XP_036672474.1|DSUZ, LOC118877236|XP_036670666.1|DSUZ, LOC118877532|XP_036672477.1|DSUZ, LOC108017026|XP_016939472.2|DSUZ, LOC118877533|XP_036672478.1|DSUZ, LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ, LOC108021690|XP_016946003.1|DSUZ, LOC118879756|XP_036678590.1|DSUZ, LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ, LOC108016076|XP_016938162.1|DSUZ
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC108018357|XP_036672791.1|DSUZ, LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ, LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ, LOC108007821|XP_016927075.2|DSUZ, LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC108019328|XP_036675087.1|DSUZ
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC108018132|XP_016941074.1|DSUZ, LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC108020759|XP_016944626.2|DSUZ
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC108010653|XP_036670653.1|DSUZ
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC108016023|XP_016938107.2|DSUZ
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC108006018|XP_016924950.2|DSUZ, LOC108006051|XP_036674427.1|DSUZ, LOC108006016|XP_036674672.1|DSUZ, LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ, LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC108012094|XP_016932860.2|DSUZ, LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ, LOC108007915|XP_016927173.2|DSUZ, LOC108007906|XP_016927164.2|DSUZ, LOC108007917|XP_036674250.1|DSUZ, LOC108011721|XP_016932432.2|DSUZ
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC108008533|XP_016927892.1|DSUZ, LOC108008555|XP_016927914.1|DSUZ, LOC108019650|XP_016943022.1|DSUZ, LOC108013633|XP_016935067.1|DSUZ, LOC108019638|XP_016943010.1|DSUZ, LOC108012941|XP_016933968.1|DSUZ
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC108007323|XP_016926460.1|DSUZ, LOC108007321|XP_016926458.2|DSUZ, LOC108019378|XP_016942690.1|DSUZ
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC108020793|XP_016944660.2|DSUZ, LOC108020795|XP_016944662.2|DSUZ, LOC108019317|XP_016942627.2|DSUZ, LOC118877929|XP_036674430.1|DSUZ, LOC108019319|XP_016942628.2|DSUZ, LOC108020803|XP_016944672.2|DSUZ
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC108007968|XP_016927228.1|DSUZ, LOC108008061|XP_016927332.1|DSUZ, LOC108019243|XP_016942528.2|DSUZ, LOC108010880|XP_036675361.1|DSUZ, LOC118877892|XP_036674208.1|DSUZ, LOC108017397|XP_036673834.1|DSUZ, LOC108019259|XP_016942548.2|DSUZ
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC108019583|XP_016942913.1|DSUZ, LOC108019582|XP_016942912.1|DSUZ, LOC108019581|XP_016942910.1|DSUZ
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC108007018|XP_016926113.2|DSUZ, LOC108007014|XP_016926109.2|DSUZ, LOC108007012|XP_016926106.2|DSUZ, LOC108007023|XP_016926117.2|DSUZ, LOC108007019|XP_016926114.2|DSUZ
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC108016465|XP_016938609.1|DSUZ, LOC108006756|XP_016925797.2|DSUZ, LOC108016454|XP_016938596.1|DSUZ
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC108011021|XP_036674004.1|DSUZ, LOC108011020|XP_036674003.1|DSUZ, LOC108011024|XP_016931542.2|DSUZ, LOC108011023|XP_016931541.2|DSUZ, LOC108011022|XP_016931540.2|DSUZ, LOC108018752|XP_016941818.1|DSUZ, LOC108018751|XP_016941817.2|DSUZ
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC108008838|XP_016928233.1|DSUZ, LOC108008882|XP_016928279.1|DSUZ, LOC108004630|XP_016923063.1|DSUZ, LOC108008875|XP_016928269.1|DSUZ, LOC108010497|XP_016930860.1|DSUZ, LOC108011123|XP_016931684.1|DSUZ
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC108005298|XP_016923997.1|DSUZ
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC108012147|XP_016932927.2|DSUZ
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC108008066|XP_016927350.1|DSUZ, LOC108011189|XP_016931772.1|DSUZ, LOC108009548|XP_016929484.1|DSUZ, LOC108010573|XP_036676705.1|DSUZ
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC108018360|XP_036672819.1|DSUZ, LOC108011429|XP_016932047.1|DSUZ
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC108012571|XP_016933475.1|DSUZ
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC108015543|XP_036672326.1|DSUZ, LOC108020078|XP_036672611.1|DSUZ, LOC108015958|XP_036673428.1|DSUZ, LOC108012701|XP_036672080.1|DSUZ, LOC108018226|XP_016941234.1|DSUZ, LOC108008698|XP_016928082.1|DSUZ, LOC108015246|XP_016937086.1|DSUZ
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC108010939|XP_016931440.1|DSUZ, LOC108008584|XP_016927954.1|DSUZ, LOC108014746|XP_036671592.1|DSUZ, LOC108008382|XP_016927718.1|DSUZ, LOC108016673|XP_016938880.1|DSUZ
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC108010694|XP_036670542.1|DSUZ
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC118877301|XP_036671340.1|DSUZ, LOC108013781|XP_016935236.2|DSUZ
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC108008238|XP_016927518.1|DSUZ, LOC108010178|XP_016930510.2|DSUZ
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC108006185|XP_016925109.1|DSUZ
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC108016759|XP_036676337.1|DSUZ
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC108012499|XP_036670611.1|DSUZ, LOC108012409|XP_016933258.1|DSUZ, LOC108004794|XP_016923335.2|DSUZ
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC108005825|XP_036670890.1|DSUZ
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC108015039|XP_016936760.1|DSUZ
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC108009747|XP_016929834.1|DSUZ
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC108015852|XP_016937909.1|DSUZ
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC108010141|XP_016930463.1|DSUZ
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC108014833|XP_016936524.2|DSUZ
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC108008657|XP_016928031.1|DSUZ, LOC108006897|XP_016925974.2|DSUZ, LOC108011262|XP_036675195.1|DSUZ, LOC108015391|XP_016937300.1|DSUZ, LOC108016956|XP_016939380.1|DSUZ
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC108008669|XP_016928052.2|DSUZ, LOC108018488|XP_016941536.1|DSUZ, LOC108009443|XP_016929282.1|DSUZ
