Orthogroup	CQUI.longest_only	DSUB.longest_only
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC117902555|XP_034669887.1|DSUB, LOC117902556|XP_034669889.1|DSUB, LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC117898005|XP_034663024.1|DSUB
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC117897419|XP_034662142.1|DSUB
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB, LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC117898991|XP_034664623.1|DSUB, LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB, LOC117898153|XP_034663242.1|DSUB
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC117891323|XP_034652630.1|DSUB, LOC117891482|XP_034652852.1|DSUB, LOC117892480|XP_034654625.1|DSUB, LOC117893757|XP_034656383.1|DSUB, LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB, LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC117898484|XP_034663812.1|DSUB, LOC117898479|XP_034663805.1|DSUB, LOC117899170|XP_034664920.1|DSUB, LOC117898482|XP_034663809.1|DSUB
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC117896438|XP_034660657.1|DSUB, LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB, LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC117890537|XP_034651353.1|DSUB, LOC117890535|XP_034651347.1|DSUB
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB, LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC117898144|XP_034663233.1|DSUB, LOC117896448|XP_034660669.1|DSUB, LOC117898145|XP_034663235.1|DSUB, LOC117896449|XP_034660670.1|DSUB, LOC117898143|XP_034663231.1|DSUB, LOC117896869|XP_034661290.1|DSUB, LOC117897281|XP_034661904.1|DSUB
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC117898462|XP_034663775.1|DSUB, LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB, LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC117903129|XP_034670852.1|DSUB
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC117896503|XP_034660743.1|DSUB
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC117901880|XP_034668728.1|DSUB, LOC117901276|XP_034667861.1|DSUB, LOC117901275|XP_034667859.1|DSUB, LOC117901832|XP_034668656.1|DSUB
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC117899613|XP_034665647.1|DSUB, LOC117895462|XP_034659028.1|DSUB
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC117894476|XP_034657468.1|DSUB
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC117893343|XP_034655824.1|DSUB, LOC117893309|XP_034655788.1|DSUB, LOC117901009|XP_034667498.1|DSUB, LOC117902385|XP_034669640.1|DSUB
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC117900906|XP_034667357.1|DSUB, LOC117896707|XP_034661058.1|DSUB, LOC117901077|XP_034667580.1|DSUB, LOC117900908|XP_034667359.1|DSUB, LOC117900907|XP_034667358.1|DSUB
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC117893134|XP_034655476.1|DSUB
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC117895747|XP_034659509.1|DSUB, LOC117895750|XP_034659511.1|DSUB, LOC117895746|XP_034659508.1|DSUB
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC117891009|XP_034652056.1|DSUB, LOC117889765|XP_034650103.1|DSUB, LOC117891008|XP_034652055.1|DSUB
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC117890320|XP_034650999.1|DSUB
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC117901954|XP_034668826.1|DSUB
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC117893667|XP_034656248.1|DSUB, LOC117894584|XP_034657620.1|DSUB, LOC117894701|XP_034657775.1|DSUB
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC117895853|XP_034659710.1|DSUB
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC117898747|XP_034664263.1|DSUB
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC117891833|XP_034653474.1|DSUB
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC117897634|XP_034662499.1|DSUB
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC117890642|XP_034651485.1|DSUB
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC117897194|XP_034661786.1|DSUB
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC117890243|XP_034650880.1|DSUB, LOC117895683|XP_034659401.1|DSUB, LOC117895684|XP_034659403.1|DSUB, LOC117897889|XP_034662857.1|DSUB, LOC117892312|XP_034654358.1|DSUB, LOC117899598|XP_034665610.1|DSUB
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC117892139|XP_034654068.1|DSUB, LOC117890994|XP_034652034.1|DSUB, LOC117892007|XP_034653785.1|DSUB
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC117890838|XP_034651812.1|DSUB, LOC117897518|XP_034662325.1|DSUB, LOC117898678|XP_034664152.1|DSUB
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC117900198|XP_034666350.1|DSUB, LOC117902537|XP_034669857.1|DSUB, LOC117902534|XP_034669852.1|DSUB, LOC117902535|XP_034669856.1|DSUB, LOC117900197|XP_034666347.1|DSUB
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	LOC117892465|XP_034654607.1|DSUB
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	LOC117890458|XP_034651195.1|DSUB
OG0000085	LOC6043704|XP_001861330.2|CQUI	LOC117892532|XP_034654727.1|DSUB
OG0000086	LOC6046855|XP_001863974.2|CQUI	LOC117890386|XP_034651078.1|DSUB
OG0000087	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI	LOC117900830|XP_034667229.1|DSUB
OG0000087	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI	LOC117901046|XP_034667544.1|DSUB, LOC117900544|XP_034666835.1|DSUB
OG0000088	LOC6043654|XP_038106206.1|CQUI	LOC117890038|XP_034650547.1|DSUB
OG0000088	LOC119768033|XP_038114253.1|CQUI	LOC117900355|XP_034666594.1|DSUB, LOC117893265|XP_034655723.1|DSUB, LOC117890268|XP_034650918.1|DSUB, LOC117893266|XP_034655724.1|DSUB
OG0000089	LOC6051513|XP_001867948.1|CQUI	LOC117897397|XP_034662107.1|DSUB
OG0000089	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI	LOC117894210|XP_034657016.1|DSUB
OG0000090	LOC6048426|XP_038107457.1|CQUI, LOC6048423|XP_038106295.1|CQUI	LOC117891387|XP_034652719.1|DSUB, LOC117891384|XP_034652714.1|DSUB, LOC117894963|XP_034658187.1|DSUB, LOC117893528|XP_034656062.1|DSUB
OG0000091	LOC6037334|XP_038105758.1|CQUI	LOC117896287|XP_034660384.1|DSUB
OG0000091	LOC6034718|XP_038115256.1|CQUI	LOC117901338|XP_034667939.1|DSUB, LOC117897051|XP_034661532.1|DSUB, LOC117897050|XP_034661529.1|DSUB
OG0000093	LOC6032151|XP_001842804.1|CQUI, LOC6039544|XP_001849142.2|CQUI	LOC117902810|XP_034670324.1|DSUB
OG0000094	LOC6036946|XP_038120531.1|CQUI, LOC6036948|XP_038120528.1|CQUI, LOC6052036|XP_038120533.1|CQUI, LOC119768838|XP_038116183.1|CQUI, LOC6054728|XP_001870597.2|CQUI, LOC6052393|XP_001868672.1|CQUI, LOC6052389|XP_001868673.2|CQUI, LOC6036596|XP_038120440.1|CQUI, LOC6036597|XP_001846629.2|CQUI, LOC6046778|XP_001863915.2|CQUI, LOC6053269|XP_038104508.1|CQUI, LOC6053270|XP_001869386.2|CQUI, LOC6038134|XP_001847967.2|CQUI, LOC6039930|XP_001849428.2|CQUI	LOC117893841|XP_034656498.1|DSUB, LOC117896040|XP_034659940.1|DSUB
OG0000098	LOC6045359|XP_001862746.1|CQUI, LOC6045356|XP_038104997.1|CQUI	LOC117898582|XP_034664015.1|DSUB
