Orthogroup	CQUI.longest_only	HILL.longest_only
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC119649696|XP_037907891.1|HILL, LOC119649694|XP_037907889.1|HILL, LOC119649695|XP_037907890.1|HILL, LOC119649697|XP_037907893.1|HILL, LOC119648942|XP_037906785.1|HILL, LOC119648943|XP_037906787.1|HILL, LOC119648554|XP_037906252.1|HILL, LOC119650121|XP_037908575.1|HILL, LOC119648538|XP_037906233.1|HILL, LOC119648172|XP_037905680.1|HILL, LOC119657608|XP_037920535.1|HILL, LOC119653460|XP_037913999.1|HILL
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC119649591|XP_037907728.1|HILL
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC119657011|XP_037919681.1|HILL, LOC119657010|XP_037919679.1|HILL, LOC119656845|XP_037919421.1|HILL, LOC119657242|XP_037919984.1|HILL, LOC119657050|XP_037919732.1|HILL, LOC119656775|XP_037919284.1|HILL
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC119656847|XP_037919426.1|HILL
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC119654488|XP_037915839.1|HILL
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC119654191|XP_037915315.1|HILL
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC119655345|XP_037917122.1|HILL
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC119659716|XP_037923899.1|HILL
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC119657471|XP_037920318.1|HILL
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC119659313|XP_037923259.1|HILL
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC119646467|XP_037902844.1|HILL
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC119654963|XP_037916552.1|HILL
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL
OG0000018	LOC6049801|XP_001866507.1|CQUI, LOC6032081|XP_001842747.1|CQUI, LOC6049798|XP_001866504.2|CQUI, LOC6049794|XP_001866500.1|CQUI, LOC6051402|XP_001867843.2|CQUI, LOC6051397|XP_001867844.1|CQUI, LOC6049799|XP_001866505.1|CQUI	LOC119647980|XP_037905281.1|HILL
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL
OG0000020	LOC6039902|XP_038113936.1|CQUI, LOC6039901|XP_038113915.1|CQUI	LOC119651122|XP_037910425.1|HILL
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL
OG0000020	LOC6032569|XP_038117444.1|CQUI	LOC119660596|XP_037925199.1|HILL, LOC119658980|XP_037922789.1|HILL, LOC119660336|XP_037924749.1|HILL, LOC119658567|XP_037921939.1|HILL, LOC119659760|XP_037923950.1|HILL
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC119653674|XP_037914437.1|HILL
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC119660522|XP_037925071.1|HILL
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL, LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC119654740|XP_037916199.1|HILL, LOC119654589|XP_037915978.1|HILL, LOC119653787|XP_037914718.1|HILL, LOC119654139|XP_037915231.1|HILL, LOC119653784|XP_037914715.1|HILL, LOC119654445|XP_037915776.1|HILL, LOC119654444|XP_037915774.1|HILL, LOC119655713|XP_037917674.1|HILL, LOC119654748|XP_037916207.1|HILL, LOC119654745|XP_037916204.1|HILL, LOC119655810|XP_037917839.1|HILL, LOC119656096|XP_037918334.1|HILL, LOC119654140|XP_037915232.1|HILL, LOC119654750|XP_037916208.1|HILL, LOC119654746|XP_037916205.1|HILL, LOC119654741|XP_037916200.1|HILL, LOC119654744|XP_037916203.1|HILL, LOC119654743|XP_037916202.1|HILL, LOC119654747|XP_037916206.1|HILL, LOC119654742|XP_037916201.1|HILL, LOC119655586|XP_037917457.1|HILL, LOC119655861|XP_037917909.1|HILL, LOC119656010|XP_037918186.1|HILL, LOC119654739|XP_037916198.1|HILL, LOC119648405|XP_037906082.1|HILL, LOC119654738|XP_037916197.1|HILL
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC119656929|XP_037919551.1|HILL
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL
OG0000026	LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL
OG0000027	LOC6034849|XP_001845119.2|CQUI, LOC6034819|XP_001845090.2|CQUI, LOC6034815|XP_001845086.1|CQUI, LOC6034822|XP_001845093.2|CQUI, LOC6034816|XP_001845087.1|CQUI, LOC6034821|XP_001845092.1|CQUI, LOC6034850|XP_038111641.1|CQUI, LOC6034817|XP_001845088.1|CQUI, LOC6034818|XP_001845089.1|CQUI, LOC6034820|XP_001845091.2|CQUI, LOC6034851|XP_001845121.2|CQUI, LOC6034852|XP_001845122.2|CQUI, LOC6034848|XP_001845118.1|CQUI, LOC6034861|XP_001845131.1|CQUI, LOC6034862|XP_001845132.2|CQUI, LOC6034859|XP_001845129.1|CQUI, LOC6034858|XP_001845128.1|CQUI, LOC6034857|XP_001845127.1|CQUI, LOC6034855|XP_001845125.1|CQUI, LOC6034856|XP_038111639.1|CQUI, LOC119767338|XP_038111651.1|CQUI, LOC119767334|XP_038111647.1|CQUI	LOC119661591|XP_037926922.1|HILL
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL, LOC119661224|XP_037926378.1|HILL
OG0000028	LOC6031357|XP_001842169.2|CQUI, LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL
OG0000031	LOC119766071|XP_038106378.1|CQUI, LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC119654438|XP_037915765.1|HILL
OG0000031	LOC6052086|XP_038110691.1|CQUI, LOC6052089|XP_001868416.1|CQUI, LOC6052091|XP_001868417.2|CQUI	LOC119654273|XP_037915473.1|HILL, LOC119654142|XP_037915234.1|HILL
OG0000031	LOC6052096|XP_038111674.1|CQUI, LOC6052094|XP_001868420.2|CQUI, LOC6045845|XP_001863128.1|CQUI, LOC6045839|XP_001863129.2|CQUI	LOC119655985|XP_037918151.1|HILL
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL
OG0000038	LOC6034620|XP_001844912.2|CQUI, LOC6034623|XP_001844914.2|CQUI, LOC6047259|XP_001864341.2|CQUI, LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI, LOC6034624|XP_038117154.1|CQUI, LOC119769270|XP_038117156.1|CQUI, LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI, LOC119769357|XP_038117331.1|CQUI, LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI, LOC6051896|XP_001868252.2|CQUI, LOC6034636|XP_038120131.1|CQUI, LOC6031335|XP_038106837.1|CQUI, LOC6034628|XP_001844919.2|CQUI, LOC119769854|XP_038119510.1|CQUI, LOC119770241|XP_038120635.1|CQUI	LOC119648832|XP_037906622.1|HILL
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL
