Orthogroup	CQUI.longest_only	DMIR.longest_only
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR, LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI, LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI	LOC117194184|XP_033254734.1|DMIR, LOC117191141|XP_033251995.1|DMIR, LOC108162358|XP_033255233.1|DMIR, LOC117191000|XP_033251872.1|DMIR
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC108156024|XP_017142762.1|DMIR, LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC108150995|XP_017134834.1|DMIR
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR, LOC108157037|XP_017144339.1|DMIR, LOC108157043|XP_017144347.2|DMIR, LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC108156412|XP_017143346.1|DMIR, LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC108163672|XP_017154587.1|DMIR, LOC108155178|XP_017141337.1|DMIR, LOC108156137|XP_017142939.1|DMIR, LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC108156061|XP_017142833.1|DMIR, LOC108156847|XP_017144055.1|DMIR, LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR, LOC108152468|XP_017137324.1|DMIR, LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR, LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR, LOC108152471|XP_017137328.1|DMIR
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC108153857|XP_033244801.1|DMIR, LOC108155686|XP_017142144.1|DMIR, LOC108155685|XP_017142143.1|DMIR, LOC108158830|XP_017147022.1|DMIR, LOC108153856|XP_033244802.1|DMIR, LOC108157164|XP_017144562.1|DMIR, LOC108156708|XP_017143845.1|DMIR, LOC108156707|XP_017143844.1|DMIR, LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR, LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR, LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR, LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC108157728|XP_017145391.1|DMIR
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR, LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC108162948|XP_017153432.1|DMIR, LOC108162949|XP_017153433.1|DMIR, LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC108165232|XP_017156760.1|DMIR, LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR, LOC108165421|XP_017156949.1|DMIR, LOC108151302|XP_017135327.1|DMIR
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR, LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR, LOC108154578|XP_017140369.1|DMIR, LOC108150820|XP_017134616.1|DMIR
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC108163859|XP_017154864.1|DMIR, LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC108156619|XP_017143664.1|DMIR, LOC108157651|XP_017145290.1|DMIR, LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR, LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC108164271|XP_017155403.1|DMIR, LOC108164069|XP_033249364.1|DMIR, LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC108157733|XP_017145397.1|DMIR
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC108160263|XP_017149626.1|DMIR, LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR, LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC108165231|XP_017156759.1|DMIR
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC108151159|XP_017135077.1|DMIR
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC108153891|XP_033244233.1|DMIR
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC108157690|XP_017145347.1|DMIR, LOC108157417|XP_017144957.1|DMIR, LOC108155936|XP_017142583.1|DMIR, LOC108157770|XP_017145444.1|DMIR, LOC108157677|XP_017145331.1|DMIR, LOC108155937|XP_017142584.1|DMIR, LOC108155939|XP_017142587.1|DMIR
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC108157774|XP_017145449.1|DMIR, LOC117187384|XP_033245819.1|DMIR, LOC108156935|XP_033245773.1|DMIR, LOC108154298|XP_017140040.1|DMIR, LOC108154289|XP_017140029.1|DMIR, LOC108155225|XP_017141401.1|DMIR
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC117188425|XP_033248186.1|DMIR, LOC108160932|XP_033251734.1|DMIR, LOC108159394|XP_017148118.1|DMIR, LOC117191945|XP_033252580.1|DMIR, LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR, LOC108158150|XP_017145859.2|DMIR, LOC117194871|XP_033255227.1|DMIR, LOC117190180|XP_033251133.1|DMIR, LOC108162612|XP_033248497.1|DMIR, LOC117190189|XP_033251142.1|DMIR, LOC117189902|XP_033250867.1|DMIR, LOC117193980|XP_033254518.1|DMIR, LOC117190159|XP_033251117.1|DMIR, LOC117191223|XP_033252033.1|DMIR, LOC117190174|XP_033251127.1|DMIR, LOC117190175|XP_033251128.1|DMIR, LOC117191216|XP_033252032.1|DMIR, LOC117191209|XP_033252031.1|DMIR, LOC117190682|XP_033251635.1|DMIR, LOC117190615|XP_033251556.1|DMIR, LOC117191205|XP_033252027.1|DMIR, LOC117190428|XP_033251399.1|DMIR, LOC117190161|XP_033251118.1|DMIR, LOC117191011|XP_033251876.1|DMIR, LOC117191207|XP_033252029.1|DMIR, LOC117189898|XP_033250864.1|DMIR, LOC117189896|XP_033250863.1|DMIR, LOC117190173|XP_033251126.1|DMIR, LOC117189905|XP_033250868.1|DMIR, LOC117190166|XP_033251120.1|DMIR, LOC117190132|XP_033251105.1|DMIR, LOC117193111|XP_033253725.1|DMIR, LOC117189891|XP_033250859.1|DMIR, LOC117191201|XP_033252026.1|DMIR, LOC117189901|XP_033250866.1|DMIR, LOC117189892|XP_033250860.1|DMIR, LOC117191208|XP_033252030.1|DMIR, LOC117189895|XP_033250862.1|DMIR, LOC108162436|XP_033249083.1|DMIR, LOC108164242|XP_033249874.1|DMIR, LOC117193744|XP_033254361.1|DMIR, LOC108160869|XP_017150620.1|DMIR, LOC108151196|XP_017135155.1|DMIR
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC108151156|XP_017135074.1|DMIR, LOC108151155|XP_017135073.1|DMIR, LOC108151306|XP_017135331.1|DMIR, LOC108151297|XP_017135322.1|DMIR, LOC108151294|XP_017135319.1|DMIR, LOC108151307|XP_017135332.1|DMIR
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC108157283|XP_017144770.1|DMIR, LOC108157278|XP_017144765.2|DMIR, LOC117186995|XP_033244423.1|DMIR, LOC117186996|XP_033244424.1|DMIR, LOC108153841|XP_017139429.2|DMIR, LOC108154871|XP_017140799.1|DMIR, LOC108154874|XP_017140802.1|DMIR, LOC108157280|XP_017144766.2|DMIR
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC108157823|XP_017145512.1|DMIR, LOC117187129|XP_033245028.1|DMIR, LOC108153998|XP_033246139.1|DMIR, LOC108154345|XP_017140100.1|DMIR, LOC108157724|XP_017145383.1|DMIR
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC108160591|XP_017150175.2|DMIR, LOC108160590|XP_017150174.1|DMIR, LOC108160459|XP_017149964.1|DMIR
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC108156883|XP_033244898.1|DMIR, LOC108156882|XP_017144105.2|DMIR, LOC108156958|XP_017144225.2|DMIR, LOC108156959|XP_017144226.2|DMIR, LOC108160859|XP_017150611.1|DMIR, LOC108153844|XP_033245117.1|DMIR
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC108154414|XP_017140175.1|DMIR, LOC108154281|XP_017140020.1|DMIR, LOC108154282|XP_017140021.1|DMIR, LOC108155900|XP_017142531.1|DMIR, LOC108155899|XP_017142529.1|DMIR, LOC108155898|XP_017142528.1|DMIR
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC108156815|XP_017143999.1|DMIR, LOC108156818|XP_017144002.1|DMIR, LOC108156816|XP_017144001.1|DMIR, LOC108157011|XP_017144303.2|DMIR, LOC108157010|XP_017144301.2|DMIR
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC108162138|XP_017152209.1|DMIR, LOC108158257|XP_017145983.1|DMIR, LOC108162139|XP_017152210.1|DMIR, LOC108165551|XP_017157117.1|DMIR
