Orthogroup	CQUI.longest_only	ASTE.longest_only
OG0000026	LOC6037278|XP_001847205.2|CQUI	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE
OG0000026	LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI	LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6034861|XP_001845131.1|CQUI, LOC6034862|XP_001845132.2|CQUI	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE
OG0000027	LOC6034859|XP_001845129.1|CQUI, LOC6034858|XP_001845128.1|CQUI, LOC6034857|XP_001845127.1|CQUI	LOC118514316|XP_035916993.1|ASTE
OG0000027	LOC6034855|XP_001845125.1|CQUI, LOC6034856|XP_038111639.1|CQUI	LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE
OG0000027	LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI	LOC118509804|XP_035906835.1|ASTE
OG0000027	LOC6034842|XP_001845113.1|CQUI	LOC118509855|XP_035906957.1|ASTE
OG0000029	LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI	LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE
OG0000029	LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI	LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000031	LOC6052086|XP_038110691.1|CQUI	LOC118503404|XP_035892502.1|ASTE
OG0000031	LOC6052089|XP_001868416.1|CQUI	LOC118503633|XP_035893023.1|ASTE
OG0000031	LOC6052091|XP_001868417.2|CQUI	LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE
OG0000031	LOC6052096|XP_038111674.1|CQUI, LOC6052094|XP_001868420.2|CQUI, LOC6045845|XP_001863128.1|CQUI, LOC6045839|XP_001863129.2|CQUI	LOC118503636|XP_035893027.1|ASTE
OG0000032	LOC6043364|XP_038120746.1|CQUI	LOC118503124|XP_035891971.1|ASTE
OG0000032	LOC6031025|XP_001841877.1|CQUI	LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE
OG0000034	LOC6031147|XP_001841990.2|CQUI	LOC118512083|XP_035911935.1|ASTE
OG0000034	LOC6031148|XP_038117685.1|CQUI	LOC118512076|XP_035911906.1|ASTE
OG0000034	LOC6045701|XP_001863009.1|CQUI	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC6046380|XP_001863590.1|CQUI	LOC118505354|XP_035896919.1|ASTE
OG0000036	LOC6049998|XP_001866672.1|CQUI	LOC118506976|XP_035900728.1|ASTE
OG0000036	LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC6034623|XP_001844914.2|CQUI, LOC6047259|XP_001864341.2|CQUI	LOC118510898|XP_035909176.1|ASTE
OG0000038	LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE
OG0000038	LOC6034624|XP_038117154.1|CQUI, LOC119769270|XP_038117156.1|CQUI	LOC118514610|XP_035917498.1|ASTE, LOC118514613|XP_035917504.1|ASTE
OG0000038	LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI, LOC119769357|XP_038117331.1|CQUI, LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI, LOC6051896|XP_001868252.2|CQUI, LOC6034636|XP_038120131.1|CQUI, LOC6031335|XP_038106837.1|CQUI, LOC6034628|XP_001844919.2|CQUI	LOC118510905|XP_035909186.1|ASTE
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE
OG0000039	LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC119770262|XP_038120732.1|CQUI	LOC118514201|XP_035916783.1|ASTE
OG0000045	LOC6041463|XP_001850720.2|CQUI	LOC118514603|XP_035917492.1|ASTE
OG0000045	LOC6041462|XP_038118004.1|CQUI	LOC118511567|XP_035910700.1|ASTE
OG0000045	LOC6041468|XP_001850724.1|CQUI	LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE
OG0000045	LOC6041465|XP_001850721.2|CQUI	LOC118509249|XP_035905476.1|ASTE
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC6042064|XP_001851216.1|CQUI	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC119770327|XP_038120923.1|CQUI	LOC118510116|XP_035907473.1|ASTE
OG0000049	LOC6040028|XP_001849502.2|CQUI	LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI	LOC118504525|XP_035894960.1|ASTE
OG0000051	LOC6043147|XP_038117609.1|CQUI	LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE
OG0000053	LOC6042358|XP_001851486.2|CQUI	LOC118503243|XP_035892157.1|ASTE
OG0000053	LOC6053872|XP_001869889.2|CQUI	LOC118503347|XP_035892412.1|ASTE
OG0000053	LOC6037642|XP_001847529.2|CQUI	LOC118503346|XP_035892410.1|ASTE
OG0000053	LOC6053871|XP_001869888.2|CQUI	LOC118503349|XP_035892422.1|ASTE
OG0000053	LOC6049882|XP_001866573.2|CQUI	LOC118504346|XP_035894606.1|ASTE
OG0000054	LOC6047251|XP_038118267.1|CQUI	LOC118511291|XP_035910092.1|ASTE
OG0000054	LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI	LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE
OG0000054	LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI	LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE
OG0000054	LOC6050365|XP_038117140.1|CQUI	LOC118512788|XP_035913599.1|ASTE
OG0000054	LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC6036945|XP_001846918.2|CQUI	LOC118508181|XP_035903635.1|ASTE
OG0000055	LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC118507841|XP_035902865.1|ASTE
OG0000057	LOC119768897|XP_038116609.1|CQUI	LOC118514020|XP_035916389.1|ASTE, LOC118506375|XP_035899336.1|ASTE
OG0000057	LOC119766112|XP_038106436.1|CQUI	LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE
OG0000057	LOC119769773|XP_038119282.1|CQUI	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE
OG0000057	LOC119769777|XP_038119303.1|CQUI	LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE
OG0000057	LOC119768896|XP_038116608.1|CQUI	LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE
