Orthogroup	CQUI.longest_only	DKIK.longest_only
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC108076150|XP_017024404.1|DKIK, LOC108076246|XP_017024517.1|DKIK, LOC108085665|XP_017037844.1|DKIK, LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK, LOC108070751|XP_017016837.1|DKIK, LOC108080446|XP_017030671.1|DKIK, LOC108082335|XP_017033154.1|DKIK, LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC108077825|XP_017026840.1|DKIK, LOC108074687|XP_017022307.1|DKIK, LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK, LOC108073959|XP_017021281.1|DKIK
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC6033828|XP_038121046.1|CQUI	LOC108071713|XP_017018027.1|DKIK
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC108076784|XP_017025279.1|DKIK, LOC108076783|XP_017025278.1|DKIK, LOC108076799|XP_017025312.1|DKIK, LOC108076590|XP_017024991.1|DKIK, LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK, LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK, LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK, LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC108074071|XP_017021434.1|DKIK, LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC108075195|XP_017023019.1|DKIK
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC108075744|XP_017023787.1|DKIK, LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK, LOC108077930|XP_017026994.1|DKIK, LOC108072156|XP_017018689.1|DKIK, LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC108073195|XP_017020199.1|DKIK, LOC108077813|XP_017026825.1|DKIK, LOC108080856|XP_017031249.1|DKIK, LOC108074275|XP_017021739.1|DKIK
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC108082382|XP_017033212.1|DKIK, LOC108071489|XP_017017741.1|DKIK, LOC108071491|XP_017017743.1|DKIK, LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK, LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC108084054|XP_017035562.1|DKIK, LOC108083991|XP_017035494.1|DKIK, LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK, LOC108084052|XP_017035560.1|DKIK, LOC108084215|XP_017035827.1|DKIK, LOC108084051|XP_017035559.1|DKIK, LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK, LOC108078192|XP_017027349.1|DKIK, LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK, LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC108086239|XP_017038600.1|DKIK
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC108079592|XP_017029427.1|DKIK, LOC108079587|XP_017029421.1|DKIK, LOC108079588|XP_017029422.1|DKIK
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC108082121|XP_017032911.1|DKIK, LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC108077824|XP_017026839.1|DKIK, LOC108077790|XP_017026779.1|DKIK, LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK, LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC108084034|XP_017035539.1|DKIK
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC108082568|XP_017033513.1|DKIK, LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC108081169|XP_017031714.1|DKIK
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC108081486|XP_017032174.1|DKIK, LOC108081508|XP_017032216.1|DKIK, LOC108081485|XP_017032173.1|DKIK, LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK, LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC108071988|XP_017018451.1|DKIK, LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK, LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK, LOC108082753|XP_017033762.1|DKIK
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC108076173|XP_017024393.1|DKIK, LOC108076538|XP_017024940.1|DKIK, LOC108080858|XP_017031251.1|DKIK, LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK, LOC108084433|XP_017036130.1|DKIK, LOC108084436|XP_017036133.1|DKIK
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC108084080|XP_017035590.1|DKIK, LOC108084068|XP_017035576.1|DKIK, LOC108084077|XP_017035587.1|DKIK, LOC108084022|XP_017035524.1|DKIK, LOC108084023|XP_017035525.1|DKIK, LOC108084019|XP_017035520.1|DKIK
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC108083217|XP_017034415.1|DKIK, LOC108085672|XP_017037854.1|DKIK, LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK, LOC108070782|XP_017016871.1|DKIK
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC108081173|XP_017031718.1|DKIK, LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK, LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC108085849|XP_017038095.1|DKIK, LOC108085845|XP_017038092.1|DKIK, LOC108085848|XP_017038094.1|DKIK, LOC108085846|XP_017038093.1|DKIK, LOC108085865|XP_017038112.1|DKIK
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC108071295|XP_017017484.1|DKIK, LOC108071297|XP_017017486.1|DKIK, LOC108071299|XP_017017488.1|DKIK, LOC108071298|XP_017017487.1|DKIK, LOC108071296|XP_017017485.1|DKIK, LOC108077622|XP_017026519.1|DKIK, LOC108077830|XP_017026845.1|DKIK
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC108084972|XP_017036881.1|DKIK, LOC108082757|XP_017033763.1|DKIK, LOC108082758|XP_017033764.1|DKIK, LOC108070811|XP_017016903.1|DKIK
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC108080522|XP_017030803.1|DKIK
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC108085322|XP_017037367.1|DKIK
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC108086185|XP_017038537.1|DKIK, LOC108086197|XP_017038548.1|DKIK, LOC108086180|XP_017038532.1|DKIK, LOC108086179|XP_017038531.1|DKIK, LOC108086178|XP_017038530.1|DKIK, LOC108086191|XP_017038544.1|DKIK, LOC108086182|XP_017038533.1|DKIK
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC108084848|XP_017036716.1|DKIK, LOC108085996|XP_017038286.1|DKIK
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC108071874|XP_017018291.1|DKIK
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC108071863|XP_017018280.1|DKIK, LOC108071864|XP_017018281.1|DKIK, LOC108084117|XP_017035637.1|DKIK, LOC108074164|XP_017021563.1|DKIK
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC108082879|XP_017033949.1|DKIK, LOC108076002|XP_017024145.1|DKIK, LOC108082683|XP_017033673.1|DKIK, LOC108082714|XP_017033711.1|DKIK
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC108073779|XP_017021035.1|DKIK
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC108070385|XP_017016325.1|DKIK, LOC108070384|XP_017016324.1|DKIK, LOC108070386|XP_017016326.1|DKIK
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC108076540|XP_017024942.1|DKIK, LOC108076135|XP_017024352.1|DKIK
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC108082462|XP_017033327.1|DKIK
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC108079402|XP_017029216.1|DKIK
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC108071625|XP_017017896.1|DKIK, LOC108071877|XP_017018294.1|DKIK
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC108078964|XP_017028614.1|DKIK
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC108085219|XP_017037239.1|DKIK
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC108076740|XP_017025218.1|DKIK
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC108073492|XP_017020640.1|DKIK
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC108070868|XP_017016990.1|DKIK
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC108077758|XP_017026727.1|DKIK
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC108082104|XP_017032889.1|DKIK, LOC108083237|XP_017034431.1|DKIK, LOC108084091|XP_017035604.1|DKIK, LOC108080166|XP_017030300.1|DKIK, LOC108083371|XP_017034605.1|DKIK
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC108082848|XP_017033908.1|DKIK, LOC108070937|XP_017017080.1|DKIK, LOC108076175|XP_017024395.1|DKIK
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC108076521|XP_017024919.1|DKIK, LOC108083631|XP_017034990.1|DKIK, LOC108083635|XP_017034994.1|DKIK, LOC108082103|XP_017032888.1|DKIK, LOC108080754|XP_017031097.1|DKIK, LOC108077694|XP_017026619.1|DKIK
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC108077314|XP_017026091.1|DKIK, LOC108075851|XP_017023931.1|DKIK, LOC108075726|XP_017023759.1|DKIK, LOC108077101|XP_017025775.1|DKIK
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	LOC108082570|XP_017033516.1|DKIK
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	LOC108073008|XP_017019953.1|DKIK
OG0000085	LOC6043704|XP_001861330.2|CQUI	LOC108078118|XP_017027223.1|DKIK
OG0000086	LOC6046855|XP_001863974.2|CQUI	LOC108076785|XP_017025280.1|DKIK
