Orthogroup	CQUI.longest_only	BTRY.longest_only
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC120778933|XP_039966914.1|BTRY
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC120766432|XP_039947870.1|BTRY, LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY, LOC120767532|XP_039949558.1|BTRY
OG0000010	LOC6037823|XP_001847698.1|CQUI, LOC6048215|XP_038112551.1|CQUI, LOC6048602|XP_038111058.1|CQUI, LOC119765466|XP_038105274.1|CQUI	LOC120767528|XP_039949554.1|BTRY
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC120773419|XP_039958227.1|BTRY
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY, LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC119765684|XP_038105995.1|CQUI, LOC119770823|XP_038122313.1|CQUI, LOC119769295|XP_038117199.1|CQUI, LOC119769369|XP_038117346.1|CQUI, LOC119766221|XP_038106588.1|CQUI, LOC119768950|XP_038116718.1|CQUI, LOC6051785|XP_038111747.1|CQUI, LOC119768998|XP_038116797.1|CQUI, LOC119766116|XP_038106443.1|CQUI, LOC119766249|XP_038106616.1|CQUI, LOC119768608|XP_038114666.1|CQUI, LOC119766236|XP_038106604.1|CQUI, LOC119767368|XP_038111766.1|CQUI, LOC119766117|XP_038106444.1|CQUI, LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI, LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI, LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI, LOC119769121|XP_038116949.1|CQUI, LOC119770112|XP_038120333.1|CQUI, LOC119766156|XP_038106484.1|CQUI, LOC119767877|XP_038113588.1|CQUI, LOC119765986|XP_038106227.1|CQUI, LOC119769128|XP_038116955.1|CQUI, LOC119770200|XP_038120578.1|CQUI, LOC6039618|XP_038118115.1|CQUI, LOC119770172|XP_038120519.1|CQUI, LOC119770227|XP_038120610.1|CQUI, LOC119770113|XP_038120345.1|CQUI, LOC119770042|XP_038120099.1|CQUI, LOC119766176|XP_038106535.1|CQUI, LOC119766248|XP_038106615.1|CQUI, LOC119765908|XP_038106039.1|CQUI, LOC119766343|XP_038106761.1|CQUI, LOC119771095|XP_038122410.1|CQUI, LOC119766487|XP_038106988.1|CQUI, LOC119767155|XP_038110922.1|CQUI, LOC119766298|XP_038106687.1|CQUI, LOC119768993|XP_038116791.1|CQUI, LOC119770561|XP_038121595.1|CQUI, LOC119770558|XP_038121586.1|CQUI, LOC119766297|XP_038106686.1|CQUI, LOC119765902|XP_038106026.1|CQUI, LOC119766309|XP_038106702.1|CQUI, LOC119770256|XP_038120706.1|CQUI, LOC119766148|XP_038106476.1|CQUI, LOC119766039|XP_038106321.1|CQUI, LOC119770148|XP_038120448.1|CQUI, LOC119766501|XP_038107015.1|CQUI, LOC119769289|XP_038117193.1|CQUI, LOC119767885|XP_038113636.1|CQUI, LOC119765953|XP_038106164.1|CQUI, LOC119769138|XP_038116967.1|CQUI, LOC119769320|XP_038117250.1|CQUI, LOC119768940|XP_038116696.1|CQUI, LOC119766254|XP_038106621.1|CQUI, LOC119770091|XP_038120243.1|CQUI, LOC119769170|XP_038117003.1|CQUI, LOC119769262|XP_038117135.1|CQUI, LOC119769264|XP_038117142.1|CQUI, LOC119769824|XP_038119441.1|CQUI, LOC119769792|XP_038119346.1|CQUI, LOC119770300|XP_038120852.1|CQUI, LOC119766411|XP_038106872.1|CQUI, LOC119769083|XP_038116910.1|CQUI, LOC119768999|XP_038116798.1|CQUI, LOC119769462|XP_038117930.1|CQUI, LOC119770313|XP_038120894.1|CQUI, LOC119771022|XP_038122400.1|CQUI, LOC6049375|XP_038106666.1|CQUI	LOC120779372|XP_039967501.1|BTRY
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC120773675|XP_039958634.1|BTRY
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC120774911|XP_039960716.1|BTRY, LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY, LOC120768574|XP_039951256.1|BTRY, LOC120769643|XP_039952681.1|BTRY, LOC120767064|XP_039948853.1|BTRY
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC120782274|XP_039970399.1|BTRY, LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC120780423|XP_039968662.1|BTRY, LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC120770783|XP_039954296.1|BTRY, LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY, LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC120770270|XP_039953521.1|BTRY, LOC120770300|XP_039953603.1|BTRY, LOC120770307|XP_039953615.1|BTRY, LOC120782575|XP_039970851.1|BTRY, LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY, LOC120766880|XP_039948548.1|BTRY, LOC120774273|XP_039959699.1|BTRY, LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY, LOC120771072|XP_039954818.1|BTRY, LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC120774110|XP_039959404.1|BTRY
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC120767497|XP_039949523.1|BTRY
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC120768378|XP_039950978.1|BTRY, LOC120768612|XP_039951313.1|BTRY, LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC6031357|XP_001842169.2|CQUI	LOC120778319|XP_039966048.1|BTRY
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC120777924|XP_039965441.1|BTRY, LOC120777926|XP_039965443.1|BTRY, LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC120778702|XP_039966600.1|BTRY, LOC120782135|XP_039970211.1|BTRY, LOC120782697|XP_039971031.1|BTRY, LOC120770922|XP_039954552.1|BTRY, LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY, LOC120779035|XP_039967132.1|BTRY, LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC120782380|XP_039970556.1|BTRY, LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI, LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI, LOC6046380|XP_001863590.1|CQUI, LOC6041318|XP_001850598.2|CQUI, LOC6050110|XP_038106287.1|CQUI, LOC6050109|XP_038114101.1|CQUI, LOC6049998|XP_001866672.1|CQUI, LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC120770870|XP_039954430.1|BTRY, LOC120772536|XP_039957149.1|BTRY, LOC120772537|XP_039957152.1|BTRY, LOC120777470|XP_039964732.1|BTRY, LOC120782231|XP_039970332.1|BTRY, LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY, LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC120772588|XP_039957233.1|BTRY, LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY, LOC120782367|XP_039970539.1|BTRY
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC120770230|XP_039953449.1|BTRY, LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY, LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC120782870|XP_039971347.1|BTRY, LOC120782209|XP_039970301.1|BTRY, LOC120781673|XP_039969832.1|BTRY, LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY, LOC120772847|XP_039957638.1|BTRY
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC120776450|XP_039963045.1|BTRY, LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY, LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC120770153|XP_039953281.1|BTRY, LOC120770564|XP_039954076.1|BTRY
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY, LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC120767407|XP_039949383.1|BTRY, LOC120767396|XP_039949357.1|BTRY, LOC120779292|XP_039967439.1|BTRY, LOC120779293|XP_039967441.1|BTRY, LOC120767398|XP_039949371.1|BTRY, LOC120767423|XP_039949402.1|BTRY, LOC120767442|XP_039949442.1|BTRY, LOC120767412|XP_039949391.1|BTRY, LOC120767431|XP_039949416.1|BTRY, LOC120767391|XP_039949342.1|BTRY, LOC120767434|XP_039949431.1|BTRY, LOC120778647|XP_039966497.1|BTRY, LOC120767385|XP_039949328.1|BTRY, LOC120782330|XP_039970490.1|BTRY
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY, LOC120775660|XP_039961862.1|BTRY
OG0000057	LOC119768584|XP_038114566.1|CQUI, LOC119769773|XP_038119282.1|CQUI, LOC119769936|XP_038119740.1|CQUI, LOC119769105|XP_038116933.1|CQUI, LOC119769867|XP_038119528.1|CQUI, LOC119766269|XP_038106642.1|CQUI, LOC119769777|XP_038119303.1|CQUI, LOC119768896|XP_038116608.1|CQUI, LOC119768945|XP_038116710.1|CQUI, LOC119770386|XP_038121076.1|CQUI, LOC119769146|XP_038116976.1|CQUI, LOC119766318|XP_038106722.1|CQUI, LOC119766444|XP_038106927.1|CQUI, LOC119769334|XP_038117279.1|CQUI, LOC119767753|XP_038113071.1|CQUI, LOC119769047|XP_038116866.1|CQUI, LOC119766245|XP_038106610.1|CQUI, LOC119770822|XP_038122297.1|CQUI, LOC119771118|XP_038122445.1|CQUI, LOC119769599|XP_038118604.1|CQUI, LOC119765267|XP_038104717.1|CQUI, LOC119769799|XP_038119374.1|CQUI, LOC119769239|XP_038117100.1|CQUI, LOC119767582|XP_038112415.1|CQUI, LOC119769214|XP_038117060.1|CQUI, LOC119769212|XP_038117059.1|CQUI, LOC119770002|XP_038119952.1|CQUI, LOC119769491|XP_038118073.1|CQUI, LOC119766265|XP_038106635.1|CQUI, LOC119766417|XP_038106880.1|CQUI, LOC119769067|XP_038116891.1|CQUI, LOC119766165|XP_038106504.1|CQUI, LOC6053317|XP_038115008.1|CQUI, LOC119770530|XP_038121510.1|CQUI, LOC119771104|XP_038122425.1|CQUI, LOC119771126|XP_038122459.1|CQUI	LOC120781175|XP_039969232.1|BTRY, LOC120780782|XP_039968968.1|BTRY
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC120775432|XP_039961551.1|BTRY
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC120768177|XP_039950680.1|BTRY
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC120768964|XP_039951692.1|BTRY, LOC120768925|XP_039951639.1|BTRY, LOC120769401|XP_039952311.1|BTRY, LOC120767753|XP_039949901.1|BTRY, LOC120768474|XP_039951115.1|BTRY, LOC120768583|XP_039951274.1|BTRY
