Orthogroup	CQUI.longest_only	DMEL.longest_only
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC6039899|XP_001849397.1|CQUI	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL
OG0000020	LOC6036302|XP_038116279.1|CQUI	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC6033026|XP_038122145.1|CQUI	flw|NP_727418.1|DMEL
OG0000021	LOC6039972|XP_001849462.1|CQUI	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC6037178|XP_001847112.1|CQUI	CG7798|NP_611098.1|DMEL, LysX|NP_523881.1|DMEL, LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL, LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC6034201|XP_001844555.2|CQUI	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL, epsilonTry|NP_525112.1|DMEL, CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL, Ser8|NP_610874.1|DMEL
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC6048216|XP_001865169.1|CQUI	His3_CG33854|NP_001027368.1|DMEL
OG0000025	LOC6037566|XP_001847464.2|CQUI	His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	Acp1|NP_477115.1|DMEL, CG7203|NP_609143.2|DMEL, CG7214|NP_609141.1|DMEL
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	GstD1|NP_524326.1|DMEL, GstD10|NP_652713.1|DMEL, GstD9|NP_650181.1|DMEL, GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC6035433|XP_001845622.2|CQUI	Sp7|NP_649734.2|DMEL
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	Cyp12b2|NP_611370.2|DMEL, Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC6034620|XP_001844912.2|CQUI	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC6047259|XP_001864341.2|CQUI	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	CG42564|NP_649651.2|DMEL
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL, Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC6043407|XP_038120989.1|CQUI	CG31087|NP_733100.1|DMEL, CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL, CG6908|NP_650105.1|DMEL
OG0000047	LOC6034913|XP_001845179.1|CQUI	loopin-1|NP_001097338.1|DMEL, S-Lap8|NP_611132.1|DMEL, S-Lap5|NP_610892.1|DMEL, S-Lap3|NP_648394.1|DMEL, S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL, CG13042|NP_648870.1|DMEL
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	CG4053|NP_650601.2|DMEL, CG5246|NP_650603.1|DMEL, CG17475|NP_650600.2|DMEL, CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL, CG5255|NP_650604.1|DMEL
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	Cyp313b1|NP_649807.1|DMEL, Cyp313a4|NP_650224.3|DMEL, Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	Mal-A8|NP_610384.1|DMEL, Mal-A7|NP_610383.1|DMEL, Mal-A6|NP_995779.2|DMEL
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	AOX1|NP_650475.1|DMEL, AOX2|NP_732047.2|DMEL, AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	CecC|NP_524591.1|DMEL, CecA2|NP_524589.1|DMEL, CecA1|NP_524588.1|DMEL, CecB|NP_524590.1|DMEL
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	CG6726|NP_651120.1|DMEL, CG17110|NP_651121.1|DMEL, CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL, CG6465|NP_650004.1|DMEL
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL, AANATL2|NP_609005.1|DMEL, AgmNAT|NP_572268.1|DMEL
OG0000060	LOC6052719|XP_038111213.1|CQUI	CkIalpha|NP_511140.1|DMEL
OG0000060	LOC6034874|XP_038108204.1|CQUI	dco|NP_001356928.1|DMEL
OG0000061	LOC6034209|XP_001844562.2|CQUI	CG15255|NP_609755.1|DMEL, CG7631|NP_609760.1|DMEL, CG15254|NP_609757.1|DMEL, CG15253|NP_609758.1|DMEL
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	Alp5|NP_650931.1|DMEL, Alp9|NP_647977.1|DMEL
OG0000067	LOC6032826|XP_038121454.1|CQUI	Alp1|NP_001262159.1|DMEL
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	CG6052|NP_649002.3|DMEL, CG31213|NP_001262752.1|DMEL, CG42816|NP_730301.3|DMEL, CG8908|NP_611464.3|DMEL, ABCA|NP_608445.2|DMEL
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	CG9498|NP_609015.2|DMEL, CG13360|NP_569859.1|DMEL, CG9497|NP_609014.3|DMEL, CG7135|NP_573269.1|DMEL
OG0000071	LOC119766520|XP_038107045.1|CQUI	Muc68D|NP_648504.2|DMEL
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	CG10725|NP_648647.1|DMEL, CG10154|NP_001189089.1|DMEL, CG10140|NP_648648.2|DMEL
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	jtb|NP_611126.1|DMEL, CG15712|NP_611131.2|DMEL, CG4409|NP_001097337.1|DMEL
OG0000073	LOC6036627|XP_001846655.1|CQUI	lolal|NP_524778.1|DMEL
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	br|NP_001162638.2|DMEL
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	CG10472|NP_648017.1|DMEL, CG7542|NP_648995.3|DMEL
OG0000076	LOC6052885|XP_038117932.1|CQUI	CG42540|NP_001246627.1|DMEL
OG0000076	LOC119770103|XP_038120268.1|CQUI	CG33253|NP_001259699.1|DMEL
OG0000077	LOC6034293|XP_038107616.1|CQUI	betaTub56D|NP_725896.1|DMEL
OG0000077	LOC119766730|XP_038108150.1|CQUI	betaTub85D|NP_524290.2|DMEL
OG0000077	LOC6034296|XP_038108770.1|CQUI	betaTub60D|NP_523842.2|DMEL
OG0000077	LOC6035184|XP_038117374.1|CQUI	betaTub97EF|NP_651606.2|DMEL
OG0000078	LOC6049605|XP_038114648.1|CQUI	CG15128|NP_611441.1|DMEL, CG7634|NP_649332.1|DMEL, wa-cup|NP_649721.2|DMEL, r-cup|NP_608419.1|DMEL, p-cup|NP_573216.1|DMEL
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	Amy-d|NP_523768.1|DMEL, Amy-p|NP_536346.1|DMEL, Amyrel|NP_477262.1|DMEL
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	Cyp6d2|NP_611698.1|DMEL, Cyp6d4|NP_651082.1|DMEL, Cyp6d5|NP_650327.1|DMEL
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LManI|NP_609407.1|DMEL, LManVI|NP_609253.1|DMEL, LManV|NP_609252.1|DMEL, LManIII|NP_609250.2|DMEL, LManIV|NP_609251.2|DMEL, LManII|NP_609408.1|DMEL
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	CG15073|NP_611362.2|DMEL
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	CG8388|NP_611075.1|DMEL
OG0000085	LOC6043704|XP_001861330.2|CQUI	CG30491|NP_610306.1|DMEL
OG0000086	LOC6046855|XP_001863974.2|CQUI	fest|NP_611412.1|DMEL
OG0000087	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI	Cpr30F|NP_723504.1|DMEL
OG0000087	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI	Cpr35B|NP_609713.1|DMEL, Cpr31A|NP_995678.1|DMEL
OG0000088	LOC6043654|XP_038106206.1|CQUI	Vha16-1|NP_476801.1|DMEL
OG0000088	LOC119768033|XP_038114253.1|CQUI	Vha16-5|NP_609447.1|DMEL, Vha16-3|NP_729706.1|DMEL, Vha16-4|NP_611169.1|DMEL, Vha16-2|NP_729707.1|DMEL
OG0000089	LOC6051513|XP_001867948.1|CQUI	alphaTub84B|NP_476772.1|DMEL, alphaTub84D|NP_524264.1|DMEL
OG0000089	LOC6044343|XP_001861873.1|CQUI	alphaTub85E|NP_524297.1|DMEL
OG0000089	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI	alphaTub67C|NP_524009.2|DMEL
