Orthogroup	CQUI.longest_only	DPER.longest_only
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC6588556|XP_002013936.1|DPER, LOC113565368|XP_026842920.1|DPER, LOC113564875|XP_002013123.1|DPER, LOC6604121|XP_026850045.1|DPER, LOC113567031|XP_026850044.1|DPER, LOC6603834|XP_002028795.1|DPER, LOC113567405|XP_026850933.1|DPER, LOC6587285|XP_002013134.1|DPER, LOC113567423|XP_026850962.1|DPER, LOC113567389|XP_026850894.1|DPER, LOC113565367|XP_026842919.1|DPER, LOC6603973|XP_002028920.1|DPER, LOC6587232|XP_026850916.1|DPER, LOC6587476|XP_002013129.1|DPER, LOC113567388|XP_026850893.1|DPER, LOC113567422|XP_026850961.1|DPER, LOC113567406|XP_026850934.1|DPER, LOC6587263|XP_002013118.1|DPER, LOC113567240|XP_026850210.1|DPER, LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER, LOC113567414|XP_026850949.1|DPER
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC113565948|XP_026845158.1|DPER
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC6602189|XP_026848039.1|DPER
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC6032081|XP_001842747.1|CQUI	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC113565817|XP_026844838.1|DPER, LOC6598730|XP_026840231.1|DPER, LOC6597578|XP_026848930.1|DPER
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC6593244|XP_026840814.1|DPER, LOC6601032|XP_002026120.1|DPER, LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER, LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER, LOC113566794|XP_026849744.1|DPER
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC6594351|XP_026840807.1|DPER, LOC6594350|XP_002019529.2|DPER, LOC6594355|XP_002019534.1|DPER, LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER, LOC6594346|XP_002019525.2|DPER, LOC6594348|XP_002019527.1|DPER, LOC6594344|XP_002019523.1|DPER
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER, LOC6592578|XP_002017743.2|DPER, LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER, LOC6591036|XP_002016629.1|DPER
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC6599955|XP_002025032.1|DPER
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC113567384|XP_026850889.1|DPER, LOC113567392|XP_026850909.1|DPER
OG0000026	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER
OG0000027	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI	LOC6589175|XP_002014624.1|DPER, LOC6589890|XP_026844932.1|DPER, LOC6589176|XP_002014625.1|DPER
OG0000028	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER, LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER, LOC6599696|XP_002024949.1|DPER
OG0000029	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC6603379|XP_002028365.1|DPER, LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000032	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI	LOC6598612|XP_002023857.1|DPER, LOC6598610|XP_026850099.1|DPER, LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER, LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000034	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC6594433|XP_002019545.1|DPER
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC6590968|XP_002015904.2|DPER, LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC6047259|XP_001864341.2|CQUI	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC6591968|XP_026846968.1|DPER
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000043	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER, LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC6043407|XP_038120989.1|CQUI	LOC6591553|XP_026847828.1|DPER, LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER, LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER, LOC113564933|XP_026840246.1|DPER
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC6589933|XP_002015961.2|DPER, LOC6592655|XP_026842447.1|DPER, LOC6592377|XP_002017999.1|DPER
OG0000048	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER, LOC6599882|XP_002024936.1|DPER, LOC6599879|XP_002024933.1|DPER
OG0000049	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER, LOC6598735|XP_002023804.1|DPER, LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER, LOC6598736|XP_026840083.1|DPER
OG0000051	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI	LOC6588071|XP_002014115.1|DPER, LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER, LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER
OG0000053	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER, LOC6589986|XP_002015738.1|DPER
OG0000054	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER, LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER
OG0000055	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC113567436|XP_026851056.1|DPER, LOC113567435|XP_026851054.1|DPER, LOC113567434|XP_026851053.1|DPER, LOC113567362|XP_026850717.1|DPER, LOC113566737|XP_026849496.1|DPER, LOC113566729|XP_026849439.1|DPER, LOC113567357|XP_026850699.1|DPER
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC6595083|XP_002020145.1|DPER, LOC6595082|XP_002020144.1|DPER, LOC6595081|XP_002020143.1|DPER, LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER
OG0000058	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC6603233|XP_026845368.1|DPER
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC6595218|XP_026848071.1|DPER
OG0000061	LOC6034209|XP_001844562.2|CQUI	LOC6596401|XP_002021586.2|DPER, LOC6596505|XP_002021579.1|DPER, LOC6596504|XP_002021578.1|DPER, LOC6596398|XP_002021583.1|DPER, LOC6596397|XP_002021582.1|DPER
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC6587985|XP_002013720.1|DPER, LOC6600313|XP_026849051.1|DPER
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC6599619|XP_026849500.1|DPER
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI	LOC6600249|XP_026849073.1|DPER, LOC6595219|XP_026850489.1|DPER, LOC113564897|XP_026839974.1|DPER, LOC6595222|XP_026849095.1|DPER, LOC6593500|XP_002019163.2|DPER, LOC6597733|XP_026846914.1|DPER
OG0000070	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI	LOC6593928|XP_002019257.1|DPER, LOC6600003|XP_026849240.1|DPER, LOC6593930|XP_002019259.1|DPER, LOC6593929|XP_002019258.1|DPER
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC113566413|XP_026847671.1|DPER
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI	LOC6602203|XP_002027211.2|DPER, LOC6602202|XP_002027210.1|DPER, LOC6602204|XP_002027212.1|DPER
OG0000072	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC6589942|XP_002015970.1|DPER, LOC6589935|XP_002015963.1|DPER, LOC6589940|XP_026842218.1|DPER
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC6590059|XP_002016391.2|DPER
OG0000073	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI	LOC6596773|XP_026845891.1|DPER
OG0000074	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI	LOC6601461|XP_002026428.1|DPER, LOC6595912|XP_002021058.1|DPER
OG0000076	LOC6052885|XP_038117932.1|CQUI	LOC6599674|XP_026847351.1|DPER
OG0000076	LOC119770103|XP_038120268.1|CQUI	LOC6597369|XP_002022410.2|DPER
OG0000077	LOC6034293|XP_038107616.1|CQUI	LOC6592709|XP_002018511.1|DPER
OG0000077	LOC119766730|XP_038108150.1|CQUI	LOC6594922|XP_002020130.2|DPER
OG0000077	LOC6034296|XP_038108770.1|CQUI	LOC6601317|XP_026842235.1|DPER
OG0000077	LOC6035184|XP_038117374.1|CQUI	LOC6588313|XP_026850466.1|DPER
OG0000078	LOC6049605|XP_038114648.1|CQUI	LOC6590621|XP_002016708.1|DPER, LOC6595620|XP_026844510.1|DPER, LOC6592106|XP_002017289.1|DPER, LOC6596196|XP_002021125.1|DPER, LOC6594273|XP_026849445.1|DPER, LOC6599452|XP_002024516.1|DPER, LOC6598424|XP_002023602.1|DPER
OG0000080	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI	LOC6602128|XP_002027100.1|DPER, LOC6602151|XP_026842704.1|DPER, LOC6602152|XP_026842703.1|DPER, LOC6601604|XP_026841767.1|DPER
OG0000082	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI	LOC6590930|XP_002016009.1|DPER, LOC6587757|XP_002012761.1|DPER, LOC6588213|XP_002013604.1|DPER
OG0000083	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI	LOC113565890|XP_026845054.1|DPER, LOC6589605|XP_002014312.2|DPER, LOC6593873|XP_002019170.1|DPER, LOC6593874|XP_026842967.1|DPER, LOC113565380|XP_026842968.1|DPER, LOC6593875|XP_002019172.1|DPER, LOC6589606|XP_002014313.2|DPER, LOC113565891|XP_026845056.1|DPER
OG0000084	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI	LOC6591191|XP_002015915.1|DPER
OG0000084	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI	LOC6600795|XP_002025966.1|DPER
OG0000085	LOC6043704|XP_001861330.2|CQUI	LOC6602085|XP_002027163.1|DPER
OG0000086	LOC6046855|XP_001863974.2|CQUI	LOC6589907|XP_002016516.1|DPER
OG0000087	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI	LOC6589273|XP_026844109.1|DPER
OG0000087	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI	LOC6593903|XP_002018780.1|DPER, LOC6589141|XP_002014431.1|DPER
OG0000088	LOC6043654|XP_038106206.1|CQUI	LOC6601258|XP_002026327.1|DPER
