Orthogroup	CQUI.longest_only	AALB.longest_only
OG0000031	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI	LOC118467279|XP_035793475.1|AALB
OG0000031	LOC6052086|XP_038110691.1|CQUI	LOC118467035|XP_035792911.1|AALB
OG0000031	LOC6052089|XP_001868416.1|CQUI	LOC118466020|XP_035790729.1|AALB, LOC118465693|XP_035790014.1|AALB, LOC118467045|XP_035792924.1|AALB, LOC118467042|XP_035792921.1|AALB
OG0000031	LOC6052091|XP_001868417.2|CQUI	LOC118467043|XP_035792922.1|AALB
OG0000031	LOC6052096|XP_038111674.1|CQUI, LOC6052094|XP_001868420.2|CQUI, LOC6045845|XP_001863128.1|CQUI, LOC6045839|XP_001863129.2|CQUI	LOC118467044|XP_035792923.1|AALB
OG0000032	LOC6043364|XP_038120746.1|CQUI	LOC118456851|XP_035773843.1|AALB
OG0000032	LOC6031025|XP_001841877.1|CQUI	LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB
OG0000034	LOC6031148|XP_038117685.1|CQUI	LOC118466655|XP_035792144.1|AALB
OG0000034	LOC6045701|XP_001863009.1|CQUI	LOC118463234|XP_035785585.1|AALB
OG0000036	LOC6035433|XP_001845622.2|CQUI	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI	LOC118460050|XP_035779920.1|AALB
OG0000036	LOC6046380|XP_001863590.1|CQUI	LOC118465413|XP_035789528.1|AALB
OG0000037	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC6034620|XP_001844912.2|CQUI	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC6034623|XP_001844914.2|CQUI, LOC6047259|XP_001864341.2|CQUI	LOC118467862|XP_035794660.1|AALB
OG0000038	LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI	LOC118464578|XP_035787914.1|AALB
OG0000038	LOC6034624|XP_038117154.1|CQUI, LOC119769270|XP_038117156.1|CQUI	LOC118464580|XP_035787916.1|AALB
OG0000038	LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI, LOC119769357|XP_038117331.1|CQUI, LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI, LOC6051896|XP_001868252.2|CQUI, LOC6034636|XP_038120131.1|CQUI, LOC6031335|XP_038106837.1|CQUI, LOC6034628|XP_001844919.2|CQUI	LOC118467867|XP_035794667.1|AALB
OG0000039	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB
OG0000039	LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI	LOC118458769|XP_035777454.1|AALB
OG0000041	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC119770262|XP_038120732.1|CQUI	LOC118465605|XP_035789873.1|AALB
OG0000045	LOC6041463|XP_001850720.2|CQUI	LOC118465475|XP_035789666.1|AALB
OG0000045	LOC6041462|XP_038118004.1|CQUI	LOC118464996|XP_035788729.1|AALB
OG0000045	LOC6041468|XP_001850724.1|CQUI	LOC118464285|XP_035787454.1|AALB, LOC118463346|XP_035785752.1|AALB
OG0000045	LOC6041465|XP_001850721.2|CQUI	LOC118463283|XP_035785654.1|AALB
OG0000047	LOC6034913|XP_001845179.1|CQUI	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC6042064|XP_001851216.1|CQUI	LOC118465522|XP_035789739.1|AALB
OG0000048	LOC6042091|XP_038120615.1|CQUI	LOC118465712|XP_035790036.1|AALB
OG0000049	LOC119770327|XP_038120923.1|CQUI	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB
OG0000049	LOC6040028|XP_001849502.2|CQUI	LOC118463311|XP_035785688.1|AALB
OG0000051	LOC6043147|XP_038117609.1|CQUI	LOC118456657|XP_035773500.1|AALB
OG0000053	LOC6042358|XP_001851486.2|CQUI	LOC118467904|XP_035794724.1|AALB
OG0000053	LOC6053872|XP_001869889.2|CQUI	LOC118465671|XP_035789993.1|AALB
OG0000053	LOC6037642|XP_001847529.2|CQUI	LOC118465672|XP_035789994.1|AALB
OG0000053	LOC6053871|XP_001869888.2|CQUI	LOC118465673|XP_035789996.1|AALB
OG0000053	LOC6049882|XP_001866573.2|CQUI	LOC118457028|XP_035774155.1|AALB
OG0000054	LOC6047251|XP_038118267.1|CQUI	LOC118465600|XP_035789868.1|AALB
OG0000054	LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI	LOC118464275|XP_035787431.1|AALB
OG0000054	LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI	LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB
OG0000054	LOC6050365|XP_038117140.1|CQUI	LOC118465599|XP_035789867.1|AALB
OG0000054	LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI	LOC118465601|XP_035789869.1|AALB
OG0000055	LOC6036945|XP_001846918.2|CQUI	LOC118456564|XP_035773329.1|AALB
OG0000055	LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI	LOC118467239|XP_035793397.1|AALB
OG0000056	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI	LOC118463646|XP_035786286.1|AALB
OG0000057	LOC119768897|XP_038116609.1|CQUI	LOC118462888|XP_035784864.1|AALB
OG0000057	LOC119768584|XP_038114566.1|CQUI, LOC119769773|XP_038119282.1|CQUI	LOC118466619|XP_035792094.1|AALB
OG0000058	LOC6045941|XP_001863218.2|CQUI	LOC118465012|XP_035788756.1|AALB
OG0000058	LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI	LOC118466840|XP_035792555.1|AALB
OG0000060	LOC6052719|XP_038111213.1|CQUI	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC6034874|XP_038108204.1|CQUI	LOC118457079|XP_035774255.1|AALB
OG0000061	LOC6034211|XP_001844564.2|CQUI, LOC6034202|XP_038108803.1|CQUI	LOC118462629|XP_035784366.1|AALB, LOC118462631|XP_035784368.1|AALB
OG0000061	LOC6034207|XP_001844560.2|CQUI, LOC6034208|XP_001844561.2|CQUI	LOC118466083|XP_035790870.1|AALB, LOC118467837|XP_035794622.1|AALB
OG0000061	LOC6034206|XP_001844559.1|CQUI	LOC118466082|XP_035790867.1|AALB
OG0000067	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC6032826|XP_038121454.1|CQUI	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI	LOC118465636|XP_035789936.1|AALB
OG0000068	LOC6042516|XP_001851810.2|CQUI	LOC118466683|XP_035792202.1|AALB
OG0000068	LOC6042515|XP_038108176.1|CQUI	LOC118467770|XP_035794492.1|AALB
OG0000068	LOC6036917|XP_001846892.2|CQUI	LOC118466177|XP_035791057.1|AALB
OG0000070	LOC6037947|XP_001847798.2|CQUI	LOC118466080|XP_035790865.1|AALB
OG0000070	LOC6037948|XP_001847799.2|CQUI	LOC118461049|XP_035781833.1|AALB
OG0000071	LOC119767574|XP_038112401.1|CQUI	LOC118464389|XP_035787627.1|AALB
OG0000071	LOC6037850|XP_001847723.2|CQUI	LOC118462797|XP_035784687.1|AALB
OG0000071	LOC119766520|XP_038107045.1|CQUI	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB
OG0000071	LOC6035447|XP_001845634.1|CQUI	LOC118465893|XP_035790437.1|AALB
OG0000072	LOC6037132|XP_001847069.2|CQUI	LOC118465748|XP_035790112.1|AALB
OG0000072	LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI	LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC6036627|XP_001846655.1|CQUI	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC6046963|XP_038105849.1|CQUI	LOC118468531|XP_035795302.1|AALB, LOC118468327|XP_035794968.1|AALB
OG0000073	LOC6034716|XP_038105946.1|CQUI	LOC118461208|XP_035782153.1|AALB
OG0000073	LOC6034713|XP_038105974.1|CQUI	LOC118461209|XP_035782163.1|AALB
OG0000073	LOC6042203|XP_038114550.1|CQUI	LOC118460487|XP_035780728.1|AALB
OG0000073	LOC6042684|XP_038116667.1|CQUI	LOC118468553|XP_035795347.1|AALB
OG0000074	LOC6032868|XP_001843393.1|CQUI	LOC118467317|XP_035793548.1|AALB
OG0000074	LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI	LOC118464632|XP_035787971.1|AALB
