Orthogroup	DKIK.longest_only	DPSE.longest_only
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC6898538|XP_033233460.1|DPSE
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC4801605|XP_001358672.2|DPSE
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC6897749|XP_033232309.1|DPSE
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000005	LOC108071511|XP_017017769.1|DKIK	LOC6897430|XP_002137581.2|DPSE
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC117185602|XP_033241630.1|DPSE, LOC117183556|XP_033233676.1|DPSE, LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE, LOC117185611|XP_033241640.1|DPSE, LOC26534208|XP_015035128.2|DPSE
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC108081051|XP_017031512.1|DKIK	LOC117185618|XP_033241648.1|DPSE
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK	LOC26532710|XP_015035140.1|DPSE
OG0000011	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK, LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK, LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK, LOC108081964|XP_017032688.1|DKIK, LOC108072833|XP_017019613.1|DKIK, LOC108074515|XP_017022082.1|DKIK	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC108082347|XP_017033172.1|DKIK	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC108082319|XP_017033138.1|DKIK	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000015	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK	LOC13036345|XP_003736506.3|DPSE
OG0000015	LOC108073116|XP_017020100.1|DKIK	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC108084561|XP_017036305.1|DKIK	LOC26533720|XP_015036728.2|DPSE
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC108076530|XP_017024931.1|DKIK	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000018	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC108074862|XP_017022564.1|DKIK	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC6898834|XP_002138807.1|DPSE
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC6898836|XP_002138809.1|DPSE
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC108071489|XP_017017741.1|DKIK	LOC6899947|XP_002135315.1|DPSE
OG0000022	LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC4812049|XP_001352467.1|DPSE
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC4802962|XP_001359775.3|DPSE
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC108078326|XP_017027614.1|DKIK	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE
OG0000024	LOC108078191|XP_017027348.1|DKIK	LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC108079334|XP_017029126.1|DKIK	LOC4815876|XP_001355332.2|DPSE
OG0000026	LOC108070686|XP_017016752.1|DKIK	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC4816919|XP_001356465.1|DPSE
OG0000029	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC6897267|XP_033233167.1|DPSE
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC108075896|XP_017024005.1|DKIK	LOC4817564|XP_002132859.2|DPSE
OG0000030	LOC108075779|XP_017023830.1|DKIK	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC108077790|XP_017026779.1|DKIK	LOC4800808|XP_001358017.2|DPSE
OG0000032	LOC108077711|XP_017026651.1|DKIK	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC108077846|XP_017026865.1|DKIK	LOC4800814|XP_001358021.1|DPSE
OG0000032	LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK	LOC4800626|XP_001357867.3|DPSE
OG0000033	LOC108080716|XP_017031056.1|DKIK	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC6898093|XP_002138175.2|DPSE
OG0000033	LOC108084001|XP_017035503.1|DKIK, LOC108076855|XP_017025374.1|DKIK, LOC108076138|XP_017024355.1|DKIK, LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK, LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK	LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC6901425|XP_002134111.2|DPSE
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC108084882|XP_017036766.1|DKIK	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
