Orthogroup	DKIK.longest_only	DVIR.longest_only
OG0000018	LOC108071599|XP_017017870.1|DKIK	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC108071491|XP_017017743.1|DKIK	LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR
OG0000022	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC6627465|XP_002052896.1|DVIR
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC108076173|XP_017024393.1|DKIK	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC108076538|XP_017024940.1|DKIK	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC108078780|XP_017028320.1|DKIK	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC108084433|XP_017036130.1|DKIK	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC108084436|XP_017036133.1|DKIK	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC108084080|XP_017035590.1|DKIK	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC108084068|XP_017035576.1|DKIK	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC108084077|XP_017035587.1|DKIK	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC108084023|XP_017035525.1|DKIK	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC108084019|XP_017035520.1|DKIK	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC108073068|XP_017020022.1|DKIK	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC108072577|XP_017019276.1|DKIK, LOC108072587|XP_017019288.1|DKIK	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC108072753|XP_017019515.1|DKIK, LOC108072610|XP_017019326.1|DKIK	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK	LOC6622345|XP_002047924.2|DVIR
