Orthogroup	DKIK.longest_only	AAEG.longest_only
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC110679751|XP_021711173.1|AAEG
OG0000011	LOC108071713|XP_017018027.1|DKIK	LOC110678451|XP_021707047.1|AAEG
OG0000012	LOC108076784|XP_017025279.1|DKIK, LOC108076783|XP_017025278.1|DKIK, LOC108076799|XP_017025312.1|DKIK, LOC108076590|XP_017024991.1|DKIK, LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK, LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK, LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK, LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC108074071|XP_017021434.1|DKIK, LOC108078132|XP_017027246.1|DKIK	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC108082907|XP_017033979.1|DKIK	LOC5565181|XP_001649532.2|AAEG
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC108071599|XP_017017870.1|DKIK	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108075744|XP_017023787.1|DKIK, LOC108082576|XP_017033522.1|DKIK	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK, LOC108077930|XP_017026994.1|DKIK, LOC108072156|XP_017018689.1|DKIK, LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108073195|XP_017020199.1|DKIK, LOC108077813|XP_017026825.1|DKIK, LOC108080856|XP_017031249.1|DKIK, LOC108074275|XP_017021739.1|DKIK	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC108084054|XP_017035562.1|DKIK, LOC108083991|XP_017035494.1|DKIK, LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK, LOC108084052|XP_017035560.1|DKIK, LOC108084215|XP_017035827.1|DKIK, LOC108084051|XP_017035559.1|DKIK, LOC108084214|XP_017035825.1|DKIK	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK, LOC108078192|XP_017027349.1|DKIK, LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK, LOC108070821|XP_017016922.1|DKIK	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG
OG0000026	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC108079592|XP_017029427.1|DKIK, LOC108079587|XP_017029421.1|DKIK, LOC108079588|XP_017029422.1|DKIK	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC108082121|XP_017032911.1|DKIK, LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC108077824|XP_017026839.1|DKIK, LOC108077790|XP_017026779.1|DKIK, LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK, LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC108082568|XP_017033513.1|DKIK, LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC108081486|XP_017032174.1|DKIK, LOC108081508|XP_017032216.1|DKIK, LOC108081485|XP_017032173.1|DKIK, LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK, LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC108071988|XP_017018451.1|DKIK, LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK, LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK, LOC108082753|XP_017033762.1|DKIK	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK, LOC108073894|XP_017021172.1|DKIK, LOC108073882|XP_017021156.1|DKIK	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC108076173|XP_017024393.1|DKIK, LOC108076538|XP_017024940.1|DKIK, LOC108080858|XP_017031251.1|DKIK, LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK, LOC108084433|XP_017036130.1|DKIK, LOC108084436|XP_017036133.1|DKIK	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC108084080|XP_017035590.1|DKIK, LOC108084068|XP_017035576.1|DKIK, LOC108084077|XP_017035587.1|DKIK, LOC108084022|XP_017035524.1|DKIK, LOC108084023|XP_017035525.1|DKIK, LOC108084019|XP_017035520.1|DKIK	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC108083217|XP_017034415.1|DKIK, LOC108085672|XP_017037854.1|DKIK, LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK, LOC108070782|XP_017016871.1|DKIK	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC108081173|XP_017031718.1|DKIK, LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK, LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC108071295|XP_017017484.1|DKIK, LOC108071297|XP_017017486.1|DKIK, LOC108071299|XP_017017488.1|DKIK, LOC108071298|XP_017017487.1|DKIK, LOC108071296|XP_017017485.1|DKIK, LOC108077622|XP_017026519.1|DKIK, LOC108077830|XP_017026845.1|DKIK	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC108084972|XP_017036881.1|DKIK, LOC108082757|XP_017033763.1|DKIK, LOC108082758|XP_017033764.1|DKIK, LOC108070811|XP_017016903.1|DKIK	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC108080522|XP_017030803.1|DKIK	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC108085322|XP_017037367.1|DKIK	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC108086185|XP_017038537.1|DKIK, LOC108086197|XP_017038548.1|DKIK, LOC108086180|XP_017038532.1|DKIK, LOC108086179|XP_017038531.1|DKIK, LOC108086178|XP_017038530.1|DKIK, LOC108086191|XP_017038544.1|DKIK, LOC108086182|XP_017038533.1|DKIK	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000064	LOC108080822|XP_017031214.1|DKIK	LOC110679138|XP_021708882.1|AAEG, LOC110676692|XP_021701239.1|AAEG
OG0000064	LOC108084033|XP_017035536.1|DKIK	LOC110677362|XP_021704105.1|AAEG, LOC110679437|XP_021709704.1|AAEG
OG0000067	LOC108084848|XP_017036716.1|DKIK, LOC108085996|XP_017038286.1|DKIK	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC108077943|XP_017026970.1|DKIK, LOC108085995|XP_017038285.1|DKIK	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC108071874|XP_017018291.1|DKIK	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC108071863|XP_017018280.1|DKIK, LOC108071864|XP_017018281.1|DKIK, LOC108084117|XP_017035637.1|DKIK, LOC108074164|XP_017021563.1|DKIK	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC108082879|XP_017033949.1|DKIK, LOC108076002|XP_017024145.1|DKIK, LOC108082683|XP_017033673.1|DKIK, LOC108082714|XP_017033711.1|DKIK	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC108073779|XP_017021035.1|DKIK	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC108070385|XP_017016325.1|DKIK, LOC108070384|XP_017016324.1|DKIK, LOC108070386|XP_017016326.1|DKIK	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC108076540|XP_017024942.1|DKIK, LOC108076135|XP_017024352.1|DKIK	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC108082462|XP_017033327.1|DKIK	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC108079402|XP_017029216.1|DKIK	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC108075433|XP_017023346.1|DKIK	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC108071625|XP_017017896.1|DKIK, LOC108071877|XP_017018294.1|DKIK	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC108078964|XP_017028614.1|DKIK	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC108085219|XP_017037239.1|DKIK	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC108076740|XP_017025218.1|DKIK	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC108073492|XP_017020640.1|DKIK	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC108070868|XP_017016990.1|DKIK	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC108077758|XP_017026727.1|DKIK	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC108082104|XP_017032889.1|DKIK, LOC108083237|XP_017034431.1|DKIK, LOC108084091|XP_017035604.1|DKIK, LOC108080166|XP_017030300.1|DKIK, LOC108083371|XP_017034605.1|DKIK	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC108082848|XP_017033908.1|DKIK, LOC108070937|XP_017017080.1|DKIK, LOC108076175|XP_017024395.1|DKIK	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC108076521|XP_017024919.1|DKIK, LOC108083631|XP_017034990.1|DKIK, LOC108083635|XP_017034994.1|DKIK, LOC108082103|XP_017032888.1|DKIK, LOC108080754|XP_017031097.1|DKIK, LOC108077694|XP_017026619.1|DKIK	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC108077314|XP_017026091.1|DKIK, LOC108075851|XP_017023931.1|DKIK, LOC108075726|XP_017023759.1|DKIK, LOC108077101|XP_017025775.1|DKIK	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC108082570|XP_017033516.1|DKIK	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC108073008|XP_017019953.1|DKIK	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC108078118|XP_017027223.1|DKIK	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC108076785|XP_017025280.1|DKIK	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC108081995|XP_017032728.1|DKIK	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC108077379|XP_017026162.1|DKIK, LOC108081987|XP_017032714.1|DKIK	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC108076386|XP_017024698.1|DKIK	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC108081135|XP_017031645.1|DKIK	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC108075612|XP_017023634.1|DKIK	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC108078680|XP_017028115.1|DKIK	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
