Orthogroup	DKIK.longest_only	ASTE.longest_only
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK, LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC108074071|XP_017021434.1|DKIK, LOC108078132|XP_017027246.1|DKIK	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC108075744|XP_017023787.1|DKIK, LOC108082576|XP_017033522.1|DKIK	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK, LOC108077930|XP_017026994.1|DKIK, LOC108072156|XP_017018689.1|DKIK, LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC108073195|XP_017020199.1|DKIK, LOC108077813|XP_017026825.1|DKIK, LOC108080856|XP_017031249.1|DKIK, LOC108074275|XP_017021739.1|DKIK	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC108082382|XP_017033212.1|DKIK, LOC108071489|XP_017017741.1|DKIK, LOC108071491|XP_017017743.1|DKIK, LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK, LOC108071509|XP_017017764.1|DKIK	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC108084054|XP_017035562.1|DKIK, LOC108083991|XP_017035494.1|DKIK, LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK, LOC108084052|XP_017035560.1|DKIK, LOC108084215|XP_017035827.1|DKIK, LOC108084051|XP_017035559.1|DKIK, LOC108084214|XP_017035825.1|DKIK	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK, LOC108078192|XP_017027349.1|DKIK, LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK, LOC108070821|XP_017016922.1|DKIK	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC108079592|XP_017029427.1|DKIK, LOC108079587|XP_017029421.1|DKIK, LOC108079588|XP_017029422.1|DKIK	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC108082121|XP_017032911.1|DKIK, LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC108077824|XP_017026839.1|DKIK, LOC108077790|XP_017026779.1|DKIK, LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK, LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC108082568|XP_017033513.1|DKIK, LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC108081486|XP_017032174.1|DKIK, LOC108081508|XP_017032216.1|DKIK, LOC108081485|XP_017032173.1|DKIK, LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK, LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC108076173|XP_017024393.1|DKIK, LOC108076538|XP_017024940.1|DKIK, LOC108080858|XP_017031251.1|DKIK, LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK, LOC108084433|XP_017036130.1|DKIK, LOC108084436|XP_017036133.1|DKIK	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC108084080|XP_017035590.1|DKIK, LOC108084068|XP_017035576.1|DKIK, LOC108084077|XP_017035587.1|DKIK, LOC108084022|XP_017035524.1|DKIK, LOC108084023|XP_017035525.1|DKIK, LOC108084019|XP_017035520.1|DKIK	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC108083217|XP_017034415.1|DKIK, LOC108085672|XP_017037854.1|DKIK, LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK, LOC108070782|XP_017016871.1|DKIK	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC108081173|XP_017031718.1|DKIK, LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK, LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC108085849|XP_017038095.1|DKIK, LOC108085845|XP_017038092.1|DKIK, LOC108085848|XP_017038094.1|DKIK, LOC108085846|XP_017038093.1|DKIK, LOC108085865|XP_017038112.1|DKIK	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC108071295|XP_017017484.1|DKIK, LOC108071297|XP_017017486.1|DKIK, LOC108071299|XP_017017488.1|DKIK, LOC108071298|XP_017017487.1|DKIK, LOC108071296|XP_017017485.1|DKIK, LOC108077622|XP_017026519.1|DKIK, LOC108077830|XP_017026845.1|DKIK	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC108084972|XP_017036881.1|DKIK, LOC108082757|XP_017033763.1|DKIK, LOC108082758|XP_017033764.1|DKIK, LOC108070811|XP_017016903.1|DKIK	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC108080522|XP_017030803.1|DKIK	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC108085322|XP_017037367.1|DKIK	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC108076086|XP_017024289.1|DKIK, LOC108077343|XP_017026120.1|DKIK	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC108079601|XP_017029447.1|DKIK, LOC108071778|XP_017018123.1|DKIK, LOC108079559|XP_017029388.1|DKIK, LOC108072700|XP_017019425.1|DKIK, LOC108082791|XP_017033825.1|DKIK, LOC108082790|XP_017033824.1|DKIK, LOC108077206|XP_017025943.1|DKIK, LOC108082143|XP_017032934.1|DKIK, LOC108078896|XP_017028518.1|DKIK, LOC108078667|XP_017028088.1|DKIK, LOC108079653|XP_017029539.1|DKIK, LOC108082253|XP_017033087.1|DKIK, LOC108082254|XP_017033088.1|DKIK	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC108084033|XP_017035536.1|DKIK	LOC118507461|XP_035901847.1|ASTE, LOC118516630|XP_035918499.1|ASTE, LOC118516592|XP_035918448.1|ASTE, LOC118516616|XP_035918482.1|ASTE, LOC118516951|XP_035918675.1|ASTE, LOC118516548|XP_035918387.1|ASTE
OG0000067	LOC108084848|XP_017036716.1|DKIK, LOC108085996|XP_017038286.1|DKIK	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC108071874|XP_017018291.1|DKIK	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC108071863|XP_017018280.1|DKIK, LOC108071864|XP_017018281.1|DKIK, LOC108084117|XP_017035637.1|DKIK, LOC108074164|XP_017021563.1|DKIK	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC108082879|XP_017033949.1|DKIK, LOC108076002|XP_017024145.1|DKIK, LOC108082683|XP_017033673.1|DKIK, LOC108082714|XP_017033711.1|DKIK	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC108073779|XP_017021035.1|DKIK	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC108070385|XP_017016325.1|DKIK, LOC108070384|XP_017016324.1|DKIK, LOC108070386|XP_017016326.1|DKIK	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC108076540|XP_017024942.1|DKIK, LOC108076135|XP_017024352.1|DKIK	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC108082462|XP_017033327.1|DKIK	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC108079402|XP_017029216.1|DKIK	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC108075433|XP_017023346.1|DKIK	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC108071625|XP_017017896.1|DKIK, LOC108071877|XP_017018294.1|DKIK	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC108078964|XP_017028614.1|DKIK	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC108085219|XP_017037239.1|DKIK	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC108076740|XP_017025218.1|DKIK	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC108073492|XP_017020640.1|DKIK	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC108070868|XP_017016990.1|DKIK	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC108077758|XP_017026727.1|DKIK	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC108082104|XP_017032889.1|DKIK, LOC108083237|XP_017034431.1|DKIK, LOC108084091|XP_017035604.1|DKIK, LOC108080166|XP_017030300.1|DKIK, LOC108083371|XP_017034605.1|DKIK	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC108082848|XP_017033908.1|DKIK, LOC108070937|XP_017017080.1|DKIK, LOC108076175|XP_017024395.1|DKIK	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC108076521|XP_017024919.1|DKIK, LOC108083631|XP_017034990.1|DKIK, LOC108083635|XP_017034994.1|DKIK, LOC108082103|XP_017032888.1|DKIK, LOC108080754|XP_017031097.1|DKIK, LOC108077694|XP_017026619.1|DKIK	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC108077314|XP_017026091.1|DKIK, LOC108075851|XP_017023931.1|DKIK, LOC108075726|XP_017023759.1|DKIK, LOC108077101|XP_017025775.1|DKIK	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC108082570|XP_017033516.1|DKIK	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC108073008|XP_017019953.1|DKIK	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC108078118|XP_017027223.1|DKIK	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC108076785|XP_017025280.1|DKIK	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC108081995|XP_017032728.1|DKIK	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC108076386|XP_017024698.1|DKIK	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC108081135|XP_017031645.1|DKIK	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC108078680|XP_017028115.1|DKIK	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC108078092|XP_017027173.1|DKIK, LOC108078094|XP_017027177.1|DKIK, LOC108077947|XP_017026974.1|DKIK, LOC108078973|XP_017028631.1|DKIK, LOC108071532|XP_017017793.1|DKIK	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC108075739|XP_017023776.1|DKIK	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC108082079|XP_017032861.1|DKIK, LOC108081166|XP_017031709.1|DKIK, LOC108081243|XP_017031811.1|DKIK	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC108079645|XP_017029525.1|DKIK	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC108071561|XP_017017831.1|DKIK, LOC108070632|XP_017016689.1|DKIK, LOC108070631|XP_017016688.1|DKIK, LOC108070630|XP_017016687.1|DKIK	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC108082873|XP_017033940.1|DKIK, LOC108075861|XP_017023944.1|DKIK, LOC108085902|XP_017038160.1|DKIK, LOC108082876|XP_017033946.1|DKIK	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC108077716|XP_017026656.1|DKIK	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC108083422|XP_017034666.1|DKIK	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC108083700|XP_017035084.1|DKIK, LOC108083701|XP_017035085.1|DKIK, LOC108083696|XP_017035073.1|DKIK, LOC108083702|XP_017035086.1|DKIK	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC108073007|XP_017019952.1|DKIK	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC108078325|XP_017027613.1|DKIK	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC108078639|XP_017028056.1|DKIK, LOC108071952|XP_017018408.1|DKIK, LOC108071951|XP_017018407.1|DKIK, LOC108072142|XP_017018672.1|DKIK	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC108084017|XP_017035519.1|DKIK, LOC108080884|XP_017031275.1|DKIK, LOC108080981|XP_017031395.1|DKIK, LOC108080983|XP_017031397.1|DKIK, LOC108080994|XP_017031408.1|DKIK	LOC118506605|XP_035899865.1|ASTE
OG0000108	LOC108080839|XP_017031231.1|DKIK, LOC108076114|XP_017024329.1|DKIK, LOC108083650|XP_017035011.1|DKIK, LOC108080914|XP_017031311.1|DKIK, LOC108072095|XP_017018601.1|DKIK, LOC108076717|XP_017025172.1|DKIK, LOC108083428|XP_017034676.1|DKIK	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE
OG0000109	LOC108077299|XP_017026069.1|DKIK, LOC108076928|XP_017025463.1|DKIK	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC108077298|XP_017026067.1|DKIK	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC108078140|XP_017027262.1|DKIK, LOC108078152|XP_017027292.1|DKIK, LOC108078144|XP_017027276.1|DKIK, LOC108078161|XP_017027305.1|DKIK	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC108082105|XP_017032890.1|DKIK, LOC108082108|XP_017032897.1|DKIK	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC108085943|XP_017038219.1|DKIK, LOC108080039|XP_017030105.1|DKIK, LOC108080020|XP_017030077.1|DKIK	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC108070647|XP_017016704.1|DKIK, LOC108083778|XP_017035191.1|DKIK	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC108082011|XP_017032755.1|DKIK	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC108085279|XP_017037320.1|DKIK, LOC108085280|XP_017037321.1|DKIK, LOC108085261|XP_017037300.1|DKIK	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
