Orthogroup	DKIK.longest_only	DBIA.longest_only
OG0000012	LOC108082347|XP_017033172.1|DKIK	LOC108022979|XP_016947693.1|DBIA
OG0000012	LOC108082319|XP_017033138.1|DKIK	LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000015	LOC108082548|XP_017033482.1|DKIK, LOC108082527|XP_017033449.1|DKIK	LOC108022080|XP_016946413.1|DBIA, LOC108022078|XP_016946412.1|DBIA
OG0000015	LOC108086091|XP_017038403.1|DKIK	LOC108029004|XP_016956536.1|DBIA, LOC108028937|XP_016956445.1|DBIA, LOC108028922|XP_016956429.1|DBIA
OG0000015	LOC108085342|XP_017037387.1|DKIK	LOC108033354|XP_016963153.1|DBIA
OG0000015	LOC108071985|XP_017018448.1|DKIK	LOC108028934|XP_016956441.1|DBIA
OG0000015	LOC108073116|XP_017020100.1|DKIK	LOC108030294|XP_016958615.1|DBIA
OG0000015	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK	LOC108033676|XP_016963619.1|DBIA
OG0000015	LOC108074488|XP_017022050.1|DKIK	LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC108083777|XP_017035189.1|DKIK	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC108076702|XP_017025149.1|DKIK	LOC108036348|XP_016967909.1|DBIA
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC108085024|XP_017036959.1|DKIK	LOC108031941|XP_016961211.1|DBIA
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC108076530|XP_017024931.1|DKIK	LOC108022064|XP_016946398.1|DBIA
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC108071595|XP_017017864.1|DKIK	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC108071585|XP_017017855.1|DKIK	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA
OG0000018	LOC108071604|XP_017017875.1|DKIK	LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC108084990|XP_017036905.1|DKIK	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK	LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA
OG0000019	LOC108084902|XP_017036785.1|DKIK	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC108084991|XP_017036906.1|DKIK	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK	LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA
OG0000020	LOC108074835|XP_017022525.1|DKIK	LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC108074862|XP_017022564.1|DKIK	LOC108034268|XP_016964616.1|DBIA
OG0000020	LOC108074823|XP_017022510.1|DKIK	LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC108027081|XP_016953819.1|DBIA
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC108072889|XP_017019701.1|DKIK	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC108071489|XP_017017741.1|DKIK	LOC108030636|XP_016959139.1|DBIA
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA
OG0000023	LOC108084054|XP_017035562.1|DKIK	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC108078191|XP_017027348.1|DKIK	LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC108083463|XP_017034734.1|DKIK, LOC108086239|XP_017038600.1|DKIK	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC108079334|XP_017029126.1|DKIK	LOC108036455|XP_016968112.1|DBIA
OG0000026	LOC108070686|XP_017016752.1|DKIK	LOC108027284|XP_016954161.1|DBIA
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC108079587|XP_017029421.1|DKIK	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK	LOC108035882|XP_016967124.1|DBIA
OG0000029	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK	LOC108036183|XP_016967662.1|DBIA
OG0000029	LOC108085551|XP_017037679.1|DKIK	LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA
OG0000029	LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK	LOC108031286|XP_016960018.1|DBIA
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC108075896|XP_017024005.1|DKIK	LOC108033534|XP_016963368.1|DBIA
OG0000030	LOC108075779|XP_017023830.1|DKIK	LOC108033540|XP_016963373.1|DBIA
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC108076242|XP_017024479.1|DKIK	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC108082121|XP_017032911.1|DKIK	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC108075780|XP_017023827.1|DKIK	LOC108027702|XP_016954741.1|DBIA
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC108077790|XP_017026779.1|DKIK	LOC108027164|XP_016953916.1|DBIA
OG0000032	LOC108077714|XP_017026653.1|DKIK	LOC108027230|XP_016954052.1|DBIA
OG0000032	LOC108077612|XP_017026507.1|DKIK	LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC108077846|XP_017026865.1|DKIK	LOC108027028|XP_016953713.1|DBIA
OG0000032	LOC108077828|XP_017026842.1|DKIK	LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA
OG0000032	LOC108077628|XP_017026527.1|DKIK	LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA
OG0000033	LOC108080716|XP_017031056.1|DKIK	LOC108030100|XP_016958275.1|DBIA
OG0000033	LOC108080717|XP_017031057.1|DKIK	LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC108030098|XP_016958274.1|DBIA
OG0000033	LOC108084001|XP_017035503.1|DKIK	LOC108028439|XP_016955758.1|DBIA
OG0000033	LOC108076855|XP_017025374.1|DKIK	LOC108027435|XP_016954372.1|DBIA
OG0000033	LOC108076138|XP_017024355.1|DKIK	LOC108036209|XP_016967690.1|DBIA, LOC108036211|XP_016967691.1|DBIA
OG0000033	LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK	LOC108036212|XP_016967692.1|DBIA
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC108035237|XP_016966261.1|DBIA
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK	LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC108036755|XP_016968570.1|DBIA
OG0000035	LOC108080462|XP_017030689.1|DKIK, LOC108072151|XP_017018687.1|DKIK	LOC108027242|XP_016954085.1|DBIA
OG0000035	LOC108072063|XP_017018552.1|DKIK	LOC108027564|XP_016954540.1|DBIA
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC108029865|XP_016957843.1|DBIA
OG0000037	LOC108073148|XP_017020150.1|DKIK	LOC108032009|XP_016961298.1|DBIA
OG0000037	LOC108073159|XP_017020158.1|DKIK	LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC108025634|XP_016951658.1|DBIA
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC108070642|XP_017016699.1|DKIK	LOC108025546|XP_016951565.1|DBIA
OG0000040	LOC108084882|XP_017036766.1|DKIK	LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK	LOC108025434|XP_016951413.1|DBIA
OG0000040	LOC108070662|XP_017016722.1|DKIK	LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC108025485|XP_016951488.1|DBIA
OG0000040	LOC108084976|XP_017036887.1|DKIK	LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC108071265|XP_017017445.1|DKIK	LOC108026015|XP_016952195.1|DBIA
OG0000041	LOC108071358|XP_017017589.1|DKIK	LOC108026380|XP_016952789.1|DBIA
OG0000041	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK	LOC108026021|XP_016952202.1|DBIA
OG0000041	LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK	LOC108029979|XP_016957976.1|DBIA
OG0000042	LOC108076658|XP_017025082.1|DKIK	LOC108029981|XP_016957978.1|DBIA
OG0000042	LOC108076656|XP_017025079.1|DKIK	LOC108029869|XP_016957848.1|DBIA
OG0000042	LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
