Orthogroup	DKIK.longest_only	DALB.longest_only
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC117564301|XP_034098889.1|DALB
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108074734|XP_017022389.1|DKIK	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108079326|XP_017029113.1|DKIK	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108084190|XP_017035777.1|DKIK	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108075225|XP_017023059.1|DKIK	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108080801|XP_017031181.1|DKIK	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB
OG0000015	LOC108074481|XP_017022042.1|DKIK	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC108073116|XP_017020100.1|DKIK, LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC108074071|XP_017021434.1|DKIK	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108078132|XP_017027246.1|DKIK	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108085727|XP_017037944.1|DKIK	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108084467|XP_017036167.1|DKIK	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108071378|XP_017017603.1|DKIK	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108081075|XP_017031544.1|DKIK	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108075195|XP_017023019.1|DKIK	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108074963|XP_017022684.1|DKIK	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108083626|XP_017034986.1|DKIK	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108076532|XP_017024932.1|DKIK	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108070625|XP_017016677.1|DKIK	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108071573|XP_017017843.1|DKIK	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108071585|XP_017017855.1|DKIK	LOC117569766|XP_034106951.1|DALB
OG0000018	LOC108071599|XP_017017870.1|DKIK	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC108075744|XP_017023787.1|DKIK	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108082576|XP_017033522.1|DKIK	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108077930|XP_017026994.1|DKIK	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108072156|XP_017018689.1|DKIK	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108072937|XP_017019783.1|DKIK	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC108072344|XP_017018923.1|DKIK	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108085116|XP_017037095.1|DKIK	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108072267|XP_017018826.1|DKIK	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC108083858|XP_017035332.1|DKIK	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108073195|XP_017020199.1|DKIK	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108077813|XP_017026825.1|DKIK	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108080856|XP_017031249.1|DKIK	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108082382|XP_017033212.1|DKIK	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108071509|XP_017017764.1|DKIK	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108078099|XP_017027186.1|DKIK	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108084052|XP_017035560.1|DKIK	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108084215|XP_017035827.1|DKIK	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108084051|XP_017035559.1|DKIK	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108084214|XP_017035825.1|DKIK	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108078192|XP_017027349.1|DKIK	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108072495|XP_017019150.1|DKIK	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108078211|XP_017027385.1|DKIK	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC108070821|XP_017016922.1|DKIK	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108086239|XP_017038600.1|DKIK	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC108081074|XP_017031548.1|DKIK	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC108074121|XP_017021510.1|DKIK	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108072841|XP_017019625.1|DKIK	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108075406|XP_017023320.1|DKIK	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC108079592|XP_017029427.1|DKIK	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108079588|XP_017029422.1|DKIK	LOC117565445|XP_034100427.1|DALB
OG0000029	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC108080624|XP_017030937.1|DKIK	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108075768|XP_017023819.1|DKIK	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC108077325|XP_017026102.1|DKIK	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108083344|XP_017034576.1|DKIK	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108079999|XP_017030054.1|DKIK	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108077225|XP_017025972.1|DKIK	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108077824|XP_017026839.1|DKIK	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108080718|XP_017031058.1|DKIK	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108076836|XP_017025354.1|DKIK	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108082755|XP_017033759.1|DKIK	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC108072063|XP_017018552.1|DKIK	LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB
OG0000036	LOC108084034|XP_017035539.1|DKIK	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108081215|XP_017031778.1|DKIK	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108080827|XP_017031220.1|DKIK	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108081087|XP_017031565.1|DKIK	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108082568|XP_017033513.1|DKIK	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108083255|XP_017034451.1|DKIK	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108083246|XP_017034442.1|DKIK	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108081169|XP_017031714.1|DKIK	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108071695|XP_017017998.1|DKIK	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108071709|XP_017018018.1|DKIK	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108071673|XP_017017967.1|DKIK	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC108082955|XP_017034059.1|DKIK	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108084883|XP_017036767.1|DKIK	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108070710|XP_017016793.1|DKIK	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC108076657|XP_017025080.1|DKIK	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC108081508|XP_017032216.1|DKIK	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC108081485|XP_017032173.1|DKIK	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC108071988|XP_017018451.1|DKIK	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC108072006|XP_017018472.1|DKIK	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC108082753|XP_017033762.1|DKIK	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC108073518|XP_017020682.1|DKIK	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC108073894|XP_017021172.1|DKIK	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC108073882|XP_017021156.1|DKIK	LOC117572554|XP_034111317.1|DALB
